image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
writer_75 years old_0.png,Male,Old,White,Male,Male,Male,True,[0.99897105 0.00102895],"[0.9998586, 0.00014135663]",60-69,55,80.0,Old,Old,False,"[1.1885629e-04 1.8712410e-04 6.5160909e-04 9.8257377e-05 2.3675138e-04
 2.3386742e-03 1.1948703e-01 5.5104011e-01 3.2584164e-01]",10,White,White,True,0,[302 279 677 654]
writer_75 years old_1.png,Male,Old,White,Male,Male,Male,True,[0.9987983  0.00120169],"[0.9976412, 0.0023588471]",60-69,53,77.0,Old,Old,False,"[5.0184346e-05 1.2940830e-04 4.1194342e-04 9.1496957e-05 1.7884772e-04
 1.9836053e-03 9.4836697e-02 5.4954010e-01 3.5277763e-01]",12,White,White,True,0,[202 238 743 778]
writer_75 years old_10.png,Male,Old,White,Male,Male,Male,True,[0.9950885  0.00491149],"[0.9998191, 0.0001808892]",70+,53,77.0,Old,Old,False,"[6.8819020e-07 2.3478080e-06 1.4214940e-05 4.8487050e-06 5.2188520e-06
 5.1978473e-05 6.8058111e-03 1.9121994e-01 8.0189490e-01]",22,White,White,True,0,[294 261 744 711]
writer_75 years old_11.png,Male,Old,White,Male,Male,Male,True,[0.97410595 0.0258941 ],"[0.9983831999999999, 0.0016168878999999999]",70+,46,82.0,Old,Old,False,"[1.1868574e-06 2.9985097e-06 9.8194259e-06 1.7733325e-06 5.0030908e-06
 4.6241239e-05 5.3741727e-03 1.9783072e-01 7.9672807e-01]",29,White,White,True,0,[202 238 743 778]
writer_75 years old_12.png,Male,Old,White,Male,Male,Male,True,[0.98082095 0.01917906],"[0.9998461000000001, 0.00015386153]",70+,46,82.0,Old,Old,False,"[1.2680127e-06 4.1359067e-06 1.5560816e-05 3.9176225e-06 5.3914032e-06
 4.3499000e-05 5.3914902e-03 1.6938050e-01 8.2515424e-01]",29,White,White,True,0,[202 238 743 778]
writer_75 years old_13.png,Male,Old,White,Male,Male,Male,True,[9.9988616e-01 1.1382573e-04],"[0.9996286999999999, 0.00037129976]",60-69,58,82.0,Old,Old,False,"[1.6193630e-05 1.0570274e-05 5.0793227e-05 1.4466063e-05 7.0850161e-05
 5.9921714e-04 4.5130059e-02 6.5184611e-01 3.0226177e-01]",7,White,White,True,0,[248 261 698 711]
writer_75 years old_14.png,Male,Old,White,Male,Male,Male,True,[9.9965847e-01 3.4157376e-04],"[0.9999766999999999, 2.3270017e-05]",60-69,50,82.0,Old,Old,False,"[1.2316427e-05 9.1406482e-06 6.2161118e-05 1.7840082e-05 6.1380459e-05
 6.6079263e-04 6.4452402e-02 6.7183304e-01 2.6289096e-01]",15,White,White,True,0,[170 186 819 835]
writer_75 years old_15.png,Male,Old,White,Male,Male,Male,True,[9.996143e-01 3.857038e-04],"[0.9996934000000001, 0.0003066869]",70+,58,81.0,Old,Old,False,"[8.9947680e-06 1.2187483e-05 6.7891990e-05 2.8557495e-05 3.2537846e-05
 2.8025388e-04 2.4114368e-02 4.3426645e-01 5.4118878e-01]",17,White,White,True,0,[202 293 743 833]
writer_75 years old_16.png,Male,Old,White,Male,Male,Male,True,[9.999595e-01 4.046035e-05],"[0.99980125, 0.00019879948000000003]",60-69,59,79.0,Old,Old,False,"[3.2026799e-06 1.4537345e-06 9.7112288e-06 8.8105662e-06 1.9475756e-05
 1.4989724e-04 1.6400747e-02 6.1743462e-01 3.6597201e-01]",6,White,White,True,0,[248 261 698 711]
writer_75 years old_17.png,Male,Old,White,Male,Male,Male,True,[9.9994236e-01 5.7628564e-05],"[0.997033, 0.0029670095000000002]",60-69,51,79.0,Old,Old,False,"[1.2879090e-04 1.1006288e-04 4.1264173e-04 8.6887892e-05 2.3490191e-04
 3.3218581e-03 1.8750627e-01 7.4476558e-01 6.3433178e-02]",14,White,White,True,0,[202 128 743 669]
