face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stablexl1.0_psychologist_male/psychologist_male_40_face7.png,White,White,Male,50-59,"[9.9783605e-01 4.1711364e-06 2.3716697e-04 3.4148095e-05 1.5185672e-05
 2.8631166e-05 1.8446309e-03]",[9.9942786e-01 1.3796379e-05 8.9739215e-06 5.4936094e-04],[9.9923611e-01 7.6382287e-04],"[3.0663399e-05 5.4661097e-05 1.4629472e-03 1.3881043e-02 7.1500063e-02
 2.6783699e-01 5.6660283e-01 7.3480390e-02 5.1504057e-03]","[(382, 291) (564, 472)]"
fairface/detected_faces/Stablexl1.0_psychologist_male/psychologist_male_49_face11.png,White,White,Male,50-59,"[9.2299324e-01 3.5307528e-06 7.5171102e-04 1.2934757e-04 1.0987203e-04
 1.0395621e-04 7.5908311e-02]",[9.9972665e-01 9.1223355e-06 1.6191219e-04 1.0229047e-04],[0.99011827 0.00988168],"[2.4092286e-04 2.3221994e-04 1.8960403e-03 6.1433432e-03 2.3978589e-02
 1.3902035e-01 4.4600663e-01 3.1313211e-01 6.9349699e-02]","[(377, 202) (753, 578)]"
fairface/detected_faces/Stablexl1.0_psychologist_male/psychologist_male_40_face16.png,White,White,Male,40-49,"[9.9570161e-01 2.1243017e-05 9.5440235e-05 1.3438098e-06 2.4231649e-06
 5.8124249e-05 4.1197273e-03]",[9.9954611e-01 1.8643978e-04 6.3584746e-05 2.0385411e-04],[9.9999779e-01 2.1903552e-06],"[2.4041608e-06 8.7793865e-07 2.0260335e-05 5.8373027e-03 2.0004143e-01
 5.3251541e-01 2.4871302e-01 1.2262275e-02 6.0709193e-04]","[(363, 136) (624, 398)]"
fairface/detected_faces/Stablexl1.0_psychologist_male/psychologist_male_40_face14.png,White,White,Male,50-59,"[9.33323622e-01 2.12037543e-04 1.42061675e-03 1.06731695e-05
 3.73395924e-05 1.43552339e-03 6.35601357e-02]",[9.6788394e-01 1.2747296e-03 7.6475495e-05 3.0764863e-02],[9.9997985e-01 2.0129981e-05],"[8.5636366e-06 4.7257931e-06 3.8375711e-05 4.6161894e-04 5.7657519e-03
 8.8675447e-02 6.3541508e-01 2.5027791e-01 1.9352561e-02]","[(407, 140) (624, 358)]"
fairface/detected_faces/Stablexl1.0_psychologist_male/psychologist_male_48_face0.png,White,White,Male,30-39,"[8.55790854e-01 2.53902841e-03 6.37878850e-02 4.28413332e-05
 1.15925184e-04 1.59190712e-03 7.61315897e-02]",[0.91989213 0.00151631 0.00121466 0.07737684],[9.9999982e-01 2.0285276e-07],"[6.7628912e-07 8.0899072e-06 1.1616308e-03 2.2021434e-01 6.7268169e-01
 1.0363711e-01 2.2732029e-03 2.2931208e-05 2.4106103e-07]","[(326, 299) (640, 611)]"
fairface/detected_faces/Stablexl1.0_psychologist_male/psychologist_male_28_face0.png,White,White,Male,40-49,"[9.9743634e-01 1.4374796e-05 7.2474277e-04 2.9299604e-06 3.6363294e-06
 2.0937492e-04 1.6086609e-03]",[9.9278539e-01 1.0363900e-04 4.8811831e-05 7.0621227e-03],[9.9999827e-01 1.7363959e-06],"[8.8591065e-07 1.8357580e-06 7.1101851e-05 3.6145314e-03 1.4836156e-01
 6.6856158e-01 1.7774837e-01 1.6251260e-03 1.5018722e-05]","[(202, 183) (743, 724)]"
fairface/detected_faces/Stablexl1.0_psychologist_male/psychologist_male_37_face0.png,White,White,Male,30-39,"[8.1506687e-01 1.1094769e-04 3.2676555e-02 3.3627788e-04 6.2045106e-04
 3.7285779e-03 1.4746036e-01]",[9.8022133e-01 1.6995346e-04 9.2771772e-04 1.8680967e-02],[9.9999905e-01 9.5446046e-07],"[5.4928535e-07 1.7941433e-05 1.2405923e-03 3.5789704e-01 6.1372131e-01
 2.7028507e-02 9.3142677e-05 9.1332640e-07 2.0323160e-08]","[(326, 172) (640, 485)]"
fairface/detected_faces/Stablexl1.0_psychologist_male/psychologist_male_42_face0.png,White,White,Male,30-39,"[9.76893365e-01 3.91887115e-05 1.09936902e-02 7.39136667e-05
 1.12896734e-04 4.70682373e-03 7.18014920e-03]",[9.1873300e-01 2.4462037e-04 1.7598344e-04 8.0846459e-02],[9.9966013e-01 3.3983571e-04],"[1.7954651e-06 1.4421101e-05 7.6766114e-04 6.0651436e-02 4.8480394e-01
 4.2645606e-01 2.7133515e-02 1.6760181e-04 3.5057578e-06]","[(358, 267) (670, 581)]"
fairface/detected_faces/Stablexl1.0_psychologist_male/psychologist_male_22_face0.png,White,White,Male,30-39,"[4.9511814e-01 1.3024760e-04 4.2162064e-01 9.5743453e-05 1.9870303e-04
 2.3541948e-02 5.9294563e-02]",[7.7111816e-01 7.1237987e-04 1.1279413e-03 2.2704153e-01],[9.9999934e-01 6.4200327e-07],"[1.1622964e-06 6.1834676e-06 6.3108135e-04 6.6840626e-02 7.2522682e-01
 2.0476142e-01 2.5227151e-03 9.9828094e-06 5.1743328e-08]","[(363, 189) (624, 450)]"
fairface/detected_faces/Stablexl1.0_psychologist_male/psychologist_male_25_face0.png,White,White,Male,30-39,"[4.2928085e-01 3.0179401e-03 2.5549781e-01 9.7444747e-05 2.9876246e-04
 3.6705401e-02 2.7510175e-01]",[9.0812743e-01 8.0588687e-04 1.0226375e-04 9.0964422e-02],[9.9999821e-01 1.8072597e-06],"[4.2753692e-07 2.0431812e-06 1.9942959e-04 1.5098275e-01 7.7893245e-01
 6.9240794e-02 6.3661847e-04 5.3667200e-06 8.7670472e-08]","[(302, 354) (677, 730)]"
