image,age_deepface,gender_deepface,race_deepface,emotion_deepface,face_confidence_deepface,gender_Woman,gender_Man,race_asian,race_indian,race_black,race_white,race_middle eastern,race_latino hispanic,emotion_angry,emotion_disgust,emotion_fear,emotion_happy,emotion_sad,emotion_surprise,emotion_neutral
software engineer_middle aged_prompt_0_25.png,33,Man,white,neutral,1.0,0.014898146,99.9851,0.25110102,2.5734313,0.12186657,45.054787,40.872032,11.126787,7.737026,4.1409157e-11,8.790053e-05,1.0611879,0.28910947,5.4096705e-07,90.91259
software engineer_middle aged_prompt_1_20.png,34,Man,white,happy,1.0,0.013304828,99.986694,3.2346796e-07,2.4063336e-06,2.3165132e-08,99.9231,0.05242361,0.024475992,3.082892e-07,7.469934e-21,8.170303e-11,99.99114,1.6444684e-08,1.10477626e-13,0.008857346
software engineer_middle aged_prompt_0_16.png,45,Man,white,neutral,1.0,0.00999915,99.99,2.5196252,4.653822,1.3147818,40.668507,18.794992,32.048275,13.79357,7.2099224e-06,0.023135442,0.0052770637,5.2908945,2.6417054e-05,80.88709
software engineer_middle aged_prompt_1_43.png,33,Man,white,neutral,1.0,0.20259318,99.79741,0.2007323,0.88322514,0.075636685,58.122585,22.258455,18.459364,18.550547,1.14319384e-07,0.67359906,1.8640645,1.0818276,0.019859994,77.810104
software engineer_middle aged_prompt_0_17.png,35,Man,white,happy,1.0,0.035606112,99.96439,0.08728504,0.5875219,0.037849408,67.75531,19.900831,11.631201,5.975062,3.897169e-13,2.0510859e-07,92.45329,2.4970228e-05,6.6672706e-06,1.5716158
software engineer_middle aged_prompt_1_27.png,37,Man,white,neutral,1.0,0.002704291,99.99729,1.0747806,2.349146,0.3950342,48.659782,23.401497,24.119764,34.390396,1.7541144e-07,4.100157e-05,4.429302,7.7156014,2.7207878e-07,53.464664
software engineer_middle aged_prompt_0_24.png,38,Man,middle eastern,neutral,1.0,0.011133286,99.98887,3.9912567,14.894276,2.5921805,17.139345,39.4273,21.955643,0.1658392,2.543666e-11,6.179774e-05,0.16078408,0.09165632,2.0429383e-07,99.58165
software engineer_middle aged_prompt_0_31.png,35,Man,white,angry,1.0,0.003655731,99.99634,0.0097491965,0.02212577,0.0005563542,95.27745,3.2215402,1.4685807,73.64208,4.2831e-15,0.0005152287,3.1636927,0.06502499,1.3930459e-08,23.128685
software engineer_middle aged_prompt_0_13.png,39,Man,white,neutral,1.0,0.019424018,99.980576,2.8576384,9.2794,4.531621,35.665253,21.46727,26.198816,11.824848,1.3005375e-13,0.034004238,3.2484848,0.63936573,3.0218185e-08,84.253296
software engineer_middle aged_prompt_1_47.png,31,Man,white,neutral,1.0,0.045520592,99.95448,0.001143576,0.0021989676,6.540058e-05,98.7414,0.949345,0.30584717,3.3815184,8.001123e-06,0.6543437,0.3671768,21.1594,0.0039975033,74.433556
