face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_indian/doctor_indian_prompt_0_31_face0.png,Indian,Indian,Male,40-49,"[1.1502272e-04 6.0003393e-05 2.5523861e-03 4.9727983e-06 1.2327927e-04
 9.9681926e-01 3.2497104e-04]",[3.0753971e-04 2.0613961e-04 6.8302979e-06 9.9947947e-01],[9.998399e-01 1.601462e-04],"[1.23356713e-05 2.02980809e-04 1.14527065e-02 1.18340194e-01
 3.97760481e-01 4.20924991e-01 4.97676693e-02 1.50597550e-03
 3.26042864e-05]","[(363, 162) (581, 380)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_indian/doctor_indian_prompt_0_35_face0.png,White,White,Male,30-39,"[8.5088843e-01 7.4760511e-04 1.9253863e-02 4.0303951e-04 4.6424277e-04
 1.0915906e-02 1.1732686e-01]",[0.9322498  0.00912953 0.01496674 0.04365398],[0.90655476 0.09344517],"[1.80278366e-05 1.41526747e-04 1.03745954e-02 1.96320936e-01
 3.44883412e-01 3.24207664e-01 1.12152554e-01 1.08895069e-02
 1.01172540e-03]","[(363, 162) (581, 380)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_indian/doctor_indian_prompt_0_27_face0.png,Indian,Indian,Male,40-49,"[3.1199271e-04 1.1359262e-04 7.7710268e-03 4.2705452e-07 6.7662054e-06
 9.8969650e-01 2.0997250e-03]",[3.7685371e-04 6.9979687e-05 1.2133949e-05 9.9954104e-01],[9.999999e-01 7.063255e-08],"[5.9565036e-06 1.9690591e-05 5.0391001e-04 9.1015613e-03 2.5683856e-01
 6.3653457e-01 9.6485637e-02 5.0842599e-04 1.6554359e-06]","[(284, 268) (545, 529)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_indian/doctor_indian_prompt_1_29_face0.png,Indian,Indian,Male,40-49,"[7.7343109e-05 1.4268511e-04 2.1163046e-03 6.4102460e-07 1.2914792e-05
 9.8870283e-01 8.9473287e-03]",[9.1283029e-05 6.9662914e-05 1.7493510e-05 9.9982154e-01],[9.9999952e-01 4.5763778e-07],"[1.7485776e-05 2.0953531e-04 4.3758261e-03 2.4169793e-02 3.1263009e-01
 5.8719569e-01 7.0674464e-02 7.2280812e-04 4.3513965e-06]","[(385, 229) (602, 446)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_indian/doctor_indian_prompt_0_35_face18.png,Middle Eastern,White,Female,40-49,"[6.0236029e-02 8.9732911e-03 7.2666690e-02 2.4561581e-04 1.1749013e-03
 9.5815778e-02 7.6088774e-01]",[0.67645794 0.08601365 0.12240218 0.11512624],[0.20157877 0.7984212 ],"[2.3169217e-04 1.2029018e-03 4.9066567e-03 2.4851393e-02 1.2979296e-01
 3.8915998e-01 3.1839263e-01 1.1633171e-01 1.5130088e-02]","[(302, 279) (677, 654)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_indian/doctor_indian_prompt_0_1_face0.png,Indian,Indian,Male,40-49,"[1.25117285e-05 1.65482605e-04 3.74093041e-04 4.92385709e-07
 1.19160222e-05 9.99073088e-01 3.62416962e-04]",[2.9028206e-05 1.0530604e-04 9.5253681e-06 9.9985617e-01],[9.9999315e-01 6.8676331e-06],"[3.7425243e-06 6.0964292e-05 4.8358510e-03 1.5724864e-02 2.0152082e-01
 5.8338094e-01 1.9046922e-01 3.9649056e-03 3.8691236e-05]","[(326, 203) (640, 517)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_indian/doctor_indian_prompt_0_36_face0.png,Indian,Indian,Male,40-49,"[2.9485803e-03 5.0444965e-04 2.0938037e-02 5.4459333e-06 5.1463521e-05
 9.6122468e-01 1.4327378e-02]",[3.155340e-03 4.763730e-04 6.194000e-05 9.963063e-01],[9.994639e-01 5.360665e-04],"[3.0150914e-05 1.1560700e-04 1.8314634e-03 8.9877071e-03 2.0587137e-01
 5.4847604e-01 2.3069891e-01 3.9259307e-03 6.2920350e-05]","[(358, 299) (670, 611)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_indian/doctor_indian_prompt_1_37_face0.png,Indian,Indian,Male,30-39,"[1.02706166e-04 3.36431258e-04 1.90162356e-03 1.30816136e-06
 2.85431033e-05 9.95318890e-01 2.31046183e-03]",[2.6473138e-04 1.1492717e-04 9.6798409e-05 9.9952352e-01],[9.9999988e-01 1.3066175e-07],"[1.2283529e-06 4.7683719e-05 2.3793518e-03 1.4360946e-01 6.6546589e-01
 1.8444291e-01 4.0312032e-03 2.1962791e-05 1.9257415e-07]","[(326, 299) (640, 611)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_indian/doctor_indian_prompt_1_17_face0.png,Indian,Indian,Male,40-49,"[3.2947084e-04 4.8261969e-05 7.6507949e-03 2.2300458e-06 4.5037301e-05
 9.7992337e-01 1.2000827e-02]",[4.1850851e-04 2.2163971e-05 2.0545096e-05 9.9953878e-01],[9.999998e-01 1.810514e-07],"[1.01566675e-05 1.07235945e-04 1.40908500e-03 2.49869898e-02
 3.90764982e-01 5.51763356e-01 3.07831336e-02 1.73876135e-04
 1.19282652e-06]","[(385, 229) (602, 446)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_indian/doctor_indian_prompt_0_40_face5.png,White,White,Male,50-59,"[9.6607673e-01 2.9640266e-04 3.3658128e-03 5.0813080e-05 4.6342633e-05
 9.7907812e-04 2.9184841e-02]",[9.9204218e-01 2.5792620e-03 1.1151842e-04 5.2670455e-03],[0.86292166 0.13707832],"[1.42291765e-05 4.79429145e-05 1.85448828e-03 6.10585958e-02
 1.38191268e-01 2.49031112e-01 3.19693714e-01 1.79398790e-01
 5.07099405e-02]","[(294, 305) (744, 756)]"
