image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
"cashier_female, elderly, asian_113.png",Female,Old,Asian,Female,Female,Female,True,[6.810143e-04 9.993190e-01],"[0.0009745762500000001, 0.9990255]",70+,54,75,Old,Old,False,"[3.3162453e-07 5.5089495e-06 3.4271786e-06 6.8339864e-06 2.8390717e-05
 2.4962338e-04 1.0623932e-02 2.4186593e-01 7.4721605e-01]",21,Asian,Asian,True,0,[419 181 600 362]
"cashier_female, elderly, asian_121.png",Female,Old,Asian,Female,Female,Female,True,[1.5385922e-04 9.9984616e-01],"[0.0048485422, 0.9951514]",70+,39,55,Old,Middle,False,"[1.2807157e-06 5.6967376e-05 6.9512484e-05 9.8731645e-05 6.0938729e-04
 2.6894591e-03 4.2265199e-02 3.7128168e-01 5.8292770e-01]",36,Asian,Asian,True,0,[248 215 698 665]
"cashier_female, elderly, asian_129.png",Female,Middle,Asian,Female,Female,Female,True,[0.00153532 0.99846464],"[0.0001671485, 0.99983284]",50-59,46,56,Middle,Middle,True,"[3.9828301e-06 8.6643282e-05 3.9708422e-04 3.3172304e-03 5.1004753e-02
 1.8961391e-01 5.0021702e-01 2.4210778e-01 1.3251583e-02]",9,Asian,Asian,True,0,[400 217 582 399]
"cashier_female, elderly, asian_65.png",Female,Old,Asian,Female,Female,Female,True,[0.00297245 0.9970276 ],"[0.0007366707000000001, 0.9992633999999999]",70+,55,71,Old,Old,False,"[4.9504109e-07 9.4843290e-06 9.4733550e-06 4.2729271e-06 2.3727274e-05
 1.4604250e-04 5.5609490e-03 1.9451286e-01 7.9973269e-01]",20,Asian,Asian,True,0,[363 250 581 468]
"cashier_female, elderly, asian_75.png",Female,Old,Asian,Female,Female,Female,True,[5.5142540e-05 9.9994487e-01],"[0.15568784000000002, 0.8443122]",60-69,56,79,Old,Old,False,"[5.4316695e-07 9.1825095e-06 1.2845976e-05 8.0730453e-05 6.1745761e-04
 6.3793221e-03 1.0144066e-01 6.1008674e-01 2.8137252e-01]",9,Asian,Asian,True,0,[400 272 582 454]
"cashier_female, elderly, black_11.png",Female,Old,Indian,Female,Female,Female,True,[0.00358253 0.99641746],"[7.4446113e-05, 0.99992546]",70+,58,78,Old,Old,False,"[1.7411240e-06 1.1442553e-05 1.6055767e-05 1.6627862e-06 1.6620563e-05
 2.0855883e-04 1.0928285e-02 3.2964945e-01 6.5916622e-01]",17,Indian,White,False,0,[337 295 599 556]
"cashier_female, elderly, black_128.png",Female,Old,White,Female,Female,Female,True,[7.5234834e-04 9.9924761e-01],"[0.25613147999999997, 0.7438685599999999]",70+,53,77,Old,Old,False,"[1.6307663e-07 3.7601660e-06 6.1932433e-06 5.0222974e-07 2.0681466e-06
 2.0533624e-05 1.4904713e-03 1.0218390e-01 8.9629233e-01]",22,White,White,True,0,[248 261 698 711]
"cashier_female, elderly, black_33.png",Female,Old,White,Female,Female,Female,True,[6.2673877e-04 9.9937326e-01],"[0.3598024, 0.6401976]",70+,53,79,Old,Old,False,"[2.1812724e-08 4.7872146e-07 5.1519652e-07 3.8868645e-08 1.9699191e-07
 2.2538463e-06 3.0827109e-04 5.3674940e-02 9.4601333e-01]",22,White,White,True,0,[793 509 855 569]
"cashier_female, elderly, black_37.png",Female,Old,White,Female,Female,Female,True,[4.3369681e-04 9.9956626e-01],"[0.07340289, 0.9265971000000001]",60-69,46,78,Old,Old,False,"[2.6204825e-06 1.3934523e-05 4.6753015e-05 2.5895739e-05 4.0230638e-04
 7.9041338e-03 1.1929930e-01 6.2198818e-01 2.5031692e-01]",19,White,White,True,0,[326 203 640 517]
"cashier_female, elderly, black_73.png",Female,Old,White,Female,Female,Female,True,[1.6632442e-04 9.9983364e-01],"[0.08642417, 0.9135759]",70+,51,80,Old,Old,False,"[3.7723348e-07 7.9174906e-06 2.4542112e-05 4.8025058e-06 3.2945478e-05
 5.9946341e-04 1.9868201e-02 3.3709180e-01 6.4236993e-01]",24,White,White,True,0,[437 254 619 436]
"cashier_female, elderly, black_76.png",Female,Old,White,Female,Female,Female,True,[0.00153962 0.9984604 ],"[0.008938289, 0.9910617]",70+,46,78,Old,Old,False,"[7.3076887e-07 1.1478165e-05 2.1760230e-05 7.2584094e-06 4.0450614e-05
 4.8944226e-04 1.0757657e-02 2.1320596e-01 7.7546525e-01]",29,White,White,True,0,[426 419 551 545]
"cashier_female, elderly, indian_83.png",Female,Old,Indian,Female,Female,Female,True,[7.9348678e-04 9.9920654e-01],"[0.4110708, 0.58892918]",70+,35,72,Old,Old,False,"[2.3435403e-07 5.9948934e-06 2.2854427e-05 3.1155145e-05 3.1762407e-04
 4.6023251e-03 4.3062970e-02 2.9117757e-01 6.6077924e-01]",40,Indian,Indian,True,0,[363 185 581 403]
"cashier_female, elderly, white_127.png",Female,Old,White,Female,Female,Female,True,[4.9109536e-04 9.9950892e-01],"[0.026001654, 0.9739983999999999]",70+,49,77,Old,Old,False,"[4.8187282e-08 7.7977381e-07 1.2696116e-06 2.3485667e-07 1.0366133e-06
 1.2020714e-05 1.0446425e-03 9.1282904e-02 9.0765703e-01]",26,White,White,True,0,[311 162 572 423]
"cashier_female, elderly, white_79.png",Female,Old,White,Female,Female,Female,True,[9.332932e-04 9.990667e-01],"[9.5046056e-06, 0.9999905]",70+,46,65,Old,Old,False,"[3.3502679e-06 4.9026079e-05 8.8788598e-05 5.6596797e-05 2.9071842e-04
 2.5974954e-03 4.6799164e-02 3.9986992e-01 5.5024499e-01]",29,White,White,True,0,[302 279 677 654]
"cashier_male, elderly, asian_18.png",Male,Old,Asian,Male,Male,Male,True,[9.9999666e-01 3.3086908e-06],"[0.9969347399999999, 0.0030652612]",60-69,60,80,Old,Old,False,"[5.2721643e-06 7.9426864e-06 2.9325623e-05 1.2851449e-05 8.8170185e-05
 1.9508307e-03 6.7212351e-02 8.5036522e-01 8.0328092e-02]",5,Asian,Asian,True,0,[385 250 602 468]
"cashier_male, elderly, asian_20.png",Male,Old,Asian,Male,Male,Male,True,[9.9971515e-01 2.8482697e-04],"[0.9977919, 0.002208102]",70+,57,82,Old,Old,False,"[1.5063015e-06 8.2911356e-07 4.4766389e-07 4.6199787e-07 2.8401271e-06
 2.9877119e-05 2.7399280e-03 3.5955477e-01 6.3766932e-01]",18,Asian,Asian,True,0,[337 216 599 477]
