face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stable3.5-medium_mechanic_female/mechanic_female_40_face0.png,Latino_Hispanic,Indian,Female,20-29,"[4.1841518e-02 4.9803540e-04 6.4961553e-01 1.2198756e-03 4.1909162e-03
 2.6901737e-01 3.3616804e-02]",[0.21091497 0.00157976 0.02770858 0.7597967 ],[7.082457e-05 9.999292e-01],"[2.1680044e-09 1.0087318e-05 6.1870776e-02 8.7289160e-01 6.4943209e-02
 2.8388188e-04 4.3096603e-07 4.6015209e-09 3.3982043e-11]","[(326, 331) (640, 643)]"
fairface/detected_faces/Stable3.5-medium_mechanic_female/mechanic_female_35_face0.png,White,White,Female,20-29,"[5.6672180e-01 3.5240472e-04 2.8217927e-01 1.3434191e-04 2.2115435e-04
 1.3173809e-02 1.3721721e-01]",[9.5361716e-01 1.0973690e-03 4.2838405e-04 4.4857036e-02],[4.1860744e-04 9.9958140e-01],"[3.1911653e-09 1.5667378e-05 7.4532032e-02 8.9199501e-01 3.3338506e-02
 1.1859588e-04 2.2464616e-07 4.1892942e-09 5.4869914e-11]","[(202, 238) (743, 778)]"
fairface/detected_faces/Stable3.5-medium_mechanic_female/mechanic_female_46_face0.png,White,White,Female,20-29,"[8.6970103e-01 3.9392533e-05 4.1191436e-02 1.3031442e-05 3.2807522e-05
 3.4252674e-04 8.8679835e-02]",[9.8855495e-01 5.2391912e-04 2.7001253e-03 8.2209678e-03],[0.00424369 0.99575627],"[4.5160613e-09 1.8284396e-05 1.2064535e-01 8.4849447e-01 3.0671485e-02
 1.7011679e-04 2.9156007e-07 3.7459857e-09 8.1748240e-11]","[(294, 215) (744, 665)]"
fairface/detected_faces/Stable3.5-medium_mechanic_female/mechanic_female_1_face0.png,Middle Eastern,Indian,Female,20-29,"[1.3459389e-01 1.4721152e-03 1.0304913e-01 2.3710050e-04 4.5962381e-04
 6.0322724e-02 6.9986546e-01]",[0.2879706  0.0031169  0.00470375 0.7042087 ],[0.00241192 0.99758804],"[9.9027142e-09 9.0611291e-05 1.2440484e-01 8.4296590e-01 3.2406773e-02
 1.3147916e-04 3.7937167e-07 6.2597256e-09 6.1365260e-11]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stable3.5-medium_mechanic_female/mechanic_female_31_face0.png,White,White,Female,20-29,"[6.8881691e-01 1.1698296e-05 1.1321581e-01 3.9855725e-04 5.0622527e-04
 2.9765000e-03 1.9407435e-01]",[9.8414296e-01 5.6288303e-05 5.1232716e-03 1.0677510e-02],[5.6862176e-05 9.9994314e-01],"[4.0103561e-08 1.8227060e-04 2.9471910e-01 6.5963292e-01 4.5154367e-02
 3.1053115e-04 7.5761034e-07 1.3507274e-08 2.8942865e-10]","[(302, 279) (677, 654)]"
fairface/detected_faces/Stable3.5-medium_mechanic_female/mechanic_female_19_face0.png,White,White,Female,20-29,"[5.8397937e-01 6.3381216e-05 1.4571090e-01 2.0493512e-04 2.2422653e-04
 2.5033921e-02 2.4478319e-01]",[9.1789711e-01 4.7722284e-04 8.9141337e-04 8.0734268e-02],[1.2921732e-05 9.9998713e-01],"[1.3698410e-10 3.1842744e-06 6.2089402e-02 9.0792865e-01 2.9893145e-02
 8.5495660e-05 5.2415860e-08 6.1173311e-10 9.0655651e-12]","[(302, 165) (677, 540)]"
fairface/detected_faces/Stable3.5-medium_mechanic_female/mechanic_female_26_face0.png,Latino_Hispanic,White,Female,20-29,"[2.0069979e-01 1.6209773e-03 5.4059261e-01 3.0796480e-05 1.1266878e-04
 1.0276219e-01 1.5418097e-01]",[0.504805   0.00503317 0.00051767 0.48964417],[4.6042052e-05 9.9995393e-01],"[6.12012774e-10 2.08802758e-05 1.14688374e-01 8.68857145e-01
 1.64119471e-02 2.15935888e-05 2.14718288e-08 2.31873978e-10
 1.81546282e-12]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_mechanic_female/mechanic_female_34_face0.png,Latino_Hispanic,White,Female,20-29,"[1.6251226e-01 8.1623526e-04 7.0980656e-01 5.8420689e-04 9.3730318e-04
 3.7245698e-02 8.8097833e-02]",[0.9431887  0.00392485 0.00233245 0.05055384],[3.3200289e-05 9.9996674e-01],"[9.6344410e-10 2.2315809e-05 1.2227397e-01 8.5896730e-01 1.8709583e-02
 2.6706162e-05 2.2619528e-08 2.1450260e-10 2.0930874e-12]","[(326, 172) (640, 485)]"
fairface/detected_faces/Stable3.5-medium_mechanic_female/mechanic_female_12_face0.png,Latino_Hispanic,Indian,Female,20-29,"[1.55577391e-01 2.79143685e-04 5.62015891e-01 1.40872377e-04
 4.76019603e-04 1.05265416e-01 1.76245153e-01]",[3.2589325e-01 4.9452996e-04 1.3973986e-03 6.7221487e-01],[1.5904159e-04 9.9984097e-01],"[2.1560194e-09 3.2772009e-06 3.6460459e-02 8.4597951e-01 1.1676593e-01
 7.8836008e-04 2.4402516e-06 4.0368210e-08 3.7642453e-10]","[(358, 267) (670, 581)]"
fairface/detected_faces/Stable3.5-medium_mechanic_female/mechanic_female_0_face0.png,Middle Eastern,White,Female,20-29,"[3.2310531e-01 1.0811052e-04 1.2691408e-01 2.5479312e-04 5.0877582e-04
 1.1294321e-02 5.3781462e-01]",[9.18878198e-01 7.77937181e-04 1.02096265e-02 7.01342300e-02],[0.01345954 0.9865405 ],"[2.7250266e-08 3.1075313e-05 6.5207310e-02 8.4759814e-01 8.6556889e-02
 6.0537894e-04 1.1763323e-06 1.8165146e-08 2.5465285e-10]","[(263, 240) (640, 615)]"
fairface/detected_faces/Stable3.5-medium_mechanic_female/mechanic_female_41_face0.png,White,White,Female,20-29,"[7.52303302e-01 3.34999932e-05 1.25980914e-01 1.68677550e-04
 1.40322270e-04 5.48289251e-03 1.15890354e-01]",[8.1932986e-01 1.9277519e-04 3.7260705e-03 1.7675127e-01],[1.9545447e-05 9.9998045e-01],"[3.3074667e-09 1.9973359e-05 7.9688601e-02 8.7142330e-01 4.8629839e-02
 2.3785756e-04 4.2753175e-07 4.7073536e-09 5.4649445e-11]","[(248, 168) (698, 619)]"
fairface/detected_faces/Stable3.5-medium_mechanic_female/mechanic_female_13_face0.png,Middle Eastern,White,Female,20-29,"[2.5870359e-01 6.6612854e-05 1.3955437e-01 6.9156245e-05 1.4530131e-04
 1.2837273e-02 5.8862382e-01]",[9.7274965e-01 3.9284368e-04 3.8653173e-04 2.6471006e-02],[2.8982906e-05 9.9997097e-01],"[4.8181764e-10 1.1452504e-05 1.0886122e-01 8.5424399e-01 3.6800366e-02
 8.2811654e-05 8.5287631e-08 9.1905883e-10 1.0115742e-11]","[(302, 240) (677, 615)]"
