face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_judge_young/judge_young_prompt_1_27_face0.png,White,White,Male,30-39,"[6.5417564e-01 8.6899272e-05 2.6034018e-01 4.0475623e-04 4.3597826e-04
 7.4411025e-03 7.7115491e-02]",[9.6766120e-01 5.6634541e-04 4.3799652e-04 3.1334467e-02],[9.9999875e-01 1.2462898e-06],"[8.8780307e-06 5.2360028e-05 1.4438984e-03 2.4491081e-02 5.2813607e-01
 4.2239246e-01 2.3365606e-02 1.0908418e-04 5.5577004e-07]","[(326, 235) (640, 549)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_judge_young/judge_young_prompt_0_21_face0.png,White,White,Male,50-59,"[8.6780894e-01 2.3139638e-04 8.8904597e-02 6.1157603e-05 1.1599090e-04
 1.5792111e-02 2.7085891e-02]",[8.91198158e-01 1.16309349e-03 1.99165384e-04 1.07439585e-01],[9.999445e-01 5.547260e-05],"[1.8536822e-06 2.6829077e-06 7.3063733e-05 2.1152648e-04 1.0047181e-02
 2.5109875e-01 7.2057223e-01 1.7896684e-02 9.6062082e-05]","[(248, 124) (698, 574)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_judge_young/judge_young_prompt_1_15_face0.png,White,White,Male,40-49,"[8.5973603e-01 3.6465910e-03 1.0012125e-01 4.6352005e-05 1.0326821e-04
 5.0029890e-03 3.1343531e-02]",[9.7489601e-01 1.1561033e-03 7.9231098e-04 2.3155533e-02],[9.9980432e-01 1.9567454e-04],"[5.3585613e-06 1.2779932e-05 7.4864348e-04 2.2343025e-02 2.4776129e-01
 5.4624462e-01 1.7710300e-01 5.6770225e-03 1.0423309e-04]","[(248, 215) (698, 665)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_judge_young/judge_young_prompt_1_39_face0.png,White,White,Male,30-39,"[6.9864017e-01 1.6965662e-04 1.3044837e-01 3.6627178e-05 5.4676806e-05
 7.8020873e-03 1.6284855e-01]",[8.5776371e-01 8.7506411e-04 3.9703326e-04 1.4096418e-01],[9.9962574e-01 3.7424132e-04],"[1.5585798e-06 1.4554464e-05 1.9050677e-03 1.1111818e-01 6.2523872e-01
 2.5552624e-01 6.1628604e-03 3.2425578e-05 3.3991336e-07]","[(311, 321) (572, 582)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_judge_young/judge_young_prompt_1_41_face0.png,Middle Eastern,White,Male,20-29,"[3.5114333e-01 1.5688629e-04 1.0535835e-01 1.7485200e-04 2.5538867e-04
 3.1086788e-02 5.1182437e-01]",[9.0765893e-01 5.2303832e-05 3.6926928e-04 9.1919445e-02],[9.993641e-01 6.358989e-04],"[1.3839725e-06 4.2702559e-05 9.0227155e-03 6.3827592e-01 3.3722997e-01
 1.5332321e-02 9.3667411e-05 1.3720177e-06 4.5247646e-08]","[(339, 240) (715, 615)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_judge_young/judge_young_prompt_1_6_face0.png,White,White,Male,20-29,"[9.7148675e-01 1.0225346e-05 1.0040359e-02 4.1446146e-05 2.9841809e-05
 2.9236713e-04 1.8099036e-02]",[9.9046230e-01 7.1450806e-05 3.4323642e-05 9.4319098e-03],[9.9999410e-01 5.9046333e-06],"[4.5586819e-07 3.3862023e-05 4.9815226e-02 7.3146093e-01 2.1016577e-01
 8.4239235e-03 9.8725504e-05 1.1132048e-06 2.0276225e-08]","[(390, 241) (651, 503)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_judge_young/judge_young_prompt_0_20_face0.png,White,White,Male,40-49,"[9.5493400e-01 8.6210268e-05 2.6473392e-02 9.8592695e-04 9.9458545e-04
 1.8351396e-03 1.4690770e-02]",[9.93661940e-01 1.21410456e-04 2.87167204e-04 5.92948636e-03],[9.9996424e-01 3.5722926e-05],"[3.9247199e-05 2.0231928e-04 9.9219354e-03 5.1822238e-02 3.1789029e-01
 5.3149426e-01 8.6562321e-02 2.0476766e-03 1.9704170e-05]","[(326, 203) (640, 517)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_judge_young/judge_young_prompt_1_31_face0.png,White,White,Male,30-39,"[5.22815764e-01 1.49561476e-03 3.38458180e-01 1.48461249e-05
 3.41828745e-05 1.45264976e-02 1.22654915e-01]",[8.4446114e-01 7.2015770e-04 9.7561169e-05 1.5472105e-01],[9.9993652e-01 6.3457286e-05],"[2.4033393e-06 2.6458580e-05 1.3900152e-02 2.5940102e-01 5.3655982e-01
 1.8386105e-01 6.1942679e-03 5.4208096e-05 5.1773912e-07]","[(363, 241) (624, 503)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_judge_young/judge_young_prompt_1_21_face0.png,White,White,Male,40-49,"[5.1919043e-01 5.9263391e-04 4.2962265e-01 2.6945415e-04 3.0684753e-04
 1.5504026e-02 3.4513976e-02]",[8.0292922e-01 5.5910675e-03 5.2262965e-04 1.9095702e-01],[9.9986231e-01 1.3771969e-04],"[6.6799980e-06 1.3320875e-05 4.9353164e-04 2.0372486e-03 6.6506460e-02
 4.8900327e-01 4.3439364e-01 7.5112851e-03 3.4541361e-05]","[(339, 165) (715, 540)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_judge_young/judge_young_prompt_1_13_face0.png,Middle Eastern,White,Male,40-49,"[1.9412522e-01 3.1187958e-03 1.8421911e-01 6.2667044e-05 2.2743510e-04
 2.2378858e-02 5.9586787e-01]",[9.8030519e-01 9.4993261e-04 3.1992106e-05 1.8712908e-02],[0.99890053 0.0010995 ],"[5.6680010e-06 2.8398512e-05 2.3799858e-03 3.3214826e-02 3.2570481e-01
 5.5489570e-01 8.2484163e-02 1.2751702e-03 1.1270978e-05]","[(302, 165) (677, 540)]"
