image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
judge_young_0.png,Male,Young,Asian,Male,Male,Male,True,[0.99895096 0.00104906],"[0.9281803, 0.07181965]",10-19,20,25,Young,Young,True,"[1.2599933e-05 5.1588647e-02 9.0230870e-01 4.5112379e-02 9.5043145e-04
 2.6931393e-05 2.4358022e-07 3.8215056e-08 1.1161160e-09]",5,Asian,Asian,True,0,[302 240 677 615]
judge_young_1.png,Male,Young,White,Male,Male,Male,True,[9.999755e-01 2.450580e-05],"[0.9975668, 0.0024332036000000003]",10-19,24,24,Young,Young,True,"[1.8473497e-06 7.6808736e-02 9.1723800e-01 5.8630337e-03 8.5251922e-05
 3.1719169e-06 1.5492381e-08 1.1472248e-09 4.3872812e-11]",9,White,White,True,0,[302 279 677 654]
judge_young_10.png,Male,Young,White,Male,Male,Male,True,[9.9999964e-01 3.1369916e-07],"[0.9809645, 0.019035512]",10-19,25,25,Young,Young,True,"[4.5964166e-09 2.3887212e-04 9.2804170e-01 7.1551248e-02 1.6737086e-04
 8.0416538e-07 8.1312901e-10 2.8654726e-11 2.6752298e-13]",10,White,White,True,0,[302 240 677 615]
judge_young_11.png,Male,Young,White,Male,Male,Male,True,[9.9950296e-01 4.9704697e-04],"[0.9956946600000001, 0.004305365]",10-19,21,23,Young,Young,True,"[2.8707982e-06 4.5521245e-03 8.6336219e-01 1.2918304e-01 2.8500315e-03
 4.9471641e-05 2.8149790e-07 2.4704049e-08 5.8313787e-10]",6,White,White,True,0,[263 316 640 692]
judge_young_12.png,Male,Young,White,Male,Male,Male,True,[9.9999535e-01 4.6366422e-06],"[0.9965566, 0.0034433523]",10-19,22,22,Young,Young,True,"[1.1401375e-07 5.4460652e-03 9.8919439e-01 5.3156018e-03 4.2927211e-05
 9.1399698e-07 2.3843059e-09 1.2447521e-10 1.7758348e-12]",7,White,White,True,0,[358 235 670 549]
judge_young_13.png,Male,Young,White,Male,Male,Male,True,[9.9994355e-01 5.6469744e-05],"[0.98652664, 0.013473308]",10-19,23,24,Young,Young,True,"[7.1881608e-08 8.9622714e-04 8.8709956e-01 1.1062221e-01 1.3645670e-03
 1.7298098e-05 7.9325048e-08 4.3907229e-09 9.5613260e-11]",8,White,White,True,0,[326 267 640 581]
judge_young_14.png,Male,Young,White,Male,Male,Male,True,[9.9999845e-01 1.5331582e-06],"[0.9995104, 0.0004896233]",10-19,21,25,Young,Young,True,"[1.7851876e-06 5.5643166e-03 9.6564019e-01 2.7404228e-02 1.3295190e-03
 5.9273487e-05 7.4946115e-07 2.3622695e-08 3.6653341e-10]",6,White,White,True,0,[358 235 670 549]
judge_young_16.png,Male,Young,White,Male,Male,Male,True,[9.9998581e-01 1.4232662e-05],"[0.9988263000000001, 0.0011736411]",10-19,22,26,Young,Young,True,"[8.2716633e-07 1.3935242e-03 6.1235785e-01 3.7686989e-01 9.2471559e-03
 1.3008926e-04 5.9307268e-07 2.2157526e-08 4.9397819e-10]",7,White,White,True,0,[248 261 698 711]
judge_young_18.png,Male,Young,White,Male,Male,Male,True,[9.9977016e-01 2.2979705e-04],"[0.9985522, 0.0014478037]",10-19,25,22,Young,Young,True,"[4.9279600e-07 9.8468643e-04 7.3539203e-01 2.5794667e-01 5.6106881e-03
 6.5169916e-05 2.5857750e-07 1.1524277e-08 3.1317449e-10]",10,White,White,True,0,[358 267 670 581]
judge_young_2.png,Male,Young,White,Male,Male,Male,True,[9.9999923e-01 8.1885463e-07],"[0.9953194999999999, 0.0046804366]",10-19,22,23,Young,Young,True,"[1.9104948e-06 3.1466190e-02 9.5884448e-01 9.5240977e-03 1.5962949e-04
 3.6582617e-06 1.6215711e-08 8.3948198e-10 1.2694937e-11]",7,White,White,True,0,[202 183 743 724]
