face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stable3.5-medium_police officer_middle aged/police officer_middle aged_34_face0.png,White,White,Male,40-49,"[7.4671227e-01 2.2548666e-04 3.9933935e-02 1.6938779e-04 3.5454420e-04
 3.1739348e-04 2.1228699e-01]",[0.98814255 0.00217529 0.00806692 0.00161513],[9.9999988e-01 1.2218628e-07],"[1.1276665e-05 2.5400846e-05 2.3215941e-04 8.7999022e-03 3.2300413e-01
 6.3484716e-01 3.2716673e-02 3.6135814e-04 1.8820313e-06]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_police officer_middle aged/police officer_middle aged_41_face0.png,Middle Eastern,White,Male,40-49,"[3.4754035e-01 1.6089707e-03 2.4597287e-01 3.2950277e-04 9.7028329e-04
 1.1306367e-02 3.9227161e-01]",[0.90019315 0.00426048 0.00262408 0.0929223 ],[9.9999994e-01 8.6769695e-08],"[2.7517428e-05 2.6044507e-05 1.7834872e-04 1.1340493e-03 8.6694375e-02
 6.2895489e-01 2.7621999e-01 6.7391265e-03 2.5659998e-05]","[(326, 267) (640, 581)]"
fairface/detected_faces/Stable3.5-medium_police officer_middle aged/police officer_middle aged_15_face0.png,White,White,Male,40-49,"[0.45397246 0.00132903 0.32420418 0.00406737 0.00375684 0.00271878
 0.20995127]",[0.98536325 0.00271744 0.01084443 0.00107494],[9.9999619e-01 3.8143387e-06],"[1.8397614e-04 8.2259452e-05 2.0406314e-04 4.4832751e-04 6.1969995e-02
 6.5736324e-01 2.7425358e-01 5.4755211e-03 1.9147585e-05]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stable3.5-medium_police officer_middle aged/police officer_middle aged_47_face0.png,White,White,Male,40-49,"[7.1560246e-01 3.7884776e-04 1.8954542e-01 1.2054788e-03 1.3275596e-03
 3.0242063e-03 8.8916041e-02]",[9.7095424e-01 8.3615148e-04 7.3068771e-03 2.0902652e-02],[9.9999976e-01 2.3687457e-07],"[4.0541203e-05 2.8691689e-05 5.4546044e-04 2.4408100e-03 1.1327816e-01
 6.7152548e-01 2.0784990e-01 4.2817038e-03 9.2573009e-06]","[(302, 279) (677, 654)]"
fairface/detected_faces/Stable3.5-medium_police officer_middle aged/police officer_middle aged_40_face0.png,White,White,Male,40-49,"[8.2779509e-01 6.7927589e-04 7.6499164e-02 6.1976921e-04 4.0077014e-04
 2.3212776e-04 9.3773790e-02]",[9.9775159e-01 9.3995378e-04 1.1898211e-03 1.1867612e-04],[9.9999964e-01 3.6417441e-07],"[4.8377089e-05 7.8435602e-05 4.4239187e-04 1.4682624e-02 4.7819543e-01
 4.8678023e-01 1.9540569e-02 2.3073412e-04 1.1417577e-06]","[(294, 172) (608, 485)]"
fairface/detected_faces/Stable3.5-medium_police officer_middle aged/police officer_middle aged_26_face0.png,White,White,Male,50-59,"[0.4739022  0.01754891 0.44783154 0.00354357 0.01113843 0.02488793
 0.02114741]",[0.5489349  0.33494648 0.04769859 0.06842   ],[9.9999970e-01 3.3871675e-07],"[9.5467585e-05 1.0294985e-04 6.0355832e-04 1.1870355e-03 3.8592480e-02
 4.6014437e-01 4.8211235e-01 1.7096398e-02 6.5385291e-05]","[(202, 183) (743, 724)]"
fairface/detected_faces/Stable3.5-medium_police officer_middle aged/police officer_middle aged_30_face0.png,White,White,Male,40-49,"[4.4389328e-01 2.4158265e-04 1.3799934e-01 2.0758282e-04 1.9425995e-04
 4.6711848e-03 4.1279274e-01]",[9.7651500e-01 1.4944887e-03 4.2003402e-04 2.1570453e-02],[9.9999809e-01 1.9226811e-06],"[2.5130683e-05 1.2785650e-05 1.1779486e-04 3.8157174e-04 4.2421620e-02
 5.7503277e-01 3.7329003e-01 8.6842831e-03 3.3977482e-05]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_police officer_middle aged/police officer_middle aged_38_face0.png,White,White,Male,40-49,"[7.7651536e-01 5.4789096e-04 1.8735717e-01 1.1686451e-03 1.2541406e-03
 1.1397025e-03 3.2017123e-02]",[9.8977751e-01 5.3949072e-04 8.7559205e-03 9.2708354e-04],[9.9999851e-01 1.4494235e-06],"[2.1483857e-04 2.0192390e-04 5.1028607e-04 7.9433009e-04 7.2897486e-02
 6.2428576e-01 2.9358557e-01 7.4897162e-03 2.0022513e-05]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stable3.5-medium_police officer_middle aged/police officer_middle aged_36_face0.png,White,White,Male,40-49,"[0.570499   0.00234703 0.32768145 0.0062731  0.00507384 0.00409856
 0.08402702]",[0.98317873 0.00731951 0.00654076 0.00296101],[9.9999976e-01 2.1690116e-07],"[2.0063373e-05 8.7658127e-06 5.7535119e-05 7.1759516e-04 7.0251592e-02
 6.8551803e-01 2.3555791e-01 7.8488989e-03 1.9584817e-05]","[(339, 240) (715, 615)]"
fairface/detected_faces/Stable3.5-medium_police officer_middle aged/police officer_middle aged_17_face0.png,Latino_Hispanic,White,Male,40-49,"[0.34549722 0.0039146  0.6159151  0.00147996 0.00134547 0.00122345
 0.03062413]",[0.96284163 0.00633912 0.02874136 0.00207784],[9.9999994e-01 9.8910945e-08],"[1.0780661e-04 3.3895235e-04 1.3419949e-03 5.1692310e-03 2.1684448e-01
 6.5894419e-01 1.1535515e-01 1.8941668e-03 4.0904742e-06]","[(302, 240) (677, 615)]"
