image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
"judge_female, elderly, white_0.png",Female,Old,White,Female,Female,Female,True,[0.00239111 0.99760896],"[0.00013974558, 0.9998603]",70+,47,81.0,Old,Old,False,"[5.7182298e-08 9.8227974e-07 1.0325873e-06 8.5683595e-08 2.5153136e-07
 3.8889239e-06 5.3869811e-04 4.5362044e-02 9.5409298e-01]",28,White,White,True,0,[358 203 670 517]
"judge_female, elderly, white_107.png",Female,Old,White,Female,Female,Female,True,[2.241604e-04 9.997759e-01],"[1.100537e-05, 0.999989]",60-69,56,76.0,Old,Old,False,"[1.23727727e-06 1.20001805e-05 1.96720994e-05 4.66574102e-06
 1.01188896e-04 2.18132790e-03 5.18180430e-02 4.93696421e-01
 4.52165514e-01]",9,White,White,True,0,[339 240 715 615]
"judge_female, elderly, white_118.png",Female,Old,White,Female,Female,Female,True,[0.00344678 0.9965532 ],"[4.1491818e-06, 0.9999958]",70+,52,77.0,Old,Old,False,"[2.7969190e-07 3.0395861e-06 5.2907103e-06 8.6933545e-07 6.5342178e-06
 1.2927473e-04 5.9899529e-03 1.5041356e-01 8.4345120e-01]",23,White,White,True,0,[363 321 624 582]
"judge_female, elderly, white_28.png",Female,Old,White,Female,Female,Female,True,[2.6856404e-04 9.9973148e-01],"[0.0011897932, 0.9988102000000001]",60-69,48,72.0,Old,Old,False,"[1.13391457e-06 5.32452668e-06 1.26177665e-05 3.94341168e-06
 7.53274799e-05 2.08400143e-03 1.09405637e-01 7.24149585e-01
 1.64262369e-01]",17,White,White,True,0,[248 215 698 665]
"judge_female, elderly, white_41.png",Female,Old,White,Female,Female,Female,True,[0.00565872 0.99434125],"[0.0021095954, 0.9978904]",70+,47,78.0,Old,Old,False,"[1.4591488e-06 2.2469008e-05 1.9201050e-05 1.4375649e-06 8.5618294e-06
 1.5362358e-04 8.1278244e-03 1.9708857e-01 7.9457688e-01]",28,White,White,True,0,[407 250 624 468]
"judge_female, elderly, white_5.png",Female,Old,White,Female,Female,Female,True,[0.00172384 0.9982762 ],"[0.0035085909999999997, 0.9964914]",70+,53,79.0,Old,Old,False,"[9.0086854e-07 1.1740721e-05 1.9119552e-05 1.7998333e-06 9.4919897e-06
 1.9464016e-04 1.4247918e-02 2.3598124e-01 7.4953324e-01]",22,White,White,True,0,[385 339 602 556]
"judge_female, elderly, white_65.png",Female,Old,White,Female,Female,Female,True,[0.00184057 0.99815947],"[0.0007331309, 0.9992669]",70+,54,78.0,Old,Old,False,"[2.4402129e-06 4.1162326e-05 3.5172921e-05 5.0218086e-06 2.7092126e-05
 3.9035644e-04 1.9019753e-02 2.8905630e-01 6.9142270e-01]",21,White,White,True,0,[294 203 608 517]
"judge_female, elderly, white_68.png",Female,Old,White,Female,Female,Female,True,[7.0158782e-04 9.9929845e-01],"[7.0264526e-05, 0.9999298]",70+,45,75.0,Old,Old,False,"[1.7444560e-07 2.4697176e-06 3.2469429e-06 2.9332512e-07 2.8258032e-06
 3.7221351e-05 4.2281365e-03 2.1010607e-01 7.8561956e-01]",30,White,White,True,0,[524 276 629 381]
"judge_female, middle aged, white_10.png",Female,Middle,White,Female,Female,Female,True,[8.6283064e-05 9.9991369e-01],"[2.1314826e-05, 0.9999786]",40-49,34,51.0,Middle,Middle,True,"[3.9554288e-06 2.2987554e-04 6.6211610e-03 6.5798916e-02 2.5494966e-01
 4.2747855e-01 2.3401113e-01 1.0612673e-02 2.9402386e-04]",11,White,White,True,0,[363 189 624 450]
"judge_female, middle aged, white_103.png",Female,Middle,White,Female,Female,Female,True,[3.4044345e-04 9.9965954e-01],"[4.9256836000000004e-05, 0.9999508]",40-49,33,49.0,Middle,Middle,True,"[1.4119856e-06 3.6941656e-05 2.8477248e-03 8.4844925e-02 3.2877779e-01
 4.3152913e-01 1.4474185e-01 7.0766173e-03 1.4366744e-04]",12,White,White,True,0,[358 235 670 549]
"judge_female, middle aged, white_144.png",Female,Middle,White,Female,Female,Female,True,[0.00142262 0.9985774 ],"[4.388602e-06, 0.9999956]",30-39,27,42.0,Middle,Middle,False,"[1.4277365e-05 1.2050578e-03 3.7086338e-02 1.4589140e-01 3.9172107e-01
 2.6816183e-01 1.4317855e-01 1.2092814e-02 6.4869679e-04]",8,White,White,True,0,[326 299 640 611]
"judge_female, middle aged, white_146.png",Female,Middle,White,Female,Female,Female,True,[0.00399607 0.996004  ],"[4.9718627e-06, 0.999995]",40-49,32,52.0,Middle,Middle,True,"[1.8784417e-06 3.2732471e-05 1.2465239e-03 1.6961334e-02 1.8754131e-01
 5.2890879e-01 2.5406840e-01 1.1056776e-02 1.8228366e-04]",13,White,White,True,0,[202 238 743 778]
"judge_female, middle aged, white_63.png",Female,Middle,White,Female,Female,Female,True,[3.988633e-05 9.999601e-01],"[3.4225370000000002e-06, 0.9999966]",40-49,39,35.0,Middle,Middle,True,"[1.7902299e-06 1.7063345e-05 2.8057385e-04 5.4910961e-03 1.1576249e-01
 4.8991659e-01 3.5512140e-01 3.2836523e-02 5.7246786e-04]",6,White,White,True,0,[248 215 698 665]
"judge_female, middle aged, white_75.png",Female,Middle,White,Female,Female,Female,True,[6.4521686e-05 9.9993551e-01],"[0.0004691786, 0.9995308]",50-59,37,39.0,Middle,Middle,True,"[6.5498250e-07 3.8265671e-06 1.2382952e-04 3.1599957e-03 6.1073422e-02
 3.5821244e-01 5.2178103e-01 5.4591708e-02 1.0531401e-03]",18,White,White,True,0,[248 215 698 665]
"judge_female, young, white_125.png",Female,Young,White,Female,Female,Female,True,[5.984668e-06 9.999940e-01],"[1.0265706999999999e-06, 0.9999988999999999]",20-29,29,27.0,Young,Young,True,"[4.1533429e-10 8.5709007e-06 1.3053039e-01 8.5009348e-01 1.9323841e-02
 4.3708122e-05 2.0863816e-08 1.3424330e-10 3.3064231e-12]",4,White,White,True,0,[358 235 670 549]
"judge_female, young, white_131.png",Female,Young,White,Female,Female,Female,True,[5.150776e-04 9.994849e-01],"[0.00040604264, 0.9995939]",20-29,26,25.0,Young,Young,True,"[2.0740588e-08 6.1520346e-05 1.4831315e-01 7.7945042e-01 7.1409382e-02
 7.6230889e-04 3.2523340e-06 5.0431964e-08 7.6950329e-10]",1,White,White,True,0,[294 261 744 711]
"judge_female, young, white_139.png",Female,Young,White,Female,Female,Female,True,[1.035267e-05 9.999896e-01],"[1.3544463999999999e-06, 0.9999987]",20-29,30,28.0,Young,Young,False,"[9.9929442e-09 1.7414430e-05 2.8165478e-02 8.4307808e-01 1.2698711e-01
 1.7490863e-03 2.7971155e-06 2.2683452e-08 3.4699640e-10]",5,White,White,True,0,[202 261 654 711]
"judge_female, young, white_148.png",Female,Young,White,Female,Female,,True,[5.301382e-06 9.999947e-01],"[1.4213766e-05, 0.9999858]",20-29,31,,Young,,False,"[1.5410264e-07 5.7569460e-04 2.4867079e-01 7.0601404e-01 4.3951821e-02
 7.8497443e-04 2.5293916e-06 5.8127259e-08 3.6586965e-09]",6,White,White,True,0,[339 240 715 615]
"judge_female, young, white_149.png",Female,Young,White,Female,Female,Female,True,[5.1641523e-06 9.9999481e-01],"[0.00024444992, 0.99975555]",20-29,31,25.0,Young,Young,False,"[2.9961482e-09 3.7420876e-05 1.0348041e-01 8.4154582e-01 5.4619063e-02
 3.1670983e-04 5.5333442e-07 5.2360698e-09 1.4906790e-10]",6,White,White,True,0,[390 268 651 529]
"judge_female, young, white_26.png",Female,Young,White,Female,Female,Female,True,[9.6774681e-07 9.9999905e-01],"[1.0623796e-10, 1.0]",20-29,30,26.0,Young,Young,False,"[1.1581137e-09 3.2406930e-05 1.2671545e-01 8.4720778e-01 2.5950965e-02
 9.3307703e-05 7.7188439e-08 5.1634258e-10 1.8946251e-11]",5,White,White,True,0,[263 202 640 578]
"judge_female, young, white_79.png",Female,Young,White,Female,Female,Female,True,[1.9222292e-05 9.9998075e-01],"[0.00037767034, 0.9996223399999999]",20-29,27,30.0,Young,Middle,True,"[9.5175473e-08 2.5474429e-04 9.3727730e-02 8.4346789e-01 6.2055979e-02
 4.9059076e-04 2.9691073e-06 4.6574808e-08 1.1585897e-09]",2,White,White,True,0,[358 235 670 549]
"judge_male, elderly, white_112.png",Male,Old,White,Male,Male,,True,[9.9976528e-01 2.3474068e-04],"[0.9999353000000001, 6.478437000000001e-05]",60-69,51,,Old,,False,"[7.7763827e-05 7.6420416e-05 3.0665676e-04 2.6902426e-05 2.3718239e-04
 3.9661480e-03 1.4666730e-01 7.3775214e-01 1.1088950e-01]",14,White,White,True,0,[202 183 743 724]
"judge_male, elderly, white_13.png",Male,Old,White,Male,Male,Male,True,[0.9981328  0.00186714],"[0.9999336, 6.642469699999999e-05]",60-69,53,84.0,Old,Old,False,"[8.7131648e-06 8.0898344e-06 5.4940330e-05 2.7482482e-05 1.4481152e-04
 2.0089096e-03 9.1700800e-02 5.7428807e-01 3.3175820e-01]",12,White,White,True,0,[302 354 677 730]
"judge_male, elderly, white_142.png",Male,Old,White,Male,Male,Male,True,[9.999479e-01 5.206484e-05],"[0.9975912499999999, 0.0024088167]",60-69,54,79.0,Old,Old,False,"[3.6037854e-06 6.2230725e-07 9.3292638e-06 3.6117868e-05 6.5633016e-05
 6.0294417e-04 5.7308402e-02 7.7319139e-01 1.6878195e-01]",11,White,White,True,0,[302 240 677 615]
"judge_male, elderly, white_16.png",Male,Old,White,Male,Male,Male,True,[9.999191e-01 8.086065e-05],"[0.9999021, 9.782775000000001e-05]",60-69,53,78.0,Old,Old,False,"[1.1326117e-04 1.0886814e-04 2.5508666e-04 9.7789067e-05 2.9395946e-04
 2.6373134e-03 5.9925616e-02 6.7841965e-01 2.5814849e-01]",12,White,White,True,0,[326 140 640 454]
"judge_male, elderly, white_52.png",Male,Old,White,Male,Male,,True,[0.98966545 0.01033458],"[0.99977844, 0.00022161895]",70+,56,,Old,,False,"[3.5384819e-06 1.0765430e-05 2.9961369e-05 3.0067640e-06 9.3599674e-06
 7.3995849e-05 5.0161085e-03 2.6028949e-01 7.3456377e-01]",19,White,White,True,0,[296 207 514 424]
"judge_male, middle aged, white_120.png",Male,Middle,White,Male,Male,Male,True,[9.9968749e-01 3.1256457e-04],"[0.99912254, 0.0008774675]",50-59,48,60.0,Middle,Middle,True,"[1.2670955e-05 1.7247959e-05 3.7394557e-04 7.3888781e-04 1.9147998e-02
 2.9291090e-01 6.3547981e-01 5.0926019e-02 3.9249135e-04]",7,White,White,True,0,[363 295 624 556]
"judge_male, middle aged, white_128.png",Male,Middle,White,Male,Male,Male,True,[9.999918e-01 8.254393e-06],"[0.9999049999999999, 9.498198500000001e-05]",40-49,46,59.0,Middle,Middle,True,"[8.3306448e-05 8.6456261e-05 7.9197029e-04 1.5839784e-03 6.4181603e-02
 5.2213311e-01 3.9191228e-01 1.9059623e-02 1.6766408e-04]",1,White,White,True,0,[302 240 677 615]
"judge_male, middle aged, white_136.png",Male,Middle,White,Male,Male,Male,True,[9.9999863e-01 1.3920459e-06],"[0.9998058000000001, 0.0001940956]",40-49,42,53.0,Middle,Middle,True,"[1.2771305e-05 1.9346699e-05 1.8884381e-04 4.6234889e-04 2.9606424e-02
 5.0619662e-01 4.5520824e-01 8.2659731e-03 3.9481001e-05]",3,White,White,True,0,[377 202 753 578]
"judge_male, middle aged, white_83.png",Male,Middle,White,Male,Male,,True,[9.9999982e-01 1.5060685e-07],"[0.9999798599999999, 2.015776e-05]",50-59,51,,Middle,,True,"[9.2614562e-07 8.1032255e-07 2.2970940e-05 1.8403489e-05 5.1741221e-04
 3.4677375e-02 8.3760762e-01 1.2677670e-01 3.7774051e-04]",4,White,White,True,0,[ 34 437 215 619]
"judge_male, young, white_105.png",Male,Young,White,Male,Male,Male,True,[9.9999809e-01 1.8884463e-06],"[0.9991531, 0.0008468965]",20-29,23,28.0,Young,Young,True,"[3.3676670e-08 1.8911982e-05 1.0147984e-01 8.4377825e-01 5.3492270e-02
 1.2238204e-03 6.7664241e-06 8.8752358e-08 1.7267472e-09]",2,White,White,True,0,[407 162 624 380]
"judge_male, young, white_109.png",Male,Young,White,Male,Male,,True,[9.9999946e-01 5.3011922e-07],"[0.9999635000000001, 3.6513029999999996e-05]",20-29,25,,Young,,True,"[4.1328544e-08 3.0691529e-06 8.3113201e-03 5.8560514e-01 3.9468268e-01
 1.1335431e-02 6.1781648e-05 5.5961829e-07 7.3974022e-09]",0,White,White,True,0,[ 47 810 198 961]
"judge_male, young, white_69.png",Male,Young,White,Male,Male,Male,True,[9.999960e-01 4.005562e-06],"[0.999175, 0.0008249800999999999]",20-29,29,48.0,Young,Middle,True,"[2.3620555e-07 3.7848291e-05 1.8989427e-02 8.0078483e-01 1.7781907e-01
 2.3616322e-03 6.8626650e-06 7.0878968e-08 1.3521342e-09]",4,White,White,True,0,[326 267 640 581]
"judge_male, young, white_84.png",Male,Young,White,Male,Male,Male,True,[9.999904e-01 9.579722e-06],"[0.99951675, 0.0004833344]",20-29,28,42.0,Young,Middle,True,"[2.51788009e-07 1.18807584e-04 7.81224295e-02 8.09704185e-01
 1.10267341e-01 1.77948864e-03 7.44416411e-06 5.78876111e-08
 1.41342682e-09]",3,White,White,True,0,[536 229 687 380]
"judge_male, young, white_91.png",Male,Young,White,Male,Male,Male,True,[9.999224e-01 7.758703e-05],"[0.9993132, 0.0006867756]",20-29,25,28.0,Young,Young,True,"[1.1265285e-07 9.4771509e-05 1.0747597e-01 8.4407628e-01 4.7924191e-02
 4.2752174e-04 1.1882449e-06 1.3548717e-08 3.6130182e-10]",0,White,White,True,0,[339 279 715 654]
"judge_male, young, white_93.png",Male,Young,White,Male,Male,Male,True,[9.9999952e-01 4.4727005e-07],"[0.9991394, 0.00086055376]",20-29,27,36.0,Young,Middle,True,"[3.1131465e-06 4.6014076e-04 8.5817531e-02 6.6073525e-01 2.3912656e-01
 1.3738968e-02 1.1720803e-04 1.2278464e-06 1.7264391e-08]",2,White,White,True,0,[ 52 181 234 362]
