image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
CEO_indian_0.png,Male,Middle,Indian,Male,Male,Male,True,[9.9999756e-01 2.4221483e-06],"[0.9998533000000001, 0.00014675419]",40-49,35,52.0,Middle,Middle,True,"[1.79818962e-05 1.06280444e-04 2.71199597e-03 4.84415190e-03
 1.02278814e-01 5.76508522e-01 3.07678908e-01 5.82019426e-03
 3.31347146e-05]",10,Indian,Indian,True,0,[363 133 436 206]
CEO_indian_1.png,Male,Middle,Indian,Male,Male,Male,True,[9.9975705e-01 2.4297998e-04],"[0.9998669, 0.00013318662999999998]",40-49,34,42.0,Middle,Middle,True,"[4.8315401e-06 6.2522151e-05 3.5085334e-03 1.0500770e-02 1.7354609e-01
 6.1828870e-01 1.9070894e-01 3.3303930e-03 4.9173730e-05]",11,Indian,White,False,0,[149 416 199 467]
CEO_indian_10.png,Male,Middle,Indian,Male,Male,Male,True,[9.9998945e-01 1.0525180e-05],"[0.9999049999999999, 9.495219e-05]",30-39,32,36.0,Middle,Middle,True,"[9.4838315e-06 1.9348005e-04 8.2646394e-03 5.9948929e-02 4.5602253e-01
 4.4669059e-01 2.8634073e-02 2.3342756e-04 2.8268905e-06]",3,Indian,Indian,True,0,[ 968  277 1018  328]
CEO_indian_11.png,Male,Middle,Indian,Male,Male,Male,True,[9.9999958e-01 4.4274034e-07],"[0.9999911, 8.908996e-06]",40-49,34,50.0,Middle,Middle,True,"[5.1154489e-05 3.1374468e-04 5.6606685e-03 1.8550258e-02 2.2202463e-01
 5.4942656e-01 1.9744639e-01 6.4861230e-03 4.0511379e-05]",11,Indian,Indian,True,0,[180 528 230 579]
CEO_indian_12.png,Male,Middle,Indian,Male,Male,Male,True,[9.9999744e-01 2.5633872e-06],"[0.99906525, 0.0009347781500000001]",40-49,32,41.0,Middle,Middle,True,"[7.6955759e-05 8.2899921e-04 7.0581692e-03 1.0890885e-02 1.4670706e-01
 5.6378555e-01 2.6476958e-01 5.8314488e-03 5.1300001e-05]",13,Indian,Indian,True,0,[358 267 670 581]
CEO_indian_13.png,Male,Middle,Indian,Male,Male,Male,True,[9.9999928e-01 7.4532437e-07],"[0.9996785, 0.00032157328]",30-39,33,31.0,Middle,Middle,True,"[8.5691163e-06 6.9662368e-05 3.5774678e-03 7.2357923e-02 5.8681262e-01
 3.1438184e-01 2.2495136e-02 2.9418178e-04 2.6145422e-06]",2,Indian,Indian,True,0,[339 279 715 654]
CEO_indian_14.png,Male,Middle,Indian,Male,Male,Male,True,[9.9997801e-01 2.2068803e-05],"[0.99999535, 4.653637e-06]",40-49,33,39.0,Middle,Middle,True,"[6.12794702e-06 1.50473134e-05 2.29725192e-04 1.51823193e-03
 1.22173265e-01 7.20964134e-01 1.53879330e-01 1.20323175e-03
 1.09825824e-05]",12,Indian,Indian,True,0,[129 303 179 354]
CEO_indian_15.png,Male,Middle,Indian,Male,Male,Male,True,[9.999576e-01 4.239394e-05],"[0.9959192, 0.004080823]",40-49,43,36.0,Middle,Middle,True,"[4.3704342e-05 1.9898450e-04 2.3947046e-03 5.5739768e-03 1.0941219e-01
 5.8243859e-01 2.9365203e-01 6.2043127e-03 8.1564154e-05]",2,Indian,Indian,True,0,[186 833 258 906]
CEO_indian_17.png,Male,Middle,Indian,Male,Male,Male,True,[9.9999821e-01 1.7991074e-06],"[0.9999912999999999, 8.6583005e-06]",40-49,32,48.0,Middle,Middle,True,"[2.7318005e-04 1.5550145e-03 7.8938790e-03 5.0982572e-03 1.0243618e-01
 6.0392165e-01 2.7584511e-01 2.9638680e-03 1.2831403e-05]",13,Indian,Indian,True,0,[830 308 880 359]
CEO_indian_18.png,Male,Middle,Indian,Male,Male,Male,True,[9.999994e-01 6.223085e-07],"[0.9996114, 0.00038859177]",40-49,46,60.0,Middle,Middle,True,"[1.1217308e-05 1.6611858e-04 6.3816733e-03 1.9189840e-02 1.5328209e-01
 5.2670234e-01 2.8310427e-01 1.1032840e-02 1.2950992e-04]",1,Indian,Indian,True,0,[248 261 698 711]
CEO_indian_19.png,Male,Middle,Indian,Male,Male,Male,True,[9.9999881e-01 1.2145471e-06],"[0.9999326000000001, 6.735084e-05]",30-39,32,40.0,Middle,Middle,True,"[6.8918630e-06 1.5490167e-04 5.7551987e-03 4.6065766e-02 4.7120425e-01
 4.5573303e-01 2.0969117e-02 1.1018676e-04 6.8579232e-07]",3,Indian,Indian,True,0,[400 419 582 601]
CEO_indian_2.png,Male,Middle,Indian,Male,Male,Male,True,[9.999994e-01 5.854126e-07],"[0.9997081, 0.00029190894]",40-49,34,45.0,Middle,Middle,True,"[3.8341208e-05 5.0418230e-04 6.6109612e-03 3.5957266e-02 3.5511693e-01
 5.3356516e-01 6.7388244e-02 8.1303262e-04 5.7804541e-06]",11,Indian,Indian,True,0,[139 170 189 221]
