image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
chef_40 years old_0.png,Male,Middle,White,Male,Male,Male,True,[9.9999273e-01 7.2788835e-06],"[0.99952446, 0.0004755317]",50-59,50,51,Middle,Middle,True,"[1.5887870e-05 9.4704146e-06 7.9109726e-05 2.0598547e-04 2.3257261e-02
 4.7082472e-01 4.9505597e-01 1.0523491e-02 2.8016693e-05]",5,White,White,True,0,[390 189 651 450]
chef_40 years old_1.png,Male,Middle,White,Male,Male,Male,True,[9.9999636e-01 3.5991297e-06],"[0.99762276, 0.0023772676]",40-49,46,59,Middle,Middle,True,"[9.4750212e-06 1.6319274e-05 8.7809152e-05 5.8039016e-04 6.2196314e-02
 7.3935312e-01 1.9633016e-01 1.4222326e-03 4.1203525e-06]",1,White,White,True,0,[302 279 677 654]
chef_40 years old_10.png,Male,Middle,White,Male,Male,Male,True,[9.9999529e-01 4.6768605e-06],"[0.9997965999999999, 0.00020347975000000002]",40-49,38,49,Middle,Middle,True,"[1.6405949e-06 5.7856241e-06 1.9584091e-04 1.1129043e-02 3.7967423e-01
 5.8179504e-01 2.6990797e-02 2.0539154e-04 2.2610582e-06]",7,White,White,True,0,[202 183 743 724]
chef_40 years old_11.png,Male,Middle,White,Male,Male,Male,True,[9.9999684e-01 3.1283741e-06],"[0.9999773000000001, 2.2817485e-05]",30-39,36,43,Middle,Middle,True,"[1.1414255e-06 1.7798124e-06 1.5545734e-04 4.9661491e-02 6.8414122e-01
 2.6150796e-01 4.5012045e-03 2.9511311e-05 2.1400841e-07]",1,White,White,True,0,[202 128 743 669]
chef_40 years old_12.png,Male,Middle,White,Male,Male,Male,True,[9.9974668e-01 2.5332696e-04],"[0.9999712, 2.8680873e-05]",40-49,36,53,Middle,Middle,True,"[6.8331465e-05 5.5095392e-05 2.4144066e-04 1.1014137e-03 8.0148503e-02
 6.8943775e-01 2.2464818e-01 4.2417883e-03 5.7563622e-05]",9,White,White,True,0,[294 305 744 756]
chef_40 years old_13.png,Male,Middle,White,Male,Male,Male,True,[9.9999750e-01 2.4964502e-06],"[0.9999356, 6.4427345e-05]",40-49,42,59,Middle,Middle,True,"[7.9949623e-06 7.1160030e-06 6.7040761e-05 5.5120350e-04 7.1390957e-02
 7.3899531e-01 1.8646285e-01 2.5008002e-03 1.6769009e-05]",3,White,White,True,0,[202 183 743 724]
chef_40 years old_14.png,Male,Middle,White,Male,Male,Male,True,[9.9999344e-01 6.5253016e-06],"[0.99997536, 2.4701648e-05]",40-49,43,49,Middle,Middle,True,"[2.9332305e-05 2.3276527e-05 2.1223119e-04 1.3000987e-03 1.0007353e-01
 7.2186196e-01 1.7397676e-01 2.5033094e-03 1.9488296e-05]",2,White,White,True,0,[263 240 640 615]
chef_40 years old_15.png,Male,Middle,White,Male,Male,Male,True,[9.9997902e-01 2.1034068e-05],"[0.9990062000000001, 0.0009938126]",40-49,44,57,Middle,Middle,True,"[4.1808048e-04 7.0174062e-04 1.9268915e-03 1.7702688e-03 6.0971368e-02
 5.2005899e-01 4.0131867e-01 1.2710707e-02 1.2319091e-04]",1,White,White,True,0,[248 261 698 711]
chef_40 years old_16.png,Male,Middle,White,Male,Male,Male,True,[9.9999851e-01 1.5010686e-06],"[0.9983857, 0.0016143458]",40-49,45,59,Middle,Middle,True,"[1.7555449e-05 1.6966558e-05 1.2358835e-04 4.2267900e-04 3.7104681e-02
 4.9165088e-01 4.5782292e-01 1.2783928e-02 5.6815814e-05]",0,White,White,True,0,[302 202 677 578]
chef_40 years old_17.png,Male,Middle,White,Male,Male,Male,True,[9.9997663e-01 2.3400376e-05],"[0.9996577499999999, 0.00034226112]",40-49,39,49,Middle,Middle,True,"[1.12974885e-04 1.15390380e-04 5.52107405e-04 2.44041020e-03
 1.18740402e-01 7.05614567e-01 1.68894634e-01 3.50547559e-03
 2.40427689e-05]",6,White,White,True,0,[302 202 677 578]
chef_40 years old_18.png,Male,Middle,White,Male,Male,Male,True,[9.9997425e-01 2.5778347e-05],"[0.9999811, 1.8896833e-05]",50-59,45,46,Middle,Middle,True,"[6.5376007e-06 5.5256960e-06 8.2140643e-05 1.5951626e-04 2.1374950e-02
 4.6962702e-01 5.0242901e-01 6.2897047e-03 2.5570831e-05]",10,White,White,True,0,[170 121 819 770]
chef_40 years old_19.png,Male,Middle,White,Male,Male,Male,True,[9.9998862e-01 1.1388859e-05],"[0.999605, 0.00039503332]",40-49,47,49,Middle,Middle,True,"[4.2708827e-05 5.4770404e-05 2.8261970e-04 3.4893490e-04 4.3411884e-02
 6.4665079e-01 3.0688477e-01 2.3163017e-03 7.3054825e-06]",2,White,White,True,0,[248 261 698 711]
chef_40 years old_2.png,Male,Middle,White,Male,Male,Male,True,[9.9999970e-01 2.5654145e-07],"[0.9998051, 0.00019495491]",40-49,46,52,Middle,Middle,True,"[4.7330072e-06 1.2281781e-05 2.4585699e-04 9.4045041e-04 8.1733376e-02
 6.5176570e-01 2.6390305e-01 1.3925935e-03 1.8955136e-06]",1,White,White,True,0,[248 215 698 665]
chef_40 years old_20.png,Male,Middle,White,Male,Male,Male,True,[9.999837e-01 1.625926e-05],"[0.9998986999999999, 0.000101356525]",40-49,47,47,Middle,Middle,True,"[7.4302397e-06 9.2910868e-06 9.5521515e-05 9.3093253e-04 1.1124479e-01
 7.5597125e-01 1.3068332e-01 1.0511944e-03 6.2835502e-06]",2,White,White,True,0,[294 305 744 756]
chef_40 years old_21.png,Male,Middle,White,Male,Male,Male,True,[9.9976307e-01 2.3694512e-04],"[0.9978697, 0.0021302477]",40-49,44,61,Middle,Old,True,"[8.0291611e-05 5.8569192e-05 1.4928037e-04 6.9046958e-04 7.5895101e-02
 6.9898546e-01 2.2085445e-01 3.2499544e-03 3.6465870e-05]",1,White,White,True,0,[248 261 698 711]
chef_40 years old_22.png,Male,Middle,White,Male,Male,Male,True,[9.999999e-01 9.384081e-08],"[0.9996249, 0.0003750866]",40-49,38,52,Middle,Middle,True,"[6.8978449e-07 1.3201310e-06 6.1090897e-05 2.5047490e-03 1.5901192e-01
 7.4664915e-01 9.1261603e-02 5.0829619e-04 1.1679539e-06]",7,White,White,True,0,[248 215 698 665]
chef_40 years old_23.png,Male,Middle,White,Male,Male,Male,True,[9.9999863e-01 1.3724675e-06],"[0.9999233, 7.6694777e-05]",40-49,38,48,Middle,Middle,True,"[2.4260595e-05 2.8014567e-05 3.3769841e-04 1.6960129e-03 1.0131961e-01
 6.9144607e-01 2.0243508e-01 2.6883099e-03 2.4956611e-05]",7,White,White,True,0,[294 261 744 711]
chef_40 years old_24.png,Male,Middle,White,Male,Male,Male,True,[9.9999839e-01 1.6774783e-06],"[0.999683, 0.00031701939999999996]",40-49,40,48,Middle,Middle,True,"[1.2758924e-05 1.6077414e-05 1.1916369e-04 8.4134028e-04 7.2546862e-02
 7.3455584e-01 1.8925874e-01 2.6279343e-03 2.1205911e-05]",5,White,White,True,0,[248 215 698 665]
chef_40 years old_25.png,Male,Middle,White,Male,Male,Male,True,[9.9994105e-01 5.8956808e-05],"[0.9995172999999999, 0.0004826512]",40-49,42,51,Middle,Middle,True,"[1.9065361e-04 2.0004502e-04 7.1824371e-04 1.4990254e-03 6.3604601e-02
 5.7374007e-01 3.5128859e-01 8.6706700e-03 8.8117609e-05]",3,White,White,True,0,[248 215 698 665]
chef_40 years old_26.png,Male,Middle,White,Male,Male,Male,True,[9.9999624e-01 3.8073358e-06],"[0.9998172, 0.00018280827999999998]",40-49,37,40,Middle,Middle,True,"[1.5449234e-04 2.4861869e-04 6.9778791e-04 4.6407031e-03 1.3904576e-01
 7.0725930e-01 1.4279966e-01 5.0462191e-03 1.0743630e-04]",8,White,White,True,0,[302 202 677 578]
chef_40 years old_27.png,Male,Middle,Indian,Male,Male,Male,True,[9.9999917e-01 8.6057116e-07],"[0.9997199000000001, 0.0002800534]",40-49,34,46,Middle,Middle,True,"[2.95888924e-04 2.89264368e-04 1.04767689e-03 1.08195248e-03
 3.93964835e-02 5.14700174e-01 4.25272226e-01 1.78016722e-02
 1.14597686e-04]",11,Indian,White,False,0,[302 202 677 578]
chef_40 years old_28.png,Male,Middle,White,Male,Male,Male,True,[9.9999464e-01 5.3298131e-06],"[0.9999033, 9.665163e-05]",40-49,47,56,Middle,Middle,True,"[1.9903664e-05 1.8644951e-05 1.4592640e-04 2.8167135e-04 3.5682607e-02
 6.2468582e-01 3.3385277e-01 5.2921372e-03 2.0553489e-05]",2,White,White,True,0,[257 293 798 833]
chef_40 years old_29.png,Male,Middle,White,Male,Male,Male,True,[9.9996561e-01 3.4364228e-05],"[0.9992901000000001, 0.00070991434]",40-49,35,55,Middle,Middle,True,"[3.3171879e-04 1.7061367e-04 7.2927616e-04 1.0943516e-03 6.1814100e-02
 5.8279759e-01 3.4394801e-01 9.0705650e-03 4.3800999e-05]",10,White,White,True,0,[202 128 743 669]
chef_40 years old_3.png,Male,Middle,White,Male,Male,Male,True,[9.9999696e-01 3.0367648e-06],"[0.9968680600000001, 0.0031319538]",40-49,45,61,Middle,Old,True,"[1.15565135e-05 1.18271491e-05 1.98691254e-04 6.69011148e-04
 3.61350514e-02 4.94863719e-01 4.56982315e-01 1.10738622e-02
 5.39131615e-05]",0,White,White,True,0,[326 331 640 643]
chef_40 years old_30.png,Male,Middle,White,Male,Male,Male,True,[9.999997e-01 3.022356e-07],"[0.9999051, 9.4870385e-05]",50-59,38,47,Middle,Middle,True,"[5.9812935e-04 1.1641586e-03 2.9394061e-03 5.4749887e-04 1.7936502e-02
 3.3324695e-01 5.9500396e-01 4.8319269e-02 2.4415768e-04]",17,White,White,True,0,[302 202 677 578]
chef_40 years old_31.png,Male,Middle,White,Male,Male,Male,True,[9.999990e-01 1.042052e-06],"[0.99994865, 5.135374e-05]",40-49,46,59,Middle,Middle,True,"[3.1741747e-05 4.3079141e-05 3.2739039e-04 1.0653827e-03 8.1422761e-02
 6.7501080e-01 2.4013095e-01 1.9616554e-03 6.2596810e-06]",1,White,White,True,0,[248 215 698 665]
chef_40 years old_32.png,Male,Middle,Indian,Male,Male,Male,True,[9.9999726e-01 2.6969851e-06],"[0.9993871, 0.00061288517]",40-49,42,55,Middle,Middle,True,"[5.0677314e-05 6.9386289e-05 6.1750034e-04 1.7830044e-03 7.5185336e-02
 5.8042645e-01 3.3605963e-01 5.7812440e-03 2.6862346e-05]",3,Indian,White,False,0,[294 261 744 711]
chef_40 years old_33.png,Male,Middle,White,Male,Male,Male,True,[9.9998283e-01 1.7151222e-05],"[0.9999888, 1.1203950999999999e-05]",40-49,36,47,Middle,Middle,True,"[3.7164795e-05 5.1355866e-05 4.5585490e-04 3.7889080e-03 1.5621762e-01
 7.2308123e-01 1.1474400e-01 1.6057149e-03 1.8175835e-05]",9,White,White,True,0,[326 203 640 517]
chef_40 years old_34.png,Male,Middle,White,Male,Male,Male,True,[9.999990e-01 1.033461e-06],"[0.9996881000000001, 0.00031184841000000003]",40-49,39,50,Middle,Middle,True,"[6.8907932e-05 4.1209405e-05 1.8409704e-04 6.7588076e-04 6.1000243e-02
 7.0040327e-01 2.3284249e-01 4.7560623e-03 2.7813006e-05]",6,White,White,True,0,[248 215 698 665]
chef_40 years old_35.png,Male,Middle,White,Male,Male,Male,True,[9.9999690e-01 3.1205304e-06],"[0.9988661000000001, 0.00113399036]",40-49,49,52,Middle,Middle,True,"[1.8320978e-05 2.2928036e-05 2.2978995e-04 7.9838076e-04 5.6905657e-02
 6.3835120e-01 2.9872629e-01 4.9174912e-03 2.9962814e-05]",4,White,White,True,0,[302 165 677 540]
chef_40 years old_36.png,Male,Middle,White,Male,Male,Male,True,[9.9999899e-01 1.0101429e-06],"[0.9992924999999999, 0.00070745885]",40-49,47,56,Middle,Middle,True,"[1.5798840e-05 2.3849463e-05 1.8898613e-04 4.0502922e-04 5.2348372e-02
 6.5196794e-01 2.9226089e-01 2.7828098e-03 6.3826055e-06]",2,White,White,True,0,[326 203 640 517]
chef_40 years old_37.png,Male,Middle,White,Male,Male,Male,True,[9.9998683e-01 1.3182591e-05],"[0.9998635, 0.00013644033999999998]",40-49,39,60,Middle,Middle,True,"[9.8203440e-05 7.8996789e-05 5.4584013e-04 2.7143061e-03 9.1524333e-02
 6.4395201e-01 2.5251633e-01 8.4779747e-03 9.1963026e-05]",6,White,White,True,0,[302 240 677 615]
chef_40 years old_38.png,Male,Middle,White,Male,Male,Male,True,[9.9999982e-01 2.0292435e-07],"[0.9998961, 0.00010398145]",40-49,31,54,Middle,Middle,True,"[1.3808770e-05 8.9515561e-06 1.1504916e-04 6.0980226e-04 5.1226400e-02
 6.1988735e-01 3.2154039e-01 6.5747579e-03 2.3455630e-05]",14,White,White,True,0,[294 124 744 574]
chef_40 years old_39.png,Male,Middle,White,Male,Male,Male,True,[9.999867e-01 1.326645e-05],"[0.9997795, 0.00022045346000000002]",40-49,41,55,Middle,Middle,True,"[1.8882300e-05 1.8988898e-05 1.3703786e-04 2.9321073e-04 2.3049030e-02
 4.8055381e-01 4.8015708e-01 1.5678665e-02 9.3215647e-05]",4,White,White,True,0,[302 165 677 540]
chef_40 years old_4.png,Male,Middle,White,Male,Male,Male,True,[9.9999863e-01 1.4519259e-06],"[0.9999879, 1.2189875000000002e-05]",40-49,42,50,Middle,Middle,True,"[2.14609372e-05 1.83094016e-05 1.07374806e-04 9.40244470e-04
 7.18061626e-02 6.89225733e-01 2.35150874e-01 2.71679182e-03
 1.30164171e-05]",3,White,White,True,0,[326 235 640 549]
chef_40 years old_40.png,Male,Middle,White,Male,Male,Male,True,[9.9998999e-01 1.0048597e-05],"[0.99925156, 0.0007484237]",50-59,42,63,Middle,Old,True,"[7.28844225e-06 7.51374091e-06 8.33269005e-05 1.16011695e-04
 1.23188319e-02 3.33618551e-01 6.43925250e-01 9.90414154e-03
 1.91231193e-05]",13,White,White,True,0,[302 279 677 654]
chef_40 years old_41.png,Male,Middle,White,Male,Male,Male,True,[9.9999934e-01 6.8161989e-07],"[0.9999800999999999, 1.9884991999999998e-05]",40-49,46,56,Middle,Middle,True,"[1.62663546e-05 9.56275562e-06 4.92773397e-05 1.18774355e-04
 1.88135803e-02 4.95418370e-01 4.77292776e-01 8.25613923e-03
 2.51855818e-05]",1,White,White,True,0,[302 202 677 578]
chef_40 years old_42.png,Male,Middle,White,Male,Male,Male,True,[9.9999076e-01 9.2249611e-06],"[0.9994582, 0.0005417363]",50-59,49,63,Middle,Old,True,"[1.1453607e-04 7.7798039e-05 4.6566245e-04 4.4862597e-04 2.1550771e-02
 2.9482627e-01 6.3591260e-01 4.6378095e-02 2.2559793e-04]",6,White,White,True,0,[358 172 670 485]
chef_40 years old_43.png,Male,Middle,White,Male,Male,Male,True,[9.9999863e-01 1.3755058e-06],"[0.9999337, 6.6291867e-05]",50-59,50,58,Middle,Middle,True,"[1.51828819e-04 1.15537674e-04 2.90681171e-04 2.00512426e-04
 2.11428590e-02 4.41760659e-01 5.22771478e-01 1.35257933e-02
 4.07034422e-05]",5,White,White,True,0,[302 165 677 540]
chef_40 years old_44.png,Male,Middle,White,Male,Male,Male,True,[9.9998575e-01 1.4238682e-05],"[0.9996476, 0.0003523279]",40-49,35,64,Middle,Old,True,"[3.6662364e-06 5.9361264e-06 1.4799846e-04 3.5113762e-03 1.8047860e-01
 7.2037405e-01 9.4596609e-02 8.7745726e-04 4.3294071e-06]",10,White,White,True,0,[358 267 670 581]
chef_40 years old_45.png,Male,Middle,White,Male,Male,Male,True,[9.9999684e-01 3.1321447e-06],"[0.9999858, 1.4181662000000001e-05]",40-49,40,53,Middle,Middle,True,"[1.1158386e-05 9.7314633e-06 8.4530046e-05 2.2596176e-04 3.1829536e-02
 6.0719281e-01 3.5660082e-01 4.0229503e-03 2.2619342e-05]",5,White,White,True,0,[263 202 640 578]
chef_40 years old_46.png,Male,Middle,White,Male,Male,Male,True,[9.9999702e-01 2.9542903e-06],"[0.9999374400000001, 6.2547866e-05]",40-49,36,41,Middle,Middle,True,"[5.4649468e-06 9.0494204e-06 1.0512755e-04 2.8642949e-03 2.4057415e-01
 7.1631819e-01 3.9932098e-02 1.9081506e-04 8.6381340e-07]",9,White,White,True,0,[339 316 715 692]
chef_40 years old_47.png,Male,Middle,White,Male,Male,Male,True,[9.9999827e-01 1.7444808e-06],"[0.9988615, 0.00113863274]",50-59,45,52,Middle,Middle,True,"[1.1279794e-05 4.9488244e-06 3.9186263e-05 3.3286964e-05 1.7989615e-03
 7.7899814e-02 8.5711116e-01 6.2809110e-02 2.9230097e-04]",10,White,White,True,0,[326 362 640 675]
chef_40 years old_48.png,Male,Middle,Indian,Male,Male,Male,True,[9.9999571e-01 4.2993242e-06],"[0.9990673999999999, 0.000932684]",40-49,34,44,Middle,Middle,True,"[1.3022550e-04 2.0109354e-04 1.2321904e-03 3.0307141e-03 9.6612066e-02
 5.8086044e-01 2.9820639e-01 1.9537656e-02 1.8929646e-04]",11,Indian,White,False,0,[302 240 677 615]
chef_40 years old_49.png,Male,Middle,Indian,Male,Male,Male,True,[9.9997479e-01 2.5200547e-05],"[0.9990974, 0.0009027215]",40-49,39,46,Middle,Middle,True,"[8.9501409e-06 8.8386423e-06 1.1730009e-04 4.2976956e-03 1.8853667e-01
 6.8321747e-01 1.2223032e-01 1.5602881e-03 2.2469645e-05]",6,Indian,White,False,0,[302 240 677 615]
