image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
"teacher_female, elderly, white_0.png",Female,Old,White,Female,Female,Female,True,[2.2387916e-04 9.9977618e-01],"[0.00041569576, 0.9995843000000001]",70+,48,76.0,Old,Old,False,"[6.3330327e-07 1.0135622e-05 1.5861788e-05 8.7206317e-06 3.6386486e-05
 4.6070523e-04 1.3023097e-02 1.9002827e-01 7.9641616e-01]",27,White,White,True,0,[416 240 791 615]
"teacher_female, elderly, white_127.png",Female,Old,White,Female,Female,Female,True,[3.8462866e-04 9.9961531e-01],"[0.0020234366, 0.9979765999999999]",70+,47,79.0,Old,Old,False,"[1.2676603e-07 1.3064958e-06 2.8506354e-06 1.0792332e-06 6.8558611e-06
 2.5552299e-04 1.8055174e-02 1.8084466e-01 8.0083239e-01]",28,White,White,True,0,[ -2 512 179 692]
"teacher_female, middle aged, white_109.png",Female,Middle,White,Female,Female,,True,[7.488442e-05 9.999251e-01],"[1.0994774999999998e-05, 0.999989]",40-49,36,,Middle,,True,"[7.1763930e-07 4.6710487e-05 2.8827160e-03 5.3848125e-02 3.8600758e-01
 4.8109868e-01 7.4312113e-02 1.7783262e-03 2.5093215e-05]",9,White,White,True,0,[358 203 670 517]
"teacher_female, middle aged, white_16.png",Female,Young,White,Female,Female,Female,True,[7.2499784e-04 9.9927503e-01],"[6.456129e-07, 0.9999994]",20-29,32,38.0,Young,Middle,False,"[9.90892840e-06 1.70099235e-03 5.05440794e-02 4.95396286e-01
 3.22642773e-01 1.11695506e-01 1.64449904e-02 1.35616329e-03
 2.09289952e-04]",7,White,White,True,0,[363 136 624 398]
"teacher_female, middle aged, white_19.png",Female,Middle,White,Female,Female,Female,True,[2.8796451e-06 9.9999714e-01],"[1.3221789e-05, 0.9999868]",30-39,31,47.0,Middle,Middle,True,"[5.3300170e-08 3.0603685e-06 1.4611521e-03 2.8011727e-01 5.6282991e-01
 1.4814495e-01 7.2865384e-03 1.5245131e-04 4.5791844e-06]",4,White,White,True,0,[302 240 677 615]
"teacher_female, middle aged, white_32.png",Female,Middle,White,Female,Female,Female,True,[3.0543564e-05 9.9996942e-01],"[0.00036945242000000004, 0.9996306]",30-39,32,68.0,Middle,Old,True,"[1.03990864e-07 1.88843896e-05 5.23447758e-03 3.68684530e-01
 4.98343557e-01 1.18740976e-01 8.70908238e-03 2.59769993e-04
 8.58650310e-06]",3,White,White,True,0,[294 261 744 711]
"teacher_female, middle aged, white_51.png",Female,Middle,White,Female,Female,Female,True,[1.3193864e-05 9.9998677e-01],"[0.017874920000000002, 0.982125]",40-49,37,64.0,Middle,Old,True,"[7.67336417e-08 2.61893251e-06 2.08143450e-04 1.79202054e-02
 2.25349724e-01 6.48827612e-01 1.04209095e-01 3.38139827e-03
 1.01111407e-04]",8,White,White,True,0,[390 136 651 398]
"teacher_female, young, white_10.png",Female,Young,White,Female,Female,Female,True,[6.9313755e-05 9.9993068e-01],"[5.928909e-07, 0.9999994]",20-29,27,29.0,Young,Young,True,"[6.3504886e-09 1.7831104e-05 5.3254340e-02 8.8073909e-01 6.5444767e-02
 5.4124364e-04 2.6820576e-06 2.7924434e-08 9.0282704e-10]",2,White,White,True,0,[302 202 677 578]
"teacher_female, young, white_102.png",Female,Young,White,Female,Female,Female,True,[9.94873e-07 9.99999e-01],"[9.076345e-06, 0.9999908999999999]",20-29,27,36.0,Young,Middle,True,"[9.27165289e-10 4.74557692e-06 2.15444528e-02 8.58996451e-01
 1.18537545e-01 9.15890909e-04 9.66573566e-07 5.69980996e-09
 1.06727523e-10]",2,White,White,True,0,[400 181 582 362]
"teacher_female, young, white_11.png",Female,Young,White,Female,Female,Female,True,[1.0850585e-05 9.9998915e-01],"[1.8024865000000002e-05, 0.9999819999999999]",20-29,31,34.0,Young,Middle,False,"[1.22469235e-08 8.79232830e-05 1.14497505e-01 8.60665917e-01
 2.45953780e-02 1.53006578e-04 2.62783630e-07 2.04980521e-09
 6.97327057e-11]",6,White,White,True,0,[302 165 677 540]
"teacher_female, young, white_115.png",Female,Young,White,Female,Female,Female,True,[1.0745483e-05 9.9998927e-01],"[0.0012792648, 0.9987206999999999]",20-29,29,31.0,Young,Middle,True,"[6.6998753e-09 8.1525410e-05 1.3439421e-01 8.1905359e-01 4.6211205e-02
 2.5909467e-04 3.8568680e-07 2.9798646e-09 1.1885744e-10]",4,White,White,True,0,[407 185 624 403]
