face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stable3.5-medium_fitness instructor_neutral/fitness instructor_neutral_3_face0.png,White,White,Female,20-29,"[7.4199045e-01 2.9971320e-03 1.9683839e-01 3.1443566e-04 5.4785010e-04
 9.5934875e-04 5.6352381e-02]",[0.9413792  0.02216772 0.00343596 0.03301714],[2.0862950e-05 9.9997914e-01],"[2.4577217e-08 4.5643144e-05 4.8212558e-02 8.0512279e-01 1.4534825e-01
 1.2616426e-03 8.9130217e-06 8.6847159e-08 6.2422667e-10]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stable3.5-medium_fitness instructor_neutral/fitness instructor_neutral_55_face0.png,Latino_Hispanic,White,Female,20-29,"[0.11959791 0.00302436 0.85152686 0.00086294 0.00576575 0.00781778
 0.01140452]",[0.69291407 0.01824479 0.03989134 0.24894977],[0.02533932 0.9746607 ],"[1.48759582e-07 3.46014218e-04 1.70570120e-01 6.80626750e-01
 1.46120742e-01 2.32660957e-03 9.51550282e-06 1.14383084e-07
 1.49644475e-09]","[(326, 267) (640, 581)]"
fairface/detected_faces/Stable3.5-medium_fitness instructor_neutral/fitness instructor_neutral_106_face0.png,White,White,Female,20-29,"[8.11839759e-01 1.41956157e-03 1.60684511e-01 4.79881419e-05
 1.13968184e-04 1.33147591e-03 2.45627165e-02]",[9.4316620e-01 1.5231882e-02 9.0591190e-04 4.0695973e-02],[0.00255213 0.9974479 ],"[8.7471612e-08 3.5955510e-04 2.5490397e-01 7.1954221e-01 2.5047971e-02
 1.4554804e-04 6.5028496e-07 1.3831113e-08 2.9734473e-10]","[(385, 272) (602, 490)]"
fairface/detected_faces/Stable3.5-medium_fitness instructor_neutral/fitness instructor_neutral_54_face0.png,Latino_Hispanic,White,Female,20-29,"[0.21405172 0.00160757 0.7365092  0.00673504 0.01408571 0.01224329
 0.01476745]",[0.66179484 0.04199935 0.03728503 0.2589208 ],[3.2960885e-04 9.9967045e-01],"[1.5426272e-08 6.5490298e-05 7.2883792e-02 8.4377611e-01 8.2865238e-02
 4.0828541e-04 1.0512825e-06 9.5358903e-09 8.5225126e-11]","[(390, 216) (651, 477)]"
fairface/detected_faces/Stable3.5-medium_fitness instructor_neutral/fitness instructor_neutral_143_face0.png,Latino_Hispanic,Indian,Female,20-29,"[0.04035326 0.01186805 0.8948095  0.00159001 0.00558104 0.04160842
 0.00418982]",[0.36756146 0.15719868 0.07376363 0.40147623],[6.518515e-04 9.993481e-01],"[9.3687866e-09 7.4445772e-05 1.6848354e-01 7.9064804e-01 4.0598705e-02
 1.9487264e-04 3.6576154e-07 3.7942121e-09 4.1692209e-11]","[(294, 261) (744, 711)]"
fairface/detected_faces/Stable3.5-medium_fitness instructor_neutral/fitness instructor_neutral_141_face0.png,Latino_Hispanic,White,Female,10-19,"[2.3167025e-01 6.9659954e-04 6.2977886e-01 2.0437736e-04 5.5019435e-04
 1.9610526e-02 1.1748922e-01]",[0.9364057  0.00710892 0.00222856 0.05425688],[0.01071008 0.9892899 ],"[1.7819058e-08 1.6685429e-03 6.1006427e-01 3.8538447e-01 2.8753497e-03
 7.3786046e-06 7.7450046e-09 1.8359200e-10 5.4147455e-12]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stable3.5-medium_fitness instructor_neutral/fitness instructor_neutral_139_face0.png,Latino_Hispanic,Indian,Female,20-29,"[0.0988264  0.02680773 0.5731394  0.00155675 0.01097408 0.27039194
 0.01830368]",[0.41781515 0.05695585 0.05964386 0.4655852 ],[9.3809846e-05 9.9990612e-01],"[1.11958386e-07 3.23351327e-04 7.67046660e-02 8.60702038e-01
 6.18621409e-02 4.06147388e-04 1.49427262e-06 1.98979500e-08
 2.11434564e-10]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stable3.5-medium_fitness instructor_neutral/fitness instructor_neutral_148_face0.png,White,White,Female,20-29,"[9.8987955e-01 8.9264340e-06 5.9612291e-03 1.2972752e-06 4.5938546e-06
 3.7983486e-05 4.1064532e-03]",[9.9429613e-01 2.1498182e-04 5.4654630e-04 4.9422937e-03],[1.8593166e-06 9.9999815e-01],"[7.25752458e-10 1.30954877e-05 8.05411562e-02 8.68820190e-01
 5.05242534e-02 1.01186335e-04 1.00628057e-07 4.74397188e-10
 6.39029584e-12]","[(326, 331) (640, 643)]"
fairface/detected_faces/Stable3.5-medium_fitness instructor_neutral/fitness instructor_neutral_96_face0.png,Southeast Asian,Asian,Female,20-29,"[0.00250173 0.00448833 0.198169   0.14819956 0.48843342 0.15718463
 0.00102339]",[0.00898914 0.01760644 0.5349123  0.43849218],[1.0172097e-04 9.9989825e-01],"[8.0809270e-09 3.8062758e-04 3.7575871e-01 6.2013263e-01 3.7242812e-03
 3.7069499e-06 2.6997180e-09 5.8935502e-11 7.1651918e-13]","[(385, 207) (602, 424)]"
fairface/detected_faces/Stable3.5-medium_fitness instructor_neutral/fitness instructor_neutral_32_face0.png,White,White,Female,20-29,"[9.4150680e-01 2.4784968e-05 1.2570916e-02 5.0916715e-05 7.1571492e-05
 3.5778977e-04 4.5417201e-02]",[9.9764287e-01 4.7088764e-04 4.1986452e-04 1.4663461e-03],[2.127994e-05 9.999787e-01],"[2.7416214e-09 6.7171648e-05 1.9882588e-01 7.8460741e-01 1.6473008e-02
 2.6437823e-05 3.0323072e-08 3.1476774e-10 7.9940030e-12]","[(302, 240) (677, 615)]"
