face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stablexl1.0_police officer_neutral/police officer_neutral_130_face0.png,White,White,Male,30-39,"[8.0000287e-01 2.1082530e-04 1.6287513e-01 7.2647346e-04 7.0862082e-04
 1.2718596e-03 3.4204178e-02]",[0.97786325 0.00181058 0.00127853 0.0190476 ],[9.9999994e-01 6.5138806e-08],"[2.9702727e-07 2.8011088e-06 5.0625717e-04 2.4161835e-01 7.2091931e-01
 3.6751404e-02 2.0008601e-04 1.4409367e-06 8.7795433e-09]","[(294, 235) (608, 549)]"
fairface/detected_faces/Stablexl1.0_police officer_neutral/police officer_neutral_22_face0.png,Latino_Hispanic,White,Male,30-39,"[3.5604778e-01 2.6540488e-03 4.6626326e-01 3.1758191e-05 2.1141028e-04
 2.9814096e-02 1.4497758e-01]",[0.53936934 0.00923785 0.00069523 0.4506976 ],[9.9999404e-01 5.9132462e-06],"[8.3469195e-07 6.5951845e-06 1.4690825e-03 2.3070364e-01 6.9347125e-01
 7.3343515e-02 9.9535752e-04 9.6533122e-06 1.1483841e-07]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stablexl1.0_police officer_neutral/police officer_neutral_101_face0.png,White,White,Male,30-39,"[0.73871076 0.00208361 0.22584815 0.00194137 0.00157879 0.00087634
 0.02896107]",[0.9948923  0.00112737 0.00122838 0.0027519 ],[9.9995667e-01 4.3346554e-05],"[1.02912281e-06 4.75258366e-06 1.29491149e-03 2.10791394e-01
 6.71264887e-01 1.14651136e-01 1.95833598e-03 3.30384137e-05
 4.68368995e-07]","[(302, 316) (677, 692)]"
fairface/detected_faces/Stablexl1.0_police officer_neutral/police officer_neutral_115_face0.png,Latino_Hispanic,Black,Male,30-39,"[1.8684763e-02 2.0678329e-01 6.2441707e-01 9.0770976e-05 1.1689306e-03
 7.1253069e-02 7.7602103e-02]",[0.04679393 0.89224744 0.00270449 0.05825413],[1.0000000e+00 2.6181773e-08],"[9.6905760e-06 6.8564412e-05 2.3786754e-03 2.8747228e-01 6.4794874e-01
 6.1190832e-02 9.1878645e-04 1.2290061e-05 1.3736441e-07]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stablexl1.0_police officer_neutral/police officer_neutral_27_face0.png,Latino_Hispanic,White,Male,30-39,"[0.13332693 0.00184823 0.70440775 0.00097514 0.00250086 0.01228153
 0.14465956]",[0.8088167  0.01175659 0.01199318 0.16743359],[1.000000e+00 3.327345e-08],"[3.7291074e-06 5.9984308e-05 7.7344975e-03 3.1719047e-01 6.2216395e-01
 5.2236438e-02 6.0610840e-04 4.8527017e-06 2.6158048e-08]","[(202, 305) (654, 756)]"
fairface/detected_faces/Stablexl1.0_police officer_neutral/police officer_neutral_123_face0.png,White,White,Male,30-39,"[9.5350254e-01 1.1182850e-04 2.5358256e-02 1.8466340e-05 4.0393421e-05
 4.4142449e-04 2.0527089e-02]",[9.9933022e-01 2.3052549e-04 1.9735326e-05 4.1954700e-04],[9.9999040e-01 9.6207605e-06],"[4.9809626e-07 9.2197126e-07 1.1358809e-04 5.5704203e-02 6.6261172e-01
 2.7522627e-01 6.2934826e-03 4.8769747e-05 5.8916243e-07]","[(358, 267) (670, 581)]"
fairface/detected_faces/Stablexl1.0_police officer_neutral/police officer_neutral_46_face0.png,White,White,Male,30-39,"[8.0764991e-01 3.4457184e-03 1.2028258e-01 4.3318018e-05 1.4600893e-04
 5.0944422e-04 6.7922994e-02]",[9.8427826e-01 1.3530438e-02 8.4269536e-04 1.3485603e-03],[9.9998665e-01 1.3352953e-05],"[5.0552984e-07 1.5090145e-05 1.1111452e-03 2.0626339e-01 7.3882097e-01
 5.3422995e-02 3.6328667e-04 2.5538116e-06 5.3182696e-08]","[(358, 299) (670, 611)]"
fairface/detected_faces/Stablexl1.0_police officer_neutral/police officer_neutral_58_face0.png,White,White,Male,30-39,"[6.6886812e-01 4.1609319e-04 1.0544045e-01 4.0844584e-06 1.9545163e-05
 3.3019888e-03 2.2194980e-01]",[9.8603433e-01 7.4077095e-04 5.5946901e-05 1.3168899e-02],[9.9999982e-01 2.1094489e-07],"[2.8233546e-07 4.3366481e-06 1.1411101e-03 2.8487393e-01 6.8399942e-01
 2.9816229e-02 1.6363435e-04 1.0212186e-06 1.2112175e-08]","[(302, 279) (677, 654)]"
fairface/detected_faces/Stablexl1.0_police officer_neutral/police officer_neutral_93_face0.png,Latino_Hispanic,White,Male,30-39,"[3.8775474e-01 4.2241925e-04 4.4210666e-01 6.8817625e-04 1.3095335e-03
 5.5783219e-03 1.6214018e-01]",[0.9812109  0.00197549 0.00220108 0.01461261],[9.9999017e-01 9.8285200e-06],"[2.1099950e-05 1.3064146e-04 3.1678218e-03 1.9659148e-01 7.3993844e-01
 5.9628516e-02 5.1723653e-04 4.7714479e-06 5.2766726e-08]","[(294, 215) (744, 665)]"
fairface/detected_faces/Stablexl1.0_police officer_neutral/police officer_neutral_24_face0.png,White,White,Male,40-49,"[7.5363261e-01 3.4355969e-04 2.1286713e-01 3.1990752e-05 9.6750038e-05
 2.8806222e-03 3.0147331e-02]",[9.7502500e-01 4.7880749e-04 7.6023483e-05 2.4420155e-02],[9.9999970e-01 3.0738727e-07],"[8.7838963e-08 1.3536780e-07 6.3562526e-05 9.5349811e-03 3.1022117e-01
 6.3285631e-01 4.7073293e-02 2.4951951e-04 9.4137613e-07]","[(326, 267) (640, 581)]"
