image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
chef_young_prompt_0_0.png,Male,Middle,Asian,Male,Male,Male,True,[9.9999797e-01 2.0222135e-06],"[0.9915441, 0.00845592]",30-39,33,35.0,Middle,Middle,True,"[1.2293302e-05 1.4628732e-04 2.9710536e-03 1.0505857e-01 7.2070599e-01
 1.6511214e-01 5.8797677e-03 1.1328474e-04 6.5049483e-07]",2,Asian,Asian,True,0,[302 316 677 692]
chef_young_prompt_0_1.png,Male,Middle,Asian,Male,Male,Male,True,[9.9999887e-01 1.1234997e-06],"[0.9817383599999999, 0.018261563]",30-39,38,33.0,Middle,Middle,True,"[1.0003350e-06 2.7754382e-05 2.3838128e-03 2.2069164e-01 6.7426509e-01
 1.0116405e-01 1.4500668e-03 1.6403657e-05 1.0129335e-07]",3,Asian,White,False,0,[326 267 640 581]
chef_young_prompt_0_10.png,Male,Middle,White,Male,Male,Male,True,[9.999907e-01 9.273367e-06],"[0.9996884, 0.00031157888]",30-39,24,33.0,Middle,Middle,False,"[3.9123306e-06 5.9155354e-05 7.4387128e-03 4.5715430e-01 5.1016432e-01
 2.5014613e-02 1.6301613e-04 1.9160441e-06 3.8311470e-08]",11,White,White,True,0,[326 331 640 643]
chef_young_prompt_0_11.png,Male,Middle,White,Male,Male,Male,True,[9.9996734e-01 3.2700595e-05],"[0.9993076000000001, 0.0006923384]",30-39,32,34.0,Middle,Middle,True,"[2.0518710e-06 1.8192506e-05 4.1052629e-03 4.0728581e-01 5.5738288e-01
 3.0930217e-02 2.7161333e-04 3.9299462e-06 6.4332134e-08]",3,White,White,True,0,[202 183 743 724]
chef_young_prompt_0_12.png,Male,Middle,Indian,Male,Male,Male,True,[9.9997056e-01 2.9444866e-05],"[0.99996254, 3.7418e-05]",30-39,27,35.0,Middle,Middle,False,"[4.6585665e-05 3.0379102e-04 3.9943983e-03 1.1774163e-01 5.9880924e-01
 2.7313775e-01 5.8750273e-03 8.9694586e-05 1.9012966e-06]",8,Indian,White,False,0,[263 202 640 578]
chef_young_prompt_0_13.png,Male,Middle,White,Male,Male,Male,True,[9.9999702e-01 3.0032222e-06],"[0.9995102, 0.0004898609]",30-39,26,36.0,Middle,Middle,False,"[1.4004123e-06 3.7835845e-05 5.8770687e-03 2.9685247e-01 6.4202595e-01
 5.4823194e-02 3.7951744e-04 2.5533982e-06 2.7679208e-08]",9,White,White,True,0,[248 261 698 711]
chef_young_prompt_0_14.png,Male,Middle,Indian,Male,Male,Male,True,[9.9998856e-01 1.1373046e-05],"[0.99998924, 1.0755572000000001e-05]",30-39,32,41.0,Middle,Middle,True,"[1.71875326e-05 3.69910595e-05 1.12481171e-03 5.55975325e-02
 5.99771798e-01 3.35170895e-01 8.17700848e-03 1.01651174e-04
 2.15802925e-06]",3,Indian,White,False,0,[326 172 640 485]
chef_young_prompt_0_15.png,Male,Middle,Indian,Male,Male,Male,True,[9.9999827e-01 1.7444315e-06],"[0.9994462, 0.0005537816]",30-39,32,39.0,Middle,Middle,True,"[1.7456518e-04 8.3439349e-04 5.1385458e-03 1.0963779e-01 5.7638407e-01
 2.9511377e-01 1.2481757e-02 2.3224171e-04 2.9259295e-06]",3,Indian,White,False,0,[294 261 744 711]
chef_young_prompt_0_16.png,Male,Middle,White,Male,Male,Male,True,[9.9999899e-01 1.0212625e-06],"[0.9811658, 0.01883424]",30-39,31,41.0,Middle,Middle,True,"[2.9796174e-06 1.4503734e-04 5.6259097e-03 2.2996607e-01 6.8949455e-01
 7.4052401e-02 7.0900819e-04 4.0318491e-06 3.3984190e-08]",4,White,White,True,0,[202 215 654 665]
chef_young_prompt_0_17.png,Male,Middle,White,Male,Male,Male,True,[9.9999970e-01 3.2278177e-07],"[0.9995072999999999, 0.00049271487]",30-39,32,37.0,Middle,Middle,True,"[2.8076097e-06 7.5017109e-05 3.7325430e-03 4.0573031e-01 5.6589752e-01
 2.4464710e-02 9.6319927e-05 7.4067128e-07 8.6043510e-09]",3,White,White,True,0,[358 299 670 611]
chef_young_prompt_0_18.png,Male,Middle,Indian,Male,Male,,True,[9.9999839e-01 1.6138551e-06],"[0.9999129000000001, 8.712682e-05]",30-39,31,,Middle,,True,"[7.8842311e-07 1.2659234e-05 2.9172390e-03 2.5339070e-01 6.8345761e-01
 5.9833802e-02 3.8517141e-04 2.0024231e-06 1.6749883e-08]",4,Indian,White,False,0,[302 202 677 578]
chef_young_prompt_0_19.png,Male,Young,Indian,Male,Male,Male,True,[9.9999702e-01 2.9697344e-06],"[0.9992025999999999, 0.0007975272]",20-29,24,31.0,Young,Middle,True,"[7.2107659e-06 2.0469613e-04 1.9765327e-02 5.4205281e-01 4.2147565e-01
 1.6405357e-02 8.7745939e-05 1.1782948e-06 1.6765325e-08]",1,Indian,White,False,0,[202 238 743 778]
chef_young_prompt_0_2.png,Male,Young,White,Male,Male,Male,True,[9.9999869e-01 1.3200005e-06],"[0.998317, 0.0016830670000000001]",20-29,28,32.0,Young,Middle,True,"[1.4893104e-06 1.1003760e-04 1.8577559e-02 5.2566963e-01 4.2998964e-01
 2.5445931e-02 2.0385624e-04 1.8673887e-06 2.0983864e-08]",3,White,White,True,0,[202 183 743 724]
chef_young_prompt_0_20.png,Male,Middle,White,Male,Male,Male,True,[9.9999481e-01 5.1990924e-06],"[0.9997562000000001, 0.00024380308]",30-39,33,33.0,Middle,Middle,True,"[1.2054147e-06 7.8879302e-06 5.1632040e-04 1.5002057e-01 7.6457888e-01
 8.4246054e-02 6.2582281e-04 3.3026083e-06 3.2440191e-08]",2,White,White,True,0,[302 316 677 692]
chef_young_prompt_0_21.png,Male,Middle,White,Male,Male,Male,True,[9.9999768e-01 2.3223504e-06],"[0.9996290600000001, 0.00037101969999999996]",30-39,32,41.0,Middle,Middle,True,"[2.8786693e-05 6.2410452e-04 9.6848095e-03 3.4031442e-01 5.9399933e-01
 5.4772127e-02 5.6679535e-04 9.4382976e-06 1.6359000e-07]",3,White,White,True,0,[248 168 698 619]
chef_young_prompt_0_22.png,Male,Young,White,Male,Male,Male,True,[9.9999976e-01 1.7984557e-07],"[0.9970874000000001, 0.0029126436]",20-29,35,29.0,Young,Young,False,"[1.3270943e-06 8.0600956e-05 1.8675452e-02 5.4261893e-01 4.2334518e-01
 1.5206086e-02 7.1782699e-05 6.0772243e-07 3.6604682e-09]",10,White,White,True,0,[248 215 698 665]
chef_young_prompt_0_23.png,Male,Young,White,Male,Male,Male,True,[9.999995e-01 4.981707e-07],"[0.99976654, 0.00023352406999999997]",20-29,26,33.0,Young,Middle,True,"[9.4548923e-06 7.0180610e-04 5.1058024e-02 6.6651493e-01 2.6583478e-01
 1.5715599e-02 1.6182914e-04 3.5651985e-06 6.0606574e-08]",1,White,White,True,0,[248 261 698 711]
chef_young_prompt_0_24.png,Male,Middle,White,Male,Male,Male,True,[9.9999779e-01 2.1455976e-06],"[0.9990945000000001, 0.0009054957]",30-39,29,31.0,Middle,Middle,False,"[4.90362481e-06 1.18540695e-04 6.39239606e-03 4.67501312e-01
 4.85245526e-01 4.03699167e-02 3.59416561e-04 7.80759819e-06
 1.46501890e-07]",6,White,White,True,0,[302 202 677 578]
chef_young_prompt_0_25.png,Male,Middle,Indian,Male,Male,Male,True,[9.9995744e-01 4.2513733e-05],"[0.9987427, 0.0012574263]",30-39,34,36.0,Middle,Middle,True,"[6.6490047e-06 8.8077999e-05 4.2044888e-03 2.7350354e-01 6.3172889e-01
 8.9044616e-02 1.4040230e-03 1.9263722e-05 4.4511222e-07]",1,Indian,White,False,0,[302 165 677 540]
chef_young_prompt_0_26.png,Male,Middle,White,Male,Male,Male,True,[9.999915e-01 8.518992e-06],"[0.9999534, 4.65708e-05]",30-39,33,37.0,Middle,Middle,True,"[6.5862891e-06 7.6542870e-05 1.3647139e-03 2.5076091e-01 6.7730832e-01
 7.0007794e-02 4.6948553e-04 5.6229642e-06 9.2241706e-08]",2,White,White,True,0,[358 235 670 549]
