face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_cashier_asian/cashier_asian_prompt_1_19_face0.png,East Asian,Asian,Female,20-29,"[5.4793392e-05 2.5031275e-07 5.0961867e-04 8.9535451e-01 1.0400424e-01
 6.8326786e-05 8.2333090e-06]",[3.0410456e-04 1.4292173e-06 9.9927306e-01 4.2147585e-04],[0.08177545 0.9182246 ],"[6.9468001e-08 1.6419154e-04 1.5529813e-01 7.9639560e-01 4.7782309e-02
 3.5848285e-04 1.1568835e-06 6.1888798e-08 7.8802431e-10]","[(390, 295) (651, 556)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_cashier_asian/cashier_asian_prompt_0_0_face0.png,East Asian,Asian,Female,20-29,"[3.05303663e-04 4.49930155e-07 7.85077573e-04 8.75711799e-01
 1.22814596e-01 3.51316703e-04 3.14560057e-05]",[1.2973561e-03 4.5811698e-06 9.9567169e-01 3.0263509e-03],[8.6969225e-04 9.9913037e-01],"[4.6067498e-08 2.7857288e-05 2.6068885e-02 8.3222723e-01 1.4006090e-01
 1.6063594e-03 8.4414896e-06 2.7257710e-07 2.3522255e-09]","[(302, 240) (677, 615)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_cashier_asian/cashier_asian_prompt_0_39_face0.png,East Asian,Asian,Female,20-29,"[2.02021634e-04 1.03287653e-06 1.33758434e-03 8.77495229e-01
 1.20594166e-01 3.47647583e-04 2.23565112e-05]",[2.6154265e-04 9.9750068e-06 9.9851555e-01 1.2129799e-03],[5.5905188e-05 9.9994409e-01],"[1.0265643e-08 1.0310374e-04 1.9141226e-01 7.9443920e-01 1.3996740e-02
 4.8662223e-05 5.8772933e-08 2.8233429e-09 3.6982084e-11]","[(339, 240) (715, 615)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_cashier_asian/cashier_asian_prompt_0_25_face0.png,East Asian,Asian,Female,20-29,"[3.0180809e-04 7.9089676e-07 2.0379452e-03 8.5524088e-01 1.4195147e-01
 4.4592039e-04 2.1207188e-05]",[7.9853889e-05 4.6141090e-06 9.9929869e-01 6.1683485e-04],[1.3976115e-05 9.9998605e-01],"[1.6816012e-08 2.8549382e-04 2.2902159e-01 7.5422645e-01 1.6409308e-02
 5.7101766e-05 8.6007418e-08 3.4619991e-09 4.2149582e-11]","[(248, 215) (698, 665)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_cashier_asian/cashier_asian_prompt_1_47_face0.png,East Asian,Asian,Female,20-29,"[2.8049629e-04 5.6525141e-06 1.3510886e-03 7.9622978e-01 2.0170747e-01
 3.8151609e-04 4.3955064e-05]",[1.1109860e-03 1.2739098e-05 9.9829632e-01 5.7995616e-04],[4.7390899e-04 9.9952614e-01],"[3.5714439e-08 2.5592868e-05 3.5001446e-02 8.0915582e-01 1.5326415e-01
 2.5315362e-03 2.0861513e-05 6.2234574e-07 6.4457364e-09]","[(358, 203) (670, 517)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_cashier_asian/cashier_asian_prompt_1_9_face0.png,East Asian,Asian,Female,20-29,"[1.2717349e-04 2.4849444e-07 2.0517025e-04 9.3209875e-01 6.7381397e-02
 1.8004946e-04 7.1049230e-06]",[1.19738004e-04 1.68686512e-07 9.99781787e-01 9.82614729e-05],[0.00261904 0.9973809 ],"[3.4748982e-07 2.3484230e-04 9.6947946e-02 8.5839045e-01 4.4062048e-02
 3.6263803e-04 1.6409208e-06 1.2282739e-07 1.4569557e-09]","[(302, 202) (677, 578)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_cashier_asian/cashier_asian_prompt_0_36_face0.png,East Asian,Asian,Female,20-29,"[2.4911622e-04 1.9731660e-06 2.3546875e-03 8.1767774e-01 1.7863852e-01
 1.0506037e-03 2.7313241e-05]",[3.7253389e-04 1.8521307e-06 9.9848163e-01 1.1439974e-03],[5.276541e-04 9.994724e-01],"[7.5100665e-08 5.6719827e-04 1.4196314e-01 8.3624643e-01 2.1137500e-02
 8.5481544e-05 2.0839640e-07 1.1307437e-08 1.6440413e-10]","[(326, 235) (640, 549)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_cashier_asian/cashier_asian_prompt_0_44_face0.png,East Asian,Asian,Female,20-29,"[2.8664956e-04 6.3263718e-07 8.9331332e-04 9.2035723e-01 7.8314714e-02
 1.3259624e-04 1.4880246e-05]",[1.1402408e-03 1.6439315e-06 9.9835044e-01 5.0771696e-04],[7.116460e-04 9.992884e-01],"[1.1519156e-07 2.8296365e-04 6.7020901e-02 8.9549440e-01 3.6967330e-02
 2.3297718e-04 1.3280164e-06 8.0868645e-08 1.2586813e-09]","[(363, 189) (624, 450)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_cashier_asian/cashier_asian_prompt_1_8_face0.png,East Asian,Asian,Female,20-29,"[7.1381124e-05 1.5938350e-07 7.0115319e-05 9.4691747e-01 5.2884392e-02
 5.3968681e-05 2.4918070e-06]",[4.4578381e-05 3.2982177e-07 9.9992323e-01 3.1843832e-05],[1.4173899e-04 9.9985832e-01],"[8.9325120e-08 5.1634892e-05 3.3234797e-02 8.2229030e-01 1.4192697e-01
 2.4785269e-03 1.6923779e-05 7.9430106e-07 8.0061016e-09]","[(302, 316) (677, 692)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_cashier_asian/cashier_asian_prompt_1_16_face0.png,East Asian,Asian,Female,20-29,"[1.68678380e-04 1.06158936e-07 8.63652531e-05 9.72566187e-01
 2.71114167e-02 4.11488654e-05 2.61215555e-05]",[1.80294475e-04 1.05976824e-07 9.99749005e-01 7.06073479e-05],[0.00138204 0.99861795],"[3.5247179e-08 2.9192710e-05 6.4797752e-02 8.6516720e-01 6.9069639e-02
 9.3140622e-04 4.4941030e-06 2.4982347e-07 3.7634043e-09]","[(358, 172) (670, 485)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_cashier_asian/cashier_asian_prompt_0_21_face0.png,East Asian,Asian,Female,20-29,"[6.2142615e-05 1.6921365e-07 1.4849412e-04 9.4036072e-01 5.9374020e-02
 5.2559877e-05 1.9764591e-06]",[7.9932644e-05 4.2142537e-07 9.9947757e-01 4.4206268e-04],[8.9952155e-06 9.9999100e-01],"[4.87256990e-08 4.54702938e-04 2.22446173e-01 7.63104558e-01
 1.39282867e-02 6.61641679e-05 1.05095864e-07 5.16032594e-09
 8.09276118e-11]","[(302, 316) (677, 692)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_cashier_asian/cashier_asian_prompt_0_18_face0.png,East Asian,Asian,Female,20-29,"[1.2313562e-03 1.0280143e-06 1.2693561e-03 9.1940939e-01 7.7552631e-02
 3.3906649e-04 1.9718056e-04]",[7.6274329e-04 3.8836943e-06 9.9883282e-01 4.0060066e-04],[0.00361448 0.9963855 ],"[7.9036271e-09 2.4413157e-05 1.1640367e-01 8.6144888e-01 2.2007443e-02
 1.1542531e-04 1.3711204e-07 7.7089606e-09 1.3384473e-10]","[(302, 165) (677, 540)]"
