face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_chef_75 years old/chef_75 years old_37_face0.png,White,White,Male,60-69,"[5.3635615e-01 3.7123525e-04 2.8280066e-02 3.0068506e-03 1.0609075e-03
 4.6719561e-04 4.3045765e-01]",[9.8851460e-01 1.5672842e-04 1.0385603e-02 9.4299117e-04],[9.9991196e-01 8.8047185e-05],"[3.7298580e-06 3.3094223e-06 2.8394945e-05 1.1960865e-05 5.5946886e-05
 5.2254909e-04 3.3772871e-02 6.3517928e-01 3.3042195e-01]","[(326, 267) (640, 581)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_chef_75 years old/chef_75 years old_7_face0.png,White,White,Male,60-69,"[0.86655563 0.00113651 0.03762479 0.00230492 0.00123737 0.00150425
 0.08963659]",[0.9893084  0.00106383 0.00307951 0.00654821],[9.9998939e-01 1.0672946e-05],"[1.0938791e-04 7.3070252e-05 4.7813990e-04 9.8888660e-05 7.1640941e-04
 1.0902522e-02 2.5369468e-01 7.0840579e-01 2.5521088e-02]","[(202, 128) (743, 669)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_chef_75 years old/chef_75 years old_34_face0.png,Middle Eastern,White,Male,60-69,"[2.24214390e-01 1.16421936e-04 1.54018253e-02 1.25354854e-03
 4.04533406e-04 3.75191856e-04 7.58234084e-01]",[9.9873215e-01 4.9611441e-05 8.2442822e-04 3.9383152e-04],[9.9998099e-01 1.9033854e-05],"[3.1522181e-05 1.6255686e-05 1.1698711e-04 2.2106697e-05 1.2693672e-04
 1.2654451e-03 6.4279377e-02 7.8057003e-01 1.5357138e-01]","[(358, 299) (670, 611)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_chef_75 years old/chef_75 years old_32_face0.png,Middle Eastern,White,Male,60-69,"[2.8602472e-01 5.9174135e-04 5.6015614e-02 2.1308698e-03 1.3204842e-03
 3.0883390e-03 6.5082824e-01]",[9.9913090e-01 3.3619785e-05 2.9879267e-04 5.3664233e-04],[9.9995583e-01 4.4214084e-05],"[3.9773717e-05 2.1122472e-05 1.3492725e-04 3.0930711e-05 2.4779185e-04
 3.2864015e-03 1.4705086e-01 7.8257573e-01 6.6612452e-02]","[(248, 215) (698, 665)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_chef_75 years old/chef_75 years old_8_face0.png,White,White,Male,60-69,"[5.6619889e-01 5.4510345e-04 1.9838516e-01 6.6784630e-04 3.5717094e-04
 1.9704190e-03 2.3187527e-01]",[9.9646133e-01 6.2074070e-04 5.7776296e-04 2.3401259e-03],[9.9968863e-01 3.1140406e-04],"[2.9153569e-05 1.9643287e-05 1.5040637e-04 2.0079342e-05 2.3696331e-04
 4.7036954e-03 1.6961348e-01 7.6307297e-01 6.2153589e-02]","[(248, 168) (698, 619)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_chef_75 years old/chef_75 years old_30_face0.png,Middle Eastern,White,Male,60-69,"[0.25205022 0.00121461 0.13037653 0.00651972 0.00466284 0.00499668
 0.60017943]",[9.8347765e-01 3.6980424e-04 4.7434401e-03 1.1409158e-02],[9.9994200e-01 5.8014466e-05],"[1.01017205e-04 1.22196492e-04 4.02086735e-04 4.47648890e-05
 3.22576059e-04 3.35784070e-03 9.71576720e-02 7.85143971e-01
 1.13347851e-01]","[(302, 240) (677, 615)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_chef_75 years old/chef_75 years old_9_face0.png,White,White,Male,60-69,"[5.6449616e-01 3.3964496e-04 1.1594022e-01 1.1106210e-03 1.2981039e-03
 3.2052442e-03 3.1361008e-01]",[9.8942280e-01 3.3749189e-04 3.5539479e-03 6.6857478e-03],[9.9994600e-01 5.3971642e-05],"[1.8090868e-04 9.9153331e-05 6.5891683e-04 8.2522987e-05 9.1601582e-04
 1.6981646e-02 3.7226051e-01 5.8217657e-01 2.6643677e-02]","[(202, 128) (743, 669)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_chef_75 years old/chef_75 years old_3_face0.png,White,White,Male,60-69,"[0.753214   0.00348646 0.07653288 0.02375761 0.01482628 0.00574027
 0.12244253]",[0.8574475  0.00531399 0.07692458 0.06031393],[9.9994606e-01 5.3964646e-05],"[2.1611920e-04 1.1511817e-04 6.1356119e-04 1.7326111e-04 1.1658157e-03
 1.3672050e-02 2.5765347e-01 6.9281900e-01 3.3571545e-02]","[(339, 316) (715, 692)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_chef_75 years old/chef_75 years old_47_face0.png,White,White,Male,60-69,"[0.57990646 0.00069043 0.05891327 0.00105715 0.00063989 0.00244341
 0.35634938]",[9.9882513e-01 9.2138444e-06 7.9241960e-04 3.7330863e-04],[9.9920446e-01 7.9559878e-04],"[3.79004283e-04 3.67804983e-04 1.04219106e-03 9.56705990e-05
 5.16103057e-04 4.50441800e-03 1.11467205e-01 7.60730147e-01
 1.20897472e-01]","[(170, 186) (819, 835)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_chef_75 years old/chef_75 years old_39_face0.png,White,White,Male,60-69,"[0.481873   0.0014526  0.18530728 0.00599407 0.00334455 0.00320628
 0.31882218]",[9.8872685e-01 1.6790465e-04 8.5689491e-03 2.5363360e-03],[9.9950308e-01 4.9693725e-04],"[1.2636463e-04 6.4488835e-05 2.6742337e-04 4.7514575e-05 4.8173577e-04
 6.3947528e-03 1.5765429e-01 7.3178512e-01 1.0317838e-01]","[(302, 316) (677, 692)]"
