image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
journalist_elderly_0.png,Male,Old,White,Male,Male,Male,True,[0.9751777  0.02482223],"[0.9994247, 0.00057531066]",70+,50,80.0,Old,Old,False,"[2.9936058e-07 7.0375876e-07 4.5571292e-06 2.5660827e-06 5.8123728e-06
 5.6886147e-05 3.2151772e-03 1.5203294e-01 8.4468102e-01]",25,White,White,True,0,[294 261 744 711]
journalist_elderly_1.png,Male,Old,White,Male,Male,Male,True,[0.8161531 0.1838469],"[0.9979780599999999, 0.0020219345]",70+,54,81.0,Old,Old,False,"[3.7038185e-07 1.3768122e-06 5.9777344e-06 7.3356489e-07 1.8351770e-06
 2.1669532e-05 2.9630747e-03 1.5427320e-01 8.4273177e-01]",21,White,White,True,0,[337 268 599 529]
journalist_elderly_10.png,Male,Old,White,Male,Male,Male,True,[0.9983267  0.00167333],"[0.99859604, 0.0014040372000000002]",70+,47,78.0,Old,Old,False,"[1.0488444e-06 2.4005060e-06 1.5492626e-05 3.5566984e-06 9.5152782e-06
 1.0688339e-04 7.1735214e-03 3.0521986e-01 6.8746769e-01]",28,White,White,True,0,[294 203 608 517]
journalist_elderly_11.png,Male,Old,White,Male,Male,Male,True,[0.98645544 0.01354453],"[0.9831542, 0.016845742]",70+,48,82.0,Old,Old,False,"[8.1373692e-06 1.5638097e-05 8.2213373e-05 1.5188595e-05 6.6414061e-05
 6.8841228e-04 3.7280619e-02 4.5974877e-01 5.0209463e-01]",27,White,White,True,0,[390 162 651 423]
journalist_elderly_12.png,Male,Old,White,Male,Male,Male,True,[0.8804763  0.11952374],"[0.9994611, 0.00053891767]",70+,53,79.0,Old,Old,False,"[1.1958443e-07 9.5602138e-07 3.7122129e-06 1.0906853e-06 2.3428136e-06
 1.7757422e-05 1.5807922e-03 9.6965529e-02 9.0142769e-01]",22,White,White,True,0,[302 279 677 654]
journalist_elderly_13.png,Male,Old,White,Male,Male,Male,True,[0.97934264 0.02065736],"[0.998353, 0.0016470128]",70+,52,77.0,Old,Old,False,"[1.62585422e-07 5.99591033e-07 2.26351494e-06 1.01092394e-06
 2.25490521e-06 1.98410908e-05 1.45552389e-03 1.10252455e-01
 8.88265848e-01]",23,White,White,True,0,[294 305 744 756]
journalist_elderly_14.png,Male,Old,White,Male,Male,Male,True,[0.99344033 0.00655972],"[0.9998802999999999, 0.00011961704]",70+,52,68.0,Old,Old,False,"[2.1847582e-06 2.2772922e-06 1.1732595e-05 1.6283870e-05 5.3610940e-05
 6.6574779e-04 3.2593332e-02 4.1250244e-01 5.5415237e-01]",23,White,White,True,0,[248 305 698 756]
journalist_elderly_15.png,Male,Old,White,Male,Male,Male,True,[0.9974468  0.00255328],"[0.998262, 0.0017380509]",70+,46,83.0,Old,Old,False,"[7.0027210e-07 1.3100297e-06 8.9893056e-06 6.9814723e-06 2.1044203e-05
 1.8487053e-04 1.0375763e-02 2.1199545e-01 7.7740490e-01]",29,White,White,True,0,[358 235 670 549]
journalist_elderly_16.png,Male,Old,White,Male,Male,Male,True,[0.9968995  0.00310052],"[0.9998715, 0.00012851907]",70+,48,79.0,Old,Old,False,"[1.99534111e-06 6.10529241e-06 3.22585147e-05 1.35014870e-05
 1.98501202e-05 1.64019104e-04 1.00064175e-02 2.23541901e-01
 7.66213953e-01]",27,White,White,True,0,[248 261 698 711]
journalist_elderly_17.png,Male,Old,White,Male,Male,,True,[0.96976745 0.03023252],"[0.9983916, 0.0016083776999999998]",70+,49,,Old,,False,"[1.4359499e-06 6.5466293e-06 2.0682472e-05 2.6217940e-06 6.4974615e-06
 4.2854535e-05 2.6264035e-03 1.4019001e-01 8.5710293e-01]",26,White,White,True,0,[302 279 677 654]
journalist_elderly_18.png,Male,Old,White,Male,Male,Male,True,[9.9975497e-01 2.4501918e-04],"[0.99914, 0.0008599824]",70+,54,81.0,Old,Old,False,"[6.2227279e-08 9.5528378e-08 9.6083943e-07 6.9052959e-07 1.2785365e-06
 1.5811758e-05 2.8867275e-03 1.9960532e-01 7.9748905e-01]",21,White,White,True,0,[326 267 640 581]
