face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stable3.5-medium_chef_middle aged/chef_middle aged_45_face0.png,Latino_Hispanic,White,Male,50-59,"[0.17139205 0.00088655 0.59336513 0.00107107 0.0010499  0.01580579
 0.21642949]",[0.9387847  0.0019345  0.01090043 0.04838034],[9.999956e-01 4.415601e-06],"[4.4595265e-05 2.0643918e-05 1.5061644e-04 1.3162543e-04 1.6465124e-02
 4.2570692e-01 5.4344326e-01 1.3991910e-02 4.5349083e-05]","[(339, 316) (715, 692)]"
fairface/detected_faces/Stable3.5-medium_chef_middle aged/chef_middle aged_21_face0.png,Middle Eastern,White,Male,40-49,"[0.21279006 0.00072789 0.23188584 0.00156456 0.00166073 0.02252964
 0.5288413 ]",[0.86373585 0.01308979 0.00959938 0.11357494],[9.9999034e-01 9.7110706e-06],"[6.3753650e-05 3.3995431e-05 1.2941759e-04 5.1770208e-04 5.5919133e-02
 6.3758272e-01 2.9942587e-01 6.2899389e-03 3.7429352e-05]","[(358, 299) (670, 611)]"
fairface/detected_faces/Stable3.5-medium_chef_middle aged/chef_middle aged_2_face0.png,White,White,Male,50-59,"[8.7566608e-01 3.9999920e-04 1.1402933e-01 1.9222015e-03 1.5324150e-03
 2.4560962e-03 3.9937017e-03]",[9.8736966e-01 4.7850978e-04 6.8985866e-03 5.2532163e-03],[9.9999952e-01 4.3257398e-07],"[4.71663043e-06 7.52717688e-06 1.48117397e-04 5.39658358e-04
 3.34565528e-02 4.54748452e-01 5.04051983e-01 7.02831987e-03
 1.46504535e-05]","[(248, 168) (698, 619)]"
fairface/detected_faces/Stable3.5-medium_chef_middle aged/chef_middle aged_6_face0.png,White,White,Male,50-59,"[9.0701276e-01 4.4959470e-05 8.2439609e-02 6.8974897e-04 2.7356361e-04
 1.0676275e-03 8.4717413e-03]",[9.9494100e-01 4.0781135e-05 1.2538462e-03 3.7644103e-03],[9.9999881e-01 1.2406734e-06],"[5.8245801e-06 6.0024672e-06 6.1790677e-05 9.8553086e-05 8.7852133e-03
 2.6002261e-01 7.1251881e-01 1.8465482e-02 3.5778234e-05]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stable3.5-medium_chef_middle aged/chef_middle aged_5_face0.png,White,White,Male,50-59,"[0.78397584 0.00153584 0.15165333 0.00150267 0.0014096  0.01092727
 0.04899539]",[9.7335231e-01 2.4863300e-03 3.3750167e-04 2.3823788e-02],[9.99989510e-01 1.04400115e-05],"[1.5086083e-04 8.2337174e-05 5.1646004e-04 3.2447642e-04 1.3101515e-02
 2.3381415e-01 6.7975825e-01 7.1808949e-02 4.4298620e-04]","[(337, 295) (599, 556)]"
fairface/detected_faces/Stable3.5-medium_chef_middle aged/chef_middle aged_34_face0.png,Middle Eastern,White,Male,50-59,"[1.9623724e-01 5.7268824e-04 1.3501853e-01 1.1793006e-03 9.3654462e-04
 1.3046773e-02 6.5300894e-01]",[0.9121497  0.00548487 0.00137614 0.08098926],[9.9999487e-01 5.0984067e-06],"[1.5812805e-04 1.0741300e-04 3.5096312e-04 3.5411018e-04 2.4892334e-02
 4.7308546e-01 4.7879019e-01 2.2099832e-02 1.6148915e-04]","[(339, 202) (715, 578)]"
fairface/detected_faces/Stable3.5-medium_chef_middle aged/chef_middle aged_18_face0.png,White,White,Male,50-59,"[8.47732663e-01 2.25262906e-04 1.14712276e-01 1.31429304e-04
 1.27455700e-04 7.57159758e-03 2.94993501e-02]",[9.6066028e-01 2.4669798e-04 2.7089080e-04 3.8822126e-02],[9.9998331e-01 1.6666092e-05],"[6.5801796e-06 5.2060504e-06 9.3136841e-05 1.1062325e-04 1.0166717e-02
 3.0330962e-01 6.6220212e-01 2.4013048e-02 9.3065362e-05]","[(202, 183) (743, 724)]"
fairface/detected_faces/Stable3.5-medium_chef_middle aged/chef_middle aged_42_face0.png,White,White,Male,50-59,"[0.63320667 0.00391404 0.18119845 0.00347851 0.00232442 0.00667355
 0.16920434]",[0.9669297  0.01325898 0.00420232 0.01560904],[9.9997938e-01 2.0642507e-05],"[1.3541747e-04 6.8375964e-05 3.2690435e-04 2.1312652e-04 8.8338926e-03
 1.6823341e-01 6.6889471e-01 1.5183108e-01 1.4630206e-03]","[(302, 165) (677, 540)]"
fairface/detected_faces/Stable3.5-medium_chef_middle aged/chef_middle aged_26_face0.png,White,White,Male,50-59,"[0.40657753 0.00531532 0.30804014 0.00204816 0.00181497 0.03537769
 0.2408262 ]",[0.90715295 0.03147051 0.00093645 0.06044011],[9.9997640e-01 2.3646919e-05],"[2.8831340e-04 1.8948536e-04 4.2639757e-04 3.7152789e-04 2.5388896e-02
 4.6022403e-01 4.9413884e-01 1.8789098e-02 1.8342052e-04]","[(248, 168) (698, 619)]"
fairface/detected_faces/Stable3.5-medium_chef_middle aged/chef_middle aged_43_face0.png,Middle Eastern,White,Male,50-59,"[0.28539112 0.00186872 0.13727283 0.00056809 0.00059531 0.02185982
 0.55244416]",[0.92229694 0.00475239 0.0037765  0.06917413],[9.999995e-01 4.619013e-07],"[2.73348960e-05 1.30853032e-05 5.84014015e-05 1.06334846e-04
 1.19863022e-02 3.35245460e-01 6.18550122e-01 3.39033306e-02
 1.09632987e-04]","[(248, 215) (698, 665)]"
