image,age_deepface,gender_deepface,race_deepface,emotion_deepface,face_confidence_deepface,gender_Woman,gender_Man,race_asian,race_indian,race_black,race_white,race_middle eastern,race_latino hispanic,emotion_angry,emotion_disgust,emotion_fear,emotion_happy,emotion_sad,emotion_surprise,emotion_neutral
software engineer_male_prompt_0_18.png,32,Man,white,neutral,1.0,0.001005162,99.999,0.0023540182,0.035888534,0.00052933116,84.35943,12.93888,2.6629217,0.00096453715,1.137375e-13,1.7523638e-05,0.23685616,0.02619446,1.5193005e-07,99.73597
software engineer_male_prompt_0_15.png,31,Man,white,neutral,1.0,0.008946759,99.99105,0.12402182,1.1711546,0.1669786,46.808453,35.69496,16.034428,0.35043246,1.5166474e-05,0.0074505205,23.032064,1.1010327,0.006173748,75.50283
software engineer_male_prompt_0_11.png,28,Man,white,neutral,1.0,0.00034542193,99.99966,4.6157434e-06,3.6831738e-05,7.738291e-07,99.45644,0.31443292,0.22908446,6.148463,0.0059989537,0.65733486,0.5759759,20.175795,0.0017703286,72.43466
software engineer_male_prompt_1_12.png,29,Man,white,neutral,1.0,0.018202228,99.981804,0.53641295,2.5141966,0.086698666,51.09254,26.395723,19.37443,6.0006366,0.00029328658,0.17252146,10.169915,8.945731,0.021638513,74.68926
software engineer_male_prompt_0_23.png,33,Man,white,happy,1.0,0.09419862,99.90581,0.000296456,0.0015576171,3.4766425e-05,95.82719,2.7975175,1.3734055,0.0022754178,1.01349376e-13,1.9501552e-08,91.75943,0.00033086532,7.5301687e-06,8.237956
software engineer_male_prompt_1_27.png,29,Man,white,neutral,1.0,0.031072455,99.96893,0.0051414315,0.06326624,0.0025057145,76.707344,16.842846,6.3789024,0.10094933,2.2655121e-07,0.33276495,0.00067767256,3.056682,3.8531216e-06,96.50892
software engineer_male_prompt_0_39.png,32,Man,white,neutral,1.0,0.10948214,99.89052,0.7478379,1.455196,0.15056376,56.901134,16.556097,24.189173,0.011794624,3.9369592e-08,0.0007581534,0.15549561,0.25622025,0.0012364027,99.5745
software engineer_male_prompt_1_37.png,28,Man,white,neutral,1.0,0.26570836,99.73429,0.0015539946,0.11548495,0.0005317393,48.196117,47.252388,4.4339223,0.7120671,6.3511976e-07,0.5055675,0.11098412,0.9652243,0.000112625625,97.70605
software engineer_male_prompt_0_42.png,33,Man,white,neutral,1.0,0.13873662,99.86127,0.13178357,1.5268668,0.09796113,39.509262,28.484783,30.249348,0.10495818,1.305835e-06,0.018939365,30.968575,0.6698893,0.002381795,68.23526
software engineer_male_prompt_1_7.png,31,Man,white,neutral,1.0,0.016203083,99.9838,0.0073386626,0.013318847,0.0004048848,92.15901,4.7154417,3.1044884,0.0016655278,5.2769768e-11,0.0015966439,0.7195112,0.07591957,4.6539003e-06,99.2013
software engineer_male_prompt_1_26.png,30,Man,white,happy,1.0,0.024934303,99.97507,0.04448021,0.77487135,0.029854896,57.235672,30.575514,11.33961,0.00012901067,1.6379089e-07,0.00013545007,81.250565,0.056300424,0.0017159741,18.691156
software engineer_male_prompt_0_32.png,26,Man,middle eastern,happy,1.0,0.03510015,99.964905,0.05540956,2.4315455,0.10470913,36.83527,48.301186,12.271886,0.0002949511,6.5253844e-12,8.041846e-06,95.72083,0.0008784167,0.0006634647,4.2773294
software engineer_male_prompt_0_36.png,30,Man,white,neutral,1.0,0.25777394,99.74222,0.007467226,0.029108984,0.00055013504,85.96956,7.1159525,6.8773646,0.0003118825,2.3173126e-09,0.0070577567,0.23813538,0.15712379,2.076682e-06,99.597374
software engineer_male_prompt_1_5.png,29,Man,white,neutral,1.0,0.0020350139,99.99796,0.21299616,1.6993791,0.1412541,52.11414,27.16471,18.667522,26.02874,0.0042375317,6.96366,0.17737527,15.594015,0.031521674,51.200455
software engineer_male_prompt_0_33.png,25,Man,white,neutral,1.0,0.026320867,99.97367,0.054396644,0.62827516,0.06879637,58.768917,25.954576,14.525041,1.7385616,1.2916416e-06,0.02955047,0.02908135,2.1198924,0.00026126814,96.08266
software engineer_male_prompt_1_40.png,33,Man,white,happy,1.0,0.10575983,99.89424,0.34664094,0.7982426,0.09208581,63.40172,16.369102,18.99221,0.0016256546,5.3835988e-11,1.3779031e-06,89.50025,0.0033729316,7.74684e-05,10.494669
software engineer_male_prompt_1_17.png,30,Man,white,neutral,1.0,0.31196305,99.68804,1.1410503e-07,1.4456542e-06,3.3061405e-09,99.83701,0.055438,0.10754843,0.027463326,8.856645e-07,0.2097047,2.17991,0.83577484,0.000830812,96.746315
