image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
scientist_male_0.png,Male,Middle,White,Male,Male,Male,True,[9.9999446e-01 5.6146591e-06],"[0.9990308, 0.0009692375]",50-59,46,62,Middle,Old,True,"[3.8810067e-06 7.5668527e-06 3.1900205e-04 2.6023088e-03 2.9884420e-02
 2.6072502e-01 6.6343296e-01 4.2597562e-02 4.2726265e-04]",9,White,White,True,0,[390 136 651 398]
scientist_male_1.png,Male,Middle,White,Male,Male,Male,True,[9.999776e-01 2.238471e-05],"[0.99947174, 0.0005283454]",40-49,34,55,Middle,Middle,True,"[2.8176078e-06 1.4255191e-05 3.7035203e-04 6.6300975e-03 2.6493585e-01
 6.9303465e-01 3.4876049e-02 1.3510136e-04 8.9565287e-07]",11,White,White,True,0,[358 267 670 581]
scientist_male_10.png,Male,Middle,White,Male,Male,Male,True,[9.9999833e-01 1.6312913e-06],"[0.9998914999999999, 0.00010848121000000001]",30-39,33,51,Middle,Middle,True,"[3.7426241e-06 5.7086498e-05 5.8369855e-03 2.2126924e-01 6.6242784e-01
 1.0860334e-01 1.7808458e-03 2.0801876e-05 1.7436908e-07]",2,White,White,True,0,[363 295 624 556]
scientist_male_11.png,Male,Middle,White,Male,Male,Male,True,[9.9999976e-01 2.1324101e-07],"[0.9994571999999999, 0.00054286215]",30-39,35,48,Middle,Middle,True,"[9.2406759e-07 5.6782969e-06 1.2518121e-03 6.5067247e-02 4.5303914e-01
 4.1829920e-01 6.1593164e-02 7.3776318e-04 5.0782587e-06]",0,White,White,True,0,[302 165 677 540]
scientist_male_12.png,Male,Middle,White,Male,Male,Male,True,[9.9999744e-01 2.5433396e-06],"[0.9970943, 0.002905711]",30-39,30,52,Middle,Middle,True,"[1.0918569e-06 3.6961817e-05 4.3170638e-03 2.4209380e-01 6.6141319e-01
 9.1084912e-02 1.0463240e-03 6.5028230e-06 6.7310687e-08]",5,White,White,True,0,[363 268 624 529]
scientist_male_13.png,Male,Middle,White,Male,Male,Male,True,[9.9997181e-01 2.8190381e-05],"[0.9995921, 0.00040785354]",30-39,30,47,Middle,Middle,True,"[3.3846241e-05 2.9496406e-04 9.0508750e-03 2.0943740e-01 5.7729858e-01
 1.9665767e-01 7.1352385e-03 8.9743029e-05 1.6190720e-06]",5,White,White,True,0,[326 235 640 549]
scientist_male_14.png,Male,Middle,White,Male,Male,Male,True,[0.9951701 0.0048299],"[0.9999088999999999, 9.111309e-05]",40-49,28,41,Middle,Middle,False,"[6.0721322e-07 3.5561718e-06 4.8621325e-04 1.1972668e-02 1.2476806e-01
 5.4296571e-01 3.1133232e-01 8.1759691e-03 2.9497722e-04]",17,White,White,True,0,[326 235 640 549]
scientist_male_15.png,Male,Young,White,Male,Male,Male,True,[9.9998051e-01 1.9468403e-05],"[0.9998017, 0.00019837972]",20-29,32,30,Young,Middle,False,"[1.2468541e-06 7.0216694e-05 1.5454297e-02 5.7212150e-01 3.8583949e-01
 2.6195575e-02 3.1526317e-04 2.3430255e-06 8.5881361e-08]",7,White,White,True,0,[326 267 640 581]
scientist_male_16.png,Male,Middle,White,Male,Male,Male,True,[9.999994e-01 5.810513e-07],"[0.9998296000000001, 0.00017027084]",40-49,37,42,Middle,Middle,True,"[1.2523079e-05 1.4637702e-05 1.0963389e-04 6.7129633e-03 3.2415658e-01
 6.4526302e-01 2.3616433e-02 1.1370924e-04 5.4717606e-07]",8,White,White,True,0,[358 267 670 581]
scientist_male_17.png,Male,Middle,White,Male,Male,Male,True,[9.9992806e-01 7.1935712e-05],"[0.9985154, 0.0014845662000000002]",50-59,40,55,Middle,Middle,True,"[8.9978457e-06 1.8437697e-05 3.0909994e-04 3.0312024e-04 1.8000545e-02
 3.6558750e-01 6.0737264e-01 8.3614942e-03 3.8154802e-05]",15,White,White,True,0,[358 267 670 581]
scientist_male_18.png,Male,Young,White,Male,Male,Male,True,[9.999974e-01 2.610946e-06],"[0.9997739400000001, 0.0002261211]",20-29,29,42,Young,Middle,True,"[2.73241852e-07 6.64267463e-06 1.01269735e-02 7.47100115e-01
 2.33327404e-01 9.28211026e-03 1.52129185e-04 4.20094693e-06
 8.82113227e-08]",4,White,White,True,0,[302 279 677 654]
scientist_male_19.png,Male,Middle,White,Male,Male,Male,True,[9.9994785e-01 5.2144820e-05],"[0.9994966, 0.000503384]",50-59,37,59,Middle,Middle,True,"[1.0624154e-05 2.3510935e-05 5.4440543e-04 1.5191666e-03 3.2610096e-02
 4.5509794e-01 4.8782483e-01 2.2146922e-02 2.2249200e-04]",18,White,White,True,0,[363 268 624 529]
scientist_male_2.png,Male,Middle,White,Male,Male,Male,True,[9.9999601e-01 3.9665983e-06],"[0.9995953, 0.00040471020000000003]",30-39,31,43,Middle,Middle,True,"[1.4858790e-06 1.0708409e-05 2.2968666e-03 1.9538765e-01 6.6883969e-01
 1.3145138e-01 1.9930529e-03 1.8976385e-05 1.9295467e-07]",4,White,White,True,0,[358 235 670 549]
scientist_male_20.png,Male,Middle,White,Male,Male,Male,True,[9.9999428e-01 5.7683687e-06],"[0.9999273, 7.269651999999999e-05]",30-39,32,59,Middle,Middle,True,"[4.5085362e-06 3.9087783e-05 3.4516852e-03 1.4824486e-01 5.5599827e-01
 2.7484888e-01 1.7228140e-02 1.8084772e-04 3.7632856e-06]",3,White,White,True,0,[339 240 715 615]
scientist_male_21.png,Male,Middle,White,Male,Male,Male,True,[9.9999923e-01 8.0182934e-07],"[0.9982692, 0.0017307477]",50-59,35,51,Middle,Middle,True,"[1.0350399e-05 2.2813223e-05 6.9283968e-04 1.0673574e-03 2.1244075e-02
 2.9784498e-01 6.5288591e-01 2.6097652e-02 1.3402870e-04]",20,White,White,True,0,[341 185 559 403]
scientist_male_22.png,Male,Middle,White,Male,Male,Male,True,[9.9999648e-01 3.4748812e-06],"[0.9997759, 0.00022410205999999998]",40-49,28,46,Middle,Middle,False,"[2.0429404e-06 8.4350258e-06 6.7115400e-04 8.7083662e-03 2.5915170e-01
 6.7554796e-01 5.5527352e-02 3.8134222e-04 1.7572225e-06]",17,White,White,True,0,[337 216 599 477]
scientist_male_23.png,Male,Middle,White,Male,Male,Male,True,[9.9997914e-01 2.0850726e-05],"[0.9987451, 0.0012549040999999999]",30-39,32,42,Middle,Middle,True,"[1.1222321e-06 1.5961259e-05 1.1886075e-03 5.7743054e-02 4.5317221e-01
 4.5187193e-01 3.5750732e-02 2.5365059e-04 2.7704029e-06]",3,White,White,True,0,[326 235 640 549]
scientist_male_24.png,Male,Middle,White,Male,Male,Male,True,[9.999990e-01 9.740762e-07],"[0.9999075999999999, 9.235699e-05]",30-39,34,39,Middle,Middle,True,"[9.7668874e-07 8.4063222e-06 6.8254443e-04 1.3353856e-01 7.3777568e-01
 1.2723400e-01 7.5613480e-04 3.6345798e-06 4.3459195e-08]",1,White,White,True,0,[302 316 677 692]
scientist_male_25.png,Male,Young,White,Male,Male,Male,True,[9.999241e-01 7.584858e-05],"[0.9955063, 0.0044936505]",20-29,29,31,Young,Middle,True,"[7.9549955e-07 2.3702827e-05 8.1255771e-03 5.6759924e-01 3.8983378e-01
 3.3996802e-02 4.1453203e-04 5.4383950e-06 1.4688385e-07]",4,White,White,True,0,[407 250 624 468]
scientist_male_26.png,Male,Middle,White,Male,Male,Male,True,[9.9998868e-01 1.1325673e-05],"[0.9993909, 0.0006090962]",40-49,39,53,Middle,Middle,True,"[7.1981462e-06 9.7953944e-06 1.2898151e-04 9.6745649e-04 8.0402166e-02
 7.5332612e-01 1.6328166e-01 1.8601209e-03 1.6469099e-05]",6,White,White,True,0,[302 240 677 615]
scientist_male_27.png,Male,Middle,White,Male,Male,Male,True,[9.999998e-01 1.904784e-07],"[0.9940447, 0.005955273]",50-59,45,72,Middle,Old,True,"[1.8027795e-05 1.3005772e-05 2.8135529e-04 8.3312625e-04 6.7766802e-03
 8.3985269e-02 7.7205068e-01 1.3544750e-01 5.9431983e-04]",10,White,White,True,0,[417 189 677 450]
scientist_male_28.png,Male,Middle,White,Male,Male,Male,True,[9.9999857e-01 1.4674310e-06],"[0.99996414, 3.5853875e-05]",40-49,36,57,Middle,Middle,True,"[2.0497420e-05 5.2271986e-05 1.2506858e-03 8.5943937e-03 1.3878217e-01
 6.1854875e-01 2.3043197e-01 2.3068488e-03 1.2387933e-05]",9,White,White,True,0,[326 172 640 485]
scientist_male_29.png,Male,Middle,White,Male,Male,Male,True,[9.9999857e-01 1.3909406e-06],"[0.9995739, 0.00042609269999999995]",30-39,26,46,Middle,Middle,False,"[4.2173992e-06 2.5037547e-05 1.1848379e-03 6.9647603e-02 6.4727533e-01
 2.7505210e-01 6.7538130e-03 5.6453551e-05 5.4212393e-07]",9,White,White,True,0,[358 140 670 454]
scientist_male_3.png,Male,Middle,White,Male,Male,Male,True,[9.9999321e-01 6.8514028e-06],"[0.99846725, 0.0015327068999999999]",40-49,33,63,Middle,Old,True,"[3.5643652e-06 5.8728965e-06 1.3376118e-04 5.0025815e-03 2.4728854e-01
 7.1360373e-01 3.3749018e-02 2.1133962e-04 1.5922200e-06]",12,White,White,True,0,[326 267 640 581]
scientist_male_30.png,Male,Middle,White,Male,Male,Male,True,[0.9979632  0.00203675],"[0.99984184, 0.00015818805]",30-39,33,43,Middle,Middle,True,"[3.74891698e-07 8.24921790e-06 3.47569888e-03 2.47218102e-01
 6.31176531e-01 1.15638226e-01 2.46157870e-03 2.06875302e-05
 4.81157485e-07]",2,White,White,True,0,[400 199 582 381]
scientist_male_31.png,Male,Middle,White,Male,Male,Male,True,[9.9999595e-01 4.0747504e-06],"[0.99836525, 0.0016347551]",30-39,34,59,Middle,Middle,True,"[3.0358863e-06 5.7138630e-05 5.0241170e-03 1.9962370e-01 5.9768367e-01
 1.8751639e-01 9.8694423e-03 2.1654641e-04 5.9691074e-06]",1,White,White,True,0,[311 295 572 556]
