face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stablexl1.0_police officer_white/police officer_white_13_face0.png,White,White,Male,30-39,"[9.7485095e-01 4.9848684e-05 1.4075849e-02 2.4149588e-06 1.0282723e-05
 8.2619244e-04 1.0184492e-02]",[9.9184024e-01 9.7664437e-05 3.5039106e-05 8.0270534e-03],[9.9996436e-01 3.5628604e-05],"[1.49883035e-05 4.08826309e-04 1.71949565e-02 3.29610437e-01
 5.55389404e-01 9.51789618e-02 2.18281569e-03 1.92866100e-05
 2.66950224e-07]","[(363, 241) (624, 503)]"
fairface/detected_faces/Stablexl1.0_police officer_white/police officer_white_44_face0.png,White,White,Male,30-39,"[9.74844038e-01 1.69971136e-05 1.48184178e-02 1.17088355e-04
 1.06775304e-04 1.07053347e-04 9.98954754e-03]",[9.9867803e-01 9.5235293e-05 1.7804689e-04 1.0486660e-03],[9.9999607e-01 3.9437778e-06],"[6.7344731e-06 8.6053769e-05 9.1985520e-03 2.4716532e-01 6.0512930e-01
 1.3621001e-01 2.1798015e-03 2.4076271e-05 1.9520435e-07]","[(302, 316) (677, 692)]"
fairface/detected_faces/Stablexl1.0_police officer_white/police officer_white_15_face0.png,White,White,Male,30-39,"[7.7602375e-01 2.6956716e-04 3.3552065e-02 3.6882269e-05 9.1651404e-05
 2.4198400e-04 1.8978408e-01]",[9.9517399e-01 2.6930375e-03 1.1662391e-03 9.6671301e-04],[9.9999624e-01 3.7512730e-06],"[8.1461330e-08 3.5480655e-06 3.8323442e-03 4.2228293e-01 5.4974139e-01
 2.4005188e-02 1.3323345e-04 1.2250687e-06 1.7566045e-08]","[(326, 235) (640, 549)]"
fairface/detected_faces/Stablexl1.0_police officer_white/police officer_white_29_face0.png,White,White,Male,30-39,"[9.9307740e-01 3.0158870e-05 5.0159940e-03 2.3328888e-05 2.6735284e-05
 1.7739785e-05 1.8085272e-03]",[9.9910313e-01 3.7247210e-04 3.5766137e-04 1.6665754e-04],[9.9999851e-01 1.4643254e-06],"[2.9642408e-06 1.1170166e-05 1.2065872e-03 1.6202566e-01 7.0602894e-01
 1.2792036e-01 2.7794081e-03 2.4644607e-05 2.5472974e-07]","[(326, 331) (640, 643)]"
fairface/detected_faces/Stablexl1.0_police officer_white/police officer_white_7_face0.png,White,White,Male,30-39,"[8.4968895e-01 1.0835319e-03 1.1821741e-01 1.0273303e-04 1.6302044e-04
 8.5301884e-04 2.9891357e-02]",[9.8697925e-01 8.9679733e-03 4.7129177e-04 3.5815248e-03],[9.9990296e-01 9.7109405e-05],"[1.4137735e-05 2.7906796e-04 1.3038485e-02 2.6434132e-01 6.2588865e-01
 9.3809381e-02 2.5937113e-03 3.4596076e-05 6.6736379e-07]","[(326, 267) (640, 581)]"
fairface/detected_faces/Stablexl1.0_police officer_white/police officer_white_43_face0.png,White,White,Male,30-39,"[9.4262427e-01 9.0737296e-05 2.6740717e-02 4.1497722e-05 4.6951220e-05
 1.1245433e-04 3.0343354e-02]",[9.9819702e-01 3.8230457e-04 3.4022573e-04 1.0805540e-03],[9.999991e-01 8.523624e-07],"[2.0585901e-06 3.3280074e-05 3.1190929e-03 2.1416594e-01 6.9781804e-01
 8.4303133e-02 5.5621844e-04 2.2072018e-06 1.6885446e-08]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stablexl1.0_police officer_white/police officer_white_47_face0.png,White,White,Male,30-39,"[5.7350498e-01 5.1748974e-04 2.1206580e-01 1.1040953e-04 2.3459009e-04
 2.0876115e-03 2.1147920e-01]",[9.9270874e-01 2.9537987e-03 1.3105613e-04 4.2064693e-03],[9.9999994e-01 9.2770399e-08],"[2.8780171e-06 5.7003519e-05 5.9315492e-03 2.0468110e-01 6.7880464e-01
 1.0948707e-01 1.0281517e-03 7.5049647e-06 4.1387871e-08]","[(311, 162) (572, 423)]"
fairface/detected_faces/Stablexl1.0_police officer_white/police officer_white_22_face0.png,White,White,Male,30-39,"[6.5123928e-01 2.6435032e-04 1.7893444e-01 1.4449262e-04 1.4627275e-04
 3.7461391e-03 1.6552502e-01]",[9.9172229e-01 4.8192515e-04 1.8968391e-04 7.6061059e-03],[9.9997604e-01 2.3907181e-05],"[1.4206372e-06 1.7307299e-05 2.7248191e-03 1.9387478e-01 7.0705533e-01
 9.5454447e-02 8.6702127e-04 4.7589901e-06 7.6948545e-08]","[(326, 299) (640, 611)]"
fairface/detected_faces/Stablexl1.0_police officer_white/police officer_white_31_face0.png,White,White,Male,30-39,"[9.56068575e-01 7.47478480e-05 3.41123939e-02 3.54482381e-06
 1.26683735e-05 1.45489583e-04 9.58257541e-03]",[9.9885446e-01 6.1822473e-04 9.3855824e-06 5.1799277e-04],[9.9997222e-01 2.7787735e-05],"[2.0971724e-08 2.8388098e-07 6.5673236e-04 3.3607543e-01 6.3191640e-01
 3.1202570e-02 1.4787070e-04 6.8453988e-07 1.1464377e-08]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stablexl1.0_police officer_white/police officer_white_36_face0.png,White,White,Male,30-39,"[8.7619799e-01 9.4136944e-05 5.2592348e-02 6.2541629e-05 6.7956709e-05
 1.1726039e-03 6.9812357e-02]",[9.7004682e-01 3.1035743e-03 2.9280913e-04 2.6556775e-02],[9.9997002e-01 2.9951198e-05],"[5.9087238e-06 4.0781295e-05 1.6720179e-03 1.0506000e-01 6.5960807e-01
 2.2942539e-01 4.1651661e-03 2.2503309e-05 2.3484940e-07]","[(390, 321) (651, 582)]"
