face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stable3.5-medium_waiter_white/waiter_white_10_face0.png,White,White,Male,30-39,"[7.1253264e-01 3.5844892e-04 2.7060023e-02 1.4411937e-04 1.7202015e-04
 2.9676396e-04 2.5943607e-01]",[9.9752271e-01 1.7858385e-04 3.0790208e-04 1.9907265e-03],[9.9999934e-01 6.5149140e-07],"[2.8125583e-06 1.2878477e-05 9.9420862e-04 1.0841516e-01 6.9907981e-01
 1.8835124e-01 3.1223504e-03 2.1289792e-05 2.3630250e-07]","[(326, 331) (640, 643)]"
fairface/detected_faces/Stable3.5-medium_waiter_white/waiter_white_33_face0.png,Middle Eastern,White,Male,20-29,"[1.0049974e-01 9.0812115e-05 1.5369086e-02 1.2152218e-04 1.9107721e-04
 1.0751764e-03 8.8265258e-01]",[0.9745444  0.00420296 0.00116557 0.02008705],[9.9995834e-01 4.1630596e-05],"[2.1846459e-05 6.4269541e-04 2.5683168e-02 6.1989802e-01 3.3641273e-01
 1.7172545e-02 1.6410890e-04 4.7412927e-06 1.4092844e-07]","[(202, 183) (743, 724)]"
fairface/detected_faces/Stable3.5-medium_waiter_white/waiter_white_5_face0.png,White,White,Male,30-39,"[5.8885616e-01 1.6654623e-04 1.6205715e-01 6.2202994e-04 7.2287285e-04
 7.0773801e-03 2.4049790e-01]",[9.7370553e-01 1.1258138e-03 5.4925191e-04 2.4619425e-02],[9.999599e-01 4.012363e-05],"[1.16127721e-05 5.73371253e-05 2.74700299e-03 1.94123268e-01
 6.86929226e-01 1.14491202e-01 1.62569073e-03 1.44342785e-05
 2.47423316e-07]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stable3.5-medium_waiter_white/waiter_white_42_face0.png,White,White,Male,30-39,"[0.60292846 0.00223925 0.1830566  0.00320345 0.00376107 0.00202186
 0.20278925]",[0.99262035 0.00110755 0.00317447 0.00309772],[9.9999994e-01 8.5446096e-08],"[1.1161972e-06 2.1822068e-05 3.5416263e-03 3.0673775e-01 6.3390756e-01
 5.5182170e-02 6.0299202e-04 4.9717910e-06 4.3096133e-08]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stable3.5-medium_waiter_white/waiter_white_15_face0.png,Middle Eastern,White,Male,30-39,"[1.4728187e-01 1.3388497e-04 4.0422346e-02 8.0254984e-05 1.7781198e-04
 4.4667493e-03 8.0743712e-01]",[0.91492957 0.00541205 0.00126954 0.07838896],[9.9998695e-01 1.3066047e-05],"[1.7032000e-05 1.2094913e-04 2.5772131e-03 1.5931547e-01 6.7987949e-01
 1.5617269e-01 1.8943849e-03 2.2264394e-05 4.6948594e-07]","[(248, 305) (698, 756)]"
fairface/detected_faces/Stable3.5-medium_waiter_white/waiter_white_4_face0.png,Middle Eastern,White,Male,30-39,"[2.7043605e-01 9.8402656e-05 2.6091807e-02 3.7160880e-05 7.7366807e-05
 1.2728500e-03 7.0198637e-01]",[9.8931825e-01 6.7345891e-04 2.2989527e-04 9.7784363e-03],[9.9999434e-01 5.6758086e-06],"[3.8144412e-06 1.1384094e-04 5.4057105e-03 4.1422400e-01 5.4648840e-01
 3.3581581e-02 1.8114803e-04 1.4282223e-06 2.2560624e-08]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stable3.5-medium_waiter_white/waiter_white_14_face0.png,Middle Eastern,White,Male,30-39,"[2.20125347e-01 1.23124453e-03 1.11599594e-01 6.19787839e-04
 1.20822550e-03 6.09594071e-03 6.59119785e-01]",[0.9713977  0.00103673 0.00148957 0.02607596],[9.9997205e-01 2.7942842e-05],"[1.2928082e-05 3.0576557e-05 1.2266076e-03 6.2923625e-02 6.1653978e-01
 3.0937642e-01 9.7323675e-03 1.5464399e-04 3.0002702e-06]","[(262, 235) (576, 549)]"
fairface/detected_faces/Stable3.5-medium_waiter_white/waiter_white_2_face0.png,White,White,Male,20-29,"[8.3524543e-01 1.3674465e-04 5.3450398e-02 2.4927399e-04 3.8721846e-04
 1.2670198e-03 1.0926394e-01]",[9.6690273e-01 2.2451716e-04 8.7044394e-04 3.2002334e-02],[9.999997e-01 2.971683e-07],"[7.0020326e-07 6.3553693e-05 9.5301280e-03 5.5198830e-01 4.2226356e-01
 1.6082363e-02 7.0995346e-05 3.5958399e-07 4.4800355e-09]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stable3.5-medium_waiter_white/waiter_white_8_face0.png,Middle Eastern,White,Male,30-39,"[1.8361688e-01 1.1992197e-03 1.3306966e-01 7.3837567e-05 1.1285878e-04
 1.3493923e-02 6.6843361e-01]",[9.1452509e-01 1.0208678e-02 6.8988407e-04 7.4576363e-02],[9.9999779e-01 2.1507346e-06],"[1.6143918e-05 7.4702482e-05 1.1586964e-03 2.1010308e-01 7.0276922e-01
 8.4919587e-02 9.5219939e-04 6.2944505e-06 8.2240931e-08]","[(326, 299) (640, 611)]"
fairface/detected_faces/Stable3.5-medium_waiter_white/waiter_white_32_face0.png,Middle Eastern,White,Male,20-29,"[2.1212462e-01 8.8226516e-04 1.4768231e-01 8.7738001e-05 3.0752344e-04
 1.8236564e-02 6.2067890e-01]",[0.878946   0.00597192 0.00196068 0.11312145],[9.9998713e-01 1.2889771e-05],"[4.6915204e-07 3.8299935e-05 9.5813172e-03 5.5712056e-01 4.2055854e-01
 1.2662727e-02 3.7794460e-05 2.7136932e-07 5.0596349e-09]","[(248, 215) (698, 665)]"
