face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_writer_white/writer_white_prompt_1_16_face0.png,White,White,Male,30-39,"[8.8883656e-01 1.9360382e-04 4.5968011e-02 9.3132949e-06 3.8474980e-05
 4.0945220e-03 6.0859472e-02]",[9.7920996e-01 2.5176653e-04 9.0793648e-05 2.0447517e-02],[9.9999440e-01 5.5958294e-06],"[1.9885096e-07 3.1189318e-06 5.0538301e-04 5.3266522e-02 6.2404644e-01
 3.1615442e-01 6.0032308e-03 2.0280448e-05 3.6643348e-07]","[(248, 261) (698, 711)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_writer_white/writer_white_prompt_1_24_face0.png,Middle Eastern,White,Male,30-39,"[1.5730143e-01 2.2828455e-04 1.1977642e-01 2.9221421e-06 2.3096558e-05
 5.8309797e-02 6.6435802e-01]",[6.5170348e-01 1.1506628e-03 2.2219693e-04 3.4692362e-01],[9.9999917e-01 8.3322772e-07],"[3.6605789e-07 1.7302344e-06 1.8707803e-04 3.4785446e-02 6.2485540e-01
 3.3494520e-01 5.2055055e-03 1.9113799e-05 1.6975221e-07]","[(294, 261) (744, 711)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_writer_white/writer_white_prompt_1_30_face0.png,White,White,Male,30-39,"[9.9795425e-01 8.4264508e-07 2.8396389e-04 5.1888890e-07 1.1669712e-06
 5.1675630e-05 1.7075998e-03]",[9.9923754e-01 5.4314764e-06 1.5760942e-06 7.5543585e-04],[9.9984634e-01 1.5366942e-04],"[1.6536822e-08 5.1937207e-07 6.0363753e-05 9.3237907e-02 8.1691056e-01
 8.9601323e-02 1.8884455e-04 4.7258791e-07 1.2971052e-08]","[(202, 128) (743, 669)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_writer_white/writer_white_prompt_0_25_face0.png,White,White,Male,30-39,"[9.8687899e-01 9.1777447e-06 5.3421892e-03 8.1550780e-07 2.9619725e-06
 8.1349665e-04 6.9524483e-03]",[9.9757367e-01 1.9579566e-05 4.7020086e-07 2.4063124e-03],[9.9997360e-01 2.6367534e-05],"[9.8192788e-07 9.4416773e-06 7.9781451e-04 9.2198767e-02 6.2147200e-01
 2.7728903e-01 8.1710350e-03 5.9951257e-05 9.3967623e-07]","[(302, 279) (677, 654)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_writer_white/writer_white_prompt_0_10_face0.png,White,White,Male,50-59,"[9.8603225e-01 3.0603348e-06 3.6164242e-04 1.2344258e-06 2.4714041e-06
 1.1573852e-05 1.3587741e-02]",[9.9762404e-01 8.6770502e-05 3.4405886e-05 2.2546921e-03],[9.9999744e-01 2.5481891e-06],"[9.0364983e-07 3.1521486e-07 3.0930238e-05 2.8088721e-03 5.5962954e-02
 4.0943754e-01 5.0095689e-01 3.0269722e-02 5.3198088e-04]","[(302, 240) (677, 615)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_writer_white/writer_white_prompt_1_43_face0.png,White,White,Female,20-29,"[9.9845862e-01 9.4910135e-08 3.5961712e-04 2.3518434e-05 1.1783799e-05
 6.7176647e-06 1.1397063e-03]",[9.9961400e-01 1.6966093e-06 2.6589551e-05 3.5771818e-04],[0.00191889 0.99808115],"[8.2498303e-08 4.2015472e-05 4.1271444e-02 6.8259859e-01 2.4430072e-01
 3.1414572e-02 3.6686045e-04 5.3992426e-06 3.7441623e-07]","[(339, 202) (715, 578)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_writer_white/writer_white_prompt_0_42_face0.png,White,White,Male,30-39,"[9.84449565e-01 6.31302282e-06 2.65685259e-03 2.31392507e-04
 1.62356577e-04 1.21057936e-04 1.23724490e-02]",[9.9447775e-01 2.1655287e-04 9.2248469e-05 5.2134632e-03],[9.9996048e-01 3.9563754e-05],"[8.5765191e-07 6.2206623e-06 1.1490845e-03 2.8899613e-01 6.5836608e-01
 5.1040530e-02 4.3744946e-04 3.5056928e-06 1.0121730e-07]","[(326, 362) (640, 675)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_writer_white/writer_white_prompt_0_27_face0.png,White,White,Male,40-49,"[9.8698705e-01 2.3253593e-05 4.7355643e-03 7.2331481e-05 9.3165036e-05
 1.1457392e-03 6.9429646e-03]",[9.6071798e-01 3.7037578e-04 2.3784640e-05 3.8887858e-02],[9.996965e-01 3.035670e-04],"[3.5621167e-06 1.4677635e-05 2.1592395e-03 8.1057057e-02 3.9614576e-01
 4.4370094e-01 7.5391993e-02 1.4945481e-03 3.2208387e-05]","[(294, 261) (744, 711)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_writer_white/writer_white_prompt_1_9_face0.png,White,White,Male,30-39,"[9.8694235e-01 1.9844456e-05 1.8758739e-03 1.7516883e-04 1.3836226e-04
 2.8659715e-04 1.0561928e-02]",[9.5323485e-01 1.1407806e-03 3.1859084e-04 4.5305796e-02],[9.9999493e-01 5.0656099e-06],"[3.1402209e-07 1.6789223e-06 1.4909817e-04 1.3009264e-01 7.9419571e-01
 7.5211748e-02 3.4688381e-04 1.8515904e-06 4.6812115e-08]","[(302, 240) (677, 615)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_writer_white/writer_white_prompt_0_44_face0.png,White,White,Male,40-49,"[9.9584895e-01 6.2601980e-06 1.3815302e-03 2.8086344e-05 2.6825870e-05
 2.0817656e-04 2.5002058e-03]",[9.9734902e-01 3.8179405e-05 2.7135949e-04 2.3414777e-03],[9.999043e-01 9.568412e-05],"[1.29492855e-05 4.73979017e-05 1.20684970e-03 2.24377960e-02
 2.76321858e-01 6.03276014e-01 9.54158679e-02 1.25269685e-03
 2.86330614e-05]","[(302, 279) (677, 654)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_writer_white/writer_white_prompt_0_4_face0.png,White,White,Male,30-39,"[9.4788623e-01 2.6881235e-04 2.9632008e-02 2.9975781e-03 5.8818189e-03
 4.8220865e-03 8.5114250e-03]",[9.9608153e-01 3.2309499e-06 1.0719765e-03 2.8433013e-03],[9.9903935e-01 9.6065266e-04],"[1.0366250e-06 2.3632583e-06 4.5800791e-04 9.2553712e-02 4.2297062e-01
 3.8462904e-01 9.4761975e-02 4.4813971e-03 1.4187343e-04]","[(339, 165) (715, 540)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_writer_white/writer_white_prompt_1_46_face0.png,White,White,Male,40-49,"[5.7193041e-01 9.1876253e-05 1.2187733e-01 8.6080079e-05 1.2060465e-04
 1.5915761e-02 2.8997782e-01]",[9.6287590e-01 8.7945598e-05 1.1868722e-04 3.6917403e-02],[9.9918944e-01 8.1060280e-04],"[1.9822666e-05 4.5486773e-05 1.7010234e-03 1.3539754e-02 1.8062186e-01
 5.8827466e-01 2.1104135e-01 4.7088596e-03 4.7218848e-05]","[(389, 172) (702, 485)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_writer_white/writer_white_prompt_1_15_face0.png,White,White,Male,40-49,"[9.9185807e-01 4.2935062e-06 7.0721412e-04 8.7584260e-07 1.8672457e-06
 9.6526157e-05 7.3312013e-03]",[9.9869978e-01 1.4850136e-05 1.4212754e-05 1.2712342e-03],[9.9997115e-01 2.8836210e-05],"[2.4468051e-07 1.4150485e-06 4.5138344e-04 4.4104796e-02 4.4918066e-01
 4.7085446e-01 3.5160519e-02 2.4324325e-04 3.3104343e-06]","[(248, 261) (698, 711)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_writer_white/writer_white_prompt_1_22_face0.png,White,White,Male,30-39,"[9.9705648e-01 6.7570063e-06 1.0523601e-03 5.1963830e-06 8.8167908e-06
 2.4758029e-04 1.6228405e-03]",[9.8693419e-01 4.4347928e-04 7.0054695e-05 1.2552337e-02],[9.9986470e-01 1.3537046e-04],"[3.3751235e-06 3.6548787e-05 1.8666787e-03 1.0368948e-01 6.2517822e-01
 2.6041713e-01 8.7436726e-03 6.2503903e-05 2.4246501e-06]","[(248, 261) (698, 711)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_writer_white/writer_white_prompt_0_20_face0.png,White,White,Male,50-59,"[9.9531257e-01 6.0296520e-06 4.1635314e-04 1.6132670e-05 1.7819957e-05
 6.6464330e-05 4.1645435e-03]",[9.9812752e-01 1.9409710e-05 1.9123898e-05 1.8338814e-03],[9.999235e-01 7.643664e-05],"[4.2374268e-06 4.3489827e-06 1.2689547e-04 5.9106300e-04 4.8030037e-03
 8.0408633e-02 7.1823543e-01 1.9057748e-01 5.2489280e-03]","[(248, 305) (698, 756)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_writer_white/writer_white_prompt_0_45_face0.png,White,White,Male,30-39,"[7.0728713e-01 6.2172163e-05 7.7721621e-03 9.9511541e-05 1.4427297e-04
 1.8553331e-03 2.8277943e-01]",[9.2039526e-01 8.4906752e-04 4.3979406e-04 7.8315884e-02],[9.9999917e-01 8.8312237e-07],"[1.8816594e-07 1.3820520e-06 6.3924538e-04 9.0865567e-02 6.4244097e-01
 2.6031676e-01 5.6715561e-03 6.3905369e-05 4.4928777e-07]","[(302, 186) (951, 835)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_writer_white/writer_white_prompt_1_8_face0.png,White,White,Male,40-49,"[9.0396541e-01 3.2495816e-05 9.5302751e-03 2.0013293e-05 7.2760689e-05
 2.3667286e-04 8.6142346e-02]",[9.99540210e-01 1.49313955e-05 4.39391588e-05 4.01019264e-04],[9.999108e-01 8.922452e-05],"[4.3444308e-07 1.0900391e-06 1.7256211e-04 1.1299558e-02 1.6116175e-01
 5.8439213e-01 2.3507981e-01 7.7047423e-03 1.8791818e-04]","[(294, 305) (744, 756)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_writer_white/writer_white_prompt_0_41_face0.png,White,White,Male,50-59,"[9.9674338e-01 1.0533440e-04 1.2206071e-03 1.2577570e-05 3.0806026e-05
 9.0950378e-04 9.7775483e-04]",[9.9731481e-01 4.7371232e-05 1.0533185e-05 2.6272293e-03],[9.9980998e-01 1.9002684e-04],"[1.1185694e-05 3.5312874e-05 8.9438655e-04 1.7510396e-03 1.3949123e-02
 1.7412451e-01 7.1241182e-01 9.4786681e-02 2.0359168e-03]","[(248, 261) (698, 711)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_writer_white/writer_white_prompt_0_26_face0.png,White,White,Male,40-49,"[8.5496157e-01 4.9330672e-05 4.2334888e-03 2.5214499e-06 7.2224188e-06
 6.4113707e-04 1.4010468e-01]",[9.9871135e-01 2.6597590e-05 1.2518720e-06 1.2607599e-03],[9.9998415e-01 1.5881222e-05],"[1.9815236e-07 1.8000058e-07 6.9691550e-06 1.9941288e-03 1.8344744e-01
 7.4730384e-01 6.6585466e-02 6.5403816e-04 7.8546873e-06]","[(294, 168) (744, 619)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_writer_white/writer_white_prompt_0_33_face0.png,White,White,Male,40-49,"[7.3482597e-01 2.3716800e-04 8.2892559e-02 1.9383815e-05 5.6381148e-05
 3.1401545e-03 1.7882830e-01]",[9.9370736e-01 4.9173672e-05 5.8932525e-05 6.1845104e-03],[0.9937258 0.0062742],"[2.7022886e-06 8.4603425e-06 4.4287005e-04 1.1139796e-02 2.6353893e-01
 6.1428660e-01 1.0837946e-01 2.1608195e-03 4.0300594e-05]","[(358, 235) (670, 549)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_writer_white/writer_white_prompt_0_19_face0.png,White,White,Male,30-39,"[9.9884218e-01 1.0435444e-06 4.3010798e-05 3.5941109e-06 5.5070600e-06
 1.4311654e-05 1.0903259e-03]",[9.9851972e-01 7.8375939e-05 3.6951635e-05 1.3650631e-03],[0.9968401  0.00315988],"[6.5750537e-06 6.1882594e-05 7.5996635e-03 2.5368333e-01 3.8722062e-01
 2.9819882e-01 5.1971912e-02 1.1760878e-03 8.1124555e-05]","[(263, 279) (640, 654)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_writer_white/writer_white_prompt_1_25_face0.png,White,White,Male,30-39,"[9.7878736e-01 9.5830128e-06 6.7975526e-03 1.2979500e-05 3.4725545e-05
 1.0038704e-03 1.3353837e-02]",[9.8889148e-01 1.3348560e-05 6.3982134e-06 1.1088835e-02],[9.9948114e-01 5.1883562e-04],"[2.1201333e-07 4.1508774e-06 5.2617822e-04 2.2981863e-01 6.9339365e-01
 7.5730905e-02 5.2093202e-04 5.1421221e-06 1.8647106e-07]","[(294, 261) (744, 711)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_writer_white/writer_white_prompt_1_29_face0.png,White,White,Male,50-59,"[9.9047631e-01 2.2449400e-07 3.3104268e-04 9.8178189e-06 5.1262723e-06
 2.6069969e-05 9.1514811e-03]",[9.9643838e-01 2.4680439e-05 1.9643041e-04 3.3406401e-03],[9.9997312e-01 2.6887186e-05],"[9.9892588e-07 9.6658414e-07 2.5687195e-05 1.8391378e-04 1.1312395e-02
 3.4401023e-01 6.1892927e-01 2.5152043e-02 3.8455238e-04]","[(202, 238) (743, 778)]"
