face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stablexl1.0_mechanic_black/mechanic_black_8_face0.png,Black,Black,Male,30-39,"[1.2604248e-08 9.9994123e-01 1.1191102e-06 6.4348913e-09 2.8457160e-07
 5.7331275e-05 2.2341167e-08]",[5.0242562e-07 9.9984986e-01 1.1045508e-05 1.3856364e-04],[9.999931e-01 6.930010e-06],"[5.5870499e-09 7.4641775e-08 4.4484077e-05 6.1329577e-02 6.5126085e-01
 2.7676573e-01 1.0548171e-02 4.9718092e-05 1.3811672e-06]","[(326, 299) (640, 611)]"
fairface/detected_faces/Stablexl1.0_mechanic_black/mechanic_black_44_face0.png,Black,Black,Male,20-29,"[5.5828984e-08 9.9999559e-01 8.4860301e-07 4.1109924e-09 1.1378908e-07
 3.3099714e-06 5.2968613e-08]",[2.1009238e-07 9.9999511e-01 6.7237301e-07 4.0532659e-06],[9.999114e-01 8.856607e-05],"[1.29920315e-08 3.29157956e-06 6.57003187e-03 6.56832874e-01
 3.24195653e-01 1.23166144e-02 8.09289995e-05 5.57868759e-07
 2.92587057e-08]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stablexl1.0_mechanic_black/mechanic_black_40_face0.png,Black,Black,Male,20-29,"[3.7478166e-08 9.9999386e-01 2.8707914e-06 3.2080549e-09 2.0689703e-07
 2.9721998e-06 5.4388625e-08]",[6.5430591e-08 9.9999946e-01 6.8841075e-08 4.0868568e-07],[9.9999946e-01 5.4889426e-07],"[5.2944632e-10 1.3894459e-07 1.5053595e-03 6.7830402e-01 3.1587178e-01
 4.3073175e-03 1.1343426e-05 4.7220702e-08 1.9338195e-09]","[(339, 240) (715, 615)]"
fairface/detected_faces/Stablexl1.0_mechanic_black/mechanic_black_36_face0.png,Black,Black,Male,30-39,"[7.8755947e-06 9.9977398e-01 1.3802407e-04 3.2515402e-07 4.3981145e-06
 5.0845876e-05 2.4561146e-05]",[1.689905e-06 9.999631e-01 2.869622e-06 3.227221e-05],[9.999002e-01 9.971524e-05],"[2.9739158e-07 1.7013250e-05 7.4050026e-03 4.0572384e-01 5.1573455e-01
 6.9872640e-02 1.2389814e-03 7.3545866e-06 3.4692948e-07]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stablexl1.0_mechanic_black/mechanic_black_16_face0.png,Black,Black,Male,30-39,"[1.8120679e-07 9.9998665e-01 4.5554389e-06 8.2032283e-09 1.5014872e-07
 8.1792477e-06 3.1674571e-07]",[1.2019233e-07 9.9999768e-01 1.5936382e-07 2.0469477e-06],[9.9999875e-01 1.2457075e-06],"[2.9025049e-09 1.4247114e-07 8.4465940e-04 4.4456354e-01 5.0566965e-01
 4.8182886e-02 7.2963751e-04 9.0164658e-06 4.1725065e-07]","[(326, 267) (640, 581)]"
fairface/detected_faces/Stablexl1.0_mechanic_black/mechanic_black_3_face0.png,Black,Black,Male,30-39,"[1.2846291e-06 9.9965054e-01 5.2859352e-05 2.0118958e-07 6.5793006e-06
 2.8780612e-04 7.7594802e-07]",[1.2011044e-06 9.9998617e-01 6.1332644e-06 6.4805840e-06],[9.9998963e-01 1.0342894e-05],"[5.2334661e-09 2.8223741e-07 1.0256835e-03 4.8874718e-01 4.9361008e-01
 1.6520966e-02 9.4848867e-05 8.6850213e-07 3.5763126e-08]","[(202, 238) (743, 778)]"
fairface/detected_faces/Stablexl1.0_mechanic_black/mechanic_black_37_face0.png,Black,Black,Male,20-29,"[2.6752906e-07 9.9999136e-01 3.2067380e-06 6.0246621e-09 9.8223055e-08
 4.8033417e-06 3.5608844e-07]",[3.4505968e-07 9.9999815e-01 5.6018825e-07 9.1745625e-07],[9.9999774e-01 2.2534714e-06],"[2.4073906e-08 1.6727591e-06 2.2317660e-03 4.9493325e-01 4.6377316e-01
 3.8546726e-02 5.0929806e-04 3.9688098e-06 1.3823987e-07]","[(148, 238) (688, 778)]"
fairface/detected_faces/Stablexl1.0_mechanic_black/mechanic_black_32_face0.png,Black,Black,Male,20-29,"[3.5039868e-04 9.9480444e-01 2.1853985e-03 1.6305223e-05 1.1421169e-04
 2.2803927e-03 2.4883551e-04]",[2.1348349e-05 9.9976319e-01 8.6813657e-07 2.1452726e-04],[9.9982029e-01 1.7970522e-04],"[3.5096724e-07 1.2219956e-05 6.3977428e-03 6.0949641e-01 3.6494502e-01
 1.8763179e-02 3.7285793e-04 1.1224805e-05 9.9312717e-07]","[(326, 299) (640, 611)]"
fairface/detected_faces/Stablexl1.0_mechanic_black/mechanic_black_6_face0.png,Black,Black,Male,30-39,"[2.2397944e-07 9.9967366e-01 1.6609896e-05 1.6499655e-07 1.0266197e-05
 2.9873601e-04 4.2992949e-07]",[1.3711177e-06 9.9983871e-01 2.9162349e-05 1.3073569e-04],[9.9999833e-01 1.6438229e-06],"[1.0316228e-08 2.5885140e-07 8.2885608e-04 4.0297371e-01 5.6895453e-01
 2.6993096e-02 2.4838117e-04 1.0946791e-06 4.1598071e-08]","[(363, 268) (624, 529)]"
fairface/detected_faces/Stablexl1.0_mechanic_black/mechanic_black_9_face0.png,Black,Black,Male,20-29,"[9.1584531e-07 9.9997562e-01 1.5641901e-05 5.5277074e-08 9.9555098e-07
 6.2957879e-06 5.1384251e-07]",[9.2780476e-07 9.9999064e-01 4.3739101e-06 4.0773461e-06],[9.9999762e-01 2.4086103e-06],"[3.3152645e-08 1.0106725e-05 1.1921786e-02 7.5199383e-01 2.3093218e-01
 5.1016086e-03 3.9822542e-05 6.2419957e-07 6.3683835e-08]","[(302, 240) (677, 615)]"
