image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
police officer_young_0.png,Male,Young,White,Male,Male,Male,True,[9.9907774e-01 9.2226279e-04],"[0.9977706999999999, 0.0022293566000000003]",20-29,27,24,Young,Young,True,"[3.8994443e-08 1.2927357e-04 2.4419343e-01 7.5103188e-01 4.6389299e-03
 6.4492087e-06 8.7059409e-09 1.4273717e-10 1.2049877e-11]",2,White,White,True,0,[302 240 677 615]
police officer_young_1.png,Male,Young,Black,Male,Male,Male,True,[0.9977224  0.00227759],"[0.9975763000000001, 0.0024237054999999997]",20-29,25,28,Young,Young,True,"[2.2391454e-07 2.0991931e-04 2.1908157e-01 7.5515234e-01 2.5241474e-02
 3.1252418e-04 1.8872317e-06 6.5003576e-08 4.0660528e-09]",0,Black,Black,True,0,[358 235 670 549]
police officer_young_10.png,Male,Young,White,Male,Male,Male,True,[0.9905508 0.0094492],"[0.9913599000000001, 0.008640044]",20-29,26,28,Young,Young,True,"[3.7024259e-07 2.8779218e-04 2.2603984e-01 7.3789877e-01 3.5312150e-02
 4.5624658e-04 4.7021686e-06 1.6928726e-07 1.6355695e-08]",1,White,White,True,0,[294 215 744 665]
police officer_young_11.png,Male,Young,White,Male,Male,Male,True,[9.9996442e-01 3.5583183e-05],"[0.9790438, 0.020956163]",20-29,24,26,Young,Young,True,"[5.3791115e-07 1.6508127e-03 4.6942672e-01 5.2442431e-01 4.4834507e-03
 1.4193207e-05 3.5083556e-08 1.2737074e-09 4.3978182e-11]",1,White,White,True,0,[358 235 670 549]
police officer_young_12.png,Male,Young,White,Male,Male,Male,True,[9.999995e-01 4.963807e-07],"[0.9985863, 0.0014136851]",20-29,22,24,Young,Young,True,"[1.0364710e-08 4.8173839e-05 3.5612807e-01 6.4040142e-01 3.4126763e-03
 9.7153543e-06 1.0364513e-08 2.6235861e-10 3.2054446e-12]",3,White,White,True,0,[358 299 670 611]
police officer_young_13.png,Male,Young,Indian,Male,Male,Male,True,[9.9998587e-01 1.4157172e-05],"[0.99910645, 0.0008935239]",20-29,26,25,Young,Young,True,"[1.9255430e-07 1.3833745e-04 8.3197996e-02 8.8444799e-01 3.2060713e-02
 1.5444610e-04 2.3538735e-07 3.2980523e-09 7.3620762e-11]",1,Indian,White,False,0,[326 299 640 611]
police officer_young_14.png,Male,Young,White,Male,Male,Male,True,[9.999995e-01 5.275874e-07],"[0.99926476, 0.00073525056]",20-29,26,27,Young,Young,True,"[1.9461015e-09 3.0441572e-06 5.5029206e-02 9.3099582e-01 1.3948215e-02
 2.3775536e-05 2.6336542e-08 5.9114980e-10 1.0647934e-11]",1,White,White,True,0,[294 235 608 549]
police officer_young_15.png,Male,Young,White,Male,Male,Male,True,[9.999951e-01 4.897750e-06],"[0.9986475, 0.0013525429999999999]",20-29,25,26,Young,Young,True,"[3.1143365e-08 4.2462572e-05 9.1157734e-02 8.8556701e-01 2.3155717e-02
 7.6889417e-05 1.5843081e-07 3.5539900e-09 1.3059949e-10]",0,White,White,True,0,[337 216 599 477]
police officer_young_16.png,Male,Young,White,Male,Male,Male,True,[9.999998e-01 1.738346e-07],"[0.99621864, 0.003781367]",20-29,29,28,Young,Young,True,"[3.4465512e-07 4.5419461e-04 1.4769913e-01 8.2993764e-01 2.1811808e-02
 9.6728429e-05 1.8280700e-07 5.0823181e-09 1.1824521e-10]",4,White,White,True,0,[326 299 640 611]
police officer_young_17.png,Male,Young,White,Male,Male,Male,True,[9.9997926e-01 2.0732963e-05],"[0.9992364, 0.0007637206000000001]",20-29,25,28,Young,Young,True,"[7.51362279e-08 3.52636853e-05 5.68707138e-02 8.39802444e-01
 1.01131745e-01 2.14734557e-03 1.23185337e-05 1.38854844e-07
 2.22852403e-09]",0,White,White,True,0,[302 202 677 578]
police officer_young_18.png,Male,Young,White,Male,Male,Male,True,[9.9999994e-01 3.8477701e-08],"[0.99939644, 0.0006034988]",20-29,26,39,Young,Middle,True,"[1.08604908e-07 4.14761853e-05 2.77299769e-02 8.34011137e-01
 1.35585859e-01 2.62087537e-03 1.03795182e-05 1.13061844e-07
 9.88834348e-10]",1,White,White,True,0,[302 279 677 654]
police officer_young_19.png,Male,Young,White,Male,Male,Male,True,[9.9997884e-01 2.1154607e-05],"[0.9997184, 0.00028163718]",20-29,21,41,Young,Middle,True,"[1.6382907e-07 6.8195754e-05 8.7607659e-02 8.1450820e-01 9.5704883e-02
 2.0995091e-03 1.1244080e-05 1.2232807e-07 2.6559313e-09]",4,White,White,True,0,[339 279 715 654]
police officer_young_2.png,Male,Young,White,Male,Male,Male,True,[9.9999881e-01 1.2429704e-06],"[0.98735016, 0.012649789]",20-29,27,27,Young,Young,True,"[6.6260625e-08 8.4935760e-05 5.8670197e-02 9.2679679e-01 1.4411515e-02
 3.6415142e-05 5.3234896e-08 9.8603059e-10 2.3934842e-11]",2,White,White,True,0,[302 240 677 615]
police officer_young_20.png,Male,Young,White,Male,Male,Male,True,[9.999932e-01 6.831959e-06],"[0.9995809, 0.0004191414]",20-29,25,29,Young,Young,True,"[2.2255209e-07 1.6616500e-04 1.5081525e-01 8.0805546e-01 4.0379323e-02
 5.8226462e-04 1.3300997e-06 1.1566343e-08 2.1231381e-10]",0,White,White,True,0,[326 267 640 581]
police officer_young_21.png,Male,Young,White,Male,Male,Male,True,[9.9971926e-01 2.8069658e-04],"[0.9609623, 0.039037704]",20-29,26,29,Young,Young,True,"[3.06679460e-09 7.58182205e-06 1.01660930e-01 8.86168480e-01
 1.21478494e-02 1.51841605e-05 2.45785845e-08 6.02712158e-10
 1.80380762e-11]",1,White,White,True,0,[358 235 670 549]
police officer_young_22.png,Male,Young,White,Male,Male,Male,True,[9.999994e-01 6.416893e-07],"[0.9974529, 0.002547055]",20-29,26,33,Young,Middle,True,"[6.9676652e-08 2.8358119e-05 1.0042668e-01 8.6575198e-01 3.3516373e-02
 2.7538129e-04 1.1575419e-06 2.7623024e-08 4.1233256e-10]",1,White,White,True,0,[320 207 536 424]
police officer_young_23.png,Male,Young,White,Male,Male,Male,True,[9.9997425e-01 2.5800557e-05],"[0.9963959, 0.0036041766]",20-29,26,26,Young,Young,True,"[1.7896156e-08 5.4736909e-05 9.2000954e-02 8.9880902e-01 9.1038980e-03
 3.1301603e-05 7.5304335e-08 1.5110753e-09 8.4501760e-11]",1,White,White,True,0,[248 215 698 665]
police officer_young_25.png,Male,Young,White,Male,Male,Male,True,[9.9996811e-01 3.1891475e-05],"[0.9968622, 0.0031378073]",20-29,29,26,Young,Young,True,"[8.9661913e-09 9.0192780e-06 6.0671389e-02 9.1469127e-01 2.4531895e-02
 9.6057644e-05 3.2449913e-07 5.4639351e-09 3.2908282e-10]",4,White,White,True,0,[339 202 715 578]
police officer_young_26.png,Male,Young,White,Male,Male,Male,True,[9.999990e-01 9.726502e-07],"[0.9994070399999999, 0.00059301093]",20-29,29,35,Young,Middle,True,"[3.4135763e-08 1.8405287e-06 3.1593414e-03 8.2319015e-01 1.7278402e-01
 8.6122117e-04 3.3398767e-06 4.5488562e-08 1.2089628e-09]",4,White,White,True,0,[263 354 640 730]
police officer_young_27.png,Male,Young,White,Male,Male,Male,True,[9.9999779e-01 2.2246447e-06],"[0.9965229, 0.003477127]",20-29,28,29,Young,Young,True,"[3.4780155e-07 7.6494754e-05 5.2649714e-02 9.0306962e-01 4.3956794e-02
 2.4650543e-04 5.4358247e-07 1.2767484e-08 2.8838035e-10]",3,White,White,True,0,[302 240 677 615]
police officer_young_28.png,Male,Young,White,Male,Male,Male,True,[1.0000000e+00 3.7757792e-09],"[0.99931564, 0.0006844240399999999]",20-29,25,27,Young,Young,True,"[3.3982818e-08 1.1223451e-04 4.2040956e-01 5.7264704e-01 6.8041640e-03
 2.6936319e-05 3.2446522e-08 5.9696897e-10 3.7308195e-12]",0,White,White,True,0,[363 295 624 556]
police officer_young_29.png,Male,Young,White,Male,Male,Male,True,[9.9997807e-01 2.1934560e-05],"[0.9985535400000001, 0.0014464477]",20-29,25,26,Young,Young,True,"[1.0914446e-08 5.7388465e-06 5.3854622e-02 9.2962241e-01 1.6459005e-02
 5.7989786e-05 1.4994465e-07 2.1252715e-09 5.4769692e-11]",0,White,White,True,0,[358 203 670 517]
police officer_young_3.png,Male,Young,White,Male,Male,Male,True,[9.9999946e-01 5.1931659e-07],"[0.9973342, 0.0026657397]",20-29,27,32,Young,Middle,True,"[3.2794408e-06 9.6668949e-04 8.0068961e-02 8.7599128e-01 4.2722579e-02
 2.4670133e-04 5.6385767e-07 1.9034497e-08 4.4704224e-10]",2,White,White,True,0,[363 189 624 450]
