image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
cashier_black_0.png,Female,Young,Black,Female,Female,Female,True,[7.155191e-05 9.999285e-01],"[0.0018393972999999999, 0.9981606]",20-29,28,32.0,Young,Middle,True,"[4.4081343e-09 3.7140886e-05 8.5103847e-02 8.3832800e-01 7.6235734e-02
 2.9456132e-04 6.4436489e-07 2.7276994e-09 5.3493588e-11]",3,Black,Black,True,0,[339 279 715 654]
cashier_black_1.png,Female,Young,Black,Female,Female,Female,True,[3.7662435e-04 9.9962336e-01],"[0.0003993817, 0.9996006]",20-29,29,23.0,Young,Young,True,"[2.0560083e-08 4.4830836e-04 1.5981261e-01 8.2663804e-01 1.3077450e-02
 2.3542590e-05 4.8888001e-08 2.9455624e-10 6.1662403e-12]",4,Black,Black,True,0,[302 240 677 615]
cashier_black_10.png,Female,Young,Black,Female,Female,Female,True,[0.03154337 0.9684566 ],"[0.00054309603, 0.9994569400000001]",10-19,28,21.0,Young,Young,True,"[1.0596084e-06 3.1679910e-02 8.0512750e-01 1.6170739e-01 1.4779211e-03
 6.2217255e-06 2.6084770e-08 1.1034629e-09 8.8623102e-11]",13,Black,Black,True,0,[263 202 640 578]
cashier_black_11.png,Female,Young,Black,Female,Female,Female,True,[0.05251575 0.94748425],"[0.0088181925, 0.9911819]",10-19,29,23.0,Young,Young,True,"[3.8169742e-06 2.2737967e-02 7.5152588e-01 2.2256616e-01 3.1367987e-03
 2.9227524e-05 1.0282742e-07 3.4176193e-09 2.6850933e-10]",14,Black,Black,True,0,[170 186 819 835]
cashier_black_12.png,Female,Young,Black,Female,Female,Female,True,[0.06644011 0.9335599 ],"[0.32449467, 0.6755053]",10-19,28,22.0,Young,Young,True,"[3.6884467e-07 1.1131726e-02 7.7607733e-01 2.0979944e-01 2.9635299e-03
 2.7471911e-05 1.3454623e-07 4.7795035e-09 3.3468661e-10]",13,Black,Black,True,0,[363 189 624 450]
cashier_black_13.png,Female,Young,Black,Female,Female,Female,True,[0.00448571 0.9955143 ],"[0.00032468587, 0.9996752999999999]",20-29,31,25.0,Young,Young,False,"[1.5152639e-07 8.9956407e-04 2.1429136e-01 7.3374295e-01 5.0528537e-02
 5.3466414e-04 2.7202279e-06 2.7347092e-08 1.5940004e-09]",6,Black,Black,True,0,[248 168 698 619]
cashier_black_14.png,Female,Young,Black,Female,Female,Female,True,[0.0040351 0.9959649],"[0.0015893175000000002, 0.9984107]",20-29,29,25.0,Young,Young,True,"[4.9547219e-07 5.0446833e-03 4.7507128e-01 5.0681859e-01 1.2996171e-02
 6.8493544e-05 2.2165948e-07 4.9632956e-09 5.3010835e-10]",4,Black,Black,True,0,[202 128 743 669]
cashier_black_16.png,Female,Young,Black,Female,Female,Female,True,[0.00340834 0.9965917 ],"[0.0046073255, 0.9953927]",10-19,30,22.0,Young,Young,False,"[1.9601238e-07 1.0883799e-02 6.5739626e-01 3.2761684e-01 4.0851641e-03
 1.7733275e-05 6.0499211e-08 1.1206699e-09 4.8216670e-11]",15,Black,Black,True,0,[263 279 640 654]
cashier_black_17.png,Female,Young,Black,Female,Female,Female,True,[0.00896733 0.99103266],"[0.14360137, 0.8563986]",20-29,30,34.0,Young,Middle,False,"[1.6474642e-07 2.5362839e-04 1.1560480e-01 7.0115733e-01 1.7702867e-01
 5.8718524e-03 8.2468454e-05 1.0667280e-06 3.5657301e-08]",5,Black,Black,True,0,[339 316 715 692]
cashier_black_19.png,Female,Young,Black,Female,Female,,True,[9.2622999e-04 9.9907374e-01],"[0.0020653120999999997, 0.9979347]",20-29,29,,Young,,True,"[3.5402192e-07 2.2586912e-03 2.4231051e-01 7.1121788e-01 4.3874033e-02
 3.3651481e-04 1.9787012e-06 1.7189274e-08 5.7052274e-10]",4,Black,Black,True,0,[358 267 670 581]
