image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
software engineer_male_1.png,Male,Young,White,Male,Male,Male,True,[9.9997151e-01 2.8513023e-05],"[0.99991776, 8.224659e-05]",20-29,28,33.0,Young,Middle,True,"[2.7812499e-07 7.7154309e-06 2.8993776e-03 7.0882636e-01 2.8589237e-01
 2.3698776e-03 3.9155743e-06 4.9387349e-08 9.4111041e-10]",3,White,White,True,0,[302 279 677 654]
software engineer_male_10.png,Male,Young,White,Male,Male,Male,True,[9.99985993e-01 1.39628055e-05],"[0.9999357999999999, 6.4116293e-05]",20-29,31,32.0,Young,Middle,False,"[5.1745792e-07 9.8591045e-06 1.6271201e-03 6.2923551e-01 3.6447555e-01
 4.6433858e-03 7.9264755e-06 7.3464193e-08 1.8504208e-09]",6,White,White,True,0,[263 240 640 615]
software engineer_male_11.png,Male,Young,White,Male,Male,Male,True,[9.9999851e-01 1.5263262e-06],"[0.9999822, 1.7751649e-05]",20-29,25,29.0,Young,Young,True,"[5.8565001e-07 1.5536440e-05 5.1049250e-03 8.4580529e-01 1.4822149e-01
 8.5097674e-04 1.2032463e-06 2.7243244e-08 4.2642004e-10]",0,White,White,True,0,[358 394 670 707]
software engineer_male_12.png,Male,Young,White,Male,Male,Male,True,[9.9999779e-01 2.2450358e-06],"[0.9997441, 0.00025586221]",20-29,28,37.0,Young,Middle,True,"[7.6495456e-07 7.0159978e-05 1.7899722e-02 8.9704412e-01 8.4490612e-02
 4.9335399e-04 1.2293019e-06 2.1949301e-08 6.7653311e-10]",3,White,White,True,0,[363 216 624 477]
software engineer_male_13.png,Male,Young,Indian,Male,Male,Male,True,[9.9998111e-01 1.8886816e-05],"[0.9999536, 4.638943e-05]",20-29,27,29.0,Young,Young,True,"[1.8124324e-06 5.2184492e-05 2.1522171e-03 6.2920952e-01 3.6329150e-01
 5.2831220e-03 9.5798387e-06 1.3412588e-07 3.4485832e-09]",2,Indian,White,False,0,[326 235 640 549]
software engineer_male_14.png,Male,Young,Indian,Male,Male,Male,True,[9.9999267e-01 7.3533283e-06],"[0.999971, 2.8969063e-05]",20-29,26,30.0,Young,Middle,True,"[1.5574913e-07 5.4430579e-06 1.2899706e-03 6.0948378e-01 3.8226774e-01
 6.9447313e-03 8.1465196e-06 8.2078415e-08 1.2492234e-09]",1,Indian,White,False,0,[341 295 559 513]
software engineer_male_15.png,Male,Young,White,Male,Male,Male,True,[9.9997950e-01 2.0449148e-05],"[0.9995947, 0.00040530905]",20-29,28,26.0,Young,Young,True,"[4.3840288e-08 4.5564680e-06 1.0234720e-02 7.0650917e-01 2.7670136e-01
 6.5121497e-03 3.7520666e-05 4.7836102e-07 1.1972622e-08]",3,White,White,True,0,[382 236 564 417]
software engineer_male_17.png,Male,Middle,White,Male,Male,Male,True,[9.999908e-01 9.147619e-06],"[0.9995408, 0.00045927639999999997]",30-39,32,35.0,Middle,Middle,True,"[1.5770448e-06 1.9106063e-05 8.7103143e-04 3.9393523e-01 5.9068877e-01
 1.4463433e-02 2.0699006e-05 1.5832180e-07 2.8185982e-09]",3,White,White,True,0,[326 235 640 549]
software engineer_male_18.png,Male,Young,White,Male,Male,Male,True,[9.9999905e-01 9.9770932e-07],"[0.9999627, 3.731701e-05]",20-29,29,39.0,Young,Middle,True,"[5.3815935e-08 7.8283138e-06 4.9963249e-03 8.0867314e-01 1.8526715e-01
 1.0537505e-03 1.7429696e-06 1.9662563e-08 3.9267167e-10]",4,White,White,True,0,[ 32 473 183 624]
software engineer_male_19.png,Male,Middle,White,Male,Male,Male,True,[9.9997675e-01 2.3207607e-05],"[0.9998814, 0.00011858561999999999]",30-39,31,33.0,Middle,Middle,True,"[2.5496564e-07 7.9122674e-06 6.7167339e-04 4.4713122e-01 5.4453033e-01
 7.6513267e-03 7.2665716e-06 4.2999073e-08 8.6785490e-10]",4,White,White,True,0,[326 267 640 581]
