face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stablexl1.0_writer_neutral/writer_neutral_81_face0.png,White,White,Male,40-49,"[9.9912566e-01 5.8173686e-07 9.3146591e-05 1.2176640e-06 1.2881828e-06
 1.1273069e-05 7.6697482e-04]",[9.9794388e-01 4.2614734e-05 2.5645091e-05 1.9878647e-03],[9.9999648e-01 3.5263272e-06],"[9.7524003e-07 1.5774538e-06 5.6125824e-05 2.1482785e-03 8.9337654e-02
 5.9787339e-01 3.0347961e-01 6.9678035e-03 1.3457998e-04]","[(302, 316) (677, 692)]"
fairface/detected_faces/Stablexl1.0_writer_neutral/writer_neutral_148_face0.png,White,White,Male,50-59,"[7.6637578e-01 6.8985019e-06 6.7725475e-03 4.1571170e-06 1.3159740e-05
 1.0977344e-03 2.2572966e-01]",[7.2038543e-01 4.5536848e-04 3.3334480e-04 2.7882582e-01],[9.9973053e-01 2.6948645e-04],"[1.2947498e-06 1.0962242e-06 4.2747248e-05 5.5360713e-04 3.0538531e-02
 4.2059323e-01 5.2181983e-01 2.5778875e-02 6.7088584e-04]","[(294, 261) (744, 711)]"
fairface/detected_faces/Stablexl1.0_writer_neutral/writer_neutral_113_face0.png,White,White,Male,50-59,"[9.7529304e-01 8.3718536e-05 1.0408615e-02 6.0328184e-05 1.0639600e-04
 1.7565181e-03 1.2291385e-02]",[9.8723751e-01 7.7097269e-05 1.2671038e-04 1.2558679e-02],[9.999150e-01 8.501886e-05],"[1.8485131e-05 2.2933911e-05 5.9014669e-04 7.3403661e-04 8.6369831e-03
 1.1041199e-01 6.7034298e-01 2.0350748e-01 5.7350481e-03]","[(339, 202) (715, 578)]"
fairface/detected_faces/Stablexl1.0_writer_neutral/writer_neutral_106_face0.png,White,White,Male,40-49,"[8.4839749e-01 4.8930570e-03 1.0069896e-01 8.5489890e-05 2.8892857e-04
 2.8428132e-02 1.7207913e-02]",[9.776543e-01 5.975279e-04 9.341667e-05 2.165469e-02],[9.9969959e-01 3.0039877e-04],"[1.7547568e-06 7.2431676e-06 1.3002092e-03 3.9333418e-02 2.9734361e-01
 5.2561986e-01 1.3366927e-01 2.6764013e-03 4.8211583e-05]","[(202, 261) (654, 711)]"
fairface/detected_faces/Stablexl1.0_writer_neutral/writer_neutral_107_face0.png,White,White,Male,50-59,"[9.4192559e-01 1.2803166e-04 3.8500935e-02 1.3881196e-05 3.1486765e-05
 2.7039624e-03 1.6696114e-02]",[9.84965205e-01 3.36862402e-04 2.00632476e-05 1.46779325e-02],[9.994378e-01 5.621508e-04],"[1.6712089e-06 2.8694335e-06 1.8002249e-04 6.6661660e-04 2.2877410e-02
 2.7385443e-01 6.7853713e-01 2.3673542e-02 2.0629339e-04]","[(202, 183) (743, 724)]"
fairface/detected_faces/Stablexl1.0_writer_neutral/writer_neutral_146_face0.png,White,White,Male,50-59,"[9.5222670e-01 2.2037303e-04 1.9623419e-02 9.8354707e-05 3.3162869e-04
 9.2465701e-03 1.8252932e-02]",[8.5956234e-01 1.9096993e-04 2.8913963e-04 1.3995758e-01],[9.9980927e-01 1.9074816e-04],"[1.4006016e-05 1.2036978e-05 1.3047355e-04 4.5137136e-04 8.7062865e-03
 1.7870227e-01 7.1934372e-01 8.9117832e-02 3.5220464e-03]","[(148, 238) (688, 778)]"
fairface/detected_faces/Stablexl1.0_writer_neutral/writer_neutral_82_face0.png,White,White,Male,30-39,"[7.9860276e-01 1.4374006e-04 3.3838484e-02 1.8214980e-05 3.6900925e-05
 1.8133848e-03 1.6554642e-01]",[9.9357593e-01 2.6870487e-04 2.7891743e-05 6.1275735e-03],[9.9999535e-01 4.6842597e-06],"[8.1940705e-08 3.8600274e-07 7.2012517e-05 8.0064483e-02 7.9103410e-01
 1.2801896e-01 8.0546184e-04 4.3995751e-06 8.1977760e-08]","[(38, 121) (687, 770)]"
fairface/detected_faces/Stablexl1.0_writer_neutral/writer_neutral_16_face0.png,White,White,Male,30-39,"[9.82603192e-01 2.06865775e-06 1.23655156e-03 3.06609072e-05
 2.82136534e-05 1.16547526e-04 1.59827210e-02]",[9.9797952e-01 9.4449706e-06 6.6970249e-05 1.9440724e-03],[9.9991775e-01 8.2260711e-05],"[1.0478108e-06 1.7275544e-05 3.4262773e-03 4.8247680e-01 4.9056524e-01
 2.3393700e-02 1.1824786e-04 1.3433437e-06 5.1829275e-08]","[(358, 362) (670, 675)]"
fairface/detected_faces/Stablexl1.0_writer_neutral/writer_neutral_64_face0.png,White,White,Male,40-49,"[9.9966341e-01 9.6785314e-08 4.4039149e-05 1.9001428e-07 3.6660947e-07
 5.5208652e-06 2.8628664e-04]",[9.993078e-01 2.149067e-06 5.194599e-07 6.895418e-04],[9.999889e-01 1.109011e-05],"[6.2301837e-07 3.1154361e-06 5.1890651e-04 1.3940376e-02 1.2887582e-01
 6.4738828e-01 2.0693932e-01 2.2702503e-03 6.3303654e-05]","[(430, 162) (646, 380)]"
fairface/detected_faces/Stablexl1.0_writer_neutral/writer_neutral_52_face0.png,White,White,Male,40-49,"[9.9517095e-01 7.7218601e-06 2.5094822e-03 9.0915582e-06 1.8730727e-05
 2.5874694e-04 2.0253458e-03]",[9.9685460e-01 5.6616514e-06 1.5104380e-06 3.1382083e-03],[0.9989554  0.00104462],"[1.5928882e-06 9.6717504e-06 7.7710231e-04 5.9620082e-02 4.1456619e-01
 4.8397732e-01 4.0165521e-02 8.4277720e-04 3.9717528e-05]","[(248, 305) (698, 756)]"
