face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stable3.5-medium_teacher_middle aged/teacher_middle aged_20_face0.png,White,White,Female,50-59,"[9.9547756e-01 2.5595915e-07 3.5601750e-03 6.6830471e-06 7.8373187e-06
 4.8006996e-06 9.4271608e-04]",[9.9998647e-01 6.1560819e-08 1.1319668e-05 2.1503481e-06],[2.2287217e-04 9.9977708e-01],"[2.92475875e-07 4.19627531e-06 4.26536026e-05 1.00743426e-04
 6.86275540e-03 1.80544198e-01 6.80101991e-01 1.24299094e-01
 8.04403983e-03]","[(263, 316) (640, 692)]"
fairface/detected_faces/Stable3.5-medium_teacher_middle aged/teacher_middle aged_38_face0.png,White,White,Female,60-69,"[9.5461327e-01 8.9229261e-06 3.2056663e-02 2.9515717e-03 4.9364456e-04
 2.8703567e-05 9.8472824e-03]",[9.8756051e-01 1.4107402e-06 1.2394843e-02 4.3112927e-05],[2.2788161e-04 9.9977219e-01],"[9.5961207e-07 1.0037417e-05 1.5415973e-05 8.6354921e-06 4.3655385e-04
 1.8642332e-02 4.2760617e-01 4.9346012e-01 5.9819791e-02]","[(263, 202) (640, 578)]"
fairface/detected_faces/Stable3.5-medium_teacher_middle aged/teacher_middle aged_13_face0.png,White,White,Female,50-59,"[6.1817771e-01 2.4279607e-05 2.9148403e-01 4.6071517e-03 2.9147561e-03
 1.3010197e-03 8.1491001e-02]",[9.8574501e-01 6.9584748e-05 1.2776217e-02 1.4091784e-03],[1.1711869e-04 9.9988294e-01],"[4.0047118e-07 4.0229497e-06 5.7285994e-05 1.8483012e-04 1.0573152e-02
 1.7267330e-01 6.4977616e-01 1.6270113e-01 4.0297639e-03]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stable3.5-medium_teacher_middle aged/teacher_middle aged_15_face0.png,White,White,Female,50-59,"[8.4317416e-01 8.6343562e-06 1.4195243e-01 7.7912417e-05 1.1280601e-04
 1.2616942e-03 1.3412377e-02]",[9.9948376e-01 3.4666176e-05 2.3392688e-05 4.5822712e-04],[1.3208973e-05 9.9998677e-01],"[8.5888935e-08 8.6855096e-07 1.6622003e-05 3.8106591e-05 2.9122811e-03
 9.5456898e-02 7.5501263e-01 1.4325215e-01 3.3103614e-03]","[(202, 183) (743, 724)]"
fairface/detected_faces/Stable3.5-medium_teacher_middle aged/teacher_middle aged_45_face0.png,White,White,Female,50-59,"[9.4219863e-01 5.6280019e-06 3.9626438e-02 7.7871868e-04 5.2671466e-04
 1.1167194e-03 1.5747102e-02]",[9.9073768e-01 6.1663432e-06 6.7922878e-03 2.4638763e-03],[2.0084366e-05 9.9997997e-01],"[3.6081812e-07 3.6027452e-06 3.5734611e-05 3.5395387e-05 8.2914170e-04
 3.1828873e-02 4.4722682e-01 4.4086698e-01 7.9173096e-02]","[(302, 316) (677, 692)]"
fairface/detected_faces/Stable3.5-medium_teacher_middle aged/teacher_middle aged_12_face0.png,White,White,Female,50-59,"[9.4906163e-01 5.2938384e-07 8.3884243e-03 1.7952781e-05 2.1968734e-05
 1.6388526e-04 4.2345602e-02]",[9.9825519e-01 1.3114965e-06 1.0315481e-03 7.1198132e-04],[8.003669e-04 9.991996e-01],"[7.3277812e-07 7.5269941e-06 1.4564503e-04 3.9876936e-04 7.9349307e-03
 1.5371826e-01 6.9325995e-01 1.3456342e-01 9.9707749e-03]","[(302, 316) (677, 692)]"
fairface/detected_faces/Stable3.5-medium_teacher_middle aged/teacher_middle aged_2_face0.png,White,White,Female,50-59,"[8.6447585e-01 4.4866547e-06 1.3079089e-01 3.5259541e-04 1.5717138e-04
 7.2590090e-05 4.1463771e-03]",[9.9912810e-01 4.6637697e-06 3.2984742e-04 5.3744420e-04],[2.9957984e-05 9.9997002e-01],"[6.59329032e-07 3.99066084e-06 4.15617942e-05 1.12599286e-04
 1.11556211e-02 1.91519007e-01 7.01641798e-01 9.48284939e-02
 6.96305535e-04]","[(202, 293) (743, 833)]"
fairface/detected_faces/Stable3.5-medium_teacher_middle aged/teacher_middle aged_18_face0.png,White,White,Female,50-59,"[9.7999448e-01 5.5160888e-07 5.0586951e-03 4.5508972e-05 5.1887695e-05
 1.4513988e-05 1.4834308e-02]",[9.9905646e-01 1.2451937e-06 5.6260696e-04 3.7965193e-04],[0.00211982 0.9978802 ],"[1.4687712e-06 1.6304277e-05 1.6056014e-04 2.8326566e-04 7.0210188e-03
 1.1112835e-01 5.8792859e-01 2.6378760e-01 2.9672779e-02]","[(302, 279) (677, 654)]"
fairface/detected_faces/Stable3.5-medium_teacher_middle aged/teacher_middle aged_35_face0.png,White,White,Female,50-59,"[9.5304996e-01 2.6102509e-06 2.9346565e-02 5.4846721e-04 3.1031275e-04
 6.1096980e-05 1.6680978e-02]",[9.9702477e-01 9.1163383e-06 2.5570374e-03 4.0915792e-04],[4.1938465e-04 9.9958062e-01],"[2.2740639e-06 3.3658911e-05 2.8928678e-04 4.2897026e-04 1.2613348e-02
 1.5897943e-01 6.0382313e-01 2.0781313e-01 1.6016718e-02]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stable3.5-medium_teacher_middle aged/teacher_middle aged_7_face0.png,White,White,Female,50-59,"[9.3781817e-01 8.3470541e-06 5.6576893e-02 2.3748391e-04 2.0514715e-04
 8.2497674e-05 5.0715301e-03]",[9.9574953e-01 2.7358285e-06 4.1250493e-03 1.2260299e-04],[7.6580245e-06 9.9999231e-01],"[1.9209060e-07 1.8941078e-06 4.3502620e-05 7.6826039e-04 4.6193186e-02
 4.3853396e-01 4.7420114e-01 3.9882768e-02 3.7513266e-04]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_teacher_middle aged/teacher_middle aged_19_face0.png,White,White,Female,50-59,"[8.7181586e-01 2.0858128e-05 9.4112344e-02 4.9722230e-04 3.1780970e-04
 2.5652893e-04 3.2979276e-02]",[9.9433589e-01 8.5891603e-05 3.5610758e-03 2.0172263e-03],[0.00155329 0.99844676],"[3.2624207e-06 1.9039735e-05 5.9107861e-05 1.9366984e-05 1.0548319e-03
 3.4320481e-02 5.1213223e-01 4.1366446e-01 3.8727172e-02]","[(339, 240) (715, 615)]"
fairface/detected_faces/Stable3.5-medium_teacher_middle aged/teacher_middle aged_43_face0.png,White,White,Female,50-59,"[9.9855715e-01 5.1719720e-08 6.9375132e-04 1.9175829e-06 2.6651328e-06
 8.6467144e-06 7.3579320e-04]",[9.9991941e-01 5.1339930e-07 3.2206153e-05 4.7865753e-05],[6.667055e-04 9.993333e-01],"[1.4482134e-06 3.8255679e-05 2.7534441e-04 2.9822910e-04 4.0948228e-03
 1.1534264e-01 5.6575745e-01 1.9053467e-01 1.2365706e-01]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_teacher_middle aged/teacher_middle aged_49_face0.png,White,White,Female,60-69,"[9.4032162e-01 1.3168251e-05 4.5326240e-02 1.2778274e-03 4.5682152e-04
 3.3851262e-05 1.2570506e-02]",[9.9963772e-01 6.4651795e-07 3.4637522e-04 1.5356492e-05],[5.3667213e-04 9.9946338e-01],"[4.8377733e-06 4.1569423e-05 8.1440427e-05 3.1976066e-05 1.3176713e-03
 3.7289944e-02 4.2668611e-01 4.6014693e-01 7.4399576e-02]","[(225, 240) (601, 615)]"
