face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_6_face0.png,White,White,Female,50-59,"[9.9903268e-01 4.0789266e-07 5.9940800e-04 3.2246385e-06 4.2862102e-06
 1.4596106e-06 3.5844118e-04]",[9.9992943e-01 8.8063553e-07 5.9452625e-05 1.0204939e-05],[7.011547e-04 9.992989e-01],"[9.53235428e-07 9.34736636e-06 1.08425455e-04 8.60885950e-04
 3.28743607e-02 4.63990957e-01 4.79276806e-01 2.24257000e-02
 4.52565961e-04]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_23_face0.png,White,White,Female,40-49,"[9.9821573e-01 3.5805783e-08 1.1079395e-03 6.1822348e-06 6.6391472e-06
 2.2922818e-06 6.6122937e-04]",[9.9993098e-01 6.7818911e-07 2.0018104e-05 4.8305508e-05],[4.4027861e-06 9.9999565e-01],"[4.6716696e-07 1.9324865e-05 6.3541619e-04 8.5485866e-03 1.3356946e-01
 6.1322099e-01 2.3354623e-01 1.0245412e-02 2.1413027e-04]","[(294, 203) (608, 517)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_28_face0.png,White,White,Female,40-49,"[9.9943346e-01 3.1633959e-08 2.9944367e-04 6.1358583e-07 1.4087650e-06
 4.9026909e-07 2.6454031e-04]",[9.9998897e-01 1.9307249e-07 3.2202643e-06 7.6175070e-06],[1.5280872e-05 9.9998474e-01],"[1.8759819e-07 7.3226965e-06 2.6785478e-04 5.9475112e-03 1.4743993e-01
 6.7341846e-01 1.6788441e-01 4.9298559e-03 1.0456664e-04]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_18_face0.png,White,White,Female,50-59,"[9.6545601e-01 5.7691744e-07 2.8233515e-02 8.9303925e-05 7.5807431e-05
 6.8396985e-05 6.0765054e-03]",[9.9895406e-01 1.1312509e-06 4.5837706e-04 5.8646046e-04],[6.7946467e-06 9.9999321e-01],"[2.29369022e-07 4.97106612e-06 1.07167565e-04 2.16816412e-03
 6.03677034e-02 4.23273176e-01 4.67838019e-01 4.47847582e-02
 1.45592587e-03]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_32_face0.png,Latino_Hispanic,White,Female,50-59,"[4.0002513e-01 9.7918688e-05 5.4040766e-01 4.4410554e-04 5.9661246e-04
 4.7423933e-03 5.3686094e-02]",[9.9103880e-01 4.9071870e-04 1.2895962e-03 7.1808742e-03],[5.4762654e-06 9.9999458e-01],"[2.4024675e-07 1.5479879e-06 3.3546065e-05 8.9348853e-04 5.8628757e-02
 4.1885656e-01 4.8215160e-01 3.9138902e-02 2.9529948e-04]","[(385, 295) (602, 513)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_20_face0.png,White,White,Female,40-49,"[9.9960339e-01 2.6949911e-08 2.9391874e-04 3.3629538e-05 1.2501788e-05
 3.1335091e-07 5.6224006e-05]",[9.99897659e-01 2.77109621e-07 1.00184145e-04 1.92566063e-06],[1.3390758e-04 9.9986607e-01],"[1.7706778e-07 5.1742736e-06 2.8777152e-04 4.1221892e-03 8.6314783e-02
 5.6795204e-01 3.2926896e-01 1.1846613e-02 2.0230041e-04]","[(248, 305) (698, 756)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_36_face0.png,White,White,Female,50-59,"[9.1274428e-01 3.2954772e-06 8.4077686e-02 4.9335958e-05 4.9131133e-05
 3.6204667e-05 3.0400201e-03]",[9.9990112e-01 7.7308778e-07 5.5102824e-05 4.2989504e-05],[2.2663248e-06 9.9999779e-01],"[3.2084536e-08 4.2940431e-07 1.1754475e-05 3.2605670e-04 3.2366175e-02
 4.4511604e-01 4.9762592e-01 2.4464387e-02 8.9234891e-05]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_14_face0.png,White,White,Female,50-59,"[9.86354470e-01 6.67414781e-07 9.28101689e-03 1.06595224e-04
 4.64895747e-05 1.81540181e-05 4.19258652e-03]",[9.9995983e-01 2.9938174e-06 2.3512574e-05 1.3652548e-05],[1.2442138e-04 9.9987555e-01],"[5.5541608e-07 8.4542799e-06 2.4923618e-04 2.1565824e-03 5.8386140e-02
 4.4755372e-01 4.7189713e-01 1.9578459e-02 1.6967926e-04]","[(294, 215) (744, 665)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_48_face0.png,White,White,Female,40-49,"[9.8544604e-01 2.1664555e-06 6.1138351e-03 2.1934798e-05 2.3113564e-05
 1.1679001e-05 8.3812466e-03]",[9.9845248e-01 1.2163228e-04 7.9213694e-04 6.3367345e-04],[2.6838263e-04 9.9973160e-01],"[5.8978781e-08 1.0629873e-06 2.0978776e-04 2.7296063e-02 4.5733598e-01
 4.6525127e-01 4.9316045e-02 5.8667205e-04 3.0829422e-06]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_13_face0.png,White,White,Female,40-49,"[9.13872719e-01 5.68859787e-06 6.10555932e-02 1.19427372e-04
 1.05926236e-04 4.15785034e-05 2.47991309e-02]",[9.9959171e-01 2.1973969e-05 2.3671378e-04 1.4966908e-04],[4.397713e-05 9.999560e-01],"[6.0740440e-08 7.6213155e-07 5.2613519e-05 1.6386028e-03 7.8261167e-02
 5.3727323e-01 3.6605594e-01 1.6621407e-02 9.6141652e-05]","[(326, 267) (640, 581)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_42_face0.png,White,White,Female,40-49,"[8.51756334e-01 1.51292325e-05 1.21507555e-01 2.08682450e-03
 9.26354318e-04 1.64663667e-04 2.35431194e-02]",[9.9613130e-01 3.1292628e-05 3.5870043e-03 2.5044216e-04],[9.9295203e-06 9.9999005e-01],"[4.9091302e-08 1.1532728e-06 8.4481209e-05 2.8617966e-03 1.5753572e-01
 6.4777333e-01 1.8536969e-01 6.3412893e-03 3.2584383e-05]","[(302, 279) (677, 654)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_24_face0.png,White,White,Female,50-59,"[9.3682289e-01 1.9668732e-06 3.1602558e-02 4.2689542e-05 5.3378262e-05
 1.5424448e-04 3.1322297e-02]",[9.9970514e-01 2.6866780e-07 2.5651960e-05 2.6894809e-04],[1.3041453e-05 9.9998695e-01],"[3.2688209e-07 2.8368947e-06 4.0439954e-05 4.8714131e-04 1.6738940e-02
 2.5363347e-01 6.0448235e-01 1.1931891e-01 5.2954582e-03]","[(326, 267) (640, 581)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_15_face0.png,White,White,Female,50-59,"[9.5960331e-01 1.0571642e-06 2.8543273e-02 4.4142496e-05 4.4764412e-05
 2.1619342e-04 1.1547217e-02]",[9.9955064e-01 6.4705264e-06 4.4192871e-05 3.9860091e-04],[6.2249974e-06 9.9999374e-01],"[5.1793347e-08 9.7247050e-07 5.4764372e-05 1.6577193e-03 5.0267231e-02
 4.0701130e-01 5.1129717e-01 2.9216753e-02 4.9413805e-04]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_21_face0.png,White,White,Female,50-59,"[6.0156691e-01 3.0696341e-05 3.2096925e-01 2.3395966e-03 1.3120949e-03
 5.3520076e-04 7.3246233e-02]",[9.8745906e-01 2.3699619e-04 9.8226564e-03 2.4812862e-03],[2.2527973e-05 9.9997753e-01],"[5.4894883e-07 4.8740339e-06 8.0762242e-05 5.6455500e-04 3.4059186e-02
 3.0763912e-01 5.8365023e-01 7.3004909e-02 9.9571247e-04]","[(326, 235) (640, 549)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_10_face0.png,White,White,Female,50-59,"[9.9767751e-01 1.8747123e-07 1.2029704e-03 3.5949088e-05 1.4872429e-05
 1.7074800e-06 1.0668011e-03]",[9.9989015e-01 2.6238541e-07 1.0637933e-04 3.2181813e-06],[4.4431315e-05 9.9995559e-01],"[2.7184296e-07 1.3472862e-06 1.6193475e-05 2.7417880e-04 1.0478809e-02
 2.4650607e-01 6.7096484e-01 6.9704175e-02 2.0541744e-03]","[(294, 235) (608, 549)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_37_face0.png,White,White,Female,40-49,"[7.6407617e-01 5.2967636e-05 2.2571598e-01 2.5842576e-03 1.5656978e-03
 2.0665389e-04 5.7982244e-03]",[9.7358567e-01 1.0179679e-04 2.5783870e-02 5.2856409e-04],[5.2020358e-05 9.9994797e-01],"[1.2308396e-06 2.4352621e-05 4.4033254e-04 5.4978575e-03 1.4670596e-01
 5.2103478e-01 3.0373034e-01 2.2350419e-02 2.1466125e-04]","[(326, 235) (640, 549)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_38_face0.png,Latino_Hispanic,White,Female,50-59,"[3.8038996e-01 2.4629306e-04 4.7327337e-01 4.6702068e-02 4.9831398e-02
 2.6173573e-03 4.6939541e-02]",[9.3222266e-01 2.1159586e-04 6.4640611e-02 2.9252043e-03],[8.9396326e-06 9.9999106e-01],"[3.4324273e-07 9.2369788e-07 9.7988595e-06 1.8724400e-04 2.0998595e-02
 2.7240297e-01 6.3030815e-01 7.5615048e-02 4.7689214e-04]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_44_face0.png,White,White,Female,50-59,"[9.9906892e-01 9.8174695e-08 6.0273468e-04 3.0238400e-06 4.2214278e-06
 2.2330664e-06 3.1883028e-04]",[9.9981147e-01 8.3099201e-07 6.5180830e-05 1.2252647e-04],[2.2442504e-04 9.9977559e-01],"[1.1931692e-06 3.2903954e-05 6.5305189e-04 3.7457482e-03 5.7329260e-02
 3.9474836e-01 4.9941143e-01 4.2224288e-02 1.8537767e-03]","[(302, 316) (677, 692)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_16_face0.png,White,White,Female,50-59,"[8.1058872e-01 3.9886586e-06 1.6876249e-01 1.2268033e-03 8.2747953e-04
 5.4869615e-04 1.8041840e-02]",[9.9642015e-01 5.1235115e-06 8.7059819e-04 2.7040699e-03],[2.0036648e-05 9.9997991e-01],"[3.6359538e-07 4.4562717e-06 3.2828513e-05 1.2844524e-04 8.7528918e-03
 1.5616788e-01 6.7286199e-01 1.5674767e-01 5.3034821e-03]","[(326, 235) (640, 549)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_19_face0.png,White,White,Female,40-49,"[9.58938301e-01 1.25917340e-05 3.13151628e-02 8.96173733e-05
 1.68914208e-04 1.18333446e-04 9.35709476e-03]",[9.9953175e-01 1.4315163e-05 3.5838490e-05 4.1813834e-04],[3.2017792e-06 9.9999684e-01],"[1.9464519e-08 3.2953301e-07 5.9861693e-05 1.5206549e-02 3.8802731e-01
 5.4585099e-01 4.9989130e-02 8.6076988e-04 5.0142689e-06]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_7_face0.png,White,White,Female,40-49,"[9.9397016e-01 9.0990653e-08 1.2867638e-03 2.9266657e-05 1.1852900e-05
 3.6713050e-06 4.6981289e-03]",[9.9996960e-01 2.0669782e-07 2.0567317e-05 9.6288659e-06],[3.0984468e-06 9.9999690e-01],"[6.0335587e-08 1.0042274e-06 4.3963886e-05 2.2782029e-03 6.5444052e-02
 6.2640476e-01 2.9371512e-01 1.1917945e-02 1.9492346e-04]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_3_face0.png,White,White,Female,40-49,"[9.9849117e-01 1.0977133e-07 1.1161607e-03 3.5815369e-06 2.7435769e-06
 4.8492984e-07 3.8587302e-04]",[9.9992657e-01 3.1997029e-06 5.5719305e-05 1.4490032e-05],[3.5929775e-06 9.9999642e-01],"[1.3913752e-06 5.5571774e-05 8.6616440e-04 8.1500020e-03 1.3637492e-01
 5.3317332e-01 3.0434722e-01 1.6575957e-02 4.5552143e-04]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_39_face0.png,White,White,Female,50-59,"[8.2486576e-01 2.0409866e-06 1.1192126e-01 1.7134704e-04 3.7582894e-04
 7.5996172e-04 6.1903726e-02]",[9.9872583e-01 3.2041214e-06 2.2001546e-04 1.0509191e-03],[2.1675403e-06 9.9999779e-01],"[2.99335667e-08 3.03388987e-07 9.20958610e-06 1.59583709e-04
 8.45268834e-03 1.92188501e-01 6.74386322e-01 1.21642806e-01
 3.16048018e-03]","[(302, 279) (677, 654)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_17_face0.png,White,White,Female,50-59,"[9.94296730e-01 5.73424416e-07 4.71568527e-03 1.22213205e-05
 1.69415016e-05 5.64960328e-06 9.52235074e-04]",[9.9992216e-01 2.2907957e-06 4.5746860e-05 2.9746006e-05],[2.4471492e-06 9.9999750e-01],"[2.1840486e-07 5.6872723e-06 7.5144810e-05 4.2799933e-04 2.0442491e-02
 3.7814125e-01 5.5916089e-01 4.0733736e-02 1.0126332e-03]","[(263, 202) (640, 578)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_47_face0.png,White,White,Female,40-49,"[9.6643847e-01 5.0513981e-06 2.9921778e-02 2.2261473e-04 2.6279033e-04
 1.2201935e-04 3.0272675e-03]",[9.9851757e-01 4.7801739e-05 3.9559157e-04 1.0390193e-03],[2.7960275e-05 9.9997205e-01],"[1.2979906e-06 2.8683231e-05 2.9496753e-04 3.9495151e-03 1.1421129e-01
 5.4802161e-01 3.2465163e-01 8.7251337e-03 1.1592212e-04]","[(263, 279) (640, 654)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_11_face0.png,White,White,Female,50-59,"[8.7338865e-01 8.0384380e-06 9.4405793e-02 6.8847337e-03 3.2130585e-03
 1.7119256e-04 2.1928482e-02]",[9.9445575e-01 1.8233216e-06 5.4423749e-03 1.0011705e-04],[2.9237892e-05 9.9997073e-01],"[1.05256640e-06 1.08330305e-05 3.67646098e-05 5.16212058e-05
 2.29401398e-03 5.04986867e-02 5.05511403e-01 3.98067206e-01
 4.35283743e-02]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_receptionist_middle aged/receptionist_middle aged_4_face0.png,White,White,Female,40-49,"[9.9873304e-01 1.4512544e-07 7.1225304e-04 1.8830711e-06 2.3705034e-06
 3.9940614e-06 5.4631429e-04]",[9.9954259e-01 2.7131387e-06 1.5673921e-05 4.3899918e-04],[1.1458458e-05 9.9998856e-01],"[5.0423690e-08 7.9256853e-07 4.8185408e-05 3.3278274e-03 8.2290329e-02
 6.1830997e-01 2.8776023e-01 8.0734305e-03 1.8914611e-04]","[(326, 267) (640, 581)]"
