image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
chef_male_prompt_0_0.png,Male,Middle,White,Male,Male,Male,True,[9.9999887e-01 1.0923452e-06],"[0.99990974, 9.023004e-05]",40-49,40,46.0,Middle,Middle,True,"[4.7869491e-07 8.3778752e-07 2.6257290e-05 2.2437861e-03 2.5627041e-01
 7.1511739e-01 2.6263982e-02 7.6486634e-05 3.1013133e-07]",5,White,White,True,0,[363 189 624 450]
chef_male_prompt_0_1.png,Male,Middle,White,Male,Male,Male,True,[9.9999970e-01 2.9599022e-07],"[0.9966206, 0.0033793837]",40-49,39,36.0,Middle,Middle,True,"[1.3529085e-05 5.5842349e-05 6.9319509e-04 8.4956130e-03 2.7791351e-01
 6.5977043e-01 5.2686878e-02 3.6944952e-04 1.5216194e-06]",6,White,White,True,0,[302 240 677 615]
chef_male_prompt_0_10.png,Male,Middle,White,Male,Male,Male,True,[9.9995643e-01 4.3575423e-05],"[0.9999838, 1.6204789e-05]",30-39,33,38.0,Middle,Middle,True,"[1.2421598e-05 2.8210683e-05 7.1279058e-04 5.9873596e-02 6.7906183e-01
 2.5641251e-01 3.8681927e-03 2.9969331e-05 5.4991023e-07]",2,White,White,True,0,[294 261 744 711]
chef_male_prompt_0_11.png,Male,Middle,White,Male,Male,Male,True,[9.9997789e-01 2.2119279e-05],"[0.9999892, 1.0898422e-05]",30-39,33,37.0,Middle,Middle,True,"[4.5219605e-07 3.2495579e-06 7.2222081e-04 2.9412040e-01 6.5781564e-01
 4.7036715e-02 2.9895830e-04 2.4567275e-06 4.0000252e-08]",2,White,White,True,0,[302 202 677 578]
chef_male_prompt_0_12.png,Male,Middle,White,Male,Male,Male,True,[9.9998957e-01 1.0419757e-05],"[0.9999616, 3.8443494e-05]",40-49,31,39.0,Middle,Middle,True,"[3.4984347e-05 6.3217536e-05 4.0768049e-04 9.2407232e-03 3.2260543e-01
 6.3884193e-01 2.8509820e-02 2.9241975e-04 3.7513807e-06]",14,White,White,True,0,[248 168 698 619]
chef_male_prompt_0_13.png,Male,Middle,White,Male,Male,Male,True,[9.9999857e-01 1.4395810e-06],"[0.9998282000000001, 0.00017170557999999998]",40-49,33,45.0,Middle,Middle,True,"[1.0203822e-06 2.9874063e-06 1.2360835e-04 1.0310386e-02 4.3555230e-01
 5.3961653e-01 1.4337882e-02 5.4865759e-05 4.0221212e-07]",12,White,White,True,0,[339 240 715 615]
chef_male_prompt_0_14.png,Male,Middle,White,Male,Male,Male,True,[9.999621e-01 3.788215e-05],"[0.9999865, 1.3456191e-05]",40-49,33,43.0,Middle,Middle,True,"[1.18772205e-05 1.60565742e-05 3.21608240e-04 1.28980735e-02
 3.88853043e-01 5.72852612e-01 2.47863717e-02 2.55538383e-04
 4.81723600e-06]",12,White,White,True,0,[302 240 677 615]
chef_male_prompt_0_15.png,Male,Middle,Indian,Male,Male,Male,True,[9.999981e-01 1.919742e-06],"[0.9997750999999999, 0.0002249541]",40-49,39,54.0,Middle,Middle,True,"[8.1452898e-05 2.4862037e-04 1.5075736e-03 1.7444991e-02 3.0504271e-01
 6.0108376e-01 7.3612243e-02 9.6913741e-04 9.5069363e-06]",6,Indian,White,False,0,[248 215 698 665]
chef_male_prompt_0_16.png,Male,Middle,White,Male,Male,Male,True,[9.9999988e-01 1.3494585e-07],"[0.9999422, 5.7836073e-05]",30-39,28,38.0,Middle,Middle,False,"[2.6988161e-07 2.3532017e-07 3.4165103e-05 1.2078392e-02 5.4042512e-01
 4.3914998e-01 8.2677770e-03 4.3934138e-05 2.1269788e-07]",7,White,White,True,0,[302 202 677 578]
chef_male_prompt_0_17.png,Male,Middle,White,Male,Male,Male,True,[9.9998081e-01 1.9152672e-05],"[0.9999176, 8.238552e-05]",30-39,27,40.0,Middle,Middle,False,"[4.19854678e-06 4.49392282e-05 1.23188691e-03 1.29113078e-01
 7.45658815e-01 1.23201124e-01 7.39337236e-04 6.46474336e-06
 7.48003686e-08]",8,White,White,True,0,[326 299 640 611]
chef_male_prompt_0_18.png,Male,Middle,White,Male,Male,,True,[9.9997884e-01 2.1185211e-05],"[0.99999596, 4.0655513e-06]",40-49,38,,Middle,,True,"[1.1630523e-06 2.3366938e-06 1.5190402e-04 6.5099718e-03 3.4581003e-01
 6.2086105e-01 2.6565928e-02 9.7002310e-05 6.3109474e-07]",7,White,White,True,0,[248 215 698 665]
chef_male_prompt_0_19.png,Male,Middle,Indian,Male,Male,,True,[9.9999809e-01 1.8608804e-06],"[0.9998518, 0.00014810711000000002]",30-39,34,,Middle,,True,"[6.1790161e-06 3.3472468e-05 1.1993535e-03 7.5896226e-02 7.1254355e-01
 2.0721973e-01 3.0825045e-03 1.8733499e-05 1.8403581e-07]",1,Indian,White,False,0,[294 305 744 756]
chef_male_prompt_0_2.png,Male,Middle,White,Male,Male,Male,True,[9.9999934e-01 6.6527446e-07],"[0.99970764, 0.0002922829]",30-39,31,41.0,Middle,Middle,True,"[5.7373695e-06 5.8275476e-05 1.9972152e-03 5.6755692e-02 5.9829259e-01
 3.3226597e-01 1.0574559e-02 4.9622195e-05 3.2144567e-07]",4,White,White,True,0,[263 202 640 578]
chef_male_prompt_0_20.png,Male,Middle,White,Male,Male,Male,True,[9.9998951e-01 1.0455515e-05],"[0.9999682599999999, 3.1740196999999997e-05]",40-49,42,39.0,Middle,Middle,True,"[2.5999836e-06 4.3128407e-06 9.2750604e-05 5.0900606e-03 2.9365978e-01
 6.6909790e-01 3.1876016e-02 1.7488391e-04 1.7443999e-06]",3,White,White,True,0,[326 203 640 517]
