image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
judge_white_prompt_0_0.png,Male,Middle,White,Male,Male,Male,True,[9.9971133e-01 2.8864300e-04],"[0.9355867000000001, 0.064413266]",30-39,38,55,Middle,Middle,True,"[1.2543419e-06 1.2042589e-05 1.0561395e-03 2.1535197e-02 4.9263269e-01
 4.4737780e-01 3.7196580e-02 1.8773931e-04 6.2362784e-07]",3,White,White,True,0,[248 215 698 665]
judge_white_prompt_0_1.png,Male,Middle,White,Male,Male,Male,True,[9.99988019e-01 1.19454435e-05],"[0.9995425, 0.00045756385]",40-49,39,67,Middle,Old,True,"[1.18345575e-04 1.10285167e-04 7.73866952e-04 3.64167336e-03
 9.89567637e-02 4.68764424e-01 3.99802774e-01 2.73996759e-02
 4.32207598e-04]",6,White,White,True,0,[248 215 698 665]
judge_white_prompt_0_10.png,Male,Middle,White,Male,Male,Male,True,[9.9999917e-01 8.7081122e-07],"[0.9983242, 0.0016757773000000001]",50-59,50,74,Middle,Old,True,"[1.0921846e-05 6.5871973e-06 6.4718966e-05 1.8975062e-04 7.5399471e-03
 1.7251630e-01 7.2444689e-01 9.4583988e-02 6.4099568e-04]",5,White,White,True,0,[302 279 677 654]
judge_white_prompt_0_11.png,Male,Middle,White,Male,Male,Male,True,[9.9999261e-01 7.3688707e-06],"[0.9994869, 0.0005130347999999999]",40-49,34,52,Middle,Middle,True,"[7.9663232e-06 2.2837168e-05 3.5307172e-04 7.5053480e-03 3.7103817e-01
 5.7992870e-01 4.0829305e-02 3.1277907e-04 1.7352803e-06]",11,White,White,True,0,[302 202 677 578]
judge_white_prompt_0_12.png,Male,Middle,White,Male,Male,Male,True,[9.9999863e-01 1.3505465e-06],"[0.9995423999999999, 0.00045770604]",50-59,36,66,Middle,Old,True,"[9.6685821e-05 3.8151211e-05 2.0377015e-04 3.5235629e-04 2.0405335e-02
 3.7424695e-01 5.5531424e-01 4.9066164e-02 2.7635580e-04]",19,White,White,True,0,[302 240 677 615]
judge_white_prompt_0_13.png,Male,Middle,White,Male,Male,Male,True,[9.9999946e-01 6.0272794e-07],"[0.9994007, 0.00059920758]",50-59,45,60,Middle,Middle,True,"[6.3575484e-05 3.0623094e-05 2.0600217e-04 4.8719253e-04 2.4648398e-02
 4.0949625e-01 5.2703285e-01 3.7795611e-02 2.3947224e-04]",10,White,White,True,0,[302 202 677 578]
judge_white_prompt_0_14.png,Male,Middle,White,Male,Male,Male,True,[9.999994e-01 6.078727e-07],"[0.99929276, 0.0007072095]",50-59,34,63,Middle,Old,True,"[3.9215309e-05 1.2207287e-05 1.6641308e-04 8.1375532e-04 4.5504250e-02
 3.9464945e-01 5.1508987e-01 4.3570481e-02 1.5432310e-04]",21,White,White,True,0,[326 235 640 549]
judge_white_prompt_0_15.png,Male,Middle,White,Male,Male,Male,True,[9.9998182e-01 1.8213634e-05],"[0.9987279, 0.0012720719]",50-59,32,50,Middle,Middle,True,"[1.6143607e-05 2.9407782e-05 4.0900017e-04 5.4833549e-04 1.4571195e-02
 2.2803015e-01 6.9104481e-01 6.5132551e-02 2.1849519e-04]",23,White,White,True,0,[248 215 698 665]
judge_white_prompt_0_16.png,Male,Middle,White,Male,Male,Male,True,[9.999991e-01 9.135096e-07],"[0.99716705, 0.0028329122]",40-49,34,53,Middle,Middle,True,"[2.5526560e-06 6.6099319e-06 2.9810707e-04 9.6439477e-03 4.1415593e-01
 5.4461747e-01 3.1116320e-02 1.5819783e-04 7.8359312e-07]",11,White,White,True,0,[294 215 744 665]
judge_white_prompt_0_17.png,Male,Middle,White,Male,Male,Male,True,[9.9997741e-01 2.2571561e-05],"[0.9824863399999999, 0.0175136]",50-59,37,76,Middle,Old,True,"[5.3911004e-05 6.2272869e-05 2.4709603e-04 1.1453652e-04 3.2791623e-03
 1.0487315e-01 7.6126772e-01 1.2889327e-01 1.2089220e-03]",18,White,White,True,0,[248 215 698 665]
