image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
politician_elderly_0.png,Male,Old,White,Male,Male,Male,True,[0.9966098  0.00339014],"[0.9998051, 0.0001949315]",70+,55,81.0,Old,Old,False,"[7.5926124e-07 1.7829519e-06 6.3451034e-06 1.7397368e-06 2.5787276e-06
 1.7890499e-05 1.7047240e-03 1.3150057e-01 8.6676359e-01]",20,White,White,True,0,[294 261 744 711]
politician_elderly_1.png,Male,Old,White,Male,Male,,True,[0.9974709  0.00252914],"[0.9997681, 0.00023194987]",70+,47,,Old,,False,"[9.4875850e-06 1.6172698e-05 6.7414512e-05 1.1568026e-05 2.0483942e-05
 1.4608885e-04 1.0778869e-02 3.9075357e-01 5.9819627e-01]",28,White,White,True,0,[248 215 698 665]
politician_elderly_10.png,Male,Old,White,Male,Male,Male,True,[9.999360e-01 6.407898e-05],"[0.9999773000000001, 2.2720923e-05]",60-69,51,77.0,Old,Old,False,"[5.8366013e-06 6.2552476e-06 5.1870520e-05 6.3996004e-06 1.8785942e-05
 2.5285181e-04 2.0614505e-02 5.8203721e-01 3.9700630e-01]",14,White,White,True,0,[294 261 744 711]
politician_elderly_11.png,Male,Old,White,Male,Male,Male,True,[9.992427e-01 7.573189e-04],"[0.99948456, 0.00051538553]",60-69,51,81.0,Old,Old,False,"[1.9694951e-05 2.3785053e-05 1.0513135e-04 2.0192119e-05 6.8930349e-05
 7.4139412e-04 4.9962554e-02 6.9229811e-01 2.5676021e-01]",14,White,White,True,0,[148 183 688 724]
politician_elderly_12.png,Male,Old,White,Male,Male,Male,True,[9.9982756e-01 1.7246831e-04],"[0.99965546, 0.0003444822]",70+,48,79.0,Old,Old,False,"[3.2537066e-06 3.2050423e-06 1.4553668e-05 4.7510439e-06 9.5587120e-06
 8.7171058e-05 9.6915513e-03 4.4405857e-01 5.4612738e-01]",27,White,White,True,0,[148 238 688 778]
politician_elderly_13.png,Male,Old,White,Male,Male,Male,True,[0.9989324  0.00106762],"[0.9992798999999999, 0.0007200728]",70+,61,79.0,Old,Old,True,"[2.1851481e-06 3.9162455e-06 1.7145772e-05 5.6996196e-06 1.5083397e-05
 1.2135712e-04 6.2573710e-03 3.0045289e-01 6.9312429e-01]",14,White,White,True,0,[339 202 715 578]
politician_elderly_14.png,Male,Old,White,Male,Male,Male,True,[0.9969877  0.00301232],"[0.9986519, 0.001348122]",70+,54,78.0,Old,Old,False,"[2.2567645e-05 4.0844196e-05 7.6882498e-05 2.6047363e-05 8.2965656e-05
 8.8050112e-04 2.7717985e-02 4.6430972e-01 5.0684249e-01]",21,White,White,True,0,[302 354 677 730]
politician_elderly_15.png,Male,Old,White,Male,Male,Male,True,[9.9931914e-01 6.8088825e-04],"[0.9999796000000001, 2.0326707000000002e-05]",60-69,49,81.0,Old,Old,False,"[1.8104987e-05 1.8135403e-05 4.9669732e-05 1.3025235e-05 5.0369177e-05
 5.1057548e-04 2.6622480e-02 4.9200666e-01 4.8071092e-01]",16,White,White,True,0,[248 261 698 711]
politician_elderly_16.png,Male,Old,White,Male,Male,Male,True,[9.9943024e-01 5.6975987e-04],"[0.99999664, 3.3750202000000003e-06]",70+,53,79.0,Old,Old,False,"[3.6828276e-06 5.4297293e-06 1.5522897e-05 4.2968222e-06 9.1252887e-06
 6.5558903e-05 5.8712661e-03 3.1944266e-01 6.7458248e-01]",22,White,White,True,0,[326 267 640 581]
politician_elderly_17.png,Male,Old,White,Male,Male,Male,True,[0.9971291  0.00287089],"[0.99876175, 0.0012382966]",70+,54,80.0,Old,Old,False,"[2.9655575e-06 2.1957478e-06 9.3573808e-06 9.1913826e-06 1.9715349e-05
 1.3627963e-04 7.5883823e-03 2.7630457e-01 7.1592736e-01]",21,White,White,True,0,[339 279 715 654]
politician_elderly_18.png,Male,Old,White,Male,Male,Male,True,[9.9997956e-01 2.0430143e-05],"[0.9996605, 0.00033950983999999994]",60-69,55,80.0,Old,Old,False,"[1.6685836e-06 1.3951752e-06 5.7438419e-06 3.6371264e-06 1.1686084e-05
 1.5416596e-04 1.5018343e-02 5.2638972e-01 4.5841360e-01]",10,White,White,True,0,[248 215 698 665]
politician_elderly_19.png,Male,Old,White,Male,Male,Male,True,[0.9975157  0.00248433],"[0.9999522000000001, 4.7798924999999996e-05]",70+,56,83.0,Old,Old,False,"[2.5201466e-06 3.0691099e-06 1.0836840e-05 4.0940267e-06 1.0299010e-05
 8.9480454e-05 7.6303808e-03 3.0371031e-01 6.8853897e-01]",19,White,White,True,0,[339 279 715 654]
politician_elderly_2.png,Male,Old,White,Male,Male,Male,True,[0.9974303 0.0025697],"[0.9999508, 4.9195853000000006e-05]",70+,60,82.0,Old,Old,False,"[2.6480884e-06 3.7672835e-06 1.1543008e-05 3.5445344e-06 6.7405131e-06
 4.9160179e-05 4.7911587e-03 2.2484264e-01 7.7028883e-01]",15,White,White,True,0,[202 183 743 724]
