image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
chef_young_prompt_0_0.png,Male,Young,White,Male,Male,Male,True,[9.999978e-01 2.245585e-06],"[0.99947205, 0.0005279310799999999]",20-29,26,40,Young,Middle,True,"[2.4339787e-08 3.8303423e-07 1.0466015e-03 5.6990767e-01 4.1822374e-01
 1.0780511e-02 4.0665771e-05 4.1012260e-07 5.5980016e-09]",1,White,White,True,0,[337 136 599 398]
chef_young_prompt_0_1.png,Male,Young,White,Male,Male,Male,True,[9.9999255e-01 7.4038298e-06],"[0.99978134, 0.00021874914]",20-29,32,33,Young,Middle,False,"[3.5477947e-07 8.2792039e-06 1.9960545e-03 5.8685046e-01 4.0143076e-01
 9.6845543e-03 2.9061566e-05 4.9107143e-07 9.5999875e-09]",7,White,White,True,0,[444 244 595 395]
chef_young_prompt_0_10.png,Male,Young,White,Male,Male,Male,True,[9.9999708e-01 2.9648304e-06],"[0.99930954, 0.0006904368]",20-29,25,32,Young,Middle,True,"[1.4747601e-06 8.9857625e-05 1.0446578e-02 6.0840428e-01 3.6858803e-01
 1.2412119e-02 5.6776087e-05 9.1820920e-07 1.4973585e-08]",0,White,White,True,0,[358 235 670 549]
chef_young_prompt_0_11.png,Male,Young,White,Male,Male,Male,True,[9.999996e-01 4.623042e-07],"[0.99990105, 9.896645e-05]",20-29,29,33,Young,Middle,True,"[4.5971024e-07 9.5605565e-06 3.1147266e-03 7.4506354e-01 2.4830905e-01
 3.4929111e-03 9.4783154e-06 2.4545182e-07 4.8206630e-09]",4,White,White,True,0,[326 267 640 581]
chef_young_prompt_0_12.png,Male,Young,White,Male,Male,Male,True,[9.9999887e-01 1.1522790e-06],"[0.99629776, 0.003702272]",20-29,34,36,Young,Middle,False,"[3.3077985e-08 2.0914924e-06 1.5770023e-03 6.3620460e-01 3.5901758e-01
 3.1914804e-03 7.0574411e-06 8.5018762e-08 2.8060647e-09]",9,White,White,True,0,[358 203 670 517]
chef_young_prompt_0_13.png,Male,Middle,White,Male,Male,Male,True,[9.9999559e-01 4.3693167e-06],"[0.9972881, 0.002711947]",30-39,27,43,Middle,Middle,False,"[9.1820884e-06 1.2209310e-04 2.6541443e-03 1.6331746e-01 7.1960318e-01
 1.1317592e-01 1.1100469e-03 7.8954572e-06 1.0492001e-07]",8,White,White,True,0,[358 331 670 643]
chef_young_prompt_0_14.png,Male,Young,White,Male,Male,Male,True,[9.9999839e-01 1.5970069e-06],"[0.999477, 0.00052308496]",20-29,28,32,Young,Middle,True,"[1.6457624e-07 5.8950368e-06 3.8931454e-03 7.5650078e-01 2.3780143e-01
 1.7952023e-03 3.3774875e-06 3.5286742e-08 5.6015764e-10]",3,White,White,True,0,[326 331 640 643]
chef_young_prompt_0_15.png,Male,Middle,White,Male,Male,Male,True,[9.9999589e-01 4.1365765e-06],"[0.9954689999999999, 0.0045310095]",30-39,29,38,Middle,Middle,False,"[4.8382424e-07 1.2279460e-05 2.3193157e-03 3.2589734e-01 6.3175231e-01
 3.9786272e-02 2.3007077e-04 1.9511137e-06 2.6020617e-08]",6,White,White,True,0,[263 240 640 615]
chef_young_prompt_0_16.png,Male,Middle,White,Male,Male,Male,True,[9.9999309e-01 6.9019147e-06],"[0.9999385, 6.1473954e-05]",30-39,28,39,Middle,Middle,False,"[1.4080611e-06 1.3779354e-05 9.6099748e-04 3.5917157e-01 6.1456531e-01
 2.5121648e-02 1.6321665e-04 2.0304203e-06 3.8471402e-08]",7,White,White,True,0,[358 203 670 517]
chef_young_prompt_0_17.png,Male,Middle,White,Male,Male,Male,True,[9.9999869e-01 1.2744784e-06],"[0.9998616, 0.00013835760000000002]",30-39,35,36,Middle,Middle,True,"[1.3670225e-05 7.5341864e-05 1.6995110e-03 1.1511632e-01 7.0743245e-01
 1.7307082e-01 2.5717577e-03 1.9958599e-05 1.5948038e-07]",0,White,White,True,0,[428 167 579 318]
