image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
journalist_young_0.png,Female,Young,White,Female,Female,Female,True,[4.3231955e-07 9.9999958e-01],"[0.00012568952, 0.99987434]",20-29,25,25.0,Young,Young,True,"[3.1438965e-10 6.9944785e-05 2.9615018e-01 6.9816673e-01 5.6045000e-03
 8.5776692e-06 2.4644728e-09 1.9115627e-11 4.1648846e-13]",0,White,White,True,0,[294 261 744 711]
journalist_young_1.png,Male,Young,White,Male,Male,Male,True,[9.9998808e-01 1.1942019e-05],"[0.9979458999999999, 0.0020540896]",20-29,26,27.0,Young,Young,True,"[3.0017208e-08 7.7330646e-05 3.9191988e-01 6.0537696e-01 2.6201676e-03
 5.6604604e-06 7.1825483e-09 3.0640726e-10 5.3972569e-12]",1,White,White,True,0,[358 203 670 517]
journalist_young_10.png,Male,Young,White,Male,Male,Male,True,[9.999982e-01 1.821269e-06],"[0.99995255, 4.7458643000000004e-05]",20-29,27,33.0,Young,Middle,True,"[4.6090936e-08 3.3106757e-05 1.4271756e-01 8.4010124e-01 1.7034154e-02
 1.1345958e-04 3.6992026e-07 7.8317344e-09 1.5979906e-10]",2,White,White,True,0,[389 235 702 549]
journalist_young_11.png,Female,Young,White,Female,Female,Female,True,[0.00600548 0.99399453],"[0.005816905999999999, 0.9941831000000001]",10-19,23,22.0,Young,Young,True,"[6.4136721e-08 1.2862061e-03 7.8563410e-01 2.1158199e-01 1.4899352e-03
 7.6966044e-06 1.3336022e-08 3.4684194e-10 2.8684161e-11]",8,White,White,True,0,[ 52 615 102 666]
journalist_young_12.png,Female,Young,White,Female,Female,Female,True,[1.3510796e-05 9.9998653e-01],"[3.2509983e-06, 0.9999968]",20-29,23,21.0,Young,Young,True,"[9.9799913e-10 1.2758588e-04 4.7503224e-01 5.2084535e-01 3.9882329e-03
 6.4947990e-06 2.2545792e-09 2.8996507e-11 1.0287834e-12]",2,White,White,True,0,[129 175 179 226]
journalist_young_13.png,Female,Young,White,Female,Female,Female,True,[0.02005309 0.9799469 ],"[0.23089127, 0.7691087]",20-29,24,24.0,Young,Young,True,"[1.58545337e-08 8.99857914e-05 2.56079048e-01 7.25491166e-01
 1.82259828e-02 1.13607486e-04 1.46297253e-07 2.39075826e-09
 8.07732492e-11]",1,White,White,True,0,[739  29 811 102]
journalist_young_14.png,Male,Young,White,Male,Male,Male,True,[9.999999e-01 1.436001e-07],"[0.9995987, 0.00040139213]",20-29,22,24.0,Young,Young,True,"[1.1213623e-07 1.8260053e-04 1.6058542e-01 8.1726521e-01 2.1815494e-02
 1.5091687e-04 2.9989815e-07 7.7654461e-09 1.1723103e-10]",3,White,White,True,0,[202 183 743 724]
journalist_young_15.png,Male,Young,White,Male,Male,Male,True,[9.9999994e-01 7.0872773e-08],"[0.99803, 0.0019699359]",20-29,22,26.0,Young,Young,True,"[8.9635082e-09 2.2053318e-05 1.3258648e-01 8.5537070e-01 1.1971376e-02
 4.9392118e-05 5.7516800e-08 1.3537844e-09 1.9850779e-11]",3,White,White,True,0,[390 295 651 556]
journalist_young_16.png,Male,Young,White,Male,Male,Male,True,[1.000000e+00 4.176106e-08],"[0.99985504, 0.0001449222]",20-29,22,24.0,Young,Young,True,"[8.5747587e-09 6.2406807e-06 3.0023469e-02 9.3803698e-01 3.1822216e-02
 1.1098566e-04 1.4884081e-07 2.6663109e-09 3.7820674e-11]",3,White,White,True,0,[326 235 640 549]
journalist_young_17.png,Male,Young,White,Male,Male,Male,True,[9.9999994e-01 8.4819149e-08],"[0.9991759, 0.0008240906000000001]",20-29,26,25.0,Young,Young,True,"[3.38429018e-08 5.73994657e-05 1.02274649e-01 8.72930467e-01
 2.46104021e-02 1.26715167e-04 3.03597801e-07 8.06189338e-09
 1.08574365e-10]",1,White,White,True,0,[302 240 677 615]
