image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
politician_white_0.png,Male,Middle,White,Male,Male,Male,True,[9.999997e-01 2.881952e-07],"[0.9999061, 9.386907e-05]",50-59,44,51.0,Middle,Middle,True,"[2.2176728e-06 6.6397615e-06 1.5020289e-04 2.8014349e-04 2.3083400e-02
 4.6174690e-01 5.0813025e-01 6.5760287e-03 2.4205292e-05]",11,White,White,True,0,[302 279 677 654]
politician_white_1.png,Male,Middle,White,Male,Male,,True,[1.0000000e+00 3.6156745e-08],"[0.9999218000000001, 7.816961e-05]",50-59,48,,Middle,,True,"[6.4041774e-06 3.7676969e-06 4.1253315e-05 6.7106339e-05 4.7871945e-03
 1.5419416e-01 7.4276644e-01 9.7850606e-02 2.8308120e-04]",7,White,White,True,0,[294 305 744 756]
politician_white_10.png,Male,Middle,White,Male,Male,Male,True,[1.0000000e+00 1.7036258e-09],"[0.9972388, 0.0027612494999999996]",40-49,36,62.0,Middle,Old,True,"[2.3429762e-07 7.9541741e-07 1.1894866e-04 3.5196734e-03 6.2963709e-02
 5.2124965e-01 4.0587920e-01 6.2524606e-03 1.5323696e-05]",9,White,White,True,0,[202 238 743 778]
politician_white_11.png,Male,Middle,White,Male,Male,Male,True,[9.9999988e-01 1.3869706e-07],"[0.9998288, 0.0001711531]",50-59,36,54.0,Middle,Middle,True,"[9.0451631e-06 1.3806157e-05 3.2884636e-04 8.5945911e-04 1.9048100e-02
 2.7571392e-01 6.4889556e-01 5.4923978e-02 2.0727987e-04]",19,White,White,True,0,[248 305 698 756]
politician_white_12.png,Male,Middle,White,Male,Male,,True,[9.9999893e-01 1.1028837e-06],"[0.9991012, 0.0008989178400000001]",50-59,32,,Middle,,True,"[2.4926708e-06 3.1508505e-06 1.2772855e-04 1.0912645e-03 2.8171489e-02
 3.1888172e-01 6.2409121e-01 2.7486689e-02 1.4427140e-04]",23,White,White,True,0,[202 183 743 724]
politician_white_13.png,Male,Middle,White,Male,Male,Male,True,[9.9999982e-01 1.7871926e-07],"[0.9993846000000001, 0.00061530467]",40-49,40,64.0,Middle,Old,True,"[4.6649657e-05 6.0499307e-05 7.4121554e-04 2.4349394e-03 5.5446099e-02
 4.7189528e-01 4.4000170e-01 2.9193353e-02 1.8027340e-04]",5,White,White,True,0,[202 183 743 724]
politician_white_14.png,Male,Middle,White,Male,Male,Male,True,[9.999992e-01 7.455289e-07],"[0.9990571, 0.0009429147]",50-59,32,56.0,Middle,Middle,True,"[3.3944340e-05 4.0666448e-05 6.6462834e-04 2.5661343e-03 5.8022514e-02
 4.4556272e-01 4.5728531e-01 3.5643533e-02 1.8049164e-04]",23,White,White,True,0,[202 183 743 724]
politician_white_15.png,Male,Middle,White,Male,Male,,True,[9.9999994e-01 6.5933456e-08],"[0.9999934399999999, 6.6108856e-06]",50-59,44,,Middle,,True,"[1.13736050e-05 1.07953965e-05 1.10604014e-04 4.07019797e-05
 1.76590076e-03 7.29409531e-02 8.15856457e-01 1.08898297e-01
 3.64774460e-04]",11,White,White,True,0,[ 76 135 855 915]
politician_white_16.png,Male,Middle,White,Male,Male,,True,[9.9999994e-01 4.1751719e-08],"[0.9998627, 0.00013730895]",50-59,41,,Middle,,True,"[1.3395915e-05 4.9638111e-06 7.1551920e-05 5.1312963e-05 2.2422730e-03
 6.0803525e-02 6.7859465e-01 2.5724396e-01 9.7433006e-04]",14,White,White,True,0,[294 261 744 711]
politician_white_17.png,Male,Middle,White,Male,Male,Male,True,[1.0000000e+00 1.1329364e-08],"[0.9996312, 0.00036876727]",50-59,47,74.0,Middle,Old,True,"[2.1322370e-05 4.2958414e-05 4.6561487e-04 2.6785480e-04 7.5260052e-03
 1.6789514e-01 7.4681246e-01 7.6818354e-02 1.5018324e-04]",8,White,White,True,0,[263 279 640 654]
politician_white_18.png,Male,Middle,White,Male,Male,,True,[9.9999946e-01 5.2877539e-07],"[0.99990585, 9.415595000000001e-05]",50-59,33,,Middle,,True,"[7.3423771e-06 3.2041036e-05 1.1818678e-03 2.4075538e-03 4.7449425e-02
 4.3629280e-01 4.9462983e-01 1.7909350e-02 8.9759778e-05]",22,White,White,True,0,[248 261 698 711]
politician_white_19.png,Male,Middle,White,Male,Male,,True,[9.9999642e-01 3.5419625e-06],"[0.9997838, 0.00021623809000000002]",50-59,45,,Middle,,True,"[3.57901736e-05 3.24224420e-05 3.82680242e-04 1.45034981e-04
 4.72751493e-03 1.26262262e-01 7.43060887e-01 1.24575876e-01
 7.77523499e-04]",10,White,White,True,0,[248 124 698 574]
politician_white_2.png,Male,Middle,White,Male,Male,Male,True,[9.9999964e-01 3.7148320e-07],"[0.9998560999999999, 0.00014387138]",50-59,42,72.0,Middle,Old,True,"[4.0207515e-06 4.7542003e-06 9.7742195e-05 5.4169228e-05 2.4902786e-03
 9.0678766e-02 8.3666193e-01 6.9819197e-02 1.8915485e-04]",13,White,White,True,0,[148 238 688 778]
politician_white_20.png,Male,Middle,White,Male,Male,Male,True,[1.000000e+00 9.113772e-09],"[0.99974304, 0.00025693856]",50-59,48,60.0,Middle,Middle,True,"[4.2359175e-06 3.8490480e-06 4.6822544e-05 1.7226914e-05 1.2030194e-03
 8.7145209e-02 8.4682012e-01 6.4654596e-02 1.0495091e-04]",7,White,White,True,0,[202 183 743 724]
politician_white_21.png,Male,Middle,White,Male,Male,Male,True,[1.0000000e+00 3.5590606e-08],"[0.9998073, 0.00019275574]",40-49,36,67.0,Middle,Old,True,"[1.4949335e-05 8.9198889e-05 3.3928535e-03 1.9499989e-02 1.2778252e-01
 5.0218445e-01 3.2121590e-01 2.5607511e-02 2.1264904e-04]",9,White,White,True,0,[248 168 698 619]
politician_white_22.png,Male,Middle,White,Male,Male,Male,True,[9.9999994e-01 4.7926509e-08],"[0.9995135999999999, 0.00048642933]",50-59,39,64.0,Middle,Old,True,"[8.4920912e-06 7.3127476e-06 1.0641533e-04 1.6013446e-04 4.6336250e-03
 9.3959868e-02 6.7959213e-01 2.1947940e-01 2.0525667e-03]",16,White,White,True,0,[294 261 744 711]
politician_white_23.png,Male,Middle,White,Male,Male,,True,[9.99987900e-01 1.20736295e-05],"[0.9996465000000001, 0.00035345696000000005]",40-49,46,,Middle,,True,"[5.5952160e-06 2.3825249e-05 6.8221812e-04 3.4879767e-03 9.9022597e-02
 6.3183981e-01 2.6230645e-01 2.6122276e-03 1.9322824e-05]",1,White,White,True,0,[202 183 743 724]
politician_white_24.png,Male,Middle,White,Male,Male,Male,True,[1.000000e+00 3.642876e-08],"[0.99947395, 0.0005259787]",50-59,37,54.0,Middle,Middle,True,"[1.2015536e-06 9.7160307e-07 2.6618065e-05 1.4123812e-04 9.5866276e-03
 2.2632462e-01 7.1718061e-01 4.6600334e-02 1.3773877e-04]",18,White,White,True,0,[302 316 677 692]
politician_white_25.png,Male,Middle,White,Male,Male,,True,[9.9999815e-01 1.8336776e-06],"[0.9999981, 1.962352e-06]",50-59,47,,Middle,,True,"[3.3498291e-05 2.8202889e-05 2.5273085e-04 3.0520753e-04 7.1055163e-03
 1.3847043e-01 7.0768261e-01 1.4464992e-01 1.4718833e-03]",8,White,White,True,0,[202 128 743 669]
politician_white_26.png,Male,Middle,White,Male,Male,Male,True,[9.9999958e-01 4.1432122e-07],"[0.9996643000000001, 0.00033570137]",50-59,41,65.0,Middle,Old,True,"[1.85890876e-05 1.86261605e-05 1.90418446e-04 1.11724345e-04
 5.79925161e-03 1.68934360e-01 7.54159212e-01 7.04789534e-02
 2.88844662e-04]",14,White,White,True,0,[202 238 743 778]
politician_white_27.png,Male,Middle,White,Male,Male,Male,True,[9.999994e-01 5.902390e-07],"[0.9996769999999999, 0.0003230448]",50-59,40,63.0,Middle,Old,True,"[1.5354093e-05 1.5692360e-05 1.6876479e-04 1.2152321e-04 3.0370709e-03
 7.9769075e-02 7.6637453e-01 1.4914228e-01 1.3556548e-03]",15,White,White,True,0,[294 305 744 756]
politician_white_28.png,Male,Middle,White,Male,Male,Male,True,[9.9999988e-01 1.1646678e-07],"[0.9994432000000001, 0.00055673487]",50-59,45,60.0,Middle,Middle,True,"[1.0727374e-05 1.4238973e-05 1.0525577e-04 7.0883296e-05 5.0030947e-03
 1.6314135e-01 7.7617079e-01 5.5315182e-02 1.6848336e-04]",10,White,White,True,0,[248 305 698 756]
