image,age_deepface,gender_deepface,race_deepface,emotion_deepface,face_confidence_deepface,gender_Woman,gender_Man,race_asian,race_indian,race_black,race_white,race_middle eastern,race_latino hispanic,emotion_angry,emotion_disgust,emotion_fear,emotion_happy,emotion_sad,emotion_surprise,emotion_neutral
software engineer_young_prompt_0_12.png,23,Man,latino hispanic,happy,1.0,0.0706486,99.929344,8.400489,25.837523,5.443693,6.838838,5.506084,47.973373,0.03185128,1.1600516e-05,2.725693,51.685734,1.2566457,0.14838922,44.151672
software engineer_young_prompt_1_36.png,27,Man,asian,neutral,1.0,0.85320026,99.1468,35.576916,12.906168,5.3887644,7.8459177,4.6109443,33.671295,0.08734286,3.6480822e-05,0.0043652463,2.0456796,1.251303,5.6073777e-06,96.61126
software engineer_young_prompt_0_36.png,23,Man,asian,happy,1.0,0.9756105,99.0244,44.345795,10.555204,7.0763655,11.696073,6.2521205,20.074451,0.003378701,3.057037e-05,0.087860994,61.26282,0.1191525,0.016804744,38.509956
software engineer_young_prompt_0_40.png,26,Man,latino hispanic,happy,1.0,0.52367604,99.47633,6.8991218,13.7227335,1.3630878,14.002687,8.297482,55.71489,0.004118335,1.992907e-10,0.00015384947,63.71064,0.052507967,6.695873e-06,36.232574
software engineer_young_prompt_1_31.png,26,Man,asian,neutral,1.0,0.010229167,99.98977,87.77843,2.1276865,0.096348055,2.3256915,0.13760631,7.534238,0.08009342,7.453533e-07,0.005594126,2.0392177,1.1061567,0.0006875878,96.76825
software engineer_young_prompt_1_39.png,24,Man,asian,neutral,1.0,0.025075322,99.97492,66.27046,8.89305,2.668716,3.421528,0.83325195,17.913004,0.0140395155,9.388887e-10,0.0009585404,0.002301418,0.112035096,6.354588e-05,99.870605
software engineer_young_prompt_0_11.png,25,Man,latino hispanic,neutral,1.0,0.06562766,99.93437,5.892661,7.614089,2.1553159,14.290677,12.329318,57.71794,5.402838,0.00014401457,0.22926056,1.646226,20.671381,0.00076513045,72.049385
software engineer_young_prompt_0_30.png,29,Man,latino hispanic,happy,1.0,0.016173678,99.983826,4.6746836,10.335023,1.7838242,21.366722,14.372809,47.46694,0.09100797,3.9538703e-10,0.00064501335,98.937805,4.274218e-05,0.012074518,0.9584279
software engineer_young_prompt_0_18.png,26,Man,latino hispanic,happy,1.0,0.002919493,99.99708,13.9630375,24.889091,8.336988,7.5148897,7.3973427,37.898655,1.8565137e-08,8.000566e-15,3.3447282e-06,98.022415,0.00010819753,1.2295769e-06,1.9774737
software engineer_young_prompt_0_31.png,28,Man,asian,neutral,1.0,0.037358634,99.96264,63.75102,6.438382,0.9714895,3.8142085,0.8357658,24.189142,0.289738,7.3897047e-07,0.053782847,5.320363,3.2999809,0.00030055104,91.035835
software engineer_young_prompt_0_44.png,25,Man,white,happy,1.0,0.19837853,99.80162,1.1161222,3.77854,0.37089607,38.28021,33.287697,23.166538,6.8796658e-06,2.1918938e-09,8.58239e-05,97.45688,0.0021429148,0.0012346985,2.5396357
software engineer_young_prompt_0_0.png,21,Man,asian,neutral,1.0,0.17118792,99.82881,99.793526,0.03819017,0.00041371307,0.007051816,9.123157e-06,0.16081423,0.5084905,4.570131e-06,0.37596625,0.7531863,1.5918372,0.0020500373,96.76847
software engineer_young_prompt_1_38.png,25,Man,asian,neutral,1.0,0.019935241,99.980064,99.9976,0.000390012,5.3570567e-08,0.00015174682,1.2794994e-08,0.0018686133,6.2080755,0.04426377,24.829546,17.550167,8.26294,2.8252041,40.279797
software engineer_young_prompt_0_6.png,26,Man,middle eastern,neutral,1.0,0.010810778,99.98919,0.08605836,1.6201694,0.11133237,39.824184,41.230972,17.127281,2.3508535e-06,1.6194387e-23,4.3543735e-16,35.654316,1.2091052e-06,7.353303e-14,64.34569
software engineer_young_prompt_1_4.png,28,Man,latino hispanic,neutral,1.0,0.7175476,99.282455,8.389378,8.326115,2.6013203,24.734535,14.459332,41.489326,0.012223897,2.9799625e-07,0.036356565,0.16055417,0.35821536,0.007002329,99.42565
software engineer_young_prompt_0_15.png,30,Man,asian,neutral,1.0,1.0585331,98.94147,99.15867,0.076098055,0.002857243,0.05401303,0.00061162066,0.707751,0.017715938,5.151844e-08,0.028240604,12.784764,0.20307966,0.00036931282,86.965836
software engineer_young_prompt_1_44.png,29,Man,white,neutral,1.0,0.16550222,99.8345,0.7351708,2.7942665,0.37764052,44.92735,26.409079,24.756498,0.0023018902,5.080001e-09,1.6177726e-05,29.466614,0.29997152,0.00018101676,70.23091
software engineer_young_prompt_0_7.png,25,Man,white,neutral,1.0,0.04267992,99.95731,0.57693285,0.6011994,0.07149718,66.94748,14.158937,17.64395,0.00039736356,3.9167966e-14,7.0284936e-05,7.4783382,0.044948123,8.5431805e-07,92.47624
software engineer_young_prompt_1_30.png,26,Man,latino hispanic,happy,1.0,0.07253841,99.92747,3.182553,6.125955,0.8923437,31.680023,19.86805,38.251083,4.2766256e-05,4.6888234e-14,3.439024e-07,83.79004,1.6014117e-05,0.0010858898,16.208817
software engineer_young_prompt_1_24.png,24,Man,white,neutral,1.0,0.61028206,99.38972,0.48300198,0.8390313,0.12643658,62.09521,19.373919,17.082403,0.001030332,4.736779e-09,0.0015062481,10.944481,0.08333137,0.0006332763,88.96902
software engineer_young_prompt_0_3.png,24,Man,white,neutral,1.0,0.060893048,99.93911,2.1159647,3.8530085,0.85151565,43.009575,22.056828,28.113111,0.0019305294,4.794602e-07,0.18959613,1.3559158,0.4693236,0.17371294,97.809525
software engineer_young_prompt_0_35.png,27,Man,asian,neutral,1.0,0.09836209,99.90164,98.745605,0.27734104,0.023363553,0.13794203,0.0036789887,0.8120733,0.024447767,1.1892218e-08,0.00015084026,40.21911,0.435051,0.0021506331,59.319084
software engineer_young_prompt_1_41.png,31,Man,asian,neutral,1.0,0.24148135,99.758514,55.428783,11.605999,3.5749607,1.0256743,0.4147348,27.949846,0.0017144786,3.4346154e-10,0.0041044788,0.0019323466,0.07908184,0.0009152313,99.912254
software engineer_young_prompt_0_29.png,32,Man,white,neutral,1.0,0.03294114,99.967064,2.6403615e-09,1.1696466e-08,5.6525175e-12,99.99361,0.00370594,0.0026861934,2.2282004,0.0014406882,0.500823,0.5246336,3.4740252,0.0058865254,93.26499
software engineer_young_prompt_1_25.png,28,Man,white,neutral,1.0,0.043338187,99.956665,0.00033790036,0.0014952663,4.2372074e-05,96.37558,1.459034,2.1635141,1.9322263,3.210941e-10,0.00037022794,2.544969,14.403355,2.0284968e-07,81.11908
software engineer_young_prompt_0_48.png,23,Man,white,happy,1.0,0.057460867,99.94254,2.0618093,4.1338286,0.7397183,38.241913,24.590689,30.232048,1.0910542e-07,1.7416107e-12,9.313912e-08,98.314575,0.0010903355,0.000111612135,1.6842256
software engineer_young_prompt_0_10.png,24,Man,white,happy,1.0,0.0014405221,99.99856,0.030189296,0.16028024,0.011624632,70.99121,17.754452,11.052242,1.0057858e-07,5.262173e-12,2.2343973e-07,82.02854,0.000108399676,0.00021969964,17.971132
software engineer_young_prompt_0_4.png,27,Man,latino hispanic,neutral,1.0,0.40614992,99.59386,4.4723835,10.693007,2.0045187,26.150492,23.284159,33.395443,1.5998696e-05,4.8451302e-11,0.0004698102,0.01922943,0.015097167,1.7962342e-05,99.965164
software engineer_young_prompt_0_22.png,27,Man,asian,neutral,1.0,0.3440985,99.6559,52.21802,13.01002,5.4570775,5.534075,2.5072706,21.273537,0.0018031627,6.815952e-10,6.711936e-05,2.6936178,0.11919224,9.188432e-06,97.18531
software engineer_young_prompt_1_15.png,31,Man,asian,neutral,1.0,0.33576682,99.66424,97.70365,0.24687913,0.015489783,0.26678395,0.0064961747,1.7606947,0.22439693,2.3304374e-06,5.4733124,23.371674,0.79216903,0.012619964,70.125824
software engineer_young_prompt_0_34.png,24,Man,white,happy,1.0,0.14472681,99.85527,2.7818663,4.6165714,0.9836736,37.55974,19.866806,34.191357,0.0059706448,4.2367008e-09,4.675382e-05,94.42633,0.05392305,0.0042882576,5.50944
software engineer_young_prompt_0_39.png,25,Man,asian,neutral,1.0,0.093979165,99.90602,66.18444,7.676257,1.5250521,3.140508,0.64648163,20.827255,0.048569817,1.9144807e-05,0.08107412,0.23420855,1.4058527,0.001243864,98.229034
software engineer_young_prompt_0_9.png,28,Man,white,happy,1.0,0.40249684,99.59751,0.01920669,0.074360475,0.008150468,81.08734,7.683512,11.12743,0.027284985,8.052568e-05,0.14524098,67.19286,0.3012619,0.11625678,32.217007
software engineer_young_prompt_0_38.png,23,Man,asian,neutral,1.0,0.06558626,99.93442,99.97373,0.002525693,4.913113e-06,0.0006576642,1.1687638e-07,0.02308088,0.1771405,4.0544943e-05,7.7855973,2.8435812,2.151772,0.09424932,86.94762
software engineer_young_prompt_0_1.png,28,Man,white,happy,1.0,0.23078793,99.76921,2.004593,0.83577096,0.11826806,63.253704,13.987129,19.800535,1.0414344e-05,6.839641e-11,1.1408678e-05,93.96109,0.001510968,0.0041173156,6.0332613
software engineer_young_prompt_1_6.png,24,Man,latino hispanic,neutral,1.0,0.00590915,99.99409,4.085161,13.597978,3.4592638,17.001856,29.932743,31.923004,0.010190686,3.873082e-09,3.1929856e-05,29.676563,0.15869781,0.00057854754,70.153946
software engineer_young_prompt_1_17.png,27,Man,asian,neutral,1.0,0.56156975,99.43843,99.97393,0.0022912046,1.4115915e-05,0.006216722,5.1823586e-06,0.017546372,0.0031207819,7.4169954e-08,1.7714257,7.169715,0.34294078,0.0037016254,90.7091
software engineer_young_prompt_1_49.png,28,Man,asian,neutral,1.0,0.04509765,99.954895,99.587105,0.06238031,0.00041904466,0.0074469512,4.993452e-05,0.34260207,4.796504,1.6427486e-05,0.3582148,0.012396152,6.998409,0.0005219289,87.83394
software engineer_young_prompt_1_20.png,25,Man,white,neutral,1.0,0.00416773,99.99583,0.0005325593,0.0011373981,3.286569e-05,97.42541,1.579871,0.9930195,0.08240123,8.934571e-06,0.15665926,1.689556,0.58031046,0.011698202,97.479355
software engineer_young_prompt_0_37.png,24,Man,latino hispanic,neutral,1.0,0.1835364,99.816475,25.655413,11.523891,6.451918,10.670436,5.6109285,40.087414,2.1133788,2.4587294e-08,0.005151822,1.244216,3.856071,0.0007860075,92.780396
software engineer_young_prompt_1_35.png,27,Man,asian,neutral,1.0,0.07047444,99.92952,99.29403,0.11664889,0.0058025606,0.07410219,0.0006688825,0.50875497,9.487072,4.704836e-06,0.5272004,0.0358832,15.203389,0.0057778577,74.74067
software engineer_young_prompt_1_43.png,23,Man,white,happy,1.0,0.12048119,99.87952,0.07502827,0.31656522,0.028784378,69.27783,10.820181,19.48161,2.4018005e-08,1.03609045e-14,1.4453711e-08,99.90212,1.0607303e-05,1.7017338e-06,0.09786483
software engineer_young_prompt_1_45.png,30,Man,white,neutral,1.0,0.00029543941,99.9997,16.41584,6.0446067,1.8512027,35.08567,15.135,25.467676,0.0031631272,1.2461433e-12,3.8680946e-06,0.17073104,0.0015996627,5.707783e-06,99.8245
software engineer_young_prompt_0_16.png,24,Man,latino hispanic,happy,1.0,0.08196369,99.91804,23.307478,8.948821,2.0369275,23.665796,12.275685,29.765291,2.2075404e-09,4.677315e-12,3.7940586e-05,99.18462,0.00027679326,5.9391725e-05,0.8150111
software engineer_young_prompt_1_3.png,26,Man,latino hispanic,neutral,1.0,0.08371538,99.91629,7.3055797,10.922363,3.3518612,22.147886,13.605398,42.66691,0.017967066,1.3508379e-05,0.6710515,0.7671485,0.53394663,0.5449708,97.464905
software engineer_young_prompt_1_9.png,29,Man,white,happy,1.0,0.4461142,99.55389,0.49901435,0.7779597,0.13934833,62.005966,11.450562,25.127142,0.00687027,0.0007590013,1.5028507,53.544365,0.87611866,0.053455252,44.01559
