face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stablexl1.0_chef_neutral/chef_neutral_150_face0.png,White,White,Male,50-59,"[8.9413494e-01 8.9348534e-05 6.5918095e-02 2.5652093e-04 8.7518786e-04
 6.8464978e-03 3.1879444e-02]",[0.9597889  0.00117363 0.00363562 0.0354018 ],[9.9988556e-01 1.1438855e-04],"[5.2653741e-05 6.9270674e-05 1.1095179e-03 1.6923682e-03 3.6031708e-02
 3.9675197e-01 5.4709220e-01 1.7047126e-02 1.5317305e-04]","[(302, 279) (677, 654)]"
fairface/detected_faces/Stablexl1.0_chef_neutral/chef_neutral_136_face0.png,Middle Eastern,White,Male,40-49,"[1.7298470e-01 2.6682466e-03 2.0077531e-01 2.1526782e-04 6.8747264e-04
 2.5524585e-02 5.9714437e-01]",[0.81533056 0.01574982 0.00436125 0.16455843],[9.9999714e-01 2.9068160e-06],"[7.1549384e-06 1.2930201e-05 2.2582189e-04 9.2205582e-03 3.0297893e-01
 6.4383847e-01 4.3290127e-02 4.1981792e-04 6.1465944e-06]","[(327, 126) (509, 307)]"
fairface/detected_faces/Stablexl1.0_chef_neutral/chef_neutral_60_face0.png,White,White,Male,30-39,"[8.8799262e-01 4.3962849e-04 3.5360511e-02 4.2062621e-03 5.4450221e-03
 2.8991953e-03 6.3656680e-02]",[0.7501962  0.0141797  0.05376996 0.18185414],[9.9978662e-01 2.1337165e-04],"[6.4771011e-06 1.7928332e-05 7.4729428e-04 7.2708681e-02 4.7729412e-01
 4.2818266e-01 2.0687589e-02 3.4849072e-04 6.7853161e-06]","[(385, 140) (602, 358)]"
fairface/detected_faces/Stablexl1.0_chef_neutral/chef_neutral_69_face0.png,White,White,Male,40-49,"[9.5251703e-01 1.7771937e-03 2.2087742e-02 1.2713560e-04 4.9011491e-04
 4.1019889e-03 1.8898776e-02]",[0.58659834 0.03284854 0.01223444 0.36831865],[9.9999434e-01 5.6879167e-06],"[4.3383743e-06 7.4260056e-06 2.2910978e-04 2.0389648e-02 3.6263055e-01
 5.6059891e-01 5.5120498e-02 1.0025431e-03 1.7082959e-05]","[(337, 241) (599, 503)]"
fairface/detected_faces/Stablexl1.0_chef_neutral/chef_neutral_120_face0.png,White,White,Male,30-39,"[6.97083056e-01 7.10625842e-04 1.11146405e-01 1.42082310e-04
 6.24883396e-04 1.23735564e-02 1.77919313e-01]",[0.8404436  0.01080538 0.00234531 0.14640573],[9.999942e-01 5.791831e-06],"[1.9277730e-05 1.5409423e-04 2.5749693e-03 1.1101373e-01 6.1799854e-01
 2.6177034e-01 6.3905311e-03 7.7395336e-05 1.1592622e-06]","[(161, 343) (221, 404)]"
fairface/detected_faces/Stablexl1.0_chef_neutral/chef_neutral_34_face0.png,White,White,Male,30-39,"[6.3826460e-01 3.7671291e-04 1.1600743e-01 1.5091900e-04 4.8224445e-04
 6.2582083e-03 2.3845993e-01]",[9.9229753e-01 8.8775286e-04 2.6577897e-03 4.1569397e-03],[9.9999744e-01 2.5263357e-06],"[7.7685443e-05 2.2445139e-04 9.6237264e-04 3.2533929e-02 5.1634836e-01
 4.3567228e-01 1.4000334e-02 1.7848397e-04 2.0802502e-06]","[(812, 349) (872, 410)]"
fairface/detected_faces/Stablexl1.0_chef_neutral/chef_neutral_53_face0.png,Middle Eastern,White,Male,40-49,"[4.4498661e-01 1.0822963e-02 2.5737699e-02 7.6030286e-05 4.8861303e-04
 2.8078303e-02 4.8980978e-01]",[0.9153977  0.03441758 0.00247198 0.04771273],[9.999673e-01 3.270836e-05],"[2.4850129e-05 2.8286046e-05 1.6188757e-04 4.3926183e-03 1.2185166e-01
 6.0490912e-01 2.6155028e-01 6.8309107e-03 2.5042560e-04]","[(430, 185) (646, 403)]"
fairface/detected_faces/Stablexl1.0_chef_neutral/chef_neutral_9_face0.png,White,White,Male,30-39,"[8.9470792e-01 6.1157387e-04 5.2625142e-02 1.3084461e-04 3.2871624e-04
 1.7389164e-03 4.9856845e-02]",[0.9437641  0.0040143  0.00147679 0.05074484],[9.999859e-01 1.411295e-05],"[9.4311326e-06 7.1891634e-05 2.8340877e-03 1.5494084e-01 6.1395687e-01
 2.1821569e-01 9.8282425e-03 1.4056006e-04 2.4028650e-06]","[(358, 235) (670, 549)]"
fairface/detected_faces/Stablexl1.0_chef_neutral/chef_neutral_105_face0.png,White,White,Male,40-49,"[7.9206169e-01 5.2681621e-03 1.6037549e-01 9.2012720e-05 4.0338933e-04
 7.5705401e-03 3.4228731e-02]",[0.8257577  0.01230261 0.00254942 0.15939024],[9.9979246e-01 2.0752571e-04],"[5.0684712e-06 2.0917430e-05 7.2537450e-04 2.4128461e-02 4.0539142e-01
 5.2356344e-01 4.5818783e-02 3.4158325e-04 4.9552455e-06]","[(451, 162) (669, 380)]"
fairface/detected_faces/Stablexl1.0_chef_neutral/chef_neutral_15_face0.png,White,White,Male,40-49,"[5.0365949e-01 1.3125285e-04 6.7974017e-03 2.3337008e-05 1.1440491e-04
 2.7240033e-03 4.8655006e-01]",[8.4958678e-01 3.7456877e-03 3.5483186e-04 1.4631270e-01],[9.9999398e-01 5.9905283e-06],"[9.4497518e-06 8.6996333e-06 6.3106578e-05 1.3078986e-03 8.7099746e-02
 7.8193760e-01 1.2779438e-01 1.7447161e-03 3.4334855e-05]","[(363, 216) (624, 477)]"
