face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stablexl1.0_politician_white/politician_white_43_face0.png,White,White,Male,50-59,"[9.9176139e-01 2.4002384e-06 5.6421063e-03 3.3170440e-05 3.2397726e-05
 5.3014501e-04 1.9983945e-03]",[9.9616176e-01 3.6953308e-05 6.5586435e-05 3.7357586e-03],[9.9996942e-01 3.0576797e-05],"[1.7530461e-05 3.3792428e-05 5.5235822e-04 6.3626032e-04 1.6374007e-02
 3.1311071e-01 6.4373040e-01 2.5363173e-02 1.8183712e-04]","[(294, 215) (744, 665)]"
fairface/detected_faces/Stablexl1.0_politician_white/politician_white_6_face0.png,White,White,Male,40-49,"[9.9330753e-01 3.7737432e-06 5.0060307e-03 3.0379499e-05 3.3883152e-05
 3.3315356e-04 1.2852645e-03]",[9.9777275e-01 5.2737660e-06 1.6666650e-04 2.0553083e-03],[9.9993271e-01 6.7318084e-05],"[6.91469177e-06 4.96631328e-05 1.26882945e-03 4.40438278e-03
 1.65168762e-01 7.05828190e-01 1.21906579e-01 1.35181972e-03
 1.48427225e-05]","[(294, 261) (744, 711)]"
fairface/detected_faces/Stablexl1.0_politician_white/politician_white_42_face0.png,White,White,Male,40-49,"[8.6688352e-01 9.2970135e-05 4.1524563e-02 1.3237380e-04 1.7404727e-04
 8.2285167e-04 9.0369672e-02]",[9.9680346e-01 6.6168082e-04 2.3604688e-04 2.2987751e-03],[9.9916971e-01 8.3024346e-04],"[1.4119989e-05 8.1710250e-06 2.0121117e-04 4.1518323e-03 1.7081285e-01
 6.5505582e-01 1.6540404e-01 4.2957054e-03 5.6250265e-05]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stablexl1.0_politician_white/politician_white_7_face0.png,White,White,Male,30-39,"[7.6376885e-01 1.4821521e-04 9.1090366e-02 2.6596710e-04 3.5502852e-04
 1.0753857e-02 1.3361770e-01]",[9.6491271e-01 7.5090863e-04 2.5258277e-04 3.4083817e-02],[9.9999726e-01 2.7672475e-06],"[1.0706165e-06 9.3399804e-06 4.8750531e-04 4.3563612e-02 6.2520862e-01
 3.2421547e-01 6.4917924e-03 2.2434913e-05 2.0181022e-07]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stablexl1.0_politician_white/politician_white_32_face0.png,White,White,Male,50-59,"[9.5256907e-01 8.5738029e-05 3.9526429e-02 1.7540659e-04 2.1886994e-04
 3.2310167e-03 4.1934298e-03]",[9.7691339e-01 1.3506149e-03 8.3972217e-04 2.0896303e-02],[9.9995089e-01 4.9131297e-05],"[5.3520038e-05 6.1274775e-05 7.8086712e-04 5.1202590e-04 2.8313609e-02
 3.7614825e-01 5.6808394e-01 2.5886560e-02 1.5996133e-04]","[(202, 346) (743, 888)]"
fairface/detected_faces/Stablexl1.0_politician_white/politician_white_38_face0.png,White,White,Male,40-49,"[9.8904914e-01 2.5964387e-06 3.3449437e-03 2.9942286e-05 7.5818905e-05
 6.4144412e-04 6.8560848e-03]",[9.9548036e-01 7.9459078e-06 2.5574208e-04 4.2559858e-03],[9.9998295e-01 1.7024002e-05],"[1.09810107e-05 2.90296830e-05 4.64055687e-04 1.54355983e-03
 4.01228182e-02 5.29778838e-01 4.14888263e-01 1.30506903e-02
 1.11751746e-04]","[(294, 261) (744, 711)]"
fairface/detected_faces/Stablexl1.0_politician_white/politician_white_34_face0.png,White,White,Male,40-49,"[9.93416548e-01 1.03797565e-05 2.45623826e-03 6.15980071e-06
 1.77842703e-05 2.68554984e-04 3.82420002e-03]",[9.9497902e-01 1.0481561e-04 1.4949900e-04 4.7666789e-03],[9.9999648e-01 3.4693996e-06],"[1.2071731e-05 4.5929006e-05 1.0331149e-03 2.2331274e-03 6.6868789e-02
 5.8120018e-01 3.4251425e-01 6.0619302e-03 3.0568146e-05]","[(326, 235) (640, 549)]"
fairface/detected_faces/Stablexl1.0_politician_white/politician_white_28_face0.png,White,White,Male,50-59,"[9.8561579e-01 5.1326510e-06 5.6196051e-03 2.6286866e-06 5.9559216e-06
 5.6127628e-04 8.1896028e-03]",[9.8579687e-01 3.3997445e-04 3.9385373e-05 1.3823869e-02],[9.9999833e-01 1.7199043e-06],"[8.8328534e-06 1.2701460e-05 2.2309825e-04 3.1455324e-04 1.8346628e-02
 4.0495157e-01 5.5783588e-01 1.8223854e-02 8.2930936e-05]","[(358, 267) (670, 581)]"
fairface/detected_faces/Stablexl1.0_politician_white/politician_white_17_face0.png,White,White,Male,40-49,"[9.7030342e-01 6.6595021e-05 1.4741103e-02 7.5483567e-06 2.1607901e-05
 1.2075306e-03 1.3652229e-02]",[9.9019825e-01 1.0442922e-04 3.2358660e-04 9.3737738e-03],[9.9999803e-01 1.9646388e-06],"[1.5905114e-05 4.2934629e-05 5.6200969e-04 1.2442842e-03 6.6727005e-02
 6.2128246e-01 3.0472696e-01 5.3635449e-03 3.4782941e-05]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stablexl1.0_politician_white/politician_white_22_face0.png,White,White,Male,40-49,"[9.9761206e-01 1.0101355e-06 1.1384216e-03 8.2741544e-06 9.0215044e-06
 1.1113841e-04 1.1200287e-03]",[9.9885261e-01 1.8977758e-05 1.0348989e-04 1.0248437e-03],[9.9940223e-01 5.9774506e-04],"[8.3331488e-06 4.7979534e-05 1.2434234e-03 2.5376575e-02 3.7325570e-01
 5.4787540e-01 5.1756557e-02 4.2498170e-04 1.1116053e-05]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stablexl1.0_politician_white/politician_white_30_face0.png,White,White,Male,40-49,"[9.7642517e-01 2.7098663e-06 3.5137334e-03 9.9331965e-06 1.0559343e-05
 2.5005575e-04 1.9787902e-02]",[9.9664664e-01 3.7016358e-05 1.0630400e-05 3.3057432e-03],[9.9994189e-01 5.8055324e-05],"[1.4949871e-06 6.8995782e-06 5.7455548e-04 9.3154181e-03 1.9678126e-01
 6.7262644e-01 1.1947043e-01 1.2113040e-03 1.2145116e-05]","[(358, 267) (670, 581)]"
fairface/detected_faces/Stablexl1.0_politician_white/politician_white_27_face0.png,White,White,Male,40-49,"[9.9675894e-01 1.0925675e-06 7.2359102e-04 8.6980754e-06 6.6910925e-06
 4.9949034e-05 2.4510657e-03]",[9.9923819e-01 3.3551034e-05 9.0053036e-05 6.3813524e-04],[9.9996430e-01 3.5658235e-05],"[5.0728173e-05 1.2934253e-04 1.4231767e-03 3.7327106e-03 1.1669241e-01
 6.5961754e-01 2.1369454e-01 4.6220729e-03 3.7460424e-05]","[(170, 121) (819, 770)]"
fairface/detected_faces/Stablexl1.0_politician_white/politician_white_24_face0.png,Middle Eastern,White,Male,40-49,"[3.6188942e-01 8.8990280e-05 6.4090434e-03 2.4366968e-06 1.5132892e-05
 6.3750875e-04 6.3095742e-01]",[9.8467916e-01 9.4944803e-04 7.7988210e-05 1.4293420e-02],[9.9999839e-01 1.5754136e-06],"[4.4630424e-06 8.5369729e-06 1.7358332e-04 1.6066466e-03 6.4459957e-02
 5.5766058e-01 3.6449805e-01 1.1457635e-02 1.3052540e-04]","[(148, 238) (688, 778)]"
fairface/detected_faces/Stablexl1.0_politician_white/politician_white_13_face0.png,White,White,Male,40-49,"[8.2441592e-01 8.2983686e-05 3.8202375e-02 1.6517855e-05 5.7153909e-05
 4.5506931e-03 1.3267440e-01]",[8.9793199e-01 1.2322568e-03 3.4082032e-04 1.0049489e-01],[9.998344e-01 1.656039e-04],"[6.2957342e-06 3.5166682e-05 9.8955445e-04 2.5891263e-02 4.1089529e-01
 5.3292036e-01 2.9003216e-02 2.5550852e-04 3.3231886e-06]","[(294, 215) (744, 665)]"
fairface/detected_faces/Stablexl1.0_politician_white/politician_white_23_face0.png,White,White,Male,30-39,"[9.9958313e-01 1.3087933e-07 2.5833433e-04 4.8425562e-07 8.6895557e-07
 3.6458619e-05 1.2051621e-04]",[9.9942815e-01 8.7022790e-06 1.1777623e-05 5.5132125e-04],[9.9992085e-01 7.9167257e-05],"[1.8868402e-06 3.6373785e-05 4.4946899e-03 1.0325184e-01 5.0729078e-01
 3.6372238e-01 2.1101190e-02 9.8896686e-05 1.9909457e-06]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stablexl1.0_politician_white/politician_white_44_face0.png,White,White,Male,40-49,"[9.9751008e-01 6.1637235e-07 6.3696085e-04 2.0390444e-06 3.6356168e-06
 4.5582437e-05 1.8010301e-03]",[9.9553359e-01 3.4330278e-05 5.2635914e-05 4.3794503e-03],[9.9998552e-01 1.4454591e-05],"[4.7176095e-06 2.0796011e-05 5.5404869e-04 1.2565540e-03 3.9267752e-02
 6.2273896e-01 3.3137706e-01 4.7431965e-03 3.7029346e-05]","[(294, 305) (744, 756)]"
