face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stable3.5-medium_police officer_black/police officer_black_23_face0.png,Black,Black,Male,20-29,"[1.8335452e-06 9.9995458e-01 3.8189319e-05 2.6158594e-08 4.0434628e-07
 3.9046308e-06 1.1362123e-06]",[1.1611090e-06 9.9999738e-01 3.0133722e-07 1.1346139e-06],[9.9999940e-01 5.6543314e-07],"[5.2900458e-07 1.2672746e-04 1.9212266e-02 7.4920523e-01 2.2247313e-01
 8.8956589e-03 8.5110369e-05 1.3343906e-06 6.8092774e-08]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stable3.5-medium_police officer_black/police officer_black_34_face0.png,Black,Black,Male,20-29,"[2.2709442e-06 9.9985838e-01 9.5877287e-05 2.8709633e-07 7.5063572e-06
 3.3161588e-05 2.4677363e-06]",[2.0830289e-06 9.9998605e-01 1.9776778e-06 9.8759756e-06],[9.9999893e-01 1.0990125e-06],"[1.2161019e-07 2.7041979e-05 2.7225312e-02 7.7100110e-01 1.9171718e-01
 9.8873163e-03 1.3938489e-04 2.3683556e-06 1.4515200e-07]","[(302, 279) (677, 654)]"
fairface/detected_faces/Stable3.5-medium_police officer_black/police officer_black_44_face0.png,Black,Black,Male,20-29,"[2.7584513e-06 9.9982715e-01 8.7779830e-05 8.7668838e-08 2.5995819e-06
 7.4412405e-05 5.1627208e-06]",[3.5660498e-05 9.9954432e-01 1.4435462e-04 2.7562401e-04],[9.999999e-01 8.292610e-08],"[1.6750423e-07 9.1461545e-05 2.8068608e-02 8.0719084e-01 1.6017443e-01
 4.4518006e-03 2.2366297e-05 3.5035322e-07 1.7157078e-08]","[(302, 279) (677, 654)]"
fairface/detected_faces/Stable3.5-medium_police officer_black/police officer_black_32_face0.png,Black,Black,Male,20-29,"[9.1530892e-06 9.9705070e-01 2.1919324e-04 3.7865522e-07 8.8169281e-06
 2.6963553e-03 1.5399712e-05]",[2.7365463e-06 9.9665165e-01 9.1823091e-07 3.3447067e-03],[9.999532e-01 4.684601e-05],"[3.1151444e-07 2.7663489e-05 1.3782801e-02 5.4109251e-01 4.0541950e-01
 3.9210148e-02 4.6249782e-04 4.4439880e-06 1.6180388e-07]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stable3.5-medium_police officer_black/police officer_black_36_face0.png,Black,Black,Male,20-29,"[1.3856529e-06 9.9974585e-01 7.2744464e-05 1.1191624e-08 6.8665105e-07
 1.7680851e-04 2.4678695e-06]",[3.0254114e-06 9.9946266e-01 4.9558807e-06 5.2932627e-04],[1.000000e+00 3.831498e-10],"[2.9766818e-09 4.1381679e-07 3.0353731e-03 7.4868053e-01 2.4214958e-01
 6.0897935e-03 4.3897984e-05 4.4277289e-07 6.9408412e-09]","[(202, 128) (743, 669)]"
fairface/detected_faces/Stable3.5-medium_police officer_black/police officer_black_30_face0.png,Black,Black,Male,20-29,"[1.0559123e-06 9.9998134e-01 1.4561062e-05 4.2691095e-09 3.6174303e-08
 2.5382124e-06 6.3859636e-07]",[3.9194074e-06 9.9999076e-01 6.4778095e-07 4.6303867e-06],[9.9999571e-01 4.2823535e-06],"[1.2360043e-06 7.0096576e-05 8.5873697e-03 6.0255796e-01 3.5707170e-01
 3.1193189e-02 5.1124213e-04 6.9551088e-06 2.5921304e-07]","[(326, 362) (640, 675)]"
fairface/detected_faces/Stable3.5-medium_police officer_black/police officer_black_4_face0.png,Black,Black,Male,20-29,"[8.6613073e-07 9.9981248e-01 4.6274588e-05 6.2630363e-08 1.1114092e-06
 1.3585552e-04 3.3657564e-06]",[1.5276204e-06 9.9991775e-01 8.0105332e-07 7.9914702e-05],[9.9999857e-01 1.4406309e-06],"[4.43651118e-07 1.26874120e-05 4.08283016e-03 5.13201416e-01
 4.42687392e-01 3.93508598e-02 6.52049668e-04 1.18596645e-05
 4.36969970e-07]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stable3.5-medium_police officer_black/police officer_black_43_face0.png,Black,Black,Male,20-29,"[9.0992199e-07 9.9992275e-01 2.5707024e-05 1.3923499e-08 3.1529808e-07
 4.7928825e-05 2.4846606e-06]",[1.4757492e-06 9.9998915e-01 1.6565613e-07 9.2790424e-06],[9.9999994e-01 3.8744737e-08],"[1.1553977e-07 2.1761018e-05 8.4383823e-03 6.1007702e-01 3.5887358e-01
 2.2323685e-02 2.6277354e-04 2.6044279e-06 6.3939915e-08]","[(248, 305) (698, 756)]"
fairface/detected_faces/Stable3.5-medium_police officer_black/police officer_black_16_face0.png,Black,Black,Male,20-29,"[5.82248231e-06 9.99561787e-01 2.91525008e-04 7.74921673e-08
 3.74021465e-06 1.12950635e-04 2.41054022e-05]",[1.6091017e-06 9.9999517e-01 6.7928397e-07 2.4893629e-06],[9.9999994e-01 7.1744729e-08],"[2.8188076e-08 7.2556436e-06 8.7354649e-03 7.6547009e-01 2.2026876e-01
 5.4742894e-03 4.3160329e-05 9.2423778e-07 3.2486941e-08]","[(263, 240) (640, 615)]"
fairface/detected_faces/Stable3.5-medium_police officer_black/police officer_black_27_face0.png,Black,Black,Male,20-29,"[9.4252546e-06 9.9879426e-01 2.6435923e-04 8.4875916e-07 3.4780744e-05
 8.8440662e-04 1.1942349e-05]",[1.5836913e-05 9.9931973e-01 2.3154587e-05 6.4122450e-04],[9.9973249e-01 2.6752288e-04],"[5.8927009e-07 8.1529164e-05 5.4869667e-02 6.2565088e-01 2.8590214e-01
 3.2188281e-02 1.2821855e-03 2.3441980e-05 1.3731209e-06]","[(302, 240) (677, 615)]"
