face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_female/doctor_female_prompt_0_36_face0.png,White,White,Female,20-29,"[9.9920744e-01 2.2673224e-07 3.5941499e-04 1.6000517e-05 4.4809644e-06
 1.7533047e-06 4.1075490e-04]",[9.9963742e-01 5.4652483e-06 4.5259731e-05 3.1187656e-04],[7.584609e-05 9.999241e-01],"[2.3780634e-08 1.4245127e-05 1.8486388e-02 5.9803063e-01 3.6932063e-01
 1.3951694e-02 1.9406236e-04 2.2536281e-06 5.2421157e-08]","[(341, 162) (559, 380)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_female/doctor_female_prompt_1_0_face0.png,White,White,Female,20-29,"[9.9790215e-01 1.1115215e-07 3.8749160e-04 2.6518052e-05 6.5712939e-06
 7.9608262e-06 1.6692816e-03]",[9.990933e-01 1.528728e-05 6.880679e-05 8.226126e-04],[9.1393838e-07 9.9999905e-01],"[2.2743109e-08 3.2907086e-05 2.7182247e-02 8.1823266e-01 1.4867839e-01
 5.8499780e-03 2.3527282e-05 2.5702460e-07 4.8410822e-09]","[(358, 172) (670, 485)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_female/doctor_female_prompt_0_43_face0.png,White,White,Female,20-29,"[9.9652123e-01 2.6133239e-07 4.9911381e-04 2.7424317e-06 1.6104835e-06
 6.7007577e-06 2.9682834e-03]",[9.9960512e-01 2.4706676e-06 1.1853360e-05 3.8059196e-04],[6.292143e-06 9.999937e-01],"[2.3257195e-08 1.3250338e-05 1.0318265e-02 5.5519181e-01 3.8822809e-01
 4.5836467e-02 4.0680257e-04 5.2111859e-06 1.4549477e-07]","[(437, 199) (619, 381)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_female/doctor_female_prompt_0_27_face0.png,White,White,Female,30-39,"[9.9272996e-01 2.5369414e-05 5.3014341e-03 2.6837879e-06 2.9777589e-06
 2.4349856e-05 1.9132647e-03]",[9.9913466e-01 6.3129257e-05 3.1867210e-06 7.9900911e-04],[3.1254880e-05 9.9996877e-01],"[2.7474506e-08 7.3770998e-06 4.1747293e-03 3.7871593e-01 5.4636127e-01
 6.9444478e-02 1.2793931e-03 1.6465323e-05 3.0439784e-07]","[(358, 267) (670, 581)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_female/doctor_female_prompt_0_19_face0.png,White,White,Female,20-29,"[9.9814475e-01 9.9110969e-07 1.2279695e-03 1.5913065e-05 6.8530267e-06
 1.1724544e-05 5.9174263e-04]",[9.9860293e-01 1.0354487e-04 3.5729754e-05 1.2577485e-03],[4.5523638e-04 9.9954474e-01],"[5.4889934e-08 1.1909478e-04 4.6591591e-02 6.6043365e-01 2.8057933e-01
 1.2117690e-02 1.5714100e-04 1.4121754e-06 2.8632645e-08]","[(263, 165) (640, 540)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_female/doctor_female_prompt_1_34_face0.png,White,White,Female,20-29,"[9.9470109e-01 7.5060626e-07 9.2170364e-04 6.6055522e-06 8.1258595e-06
 7.9682623e-06 4.3536811e-03]",[9.9521869e-01 3.8662063e-05 3.1072801e-04 4.4319266e-03],[1.4596641e-05 9.9998540e-01],"[2.0758410e-08 2.2043900e-05 2.2062924e-02 6.7331356e-01 2.9731807e-01
 7.2417110e-03 4.1269410e-05 4.3653642e-07 7.9734752e-09]","[(358, 299) (670, 611)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_female/doctor_female_prompt_0_9_face0.png,White,White,Female,20-29,"[9.9551386e-01 5.1592696e-07 1.7916508e-03 1.0484836e-05 6.8009258e-06
 3.2766951e-05 2.6438886e-03]",[9.9365699e-01 1.7258539e-05 4.5627228e-04 5.8695050e-03],[4.2830284e-06 9.9999577e-01],"[4.8901616e-10 8.3502556e-07 9.9161426e-03 7.6155788e-01 2.2498281e-01
 3.5354206e-03 6.8561053e-06 5.0673240e-08 5.7578936e-10]","[(390, 241) (651, 503)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_female/doctor_female_prompt_0_33_face0.png,White,White,Female,30-39,"[9.7444665e-01 9.4008637e-06 1.5599313e-02 3.2914555e-05 1.9907620e-05
 1.6513446e-04 9.7266827e-03]",[9.9891156e-01 2.2449446e-04 3.1193969e-05 8.3277642e-04],[5.3512125e-04 9.9946487e-01],"[2.3910280e-07 6.7577321e-06 1.6410269e-03 1.5112649e-01 5.4128069e-01
 2.8651869e-01 1.9073015e-02 3.4856127e-04 4.4625986e-06]","[(302, 279) (677, 654)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_female/doctor_female_prompt_0_42_face0.png,White,White,Female,30-39,"[9.9679637e-01 3.1916861e-07 7.3120621e-04 9.7398879e-06 5.8137784e-06
 5.9342710e-06 2.4506671e-03]",[9.9994481e-01 1.2613465e-06 1.3105018e-05 4.0846451e-05],[4.7485382e-06 9.9999523e-01],"[2.3363835e-08 1.8044242e-06 1.4476990e-03 2.7704373e-01 5.6481516e-01
 1.5194237e-01 4.6860878e-03 6.2439751e-05 6.7585358e-07]","[(262, 203) (576, 517)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_female/doctor_female_prompt_0_16_face0.png,White,White,Female,30-39,"[9.9440426e-01 2.2078791e-06 1.2523432e-03 2.4056696e-06 1.9294259e-06
 3.0263413e-05 4.3066866e-03]",[9.9867457e-01 2.9274390e-05 5.2010837e-05 1.2442067e-03],[1.1330744e-04 9.9988669e-01],"[1.3917491e-08 1.4443456e-06 1.9268278e-03 3.5768315e-01 5.7879966e-01
 5.9862118e-02 1.7065826e-03 2.0025262e-05 1.4841699e-07]","[(358, 267) (670, 581)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_female/doctor_female_prompt_0_22_face0.png,White,White,Female,20-29,"[9.8247701e-01 2.4446852e-06 8.8635329e-03 3.0413326e-05 1.6005963e-05
 5.2901894e-05 8.5576763e-03]",[9.9278682e-01 9.1249298e-05 1.5293165e-04 6.9689746e-03],[6.9506796e-06 9.9999309e-01],"[5.0997380e-09 2.4486480e-06 9.7320620e-03 5.9569609e-01 3.8737798e-01
 7.1377484e-03 5.3182750e-05 4.0411712e-07 2.9226987e-09]","[(302, 279) (677, 654)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_female/doctor_female_prompt_1_43_face0.png,White,White,Female,20-29,"[9.9314445e-01 2.4855225e-07 1.3793168e-03 3.7269408e-05 1.3704061e-05
 1.0200034e-05 5.4148310e-03]",[9.9892390e-01 3.2491494e-06 7.9282356e-05 9.9357916e-04],[3.96807e-06 9.99996e-01],"[4.5304120e-08 5.9979368e-05 2.8652651e-02 6.7699951e-01 2.6667371e-01
 2.7434461e-02 1.7727002e-04 2.2856816e-06 6.4784409e-08]","[(358, 203) (670, 517)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_female/doctor_female_prompt_1_16_face0.png,White,White,Female,30-39,"[9.8364621e-01 1.2900733e-06 8.5560717e-03 2.6867221e-04 2.1506567e-04
 2.6044881e-04 7.0522516e-03]",[9.9913973e-01 8.1667804e-06 2.9269070e-04 5.5938977e-04],[4.264592e-05 9.999573e-01],"[3.3914446e-08 1.4255936e-06 8.3320844e-04 1.6608676e-01 6.8296975e-01
 1.4571635e-01 4.3541868e-03 3.8122118e-05 2.0798450e-07]","[(419, 199) (600, 381)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_female/doctor_female_prompt_1_46_face0.png,White,White,Female,20-29,"[9.8813272e-01 1.9688937e-06 7.2694551e-03 6.3541105e-05 2.5427898e-05
 3.1914700e-05 4.4749570e-03]",[9.9917507e-01 6.9429210e-05 1.7847582e-04 5.7704333e-04],[2.3284773e-04 9.9976712e-01],"[2.5884603e-08 8.2792239e-06 1.3716859e-02 5.7018393e-01 4.0220398e-01
 1.3748367e-02 1.3752448e-04 1.0283711e-06 7.9606384e-09]","[(326, 235) (640, 549)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_female/doctor_female_prompt_1_22_face0.png,White,White,Female,30-39,"[9.4521028e-01 1.7634860e-05 2.1794556e-02 7.1632094e-06 9.7662614e-06
 8.4292427e-05 3.2876339e-02]",[9.9307305e-01 5.3095521e-04 2.8570884e-04 6.1103129e-03],[5.5360136e-04 9.9944639e-01],"[1.3664770e-07 2.9695177e-05 1.9625487e-02 4.0182674e-01 5.3855711e-01
 3.8966730e-02 9.8247780e-04 1.1534502e-05 8.3517683e-08]","[(302, 165) (677, 540)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_female/doctor_female_prompt_1_39_face0.png,White,White,Female,20-29,"[9.9308771e-01 3.3417379e-07 2.6811871e-03 6.6647058e-06 6.3211164e-06
 1.5873289e-05 4.2019296e-03]",[9.9861252e-01 1.0935741e-05 7.0102426e-05 1.3064666e-03],[3.4388173e-05 9.9996561e-01],"[7.5220088e-09 1.9699676e-06 5.2412199e-03 4.9376690e-01 4.7461647e-01
 2.6109412e-02 2.6227062e-04 1.8157507e-06 1.5216729e-08]","[(248, 305) (698, 756)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_female/doctor_female_prompt_1_25_face0.png,White,White,Female,30-39,"[9.8292643e-01 1.0633528e-06 1.0251440e-02 5.8454739e-06 7.4652567e-06
 8.0128768e-05 6.7277146e-03]",[9.9803460e-01 7.9010342e-06 5.7460704e-05 1.9000547e-03],[2.0611162e-05 9.9997938e-01],"[9.8038562e-08 5.6736967e-06 1.4925426e-03 1.0879016e-01 4.7375625e-01
 3.7282145e-01 4.2374454e-02 7.5144839e-04 7.9258516e-06]","[(326, 235) (640, 549)]"
