image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
writer_white_0.png,Male,Young,White,Male,Male,Male,True,[9.9911129e-01 8.8869355e-04],"[0.9992062, 0.0007937348]",20-29,29,39.0,Young,Middle,True,"[5.6009094e-07 1.6423790e-05 7.8861145e-03 5.0520116e-01 4.5434791e-01
 3.2014865e-02 5.2653148e-04 6.2618283e-06 1.3847512e-07]",4,White,White,True,0,[302 354 677 730]
writer_white_1.png,Male,Middle,White,Male,Male,Male,True,[9.999918e-01 8.224319e-06],"[0.9997454, 0.00025451794]",30-39,32,36.0,Middle,Middle,True,"[1.3368295e-06 5.6987164e-06 1.1013999e-03 6.9460250e-02 6.1159557e-01
 3.1101549e-01 6.7834524e-03 3.6433128e-05 3.5016180e-07]",3,White,White,True,0,[339 165 715 540]
writer_white_10.png,Male,Middle,White,Male,Male,Male,True,[9.9999905e-01 9.2252310e-07],"[0.9999894, 1.0650918000000001e-05]",40-49,30,46.0,Middle,Middle,True,"[6.9421088e-07 3.3898533e-07 7.4390075e-05 1.1825244e-02 1.3155915e-01
 4.4229996e-01 3.9329654e-01 2.0546420e-02 3.9732241e-04]",15,White,White,True,0,[148 238 688 778]
writer_white_11.png,Male,Middle,White,Male,Male,Male,True,[9.999954e-01 4.560789e-06],"[0.999047, 0.0009529468400000001]",40-49,33,41.0,Middle,Middle,True,"[4.7466851e-06 2.8888262e-06 9.3285045e-05 2.2411922e-03 8.4158517e-02
 6.0407907e-01 2.9506522e-01 1.4240829e-02 1.1422550e-04]",12,White,White,True,0,[170 253 819 902]
writer_white_12.png,Male,Middle,White,Male,Male,Male,True,[0.9465071  0.05349292],"[0.9945337000000001, 0.005466319]",30-39,32,28.0,Middle,Young,True,"[3.7839774e-07 1.5713616e-05 3.3855294e-03 2.0163104e-01 6.5597671e-01
 1.3569522e-01 3.2655620e-03 2.8520948e-05 1.3155500e-06]",3,White,White,True,0,[170 253 819 902]
writer_white_13.png,Male,Middle,White,Male,Male,Male,True,[9.9988407e-01 1.1591221e-04],"[0.9986193, 0.0013807255]",30-39,43,49.0,Middle,Middle,True,"[3.2739604e-06 1.5080010e-05 5.7198218e-04 2.6087631e-02 4.8221403e-01
 4.7894821e-01 1.2083101e-02 7.5217162e-05 1.4166377e-06]",8,White,White,True,0,[294 261 744 711]
writer_white_14.png,Male,Middle,White,Male,Male,Male,True,[9.9976432e-01 2.3572157e-04],"[0.99929985, 0.0007000713]",30-39,32,49.0,Middle,Middle,True,"[4.0120955e-07 4.5571587e-06 1.6344702e-03 1.9097553e-01 5.3754306e-01
 2.5942960e-01 1.0328096e-02 8.2395789e-05 1.8724027e-06]",3,White,White,True,0,[248 215 698 665]
writer_white_15.png,Male,Middle,White,Male,Male,Male,True,[9.9999505e-01 4.9354612e-06],"[0.9975778, 0.002422173]",30-39,33,49.0,Middle,Middle,True,"[2.3309642e-06 2.5859707e-05 2.1527889e-03 6.2705502e-02 4.6161097e-01
 4.4870847e-01 2.4600822e-02 1.9056552e-04 2.6757327e-06]",2,White,White,True,0,[235 186 884 835]
writer_white_16.png,Male,Middle,White,Male,Male,Male,True,[9.999906e-01 9.425934e-06],"[0.99975044, 0.00024951998]",30-39,33,34.0,Middle,Middle,True,"[2.7968986e-07 3.1838836e-06 4.8248013e-04 4.4889171e-02 5.4958010e-01
 3.9631340e-01 8.6949617e-03 3.5926321e-05 5.9974553e-07]",2,White,White,True,0,[302 316 677 692]
writer_white_17.png,Male,Middle,White,Male,Male,Male,True,[9.9995583e-01 4.4138520e-05],"[0.9996577499999999, 0.0003422811]",40-49,34,47.0,Middle,Middle,True,"[3.88949820e-06 1.74763882e-05 6.70737238e-04 6.74141664e-03
 1.15248725e-01 6.13289356e-01 2.60062784e-01 3.91570246e-03
 4.98859990e-05]",11,White,White,True,0,[248 261 698 711]
writer_white_18.png,Male,Middle,White,Male,Male,Male,True,[9.999995e-01 4.477066e-07],"[0.9999267999999999, 7.3169176e-05]",40-49,33,36.0,Middle,Middle,True,"[5.7465871e-07 2.0574355e-06 1.5395702e-04 1.4094745e-02 4.2229953e-01
 5.3770727e-01 2.5467671e-02 2.7145949e-04 2.7888943e-06]",12,White,White,True,0,[135 273 222 360]
writer_white_19.png,Male,Middle,White,Male,Male,Male,True,[9.994836e-01 5.163740e-04],"[0.9986854599999999, 0.0013145894]",30-39,35,54.0,Middle,Middle,True,"[2.1636081e-06 7.0057235e-05 1.1169327e-02 2.7121067e-01 5.3860474e-01
 1.7240751e-01 6.4731734e-03 5.8568960e-05 3.7968091e-06]",0,White,White,True,0,[202 346 743 888]
writer_white_2.png,Male,Middle,White,Male,Male,Male,True,[9.9999702e-01 2.9629002e-06],"[0.99956314, 0.00043685235]",40-49,33,66.0,Middle,Old,True,"[4.7501982e-07 1.3126840e-06 3.9306743e-04 3.0919226e-02 3.1536490e-01
 5.6803566e-01 8.4137000e-02 1.1328438e-03 1.5504498e-05]",12,White,White,True,0,[358 203 670 517]
