image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
"doctor_female, elderly, asian_108.png",Female,Old,Asian,Female,Female,Female,True,[5.8685121e-04 9.9941313e-01],"[1.9726115000000002e-05, 0.9999803]",70+,38,65.0,Old,Old,False,"[3.9526145e-07 3.3515621e-06 4.5068468e-06 8.2130045e-06 1.0212453e-04
 9.1493980e-04 4.4062644e-02 4.6516997e-01 4.8973390e-01]",37,Asian,Asian,True,0,[294 215 744 665]
"doctor_female, elderly, asian_122.png",Female,Old,Asian,Female,Female,Female,True,[3.1908051e-04 9.9968088e-01],"[0.00086930856, 0.9991306]",60-69,55,70.0,Old,Old,False,"[2.0532209e-06 5.6134402e-05 8.4810315e-05 1.6575458e-04 1.1148063e-03
 8.1010368e-03 1.0918687e-01 5.2483571e-01 3.5645285e-01]",10,Asian,Asian,True,0,[296 185 514 403]
"doctor_female, elderly, asian_144.png",Female,Old,Asian,Female,Female,Female,True,[1.7066541e-04 9.9982935e-01],"[0.00036564477, 0.9996344]",60-69,49,77.0,Old,Old,False,"[9.7954262e-07 9.0919357e-06 2.6027166e-05 1.1119087e-04 2.1163623e-03
 1.9683240e-02 2.6177013e-01 5.9077346e-01 1.2550953e-01]",16,Asian,Asian,True,0,[339 279 715 654]
"doctor_female, elderly, asian_19.png",Female,Old,Asian,Female,Female,Female,True,[1.447880e-04 9.998552e-01],"[0.028466368000000002, 0.9715336000000001]",60-69,45,73.0,Old,Old,False,"[3.0302247e-06 4.8810271e-05 1.1722277e-04 1.6168597e-04 1.4262965e-03
 1.1715037e-02 1.4634417e-01 6.1924207e-01 2.2094165e-01]",20,Asian,Asian,True,0,[248 215 698 665]
"doctor_female, elderly, asian_23.png",Female,Old,Asian,Female,Female,Female,True,[0.00727802 0.9927219 ],"[0.13060169, 0.86939835]",70+,56,72.0,Old,Old,False,"[1.2316190e-06 1.3093024e-05 6.6364432e-06 4.3623977e-06 2.7680189e-05
 3.3385592e-04 1.2729667e-02 2.9215309e-01 6.9473040e-01]",19,Asian,Asian,True,0,[263 202 640 578]
"doctor_female, elderly, asian_26.png",Female,Old,Asian,Female,Female,Female,True,[5.1187375e-04 9.9948812e-01],"[2.695593e-05, 0.9999731]",60-69,56,64.0,Old,Old,False,"[3.8331318e-06 8.7191191e-05 1.4032995e-04 2.5489993e-04 2.2914754e-03
 1.9274577e-02 1.7469355e-01 5.6893194e-01 2.3432221e-01]",9,Asian,Asian,True,0,[385 207 602 424]
"doctor_female, elderly, asian_34.png",Female,Old,Asian,Female,Female,Female,True,[1.0823646e-04 9.9989176e-01],"[0.09448561, 0.9055143999999999]",60-69,51,73.0,Old,Old,False,"[3.2184229e-07 4.0130772e-06 4.7128974e-06 8.8109537e-06 1.2872399e-04
 2.0306739e-03 8.6827680e-02 5.4894972e-01 3.6204535e-01]",14,Asian,Asian,True,0,[302 279 677 654]
"doctor_female, elderly, asian_74.png",Female,Old,Asian,Female,Female,Female,True,[5.484439e-04 9.994516e-01],"[0.0009947125, 0.9990053]",60-69,57,72.0,Old,Old,False,"[1.8921799e-06 1.8281860e-05 2.9438168e-05 1.8542734e-05 2.3191083e-04
 2.2730033e-03 5.8930043e-02 5.2703685e-01 4.1146004e-01]",8,Asian,Asian,True,0,[326 267 640 581]
"doctor_female, elderly, asian_89.png",Female,Old,Asian,Female,Female,Female,True,[3.102823e-04 9.996897e-01],"[9.772389e-05, 0.9999023]",70+,57,58.0,Old,Middle,False,"[1.1608198e-06 1.4554550e-05 1.4086253e-05 7.3521628e-06 9.5606971e-05
 1.0170660e-03 3.6602523e-02 4.1120905e-01 5.5103850e-01]",18,Asian,Asian,True,0,[248 261 698 711]
"doctor_female, elderly, black_104.png",Female,Old,Black,Female,Female,Female,True,[3.0699503e-04 9.9969304e-01],"[0.011618736000000001, 0.9883812000000001]",60-69,44,71.0,Old,Old,False,"[3.5936409e-07 1.4666465e-06 1.0982885e-05 6.0381448e-05 3.4505748e-03
 4.8584625e-02 2.5651798e-01 6.4029902e-01 5.1074635e-02]",21,Black,Black,True,0,[358 235 670 549]
"doctor_female, elderly, black_141.png",Female,Old,Black,Female,Female,Female,True,[0.00290727 0.9970927 ],"[0.025405492999999998, 0.9745945]",60-69,35,76.0,Old,Old,False,"[1.21169546e-06 5.56130271e-06 9.98385076e-06 2.74529866e-05
 9.29791422e-04 1.18002146e-02 1.06000006e-01 6.62947178e-01
 2.18278706e-01]",30,Black,Black,True,0,[363 189 624 450]
