face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stable3.5-medium_journalist_female/journalist_female_23_face0.png,White,White,Female,20-29,"[9.8245102e-01 2.9827066e-07 2.0140000e-03 4.6128604e-05 1.1231669e-05
 4.9201826e-05 1.5428072e-02]",[9.9869406e-01 6.5022514e-06 4.6587046e-04 8.3364692e-04],[1.1816377e-04 9.9988186e-01],"[1.2584334e-09 3.1832185e-06 6.3256115e-02 8.7503517e-01 6.0971998e-02
 7.3168293e-04 1.8622968e-06 2.0365983e-08 4.7993637e-10]","[(294, 215) (744, 665)]"
fairface/detected_faces/Stable3.5-medium_journalist_female/journalist_female_11_face0.png,White,White,Female,20-29,"[5.6498021e-01 3.4076924e-04 2.8171253e-01 4.9702921e-03 4.6437723e-03
 1.2287020e-02 1.3106528e-01]",[0.94486326 0.00107934 0.01581385 0.03824354],[2.685893e-06 9.999974e-01],"[1.2134591e-09 8.8869638e-07 6.9239601e-03 5.8793110e-01 3.9645255e-01
 8.6676711e-03 2.3585502e-05 2.0474852e-07 8.5074753e-10]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stable3.5-medium_journalist_female/journalist_female_38_face0.png,Middle Eastern,White,Female,20-29,"[2.9530889e-01 1.8021106e-05 1.4476277e-01 4.9334317e-03 3.0971796e-03
 2.3390995e-02 5.2848870e-01]",[9.4471014e-01 1.1832535e-05 2.0226529e-02 3.5051573e-02],[1.6439963e-05 9.9998355e-01],"[1.8791215e-09 1.0068195e-05 1.0056845e-01 8.3486789e-01 6.4253926e-02
 2.9931578e-04 4.0108230e-07 6.3615047e-09 6.7382412e-11]","[(302, 279) (677, 654)]"
fairface/detected_faces/Stable3.5-medium_journalist_female/journalist_female_13_face0.png,White,White,Female,20-29,"[4.6556294e-01 8.9069908e-06 1.4873649e-01 4.1760464e-04 3.8451501e-04
 8.9513175e-03 3.7593821e-01]",[9.7985804e-01 1.3553903e-04 1.1035891e-03 1.8902792e-02],[1.8824857e-04 9.9981177e-01],"[1.7473923e-09 1.9032534e-05 1.0317777e-01 8.4840453e-01 4.8197836e-02
 2.0057190e-04 2.2047095e-07 2.4742524e-09 3.4636835e-11]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stable3.5-medium_journalist_female/journalist_female_44_face0.png,White,White,Female,20-29,"[5.3381258e-01 1.2961913e-04 3.5277459e-01 1.4189513e-04 1.9790989e-04
 3.0316984e-02 8.2626380e-02]",[7.5552595e-01 1.1254685e-03 5.1964098e-04 2.4282894e-01],[4.974584e-05 9.999503e-01],"[2.5741023e-09 1.3136011e-04 3.1250221e-01 6.7521042e-01 1.2123440e-02
 3.2547396e-05 2.9122720e-08 3.1918806e-10 7.4591279e-12]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stable3.5-medium_journalist_female/journalist_female_35_face0.png,Middle Eastern,White,Female,20-29,"[3.8334781e-01 1.9506875e-05 9.0756506e-02 7.0913194e-04 3.5256785e-04
 6.8896003e-03 5.1792485e-01]",[9.47626293e-01 1.10201465e-04 9.98173747e-03 4.22818027e-02],[4.3687916e-05 9.9995631e-01],"[7.5710399e-10 9.7419224e-06 1.2456269e-01 8.4401613e-01 3.1249929e-02
 1.6137183e-04 1.8560321e-07 3.1489640e-09 4.6579123e-11]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stable3.5-medium_journalist_female/journalist_female_2_face0.png,Latino_Hispanic,White,Female,20-29,"[2.6864132e-01 3.4528694e-05 5.0967312e-01 2.6677905e-03 2.9984200e-03
 7.0685908e-02 1.4529893e-01]",[5.4292870e-01 1.2378269e-04 6.0445843e-03 4.5090297e-01],[2.1268936e-06 9.9999785e-01],"[2.1268864e-09 8.4876454e-05 1.2824182e-01 8.5163510e-01 1.9971028e-02
 6.7194094e-05 5.5802388e-08 6.1753996e-10 7.4134423e-12]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_journalist_female/journalist_female_6_face0.png,White,White,Female,30-39,"[8.3095288e-01 1.5309124e-05 1.2590547e-01 1.3104388e-03 4.6180497e-04
 1.0878778e-03 4.0266257e-02]",[9.8767686e-01 7.2305440e-05 7.0621395e-03 5.1887301e-03],[2.9105335e-05 9.9997091e-01],"[1.4230463e-09 2.1657537e-07 1.8697041e-03 3.2480785e-01 6.3029027e-01
 4.2796127e-02 2.3439839e-04 1.4867551e-06 6.3144916e-09]","[(302, 202) (677, 578)]"
fairface/detected_faces/Stable3.5-medium_journalist_female/journalist_female_33_face0.png,Middle Eastern,White,Female,20-29,"[3.7226337e-01 2.1438525e-05 1.0818413e-01 3.8154342e-04 3.1932225e-04
 5.1570241e-03 5.1367325e-01]",[9.90882635e-01 1.06552776e-04 1.19601237e-03 7.81486370e-03],[1.8171164e-04 9.9981827e-01],"[2.6541556e-09 1.8113926e-05 9.4503865e-02 8.5820848e-01 4.7117144e-02
 1.5212692e-04 1.9917077e-07 1.8277339e-09 1.8517824e-11]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_journalist_female/journalist_female_26_face0.png,Middle Eastern,White,Female,20-29,"[1.1434865e-01 4.4067830e-05 3.0548856e-01 1.5441237e-04 1.9826164e-04
 2.5748274e-01 3.2228333e-01]",[5.6696165e-01 9.6396114e-05 1.1915148e-03 4.3175054e-01],[3.3365720e-06 9.9999666e-01],"[3.9886180e-10 2.1266133e-05 1.3394539e-01 8.5174376e-01 1.4254442e-02
 3.5162131e-05 1.8382892e-08 1.8792089e-10 1.8190534e-12]","[(248, 305) (698, 756)]"
