image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
cashier_male_prompt_0_0.png,Male,Young,White,Male,Male,Male,True,[9.9999881e-01 1.1668831e-06],"[0.99855225, 0.0014477119999999999]",20-29,27,30,Young,Middle,True,"[1.0362692e-06 1.2856549e-04 2.1978345e-02 8.5445440e-01 1.2111582e-01
 2.3070539e-03 1.4493294e-05 2.1971057e-07 4.1749160e-09]",2,White,White,True,0,[326 172 640 485]
cashier_male_prompt_0_1.png,Male,Young,White,Male,Male,Male,True,[9.9999774e-01 2.2727443e-06],"[0.99900986, 0.0009901805]",20-29,26,27,Young,Young,True,"[4.0590134e-08 5.5569802e-05 3.7432432e-02 9.1234851e-01 5.0011873e-02
 1.5146956e-04 1.9884084e-07 3.0677678e-09 6.9360122e-11]",1,White,White,True,0,[385 295 602 513]
cashier_male_prompt_0_11.png,Male,Young,White,Male,Male,Male,True,[9.9999946e-01 5.1312151e-07],"[0.9998698400000001, 0.00013010921]",20-29,24,31,Young,Middle,True,"[1.0498570e-06 1.1196486e-03 3.4027457e-01 6.4197296e-01 1.6419645e-02
 2.0983405e-04 2.1198171e-06 1.2814378e-07 2.7966978e-09]",1,White,White,True,0,[302 240 677 615]
cashier_male_prompt_0_12.png,Male,Young,White,Male,Male,Male,True,[9.999324e-01 6.763603e-05],"[0.9997274, 0.00027257815]",20-29,22,29,Young,Young,True,"[3.27805992e-07 4.12655500e-04 2.13673115e-01 7.73281991e-01
 1.25739565e-02 5.77714272e-05 1.64913772e-07 5.98630967e-09
 1.75327156e-10]",3,White,White,True,0,[437 199 619 381]
cashier_male_prompt_0_13.png,Male,Young,White,Male,Male,Male,True,[9.9999785e-01 2.0743339e-06],"[0.9983021, 0.0016978994]",20-29,29,31,Young,Middle,True,"[9.2970723e-08 8.5286963e-05 4.8441947e-02 9.1844726e-01 3.2874148e-02
 1.5097721e-04 2.5012650e-07 3.5339855e-09 8.1529825e-11]",4,White,White,True,0,[382 217 564 399]
cashier_male_prompt_0_14.png,Male,Young,White,Male,Male,Male,True,[9.9938107e-01 6.1893364e-04],"[0.9999545999999999, 4.5402200000000004e-05]",20-29,30,29,Young,Young,False,"[7.0310642e-05 1.8021741e-03 8.1940986e-02 4.5397359e-01 3.3387837e-01
 8.7432854e-02 3.6630515e-02 3.8877130e-03 3.8338109e-04]",5,White,White,True,0,[400 199 582 381]
cashier_male_prompt_0_15.png,Male,Young,White,Male,Male,Male,True,[9.9999839e-01 1.6469731e-06],"[0.9976023, 0.0023977046]",20-29,23,34,Young,Middle,True,"[3.7372995e-06 1.0054704e-03 1.0956142e-01 7.6892072e-01 1.1811043e-01
 2.3810836e-03 1.6750455e-05 4.1405514e-07 1.0194769e-08]",2,White,White,True,0,[363 216 624 477]
cashier_male_prompt_0_16.png,Male,Young,White,Male,Male,Male,True,[9.9998969e-01 1.0312816e-05],"[0.9991936, 0.00080638714]",20-29,22,27,Young,Young,True,"[7.25836742e-07 4.56031616e-04 1.04174748e-01 8.67635012e-01
 2.76282206e-02 1.05210158e-04 1.18691176e-07 3.52757934e-09
 7.42177153e-11]",3,White,White,True,0,[363 272 581 490]
cashier_male_prompt_0_17.png,Male,Young,White,Male,Male,Male,True,[9.9999154e-01 8.4896901e-06],"[0.9999197, 8.030397e-05]",20-29,29,31,Young,Middle,True,"[1.6223686e-06 6.0891449e-05 2.7811253e-03 6.0005760e-01 3.9118186e-01
 5.9049721e-03 1.1823098e-05 1.1644845e-07 1.6150774e-09]",4,White,White,True,0,[382 181 564 362]
cashier_male_prompt_0_18.png,Male,Young,White,Male,Male,Male,True,[9.9999976e-01 1.9357022e-07],"[0.9990964999999999, 0.0009035097000000001]",20-29,26,27,Young,Young,True,"[1.5076846e-08 6.7083587e-05 2.4868561e-01 7.4682355e-01 4.4145859e-03
 9.0464091e-06 1.4329424e-08 4.3428872e-10 8.2079300e-12]",1,White,White,True,0,[363 162 624 423]
