face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stablexl1.0_software engineer_male/software engineer_male_14_face0.png,Indian,Indian,Male,20-29,"[1.2979304e-02 2.8762641e-05 6.0691778e-02 1.0138527e-04 5.1859359e-04
 5.4089844e-01 3.8478169e-01]",[7.1319818e-02 2.5419649e-04 1.3481029e-02 9.1494501e-01],[9.9999267e-01 7.3533283e-06],"[1.5574913e-07 5.4430579e-06 1.2899706e-03 6.0948378e-01 3.8226774e-01
 6.9447313e-03 8.1465196e-06 8.2078415e-08 1.2492234e-09]","[(341, 295) (559, 513)]"
fairface/detected_faces/Stablexl1.0_software engineer_male/software engineer_male_48_face0.png,White,White,Male,20-29,"[7.5546741e-01 5.4158987e-03 9.5343791e-02 2.0090025e-04 3.4119381e-04
 1.5279060e-02 1.2795171e-01]",[9.4565302e-01 3.1444104e-03 6.3100219e-04 5.0571609e-02],[9.999246e-01 7.538265e-05],"[9.2503015e-08 6.2869731e-06 6.2145838e-03 7.4387318e-01 2.4691212e-01
 2.9820341e-03 1.1510733e-05 1.3294709e-07 4.1811705e-09]","[(419, 181) (600, 362)]"
fairface/detected_faces/Stablexl1.0_software engineer_male/software engineer_male_23_face0.png,Middle Eastern,White,Male,20-29,"[3.3340475e-01 5.3705036e-05 1.2253772e-01 2.6448601e-05 7.0430659e-05
 1.5791710e-02 5.2811521e-01]",[9.8360509e-01 2.4132112e-03 1.3550407e-04 1.3846146e-02],[9.9998492e-01 1.5064002e-05],"[9.2720633e-08 1.3589045e-05 4.1548829e-03 8.5857046e-01 1.3673899e-01
 5.2166474e-04 2.6990952e-07 1.9604411e-09 3.7785573e-11]","[(363, 250) (581, 468)]"
fairface/detected_faces/Stablexl1.0_software engineer_male/software engineer_male_18_face0.png,Middle Eastern,White,Male,20-29,"[3.9839792e-01 6.9079868e-04 6.2711976e-02 3.7935257e-04 5.4757926e-04
 1.1791774e-02 5.2548063e-01]",[0.7813234  0.00315929 0.00102101 0.21449633],[9.9999905e-01 9.9770932e-07],"[5.3815935e-08 7.8283138e-06 4.9963249e-03 8.0867314e-01 1.8526715e-01
 1.0537505e-03 1.7429696e-06 1.9662563e-08 3.9267167e-10]","[(32, 473) (183, 624)]"
fairface/detected_faces/Stablexl1.0_software engineer_male/software engineer_male_3_face0.png,White,White,Male,20-29,"[6.1878639e-01 9.1724694e-05 8.9019686e-02 1.6559112e-03 1.9363418e-03
 2.4421683e-02 2.6408824e-01]",[9.5589590e-01 3.8408610e-04 1.4898841e-03 4.2230196e-02],[9.9999428e-01 5.6986014e-06],"[1.9824401e-07 2.9025143e-06 9.3619799e-04 5.7408774e-01 4.2046928e-01
 4.4980892e-03 5.6102967e-06 6.3566382e-08 9.8534292e-10]","[(202, 183) (743, 724)]"
fairface/detected_faces/Stablexl1.0_software engineer_male/software engineer_male_29_face0.png,White,White,Male,20-29,"[9.4251710e-01 2.5888448e-05 6.9401572e-03 2.3869888e-04 1.6441851e-04
 6.0766225e-04 4.9506128e-02]",[9.9449915e-01 6.0965482e-04 2.4658238e-04 4.6446235e-03],[9.9999803e-01 1.9350932e-06],"[5.1642701e-07 2.5368692e-05 4.9069100e-03 7.8773099e-01 2.0551915e-01
 1.8126466e-03 4.3566938e-06 4.5662770e-08 1.0609036e-09]","[(363, 162) (581, 380)]"
fairface/detected_faces/Stablexl1.0_software engineer_male/software engineer_male_40_face0.png,Middle Eastern,White,Male,20-29,"[2.5371885e-01 1.3911327e-04 1.0335812e-01 7.6913944e-04 9.1908145e-04
 3.1185141e-02 6.0991061e-01]",[9.663845e-01 3.943980e-05 4.561474e-04 3.311995e-02],[9.9956340e-01 4.3655102e-04],"[9.2068996e-07 3.0753647e-05 4.5854338e-03 8.3405989e-01 1.6052143e-01
 8.0079131e-04 8.5137674e-07 1.7143336e-08 5.0620369e-10]","[(339, 240) (715, 615)]"
fairface/detected_faces/Stablexl1.0_software engineer_male/software engineer_male_5_face0.png,Middle Eastern,White,Male,30-39,"[0.20733202 0.00146631 0.29361692 0.0020569  0.00337561 0.18368721
 0.3084651 ]",[8.4410489e-01 7.5143459e-04 4.1290843e-03 1.5101463e-01],[9.999920e-01 7.974946e-06],"[4.1706335e-06 9.7309283e-05 3.0462223e-03 4.9117610e-01 4.9539497e-01
 1.0260374e-02 2.0631625e-05 2.2444584e-07 3.5563883e-09]","[(363, 295) (624, 556)]"
fairface/detected_faces/Stablexl1.0_software engineer_male/software engineer_male_28_face0.png,Middle Eastern,White,Male,20-29,"[2.2536074e-01 2.0470805e-04 1.0937193e-01 2.8018671e-04 4.3863105e-04
 1.8034505e-02 6.4630926e-01]",[0.86044866 0.00149478 0.00119517 0.13686134],[9.9997926e-01 2.0731441e-05],"[8.0594355e-06 6.0542306e-04 1.1798039e-02 6.4609218e-01 3.3497748e-01
 6.5057306e-03 1.2896505e-05 1.6965679e-07 2.4143740e-09]","[(400, 291) (582, 472)]"
fairface/detected_faces/Stablexl1.0_software engineer_male/software engineer_male_16_face0.png,White,White,Male,20-29,"[7.9475766e-01 7.8908728e-05 6.1847284e-02 4.5492209e-04 5.7613739e-04
 4.1037640e-03 1.3818130e-01]",[9.9395174e-01 7.2546296e-05 1.0597586e-03 4.9159755e-03],[9.9999869e-01 1.3541654e-06],"[1.9251219e-07 1.2971675e-05 2.5309173e-03 7.7198607e-01 2.2382309e-01
 1.6450499e-03 1.7453021e-06 1.1421105e-08 1.8266214e-10]","[(389, 235) (702, 549)]"
