face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stablexl1.0_journalist_black/journalist_black_23_face0.png,Black,Black,Female,30-39,"[1.2961747e-04 9.9705696e-01 2.1721367e-03 6.6578061e-05 1.4995296e-04
 3.2530999e-04 9.9409488e-05]",[2.2319258e-04 9.9962020e-01 3.7963873e-05 1.1857536e-04],[0.01948715 0.98051286],"[6.0219954e-06 6.5758015e-04 2.7104786e-02 2.9183197e-01 5.3323680e-01
 1.3648942e-01 1.0420311e-02 2.4164128e-04 1.1411217e-05]","[(248, 305) (698, 756)]"
fairface/detected_faces/Stablexl1.0_journalist_black/journalist_black_13_face0.png,Black,Black,Male,30-39,"[5.5571741e-06 9.9949723e-01 1.6875981e-04 4.7279488e-07 3.8626154e-06
 2.7019979e-04 5.3880591e-05]",[1.8216826e-05 9.9940044e-01 1.9548354e-05 5.6187261e-04],[9.990315e-01 9.685060e-04],"[1.6238125e-06 5.9553251e-05 1.3907014e-02 2.1418937e-01 5.2109325e-01
 2.3693860e-01 1.3585416e-02 2.1597379e-04 9.1780539e-06]","[(358, 267) (670, 581)]"
fairface/detected_faces/Stablexl1.0_journalist_black/journalist_black_31_face0.png,Black,Black,Female,40-49,"[8.0299224e-06 9.9940145e-01 4.8221680e-04 2.6697976e-06 6.9072157e-06
 7.7567252e-05 2.1073216e-05]",[4.3338794e-05 9.9962950e-01 4.4622397e-05 2.8255716e-04],[0.02878297 0.971217  ],"[8.1250329e-07 1.1361746e-05 1.2295198e-03 4.2432297e-02 4.0258649e-01
 4.8192066e-01 6.9492280e-02 2.2634617e-03 6.3168663e-05]","[(302, 354) (677, 730)]"
fairface/detected_faces/Stablexl1.0_journalist_black/journalist_black_33_face0.png,Black,Black,Male,20-29,"[2.3173037e-05 9.5018208e-01 1.6496216e-03 2.0039221e-05 1.0192490e-03
 4.6883292e-02 2.2260631e-04]",[6.8710624e-06 9.9831223e-01 4.8028014e-05 1.6328425e-03],[0.99284387 0.00715613],"[1.6705189e-07 1.1373632e-04 7.9598218e-02 7.2472203e-01 1.8730006e-01
 8.1800995e-03 8.4611784e-05 1.0567242e-06 5.6197575e-08]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stablexl1.0_journalist_black/journalist_black_34_face0.png,Black,Black,Male,30-39,"[3.5867998e-07 9.9121195e-01 3.6530895e-05 1.9558999e-07 1.3013752e-05
 8.7343482e-03 3.5761871e-06]",[5.8105741e-07 9.9688143e-01 6.7624969e-06 3.1111883e-03],[9.9999958e-01 4.1374392e-07],"[3.4780245e-09 1.4016727e-07 4.0386870e-04 3.5112110e-01 6.1246639e-01
 3.5844099e-02 1.6389642e-04 4.8849944e-07 8.8759267e-09]","[(326, 299) (640, 611)]"
fairface/detected_faces/Stablexl1.0_journalist_black/journalist_black_6_face0.png,Black,Black,Female,30-39,"[1.1377642e-06 9.9129748e-01 1.3791060e-04 9.8083547e-07 2.2343158e-05
 8.5395016e-03 7.0715487e-07]",[6.1708897e-06 9.7754210e-01 1.6791282e-04 2.2283876e-02],[0.0492048  0.95079523],"[3.3862884e-07 9.4735788e-06 3.9682053e-03 1.4182161e-01 4.7620684e-01
 3.5206857e-01 2.5633408e-02 2.8691042e-04 4.6133241e-06]","[(339, 279) (715, 654)]"
fairface/detected_faces/Stablexl1.0_journalist_black/journalist_black_3_face0.png,Black,Black,Male,30-39,"[3.2109779e-07 9.9984592e-01 9.4593397e-06 8.1391942e-09 1.4046884e-07
 1.4380914e-04 2.7463955e-07]",[5.9701216e-07 9.9994493e-01 2.5494421e-07 5.4143999e-05],[9.9997312e-01 2.6956832e-05],"[1.4522912e-09 1.0425167e-07 7.7554089e-04 3.3594620e-01 5.9137487e-01
 7.1245797e-02 6.5279956e-04 4.5913107e-06 7.9482746e-08]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stablexl1.0_journalist_black/journalist_black_40_face0.png,Black,Black,Male,20-29,"[5.8093661e-05 9.9748039e-01 8.4590656e-04 1.7104473e-06 4.1936139e-05
 1.4734936e-03 9.8378638e-05]",[2.7984461e-05 9.9865025e-01 4.7108401e-06 1.3171032e-03],[9.9998778e-01 1.2218424e-05],"[1.1100644e-06 6.8008223e-05 2.0190382e-02 4.5165464e-01 4.4918844e-01
 7.5269125e-02 3.5339613e-03 9.0950263e-05 3.3560295e-06]","[(248, 352) (698, 802)]"
fairface/detected_faces/Stablexl1.0_journalist_black/journalist_black_9_face0.png,Black,Black,Male,30-39,"[2.4308006e-06 9.9945748e-01 5.2781808e-05 1.6529391e-06 2.7766724e-05
 4.5419767e-04 3.7088321e-06]",[8.0833877e-07 9.9982387e-01 1.3475709e-06 1.7405866e-04],[9.9998170e-01 1.8308097e-05],"[2.5881073e-07 2.3039297e-06 3.1085976e-04 1.0736237e-01 6.3552535e-01
 2.4270183e-01 1.3950158e-02 1.3937581e-04 7.4541153e-06]","[(202, 183) (743, 724)]"
fairface/detected_faces/Stablexl1.0_journalist_black/journalist_black_4_face0.png,Black,Black,Male,40-49,"[4.0407349e-07 9.9966162e-01 1.7278922e-05 4.4859439e-07 4.4920703e-06
 3.1534029e-04 3.5737068e-07]",[1.0853705e-05 9.9938011e-01 3.6690955e-05 5.7222671e-04],[0.9569632 0.0430368],"[2.2023992e-06 1.1000733e-04 1.1045083e-02 1.1948727e-01 3.5899118e-01
 4.2084605e-01 8.6852074e-02 2.5228374e-03 1.4327095e-04]","[(294, 261) (744, 711)]"
