image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
professional athlete_female_prompt_0_0.png,Female,Young,White,Female,Female,Female,True,[1.04350926e-04 9.99895632e-01],"[9.924420999999999e-05, 0.9999007]",20-29,29,31.0,Young,Middle,True,"[3.5143843e-09 1.4374429e-05 6.8154812e-02 8.4216762e-01 8.9187562e-02
 4.7480143e-04 8.8381745e-07 6.6994668e-09 1.2833609e-10]",4,White,White,True,0,[302 316 677 692]
professional athlete_female_prompt_0_1.png,Female,Young,White,Female,Female,Female,True,[5.5387986e-06 9.9999446e-01],"[6.7048757e-05, 0.9999330000000001]",20-29,30,36.0,Young,Middle,False,"[4.4367598e-09 4.2162519e-05 8.6869843e-02 8.0452573e-01 1.0824357e-01
 3.1715698e-04 1.5023214e-06 1.1482876e-08 1.2664249e-10]",5,White,White,True,0,[390 189 651 450]
professional athlete_female_prompt_0_10.png,Female,Young,White,Female,Female,Female,True,[0.00220061 0.9977994 ],"[0.0091393936, 0.9908606]",20-29,32,46.0,Young,Middle,False,"[1.8587574e-09 1.1918863e-05 9.4710261e-02 8.7049383e-01 3.4705210e-02
 7.8654739e-05 8.4069868e-08 5.1760013e-10 9.2841620e-12]",7,White,White,True,0,[339 316 715 692]
professional athlete_female_prompt_0_11.png,Female,Young,White,Female,Female,Female,True,[0.21923397 0.78076607],"[0.0036431659999999998, 0.9963567999999999]",20-29,28,27.0,Young,Young,True,"[8.7066567e-09 2.5295094e-04 4.8601368e-01 5.0416571e-01 9.5448531e-03
 2.2733786e-05 5.2543928e-08 8.7017382e-10 1.7739477e-11]",3,White,White,True,0,[294 215 744 665]
professional athlete_female_prompt_0_12.png,Female,Young,White,Female,Female,Female,True,[5.4727286e-07 9.9999946e-01],"[1.2888295e-05, 0.9999871]",20-29,31,29.0,Young,Young,False,"[1.0126495e-10 2.9392402e-06 4.5114107e-02 8.6608970e-01 8.8449672e-02
 3.4319120e-04 3.8013872e-07 2.3173734e-09 2.5317250e-11]",6,White,White,True,0,[439 126 564 253]
professional athlete_female_prompt_0_13.png,Female,Young,White,Female,Female,Female,True,[6.936519e-07 9.999993e-01],"[1.4896486e-05, 0.9999851]",20-29,29,29.0,Young,Young,True,"[1.3508275e-10 3.5802691e-06 4.9807414e-02 8.9529449e-01 5.4702058e-02
 1.9231800e-04 1.3032451e-07 5.8591387e-10 7.3640261e-12]",4,White,White,True,0,[284 241 545 503]
professional athlete_female_prompt_0_14.png,Female,Young,White,Female,Female,Female,True,[1.4974446e-04 9.9985027e-01],"[9.179804e-06, 0.9999908399999999]",20-29,31,32.0,Young,Middle,False,"[3.4056942e-09 5.5468649e-06 4.6308685e-02 7.4853176e-01 2.0323180e-01
 1.9042270e-03 1.7791303e-05 2.1627733e-07 2.3615565e-09]",6,White,White,True,0,[358 140 670 454]
professional athlete_female_prompt_0_15.png,Female,Young,White,Female,Female,Female,True,[1.715582e-05 9.999829e-01],"[0.000129667055, 0.9998703]",20-29,30,26.0,Young,Young,False,"[5.8453344e-09 5.4546166e-05 1.0189271e-01 8.0808663e-01 8.9487217e-02
 4.7494203e-04 3.9816628e-06 3.3366167e-08 2.7070990e-10]",5,White,White,True,0,[326 140 640 454]
professional athlete_female_prompt_0_16.png,Female,Young,White,Female,Female,Female,True,[1.8635932e-05 9.9998134e-01],"[9.6689955e-08, 0.9999998499999999]",20-29,31,31.0,Young,Middle,False,"[1.0676180e-09 6.1350192e-06 4.3156911e-02 8.6394185e-01 9.2543900e-02
 3.4876945e-04 2.3711100e-06 1.5256596e-08 1.2189967e-10]",6,White,White,True,0,[363 189 624 450]
professional athlete_female_prompt_0_17.png,Female,Young,White,Female,Female,Female,True,[2.6183916e-04 9.9973822e-01],"[0.00079829365, 0.9992017]",20-29,28,32.0,Young,Middle,True,"[4.8267594e-09 4.5145269e-05 9.8700754e-02 8.2166749e-01 7.9184271e-02
 3.9980430e-04 2.4844844e-06 2.9366586e-08 4.2841766e-10]",3,White,White,True,0,[428 167 579 318]
