face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_white/doctor_white_prompt_0_41_face0.png,White,White,Male,50-59,"[9.9814391e-01 2.3937464e-06 2.7407971e-04 4.0262781e-05 1.9190069e-05
 2.1554097e-05 1.4986048e-03]",[9.9892861e-01 4.7146314e-05 2.4222421e-05 1.0000316e-03],[9.9999994e-01 9.3621452e-08],"[9.7818011e-06 1.6039614e-05 2.2531822e-04 5.9097249e-04 1.8923197e-02
 2.9067540e-01 6.3656646e-01 5.2636810e-02 3.5601834e-04]","[(302, 279) (677, 654)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_white/doctor_white_prompt_0_29_face0.png,White,White,Male,50-59,"[9.9571437e-01 2.5032804e-07 9.0030248e-05 4.2369459e-07 3.8023609e-07
 1.2557969e-05 4.1820989e-03]",[9.9938571e-01 1.2835785e-06 4.4241556e-06 6.0857879e-04],[9.9999982e-01 1.9656666e-07],"[3.2271961e-07 3.0105687e-07 1.2139200e-05 6.9998285e-05 7.6965047e-03
 3.2979247e-01 6.4475614e-01 1.7571803e-02 1.0034353e-04]","[(430, 229) (646, 446)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_white/doctor_white_prompt_0_8_face0.png,White,White,Male,50-59,"[9.8214304e-01 3.1524135e-06 2.6902654e-03 1.1769229e-05 2.5769214e-05
 2.1473432e-04 1.4911218e-02]",[9.9667877e-01 8.0294958e-06 1.4727445e-04 3.1659089e-03],[9.9999762e-01 2.3927423e-06],"[1.1294735e-06 2.9565113e-06 1.5417254e-04 1.0686915e-03 3.5091531e-02
 4.0458438e-01 5.2920789e-01 2.9554846e-02 3.3444425e-04]","[(358, 331) (670, 643)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_white/doctor_white_prompt_1_38_face0.png,White,White,Male,30-39,"[9.5169699e-01 4.5068455e-06 3.4004229e-03 4.4391647e-05 3.5798603e-05
 2.0081691e-04 4.4616912e-02]",[9.9970686e-01 3.5356727e-06 4.5049524e-05 2.4459074e-04],[9.999936e-01 6.316173e-06],"[7.1885083e-06 2.6226451e-05 2.9302470e-04 9.3681589e-02 7.9689002e-01
 1.0819932e-01 8.9633884e-04 6.2197173e-06 1.2093390e-07]","[(202, 293) (743, 833)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_white/doctor_white_prompt_1_27_face0.png,White,White,Male,40-49,"[8.3828568e-01 1.7619530e-04 2.0687166e-03 1.5295402e-05 3.3835066e-05
 2.5428517e-04 1.5916598e-01]",[9.9835443e-01 3.9306638e-04 1.4497591e-04 1.1074441e-03],[9.9999958e-01 4.2238017e-07],"[9.5911935e-05 6.6011657e-05 2.0198846e-04 1.1025625e-03 4.7910634e-02
 5.0112897e-01 4.3426269e-01 1.5068548e-02 1.6263919e-04]","[(358, 140) (670, 454)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_white/doctor_white_prompt_0_19_face0.png,White,White,Male,40-49,"[9.9512130e-01 1.3967845e-06 6.7801098e-04 2.3713778e-06 4.1686512e-06
 2.8197395e-05 4.1644508e-03]",[9.9913532e-01 4.9009823e-06 2.9972001e-05 8.2975876e-04],[9.9997288e-01 2.7141265e-05],"[2.6678426e-06 4.4591934e-06 1.8256914e-04 4.3884106e-03 1.2445262e-01
 6.5612668e-01 2.0974068e-01 5.0533665e-03 4.8550617e-05]","[(103, 121) (753, 770)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_white/doctor_white_prompt_1_2_face0.png,White,White,Male,40-49,"[5.2949727e-01 2.3363209e-04 2.4355651e-01 1.8374024e-04 6.3762179e-04
 2.3015233e-02 2.0287597e-01]",[9.8888177e-01 7.3539057e-05 2.3567158e-04 1.0809101e-02],[9.9999976e-01 2.8616660e-07],"[1.4895818e-05 1.9764377e-05 2.3197876e-04 2.1028575e-03 1.0289773e-01
 5.7155520e-01 3.1660047e-01 6.5433113e-03 3.3901721e-05]","[(389, 203) (702, 517)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_white/doctor_white_prompt_1_21_face0.png,White,White,Male,30-39,"[9.8035097e-01 9.8264054e-06 6.4858724e-03 2.7048957e-04 1.6439418e-04
 7.8379951e-04 1.1934583e-02]",[9.9235141e-01 3.2764464e-04 5.6330761e-04 6.7576165e-03],[9.9997354e-01 2.6479911e-05],"[5.8847922e-06 3.7750069e-05 9.1135042e-04 5.7797905e-02 6.4629996e-01
 2.8953332e-01 5.3838631e-03 2.9593135e-05 3.6633466e-07]","[(339, 240) (715, 615)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_white/doctor_white_prompt_0_10_face0.png,White,White,Male,50-59,"[9.8199838e-01 1.0900495e-05 3.4061545e-03 9.3147810e-06 1.9613584e-05
 3.2183158e-04 1.4233840e-02]",[9.9194485e-01 1.8681090e-04 3.9445658e-05 7.8288922e-03],[9.9999964e-01 3.9258302e-07],"[4.0905279e-06 3.3853114e-06 7.8661273e-05 9.3007041e-04 3.1905558e-02
 4.4033110e-01 4.9348411e-01 3.2956235e-02 3.0677833e-04]","[(363, 162) (624, 423)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_white/doctor_white_prompt_1_28_face0.png,White,White,Male,40-49,"[9.8911548e-01 1.4979764e-06 1.3850891e-03 8.1610924e-05 3.2832326e-05
 2.2127751e-04 9.1622341e-03]",[9.9123430e-01 1.8475643e-04 5.3392135e-04 8.0470629e-03],[9.999997e-01 2.818524e-07],"[7.8060721e-06 1.2390494e-05 1.4565776e-04 3.6888372e-03 2.0116176e-01
 7.3147130e-01 6.3192673e-02 3.1799154e-04 1.5667114e-06]","[(248, 215) (698, 665)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_white/doctor_white_prompt_1_19_face0.png,White,White,Male,50-59,"[9.9762011e-01 5.7101397e-07 1.1226573e-03 7.3732967e-06 6.9753573e-06
 1.0287342e-04 1.1394641e-03]",[9.9695766e-01 1.1215744e-05 2.1682014e-05 3.0094229e-03],[9.9994606e-01 5.3958578e-05],"[5.5871083e-06 3.4291820e-06 1.4304039e-04 2.7074045e-04 8.8610677e-03
 1.8019944e-01 7.7246338e-01 3.7791420e-02 2.6186000e-04]","[(248, 215) (698, 665)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_white/doctor_white_prompt_1_41_face0.png,White,White,Male,40-49,"[8.9581603e-01 7.0398375e-05 3.3396911e-02 4.7146573e-04 3.7107075e-04
 3.2416480e-03 6.6632450e-02]",[9.9495637e-01 5.1944986e-05 4.3071862e-04 4.5609684e-03],[9.9999863e-01 1.4161484e-06],"[3.3772783e-06 1.1351572e-05 5.3365761e-04 1.9710554e-02 4.5837620e-01
 5.0090301e-01 2.0309867e-02 1.5067561e-04 1.2251890e-06]","[(326, 235) (640, 549)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_white/doctor_white_prompt_0_44_face0.png,White,White,Male,40-49,"[9.9386638e-01 4.0977787e-07 1.7162680e-03 2.4231085e-06 3.0213412e-06
 1.2250725e-04 4.2889393e-03]",[9.9970776e-01 1.1513303e-06 2.8663791e-05 2.6237738e-04],[9.9980134e-01 1.9860853e-04],"[6.9784710e-06 1.0917509e-05 4.4038493e-04 2.0957016e-03 4.1840829e-02
 5.3566623e-01 4.0898228e-01 1.0844068e-02 1.1264550e-04]","[(326, 299) (640, 611)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_white/doctor_white_prompt_0_4_face0.png,White,White,Male,50-59,"[9.5823956e-01 6.0631366e-05 5.0164326e-03 7.7518467e-05 1.5288718e-04
 3.2254786e-04 3.6130372e-02]",[9.9685186e-01 7.0047310e-05 5.1822735e-04 2.5598842e-03],[9.9999875e-01 1.2400378e-06],"[1.1226203e-05 2.1592730e-05 2.9172550e-04 3.3495179e-03 5.3356625e-02
 4.4597483e-01 4.7040954e-01 2.6306428e-02 2.7845960e-04]","[(326, 235) (640, 549)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_white/doctor_white_prompt_1_40_face0.png,White,White,Male,40-49,"[9.7980833e-01 2.6271738e-07 3.5213979e-04 4.5434931e-06 3.3073163e-06
 2.5397643e-05 1.9806022e-02]",[9.9931645e-01 1.8306278e-06 4.4989156e-05 6.3675031e-04],[9.999943e-01 5.798394e-06],"[1.9217828e-06 1.5439043e-06 4.9561069e-05 8.8614738e-04 3.8883127e-02
 5.6524104e-01 3.8748038e-01 7.3982729e-03 5.8017376e-05]","[(202, 128) (743, 669)]"
classification/analyzers/fairface/detected_faces/exp2/Stablexl1.0_doctor_white/doctor_white_prompt_1_39_face0.png,White,White,Male,40-49,"[9.7655213e-01 2.5748257e-06 1.1359607e-03 2.3321065e-05 1.1438542e-05
 5.6537530e-05 2.2218069e-02]",[9.9957925e-01 8.5930151e-06 3.8928869e-05 3.7319725e-04],[9.9999821e-01 1.7593168e-06],"[2.2503864e-06 4.9052046e-06 1.6841055e-04 1.7129546e-02 3.9125600e-01
 5.6770581e-01 2.3589626e-02 1.4209926e-04 1.2930107e-06]","[(339, 316) (715, 692)]"
