image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
mechanic_white_0.png,Male,Middle,White,Male,Male,Male,True,[9.9999708e-01 2.8973852e-06],"[0.9999786, 2.1394535000000002e-05]",30-39,41,40.0,Middle,Middle,True,"[1.0600264e-07 1.0195763e-06 6.2795763e-04 2.1406648e-01 7.3209804e-01
 5.2619509e-02 5.8178679e-04 4.9839355e-06 7.7291077e-08]",6,White,White,True,0,[363 321 624 582]
mechanic_white_1.png,Male,Middle,White,Male,Male,Male,True,[9.999964e-01 3.522887e-06],"[0.9999993, 7.386318999999999e-07]",30-39,30,46.0,Middle,Middle,True,"[5.1174328e-07 1.7320344e-06 3.5460648e-04 1.3687766e-01 7.3648363e-01
 1.2292367e-01 3.3242875e-03 3.3596269e-05 3.0709589e-07]",5,White,White,True,0,[302 240 677 615]
mechanic_white_10.png,Male,Middle,White,Male,Male,Male,True,[9.9999964e-01 3.2785638e-07],"[0.9998520999999999, 0.00014796669]",30-39,32,27.0,Middle,Young,True,"[2.8230170e-07 2.8565662e-06 6.5987167e-04 1.8352172e-01 7.5548053e-01
 5.9838176e-02 4.9138605e-04 5.0953799e-06 6.2618383e-08]",3,White,White,True,0,[390 189 651 450]
mechanic_white_11.png,Male,Middle,White,Male,Male,Male,True,[9.9999869e-01 1.2961965e-06],"[0.9999811, 1.8986249000000002e-05]",30-39,32,31.0,Middle,Middle,True,"[6.29379770e-07 3.20228014e-06 8.29232857e-04 1.96162865e-01
 7.20846891e-01 8.08668435e-02 1.27800449e-03 1.22429865e-05
 1.15283882e-07]",3,White,White,True,0,[358 203 670 517]
mechanic_white_12.png,Male,Young,White,Male,Male,Male,True,[9.999990e-01 9.845154e-07],"[0.9995390000000001, 0.00046106037000000005]",20-29,29,36.0,Young,Middle,True,"[4.0844799e-09 1.6089310e-06 1.8614521e-02 9.1672212e-01 6.4374499e-02
 2.8662491e-04 5.3790819e-07 5.2040297e-09 7.4591500e-11]",4,White,White,True,0,[428 259 579 410]
mechanic_white_13.png,Male,Middle,White,Male,Male,Male,True,[9.9998873e-01 1.1267485e-05],"[0.99971924, 0.00028073026]",30-39,33,45.0,Middle,Middle,True,"[1.2563922e-06 3.6002199e-05 4.0469272e-03 3.3003929e-01 6.0866600e-01
 5.6313459e-02 8.8896306e-04 7.9293295e-06 1.8899239e-07]",2,White,White,True,0,[363 295 624 556]
mechanic_white_14.png,Male,Young,White,Male,Male,Male,True,[9.9999905e-01 9.4529474e-07],"[0.99999306, 6.962489e-06]",20-29,30,28.0,Young,Young,False,"[1.8311137e-08 8.3515556e-07 1.4176851e-03 5.4762775e-01 4.4321525e-01
 7.7019096e-03 3.6249770e-05 3.3065791e-07 3.7564192e-09]",5,White,White,True,0,[248 261 698 711]
mechanic_white_15.png,Male,Middle,White,Male,Male,Male,True,[9.9999923e-01 7.3466305e-07],"[0.9999807, 1.9267529e-05]",30-39,30,35.0,Middle,Middle,True,"[3.4061451e-08 4.4550364e-07 1.5387804e-03 4.7308165e-01 5.0289589e-01
 2.2172641e-02 3.0631773e-04 4.1545036e-06 5.7689938e-08]",5,White,White,True,0,[294 267 608 581]
mechanic_white_16.png,Male,Middle,White,Male,Male,Male,True,[9.9999845e-01 1.5456093e-06],"[0.9999618499999999, 3.8135895e-05]",30-39,32,32.0,Middle,Middle,True,"[9.2677270e-09 6.7368489e-07 1.4744414e-03 4.3769476e-01 5.4228246e-01
 1.8453801e-02 9.3467963e-05 3.8580731e-07 6.2417409e-09]",3,White,White,True,0,[326 267 640 581]
mechanic_white_17.png,Male,Middle,White,Male,Male,Male,True,[9.9990571e-01 9.4344556e-05],"[0.9999032, 9.6733775e-05]",30-39,34,41.0,Middle,Middle,True,"[2.7255416e-07 1.0118043e-05 1.3857234e-03 3.2203123e-01 6.5089732e-01
 2.5586171e-02 8.8718007e-05 4.2328458e-07 6.6434893e-09]",1,White,White,True,0,[302 202 677 578]
mechanic_white_18.png,Male,Middle,White,Male,Male,Male,True,[9.999998e-01 1.769859e-07],"[0.9999239, 7.60641e-05]",30-39,27,30.0,Middle,Middle,False,"[5.0789474e-08 2.0318348e-06 8.9410233e-04 3.1744066e-01 6.5601641e-01
 2.5548695e-02 9.7514581e-05 5.8616729e-07 5.1807332e-09]",8,White,White,True,0,[302 240 677 615]
mechanic_white_19.png,Male,Middle,White,Male,Male,Male,True,[9.9993974e-01 6.0221373e-05],"[0.9999696, 3.0422981e-05]",30-39,32,37.0,Middle,Middle,True,"[3.5189976e-07 1.0043005e-05 7.3780346e-04 1.8280856e-01 7.3446411e-01
 8.1169955e-02 8.0460525e-04 4.4468220e-06 1.4438356e-07]",3,White,White,True,0,[248 261 698 711]
mechanic_white_2.png,Male,Middle,White,Male,Male,Male,True,[9.999905e-01 9.514641e-06],"[0.99950066, 0.0004994046299999999]",30-39,30,35.0,Middle,Middle,True,"[7.8942833e-07 1.1652055e-05 1.3287225e-03 3.2940978e-01 6.3677740e-01
 3.2234650e-02 2.3477302e-04 2.2041595e-06 3.6509583e-08]",5,White,White,True,0,[363 207 581 424]
mechanic_white_20.png,Male,Middle,White,Male,Male,Male,True,[9.999946e-01 5.404034e-06],"[0.9999686400000001, 3.1324176e-05]",30-39,30,27.0,Middle,Young,True,"[2.2772760e-07 3.7092682e-06 5.8644934e-04 2.2469915e-01 7.0908588e-01
 6.5079853e-02 5.4068939e-04 3.9754505e-06 7.3134643e-08]",5,White,White,True,0,[294 203 608 517]
