image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
"cashier_female, elderly, indian_83.png",Female,Old,Indian,Female,Female,Female,True,[7.9348678e-04 9.9920654e-01],"[0.4110708, 0.58892918]",70+,35,72,Old,Old,False,"[2.3435403e-07 5.9948934e-06 2.2854427e-05 3.1155145e-05 3.1762407e-04
 4.6023251e-03 4.3062970e-02 2.9117757e-01 6.6077924e-01]",40,Indian,Indian,True,0,[363 185 581 403]
"cashier_female, middle aged, indian_100.png",Female,Young,Indian,Female,Female,Female,True,[6.7584665e-04 9.9932408e-01],"[0.08161269, 0.9183874]",20-29,31,27,Young,Young,False,"[9.2059742e-07 6.6952722e-04 4.4693649e-02 7.9468620e-01 1.5417631e-01
 5.6288787e-03 1.3945108e-04 4.9099444e-06 1.4199023e-07]",6,Indian,Indian,True,0,[339 240 715 615]
"cashier_female, middle aged, indian_123.png",Female,Young,Indian,Female,Female,Female,True,[2.8617536e-05 9.9997139e-01],"[7.191651e-06, 0.9999928]",20-29,32,33,Young,Middle,False,"[2.7661148e-08 9.1061345e-05 3.4867562e-02 8.0847496e-01 1.5225576e-01
 4.2677536e-03 4.2151660e-05 7.4134113e-07 9.5019574e-09]",7,Indian,Indian,True,0,[382 272 564 454]
"cashier_female, middle aged, indian_124.png",Female,Young,Indian,Female,Female,Female,True,[2.8412446e-06 9.9999720e-01],"[8.213036e-06, 0.99999176]",20-29,31,31,Young,Middle,False,"[7.4961015e-09 1.5755488e-05 1.5339141e-02 7.8567827e-01 1.9248064e-01
 6.4130966e-03 7.2194001e-05 8.2924851e-07 7.8650677e-09]",6,Indian,Indian,True,0,[294 203 608 517]
"cashier_female, middle aged, indian_132.png",Female,Young,Indian,Female,Female,Female,True,[9.2414748e-06 9.9999076e-01],"[0.00010926429, 0.9998907]",20-29,31,27,Young,Young,False,"[1.30258759e-09 1.05330455e-05 3.09684426e-02 9.14940238e-01
 5.33162132e-02 7.62004347e-04 2.50359221e-06 4.57973570e-08
 9.64535007e-10]",6,Indian,Indian,True,0,[469 189 730 450]
"cashier_female, middle aged, indian_137.png",Female,Young,Indian,Female,Female,Female,True,[9.3648894e-05 9.9990636e-01],"[4.053268e-05, 0.9999594999999999]",20-29,32,31,Young,Middle,False,"[5.2783811e-08 4.2703759e-05 1.1692658e-02 6.7776614e-01 2.9768112e-01
 1.2616056e-02 1.9858981e-04 2.7359740e-06 2.5947589e-08]",7,Indian,Indian,True,0,[363 268 624 529]
"cashier_female, middle aged, indian_49.png",Female,Young,Indian,Female,Female,Female,True,[7.716544e-05 9.999228e-01],"[2.7250478e-05, 0.9999727]",20-29,36,29,Young,Young,False,"[3.3844248e-08 2.2707743e-05 1.0009716e-02 6.7014629e-01 3.0079034e-01
 1.8606104e-02 4.1656825e-04 8.1554763e-06 1.2207313e-07]",11,Indian,Indian,True,0,[302 279 677 654]
"cashier_female, middle aged, indian_67.png",Female,Young,Indian,Female,Female,Female,True,[2.7191508e-04 9.9972808e-01],"[0.00017165909, 0.99982834]",20-29,31,26,Young,Young,False,"[2.0714435e-08 1.6941734e-05 1.1430297e-02 8.2231450e-01 1.5946895e-01
 6.6660456e-03 1.0163939e-04 1.6596964e-06 3.9855035e-08]",6,Indian,Indian,True,0,[363 229 581 446]
"cashier_female, middle aged, indian_86.png",Female,Middle,Indian,Female,Female,Female,True,[2.1445519e-05 9.9997854e-01],"[2.8620465000000002e-05, 0.9999714000000001]",30-39,34,27,Middle,Young,True,"[9.1253277e-08 1.2907989e-05 3.2152752e-03 2.2899365e-01 5.2554989e-01
 2.2617941e-01 1.5750192e-02 2.9355189e-04 5.0385615e-06]",1,Indian,Indian,True,0,[326 299 640 611]
"cashier_female, young, indian_126.png",Female,Young,Indian,Female,Female,Female,True,[5.025869e-04 9.994974e-01],"[0.0025788918, 0.9974211]",20-29,29,27,Young,Young,True,"[5.9368741e-08 1.4262061e-03 1.9063847e-01 7.8946644e-01 1.8378599e-02
 9.0063484e-05 2.0903239e-07 3.9921799e-09 5.8406932e-11]",4,Indian,Indian,True,0,[382 199 564 381]
"cashier_female, young, indian_134.png",Female,Young,Indian,Female,Female,Female,True,[1.0502968e-05 9.9998951e-01],"[1.583187e-05, 0.9999841]",20-29,31,24,Young,Young,False,"[7.5362572e-10 4.5480898e-05 7.8290254e-02 9.1142452e-01 1.0228585e-02
 1.1081130e-05 9.3906900e-09 1.0691601e-10 8.5051096e-13]",6,Indian,White,False,0,[302 316 677 692]
"cashier_female, young, indian_139.png",Female,Young,Indian,Female,Female,Female,True,[2.1173047e-04 9.9978828e-01],"[0.0008364984, 0.9991635]",20-29,28,22,Young,Young,True,"[5.7044957e-08 1.5655435e-03 2.4758169e-01 7.2328758e-01 2.7268313e-02
 2.9584457e-04 9.3292408e-07 4.0672930e-08 1.3981127e-09]",3,Indian,Indian,True,0,[474 352 625 503]
"cashier_female, young, indian_143.png",Female,Young,Indian,Female,Female,Female,True,[1.1523541e-05 9.9998844e-01],"[0.01427443, 0.9857255600000001]",20-29,29,21,Young,Young,True,"[8.4414831e-09 1.1582100e-03 3.7798229e-01 6.1809158e-01 2.7642981e-03
 3.6240731e-06 2.9929925e-09 9.2281696e-11 1.7965454e-12]",4,Indian,Indian,True,0,[385 272 602 490]
"cashier_female, young, indian_2.png",Female,Young,Indian,Female,Female,Female,True,[0.00311247 0.9968875 ],"[0.000779251, 0.9992207000000001]",20-29,30,26,Young,Young,False,"[7.1127367e-08 3.5583070e-03 3.1776038e-01 6.7185980e-01 6.7921393e-03
 2.9200964e-05 7.6010664e-08 1.7895098e-09 4.1700580e-11]",5,Indian,Indian,True,0,[326 172 640 485]
"cashier_female, young, indian_81.png",Female,Young,Indian,Female,Female,Female,True,[8.805940e-05 9.999119e-01],"[0.068056173, 0.9319438]",20-29,29,26,Young,Young,True,"[5.1463905e-10 1.2085459e-05 3.7653241e-02 9.3145657e-01 3.0739291e-02
 1.3849830e-04 2.9407488e-07 2.1795459e-09 1.8597131e-11]",4,Indian,Indian,True,0,[311 189 572 450]
"cashier_male, elderly, indian_149.png",Male,Old,Indian,Male,Male,Male,True,[9.999299e-01 7.008862e-05],"[0.9992214, 0.0007785095]",60-69,43,75,Old,Old,False,"[9.7514487e-05 3.7835361e-04 1.0603325e-03 1.0190881e-04 3.5411384e-04
 9.1272919e-03 2.0117886e-01 7.0669729e-01 8.1004292e-02]",22,Indian,Indian,True,0,[437 199 619 381]
"cashier_male, elderly, indian_16.png",Male,Old,Indian,Male,Male,Male,True,[9.9993104e-01 6.8934467e-05],"[0.9965406, 0.003459349]",60-69,53,72,Old,Old,False,"[1.3112760e-04 5.5837544e-04 3.5971068e-03 2.0051559e-03 4.6519367e-03
 3.2936782e-02 2.7603057e-01 6.2408876e-01 5.6000162e-02]",12,Indian,White,False,0,[358 267 670 581]
"cashier_male, elderly, indian_34.png",Male,Old,Indian,Male,Male,Male,True,[9.999427e-01 5.729778e-05],"[0.98395065, 0.016049360999999998]",60-69,45,78,Old,Old,False,"[1.1545910e-04 3.8039585e-04 8.4407534e-04 1.5208790e-04 6.2995905e-04
 1.4528988e-02 1.5577260e-01 6.8803591e-01 1.3954060e-01]",20,Indian,Indian,True,0,[302 279 677 654]
"cashier_male, elderly, indian_35.png",Male,Old,Indian,Male,Male,Male,True,[9.9998969e-01 1.0323866e-05],"[0.99710236, 0.0028976402]",60-69,38,73,Old,Old,False,"[4.4085542e-04 3.7929642e-03 9.5313163e-03 8.4715954e-04 2.2017353e-03
 2.5516830e-02 2.2369665e-01 6.7913222e-01 5.4840278e-02]",27,Indian,White,False,0,[358 235 670 549]
