image,gender,age,race,gender_fair,gender_deepface,gender_insightface,equal_gender,gender_scores_fair,gender_scores_deep,age_fair,age_deepface,age_insightface,age_bin_fair,age_bin_insightface,equal_age,age_scores_fair,age_diff,race_fair,race4_deepface,equal_race,face_fair,bbox
baker_young_0.png,Male,Young,White,Male,Male,Male,True,[9.9990559e-01 9.4421375e-05],"[0.9986733, 0.001326664]",20-29,28,27,Young,Young,True,"[1.5956341e-07 2.6120013e-04 2.1544836e-01 7.7667558e-01 7.5911391e-03
 2.3519548e-05 5.2395155e-08 1.2805028e-09 5.0041325e-11]",3,White,White,True,0,[400 199 582 381]
baker_young_1.png,Male,Young,White,Male,Male,Male,True,[9.9999958e-01 4.5447067e-07],"[0.9981149, 0.001885026]",20-29,23,24,Young,Young,True,"[1.8375218e-09 1.9887316e-06 4.2206623e-02 9.4314522e-01 1.4620383e-02
 2.5731089e-05 3.0478429e-08 7.5751683e-10 1.1639824e-11]",2,White,White,True,0,[377 202 753 578]
baker_young_10.png,Male,Young,White,Male,Male,Male,True,[9.9999869e-01 1.3470445e-06],"[0.9996015, 0.00039844543000000005]",20-29,23,24,Young,Young,True,"[1.3061474e-07 1.9390658e-04 1.4985165e-01 8.4139967e-01 8.5353609e-03
 1.9252431e-05 2.0621348e-08 7.9153506e-10 1.6152073e-11]",2,White,White,True,0,[517 207 734 424]
baker_young_11.png,Male,Young,White,Male,Male,Male,True,[9.9995500e-01 4.4994602e-05],"[0.99456375, 0.005436294]",10-19,23,22,Young,Young,True,"[5.0988515e-08 4.3512462e-04 6.9770962e-01 3.0022272e-01 1.6232571e-03
 9.2051696e-06 2.9263044e-08 1.6808640e-09 4.3790849e-11]",8,White,White,True,0,[302 240 677 615]
baker_young_12.png,Male,Young,White,Male,Male,Male,True,[9.999996e-01 3.515824e-07],"[0.9931285, 0.0068714464]",10-19,21,25,Young,Young,True,"[8.93287044e-09 6.73029281e-05 5.91709733e-01 4.06239301e-01
 1.97581947e-03 7.82011011e-06 1.30848425e-08 2.72493916e-10
 3.95709463e-12]",6,White,White,True,0,[302 279 677 654]
baker_young_13.png,Male,Young,White,Male,Male,Male,True,[9.9935108e-01 6.4893573e-04],"[0.9961985, 0.0038015386]",10-19,22,22,Young,Young,True,"[5.2485117e-08 5.7660689e-04 7.8472871e-01 2.1316232e-01 1.5240150e-03
 8.3108034e-06 1.6514198e-08 6.5432620e-10 1.9212522e-11]",7,White,White,True,0,[419 236 600 417]
baker_young_14.png,Male,Young,White,Male,Male,Male,True,[9.999799e-01 2.010083e-05],"[0.9946857, 0.005314330000000001]",20-29,24,26,Young,Young,True,"[1.6806420e-07 1.5225833e-04 1.9163114e-01 7.6504064e-01 4.2704333e-02
 4.6956376e-04 1.8483936e-06 3.8893013e-08 6.3966094e-10]",1,White,White,True,0,[339 202 715 578]
baker_young_15.png,Male,Young,White,Male,Male,Male,True,[0.9982196  0.00178033],"[0.91794, 0.08206003]",10-19,20,23,Young,Young,True,"[1.0519486e-07 8.9913345e-04 7.8691506e-01 2.1095532e-01 1.2172891e-03
 1.3051466e-05 2.5790985e-08 8.5680535e-10 4.3928607e-11]",5,White,White,True,0,[419 199 600 381]
baker_young_16.png,Male,Young,White,Male,Male,Male,True,[9.9995261e-01 4.7388112e-05],"[0.9982785, 0.0017214784]",20-29,22,25,Young,Young,True,"[8.2056237e-09 3.0151991e-06 3.0864190e-02 9.3701404e-01 3.2027882e-02
 9.0687892e-05 1.5965431e-07 2.4675304e-09 5.4604238e-11]",3,White,White,True,0,[407 185 624 403]
baker_young_17.png,Male,Young,White,Male,Male,Male,True,[9.9999636e-01 3.6347635e-06],"[0.9996185, 0.0003814428]",20-29,21,27,Young,Young,True,"[1.5274149e-07 3.3604541e-05 1.5871376e-02 9.1275209e-01 7.1058042e-02
 2.8434672e-04 3.8875191e-07 5.9761476e-09 1.1268471e-10]",4,White,White,True,0,[311 162 572 423]
baker_young_18.png,Male,Young,White,Male,Male,Male,True,[9.9992889e-01 7.1121576e-05],"[0.99476746, 0.005232546]",10-19,19,27,Young,Young,True,"[4.1601203e-07 2.8789765e-03 7.0362729e-01 2.8730258e-01 6.0990634e-03
 9.1269780e-05 3.2760641e-07 1.1215475e-08 3.8107836e-10]",4,White,White,True,0,[385 295 602 513]
