face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stablexl1.0_scientist_white/scientist_white_43_face0.png,White,White,Female,20-29,"[9.9735457e-01 2.8138523e-08 8.7526278e-05 2.4907754e-06 2.0785335e-06
 1.1450039e-06 2.5522003e-03]",[9.9998271e-01 2.1304862e-07 1.0513396e-05 6.5941354e-06],[0.26872495 0.731275  ],"[6.4471402e-07 9.4335395e-05 6.8158455e-02 5.3066522e-01 3.2060108e-01
 7.6684453e-02 3.7246386e-03 6.8646215e-05 2.5103250e-06]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stablexl1.0_scientist_white/scientist_white_19_face0.png,White,White,Male,40-49,"[9.99631405e-01 5.86088760e-08 1.05251835e-04 2.17225370e-05
 1.80126499e-05 1.41186247e-05 2.09447462e-04]",[9.9886221e-01 5.3549256e-06 3.2918018e-05 1.0995293e-03],[9.999540e-01 4.598783e-05],"[4.3840500e-06 2.4276978e-05 3.0063109e-03 4.8420846e-02 2.6610181e-01
 5.3918719e-01 1.4031108e-01 2.8931948e-03 5.0907187e-05]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stablexl1.0_scientist_white/scientist_white_26_face0.png,White,White,Male,30-39,"[9.9912536e-01 3.7266921e-07 1.5678459e-04 1.0098180e-06 1.6311141e-06
 9.9876515e-06 7.0497120e-04]",[9.98451352e-01 3.19891915e-05 1.00526486e-04 1.41612464e-03],[9.9999893e-01 1.0833863e-06],"[1.7470619e-07 9.1540898e-07 2.2587963e-04 3.9333589e-02 4.8225158e-01
 4.3433741e-01 4.3379717e-02 4.6492211e-04 5.7450575e-06]","[(385, 272) (602, 490)]"
fairface/detected_faces/Stablexl1.0_scientist_white/scientist_white_28_face0.png,White,White,Male,30-39,"[9.9962789e-01 8.1916750e-07 6.1432846e-05 1.8753914e-06 1.9005341e-06
 3.6817803e-06 3.0240623e-04]",[9.9949914e-01 3.0514817e-05 3.8854814e-05 4.3146190e-04],[9.9999982e-01 1.6892804e-07],"[1.99946896e-07 2.84289581e-06 1.71451468e-03 2.56779224e-01
 6.52627826e-01 8.66302624e-02 2.23350758e-03 1.15668854e-05
 1.05601515e-07]","[(363, 216) (624, 477)]"
fairface/detected_faces/Stablexl1.0_scientist_white/scientist_white_33_face0.png,White,White,Male,20-29,"[9.9594742e-01 3.7023417e-06 8.8253780e-04 1.4279142e-05 1.5753869e-05
 2.9407742e-05 3.1069168e-03]",[9.9821693e-01 5.0330837e-05 3.8865550e-05 1.6938627e-03],[9.9998510e-01 1.4943384e-05],"[2.5834342e-07 2.6447124e-06 3.5282420e-03 4.7458154e-01 4.5276433e-01
 6.5176047e-02 3.8840682e-03 6.1675142e-05 1.2129802e-06]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stablexl1.0_scientist_white/scientist_white_13_face0.png,White,White,Male,30-39,"[8.90487194e-01 1.13160495e-04 4.53823544e-02 6.55305121e-05
 9.53676499e-05 1.61851465e-03 6.22378252e-02]",[9.9633640e-01 1.4822299e-04 1.5753241e-05 3.4995966e-03],[9.9999946e-01 5.5276843e-07],"[4.3099149e-06 1.5179541e-05 1.1576413e-03 4.9741328e-02 4.8502731e-01
 4.3606004e-01 2.7619425e-02 3.7195912e-04 2.8213997e-06]","[(294, 168) (744, 619)]"
fairface/detected_faces/Stablexl1.0_scientist_white/scientist_white_48_face0.png,White,White,Male,40-49,"[9.9619734e-01 8.0215770e-08 4.0258939e-04 1.9708890e-05 1.1488039e-05
 1.2482838e-05 3.3563105e-03]",[9.9993598e-01 8.4541419e-08 4.0523475e-05 2.3356275e-05],[9.9990475e-01 9.5261275e-05],"[1.8812751e-06 2.8504642e-06 6.1805703e-04 2.1986466e-02 2.0314565e-01
 6.0007745e-01 1.6973644e-01 4.3836213e-03 4.7588910e-05]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stablexl1.0_scientist_white/scientist_white_18_face0.png,White,White,Male,40-49,"[9.86068487e-01 2.57201873e-06 2.03696173e-03 3.31445626e-05
 2.46995514e-05 1.14393704e-04 1.17197195e-02]",[9.9267900e-01 4.2522781e-05 2.2752487e-04 7.0509869e-03],[9.9999857e-01 1.3948102e-06],"[1.2868661e-06 1.4924105e-06 6.0042177e-05 4.5143988e-04 3.1405672e-02
 5.2976817e-01 4.2847696e-01 9.7894939e-03 4.5536406e-05]","[(326, 299) (640, 611)]"
fairface/detected_faces/Stablexl1.0_scientist_white/scientist_white_46_face0.png,White,White,Male,30-39,"[8.6274868e-01 1.5212341e-04 4.5301668e-02 1.7719375e-04 2.8199708e-04
 4.6221125e-03 8.6716183e-02]",[8.6313808e-01 1.2142197e-03 5.6719786e-04 1.3508053e-01],[9.9982136e-01 1.7867387e-04],"[4.1553931e-06 3.0703919e-05 9.5228932e-04 7.1791947e-02 6.6718817e-01
 2.5494418e-01 5.0550299e-03 3.2902051e-05 6.2610275e-07]","[(389, 140) (702, 454)]"
fairface/detected_faces/Stablexl1.0_scientist_white/scientist_white_0_face0.png,White,White,Male,50-59,"[9.9950308e-01 3.6745521e-07 3.3808861e-05 1.2157108e-06 2.0979180e-06
 2.2431104e-05 4.3703252e-04]",[9.9881583e-01 1.2435402e-05 2.2207747e-05 1.1495105e-03],[9.9999905e-01 9.6730525e-07],"[7.6962209e-07 3.4060929e-07 1.3373249e-05 2.6952730e-05 2.4679687e-04
 8.9527899e-03 5.5622518e-01 4.2767498e-01 6.8588555e-03]","[(337, 162) (599, 423)]"
