face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
fairface/detected_faces/Stable3.5-medium_office worker_black/office worker_black_1_face0.png,Black,Black,Female,10-19,"[2.7319893e-06 9.9965262e-01 9.3969706e-05 5.5541268e-06 6.4719417e-05
 1.7970092e-04 6.4236582e-07]",[9.7731418e-06 9.9984324e-01 7.4515927e-05 7.2436538e-05],[0.03903885 0.9609611 ],"[3.8333707e-07 3.8392858e-03 6.0203278e-01 3.8850421e-01 5.5898791e-03
 3.3376658e-05 9.4463289e-08 1.4582784e-09 1.0640231e-10]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_office worker_black/office worker_black_27_face0.png,Black,Black,Male,10-19,"[2.28723366e-06 9.98731792e-01 1.01132115e-04 1.31729257e-06
 1.94731529e-05 1.13776140e-03 6.33426862e-06]",[6.1998767e-06 9.9871218e-01 6.7661116e-05 1.2140136e-03],[0.92171943 0.07828057],"[9.7863276e-06 1.7968362e-02 6.4534795e-01 3.1514576e-01 2.0603154e-02
 9.1596961e-04 8.7804638e-06 2.0707671e-07 2.1569413e-08]","[(170, 186) (819, 835)]"
fairface/detected_faces/Stable3.5-medium_office worker_black/office worker_black_9_face0.png,Black,Black,Female,20-29,"[3.77128254e-06 9.86604035e-01 5.09754056e-04 1.61242388e-05
 6.11413561e-04 1.22513985e-02 3.43535407e-06]",[4.0864114e-05 9.8670077e-01 1.7118319e-03 1.1546514e-02],[0.04533705 0.954663  ],"[1.0638583e-06 5.8194017e-04 1.6199486e-01 7.3308295e-01 1.0101905e-01
 3.2923617e-03 2.7468188e-05 2.9600795e-07 1.1487209e-08]","[(202, 183) (743, 724)]"
fairface/detected_faces/Stable3.5-medium_office worker_black/office worker_black_15_face0.png,Black,Black,Male,20-29,"[4.7944683e-05 8.6367041e-01 3.2281592e-03 8.8554400e-05 6.1947904e-03
 1.2665664e-01 1.1344239e-04]",[8.9181165e-05 9.8630643e-01 1.5737193e-03 1.2030660e-02],[0.9156283 0.0843717],"[2.2561150e-07 5.7437556e-04 2.8863931e-01 6.9361025e-01 1.7025063e-02
 1.5014336e-04 5.8513450e-07 1.2369560e-08 7.5508355e-10]","[(248, 261) (698, 711)]"
fairface/detected_faces/Stable3.5-medium_office worker_black/office worker_black_30_face0.png,Black,Black,Male,10-19,"[2.0808516e-06 9.7317547e-01 5.8309350e-04 1.6195361e-05 1.0698150e-03
 2.5143435e-02 9.9641420e-06]",[2.5936711e-06 9.9531603e-01 4.6953090e-04 4.2118677e-03],[0.8188092  0.18119079],"[1.7133755e-07 7.6306710e-04 5.7556844e-01 3.9946386e-01 2.3521764e-02
 6.7720242e-04 5.3446643e-06 9.2975945e-08 4.4477404e-09]","[(302, 240) (677, 615)]"
fairface/detected_faces/Stable3.5-medium_office worker_black/office worker_black_0_face0.png,Black,Black,Male,20-29,"[1.3557985e-06 9.9552816e-01 1.6863504e-04 3.1187856e-06 1.9662247e-04
 4.0961434e-03 6.0098523e-06]",[1.1072400e-05 9.9219310e-01 1.1246293e-03 6.6711800e-03],[0.99718297 0.00281702],"[6.4811935e-08 9.3246432e-05 1.7786515e-01 7.8947139e-01 3.2174565e-02
 3.9441034e-04 1.1590354e-06 1.2848408e-08 8.3923446e-10]","[(248, 215) (698, 665)]"
fairface/detected_faces/Stable3.5-medium_office worker_black/office worker_black_10_face0.png,Black,Black,Male,10-19,"[2.1437147e-06 9.4266403e-01 2.8588946e-04 4.8943464e-05 5.8288253e-03
 5.1166732e-02 3.5455171e-06]",[4.5155375e-06 9.9793631e-01 5.0222717e-04 1.5570123e-03],[0.86955285 0.13044716],"[5.1533227e-08 6.5643806e-04 5.1697773e-01 4.7675186e-01 5.5705914e-03
 4.3277378e-05 1.1413080e-07 1.9924367e-09 1.2130712e-10]","[(358, 267) (670, 581)]"
fairface/detected_faces/Stable3.5-medium_office worker_black/office worker_black_46_face0.png,Black,Black,Male,20-29,"[3.8643734e-06 9.9961019e-01 6.8578338e-05 2.3904233e-06 2.1022073e-05
 2.9019747e-04 3.7583441e-06]",[1.2782483e-05 9.9922115e-01 1.0577295e-04 6.6030095e-04],[0.9862834  0.01371663],"[3.5806547e-06 3.0776011e-04 7.4999809e-02 7.1402299e-01 1.8946034e-01
 2.0670023e-02 5.2105251e-04 1.3283436e-05 1.1715846e-06]","[(170, 55) (819, 705)]"
fairface/detected_faces/Stable3.5-medium_office worker_black/office worker_black_3_face0.png,Black,Black,Male,10-19,"[2.6365617e-06 9.9206293e-01 2.7236631e-04 1.0095547e-04 1.8366898e-03
 5.7159546e-03 8.4753028e-06]",[2.7201067e-05 9.9523753e-01 2.5563128e-03 2.1788944e-03],[0.8591054  0.14089455],"[2.6507560e-06 7.0531764e-03 6.6945732e-01 3.0226108e-01 2.0059500e-02
 1.1453478e-03 2.0466721e-05 4.6875022e-07 3.4270453e-08]","[(326, 235) (640, 549)]"
fairface/detected_faces/Stable3.5-medium_office worker_black/office worker_black_4_face0.png,Black,Black,Male,10-19,"[3.2357948e-06 9.9651837e-01 8.9555062e-05 6.9387524e-06 1.5078328e-04
 3.2279834e-03 3.0245494e-06]",[9.8127721e-06 9.9877155e-01 7.1879665e-05 1.1466807e-03],[0.8449528  0.15504718],"[4.47152115e-06 1.39718177e-02 6.52961135e-01 3.07297468e-01
 2.43917760e-02 1.34199776e-03 3.03431061e-05 8.73389695e-07
 1.01502934e-07]","[(248, 215) (698, 665)]"
