face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,bbox
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_judge_male/judge_male_prompt_1_29_face0.png,Latino_Hispanic,White,Male,40-49,"[3.4206054e-01 7.2236602e-05 5.6294417e-01 2.2228393e-03 2.4144705e-03
 2.0127030e-02 7.0158765e-02]",[9.5497578e-01 1.3969831e-04 5.8070011e-03 3.9077502e-02],[9.9999619e-01 3.7996458e-06],"[1.1767175e-06 5.9273762e-06 2.1696536e-04 8.2411086e-03 4.4353974e-01
 5.3559220e-01 1.2371078e-02 3.1634929e-05 8.4445766e-08]","[(302, 279) (677, 654)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_judge_male/judge_male_prompt_1_23_face0.png,White,White,Male,30-39,"[6.2610984e-01 5.3424006e-05 1.9178909e-01 1.0945049e-02 4.3538101e-03
 2.8531030e-03 1.6389567e-01]",[0.9639627  0.00101485 0.01101794 0.02400454],[9.999953e-01 4.643138e-06],"[5.6196059e-06 1.8571904e-05 7.3107961e-04 2.9947350e-02 6.9920832e-01
 2.6597488e-01 4.0926598e-03 2.1367356e-05 8.6541043e-08]","[(302, 126) (677, 501)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_judge_male/judge_male_prompt_0_43_face0.png,Latino_Hispanic,White,Male,30-39,"[1.3555567e-01 1.6988115e-04 6.8193644e-01 1.4349225e-02 1.0962762e-02
 1.4883064e-02 1.4214292e-01]",[0.8874576  0.00110115 0.04408691 0.06735434],[9.9999893e-01 1.0925157e-06],"[1.1959294e-05 4.7169586e-05 6.6838739e-04 1.6365454e-02 5.6687707e-01
 4.0432838e-01 1.1645142e-02 5.6244677e-05 2.2751955e-07]","[(302, 240) (677, 615)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_judge_male/judge_male_prompt_0_15_face0.png,Latino_Hispanic,White,Male,40-49,"[1.9164109e-01 4.0331445e-04 7.1863091e-01 3.8031212e-03 2.6972967e-03
 3.5639279e-02 4.7184978e-02]",[0.83755946 0.00510799 0.04394147 0.11339109],[9.9999899e-01 1.0373826e-06],"[1.2142926e-05 1.0987207e-05 1.3792227e-04 1.8915619e-03 2.3721504e-01
 7.0212156e-01 5.8405589e-02 2.0485561e-04 3.4416522e-07]","[(326, 108) (640, 422)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_judge_male/judge_male_prompt_1_28_face0.png,Middle Eastern,White,Male,40-49,"[1.5144475e-01 3.4694353e-04 3.6625275e-01 1.0136589e-03 1.2895870e-03
 1.2563514e-02 4.6708882e-01]",[0.96377474 0.00121711 0.00235729 0.03265083],[9.9999744e-01 2.5815402e-06],"[3.1694082e-05 1.2154289e-04 1.2347498e-03 1.0146758e-02 3.8318682e-01
 5.7717437e-01 2.7927989e-02 1.7535020e-04 7.2683900e-07]","[(302, 279) (677, 654)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_judge_male/judge_male_prompt_1_21_face0.png,Latino_Hispanic,White,Male,40-49,"[3.4997913e-01 3.5000528e-05 6.2492210e-01 1.5241322e-03 2.2178004e-03
 1.1083952e-02 1.0237951e-02]",[9.8971289e-01 2.4248382e-05 2.6369712e-03 7.6258485e-03],[9.9999726e-01 2.7833530e-06],"[2.3773113e-05 1.6472260e-04 1.4850844e-03 1.6455280e-03 1.7152798e-01
 7.1446663e-01 1.1011786e-01 5.6727050e-04 1.0913220e-06]","[(358, 235) (670, 549)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_judge_male/judge_male_prompt_0_23_face0.png,Latino_Hispanic,White,Male,30-39,"[0.326611   0.00055364 0.46047828 0.0758429  0.03326719 0.00775655
 0.09549027]",[0.8923045  0.00332782 0.05570174 0.04866597],[9.9999774e-01 2.2700044e-06],"[1.0675185e-05 5.5190081e-05 4.3602218e-03 1.1538689e-01 7.5286788e-01
 1.2480630e-01 2.4880576e-03 2.4660354e-05 1.4148021e-07]","[(363, 216) (624, 477)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_judge_male/judge_male_prompt_1_33_face0.png,White,White,Male,30-39,"[9.7699374e-01 2.8958974e-07 7.1346317e-03 7.1786909e-04 2.0482253e-04
 7.2994597e-05 1.4875725e-02]",[9.9595070e-01 1.7513239e-06 3.6019534e-03 4.4558162e-04],[9.9999887e-01 1.1458859e-06],"[3.8354015e-06 3.1588741e-05 1.9422747e-03 3.8736790e-02 6.2811947e-01
 3.2366130e-01 7.4520400e-03 5.2448602e-05 1.7972283e-07]","[(302, 240) (677, 615)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_judge_male/judge_male_prompt_1_1_face0.png,White,White,Male,30-39,"[9.3743777e-01 8.7522916e-05 3.8938042e-02 1.4386523e-04 3.1234697e-04
 3.8633889e-03 1.9217053e-02]",[9.8899877e-01 1.7444825e-03 8.9893187e-04 8.3578769e-03],[9.999996e-01 4.255744e-07],"[4.5333836e-06 8.8457913e-05 1.8438931e-03 1.4806426e-01 7.3636425e-01
 1.1253070e-01 1.0989114e-03 4.8544171e-06 6.8823319e-08]","[(263, 279) (640, 654)]"
classification/analyzers/fairface/detected_faces/exp2/Stable3.5-medium_judge_male/judge_male_prompt_0_10_face0.png,White,White,Male,30-39,"[4.5057523e-01 1.9940891e-04 2.2943304e-01 8.4317947e-04 9.3399419e-04
 1.2056186e-03 3.1680951e-01]",[9.9738955e-01 2.7650851e-04 6.3176878e-04 1.7021670e-03],[9.9999559e-01 4.4372878e-06],"[3.2230103e-06 2.6240374e-05 2.3548454e-03 9.1801435e-02 7.3586214e-01
 1.6819778e-01 1.7392163e-03 1.5023701e-05 9.7706469e-08]","[(263, 202) (640, 578)]"
